name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
GYPSY SONG,0.547,0.647,11,-9.533,0,0.0573,0.63,0.0016,0.626,0.821,85.423,audio_features,0MFqlkYoMGOalB4WblXDHe,spotify:track:0MFqlkYoMGOalB4WblXDHe,https://api.spotify.com/v1/tracks/0MFqlkYoMGOalB4WblXDHe,https://api.spotify.com/v1/audio-analysis/0MFqlkYoMGOalB4WblXDHe,263400,4
今日はまるで日曜日,0.595,0.242,11,-14.245,0,0.0322,0.911,0.0356,0.292,0.577,130.832,audio_features,0FsLY2kQDCjiYTtn4hr3Lz,spotify:track:0FsLY2kQDCjiYTtn4hr3Lz,https://api.spotify.com/v1/tracks/0FsLY2kQDCjiYTtn4hr3Lz,https://api.spotify.com/v1/audio-analysis/0FsLY2kQDCjiYTtn4hr3Lz,189040,4
南米旅行,0.587,0.571,4,-11.221,1,0.065,0.436,0,0.134,0.963,165.171,audio_features,6MpYwA3wSHxg2LNHAN6LGn,spotify:track:6MpYwA3wSHxg2LNHAN6LGn,https://api.spotify.com/v1/tracks/6MpYwA3wSHxg2LNHAN6LGn,https://api.spotify.com/v1/audio-analysis/6MpYwA3wSHxg2LNHAN6LGn,121693,4
アフリカの月,0.576,0.145,1,-16.037,0,0.034,0.911,3.58e-06,0.11,0.434,98.44,audio_features,2dqGnIVPJBvLRxUiGfcKbn,spotify:track:2dqGnIVPJBvLRxUiGfcKbn,https://api.spotify.com/v1/tracks/2dqGnIVPJBvLRxUiGfcKbn,https://api.spotify.com/v1/audio-analysis/2dqGnIVPJBvLRxUiGfcKbn,174000,4
GLORIA,0.678,0.304,5,-13.456,1,0.0347,0.895,9.97e-05,0.144,0.704,121.512,audio_features,3uYQUNYRBSvw83KzVJOeH3,spotify:track:3uYQUNYRBSvw83KzVJOeH3,https://api.spotify.com/v1/tracks/3uYQUNYRBSvw83KzVJOeH3,https://api.spotify.com/v1/audio-analysis/3uYQUNYRBSvw83KzVJOeH3,156867,4
ひまわり村の通り雨,0.644,0.325,1,-17.131,0,0.0341,0.864,0.000121,0.116,0.743,151.884,audio_features,2Bymi7u18zw7rTrRkZXdxm,spotify:track:2Bymi7u18zw7rTrRkZXdxm,https://api.spotify.com/v1/tracks/2Bymi7u18zw7rTrRkZXdxm,https://api.spotify.com/v1/audio-analysis/2Bymi7u18zw7rTrRkZXdxm,210374,4
君住む街に,0.557,0.385,4,-10.506,1,0.031,0.154,0.000619,0.3,0.337,82.534,audio_features,1gaaPT2MGPFmWroUqQrcZd,spotify:track:1gaaPT2MGPFmWroUqQrcZd,https://api.spotify.com/v1/tracks/1gaaPT2MGPFmWroUqQrcZd,https://api.spotify.com/v1/audio-analysis/1gaaPT2MGPFmWroUqQrcZd,165601,3
NEVER LAND,0.531,0.436,4,-13.163,0,0.0519,0.58,5.41e-05,0.111,0.616,148.659,audio_features,2vmBQb4Cd2yqQmZCyFoUdn,spotify:track:2vmBQb4Cd2yqQmZCyFoUdn,https://api.spotify.com/v1/tracks/2vmBQb4Cd2yqQmZCyFoUdn,https://api.spotify.com/v1/audio-analysis/2vmBQb4Cd2yqQmZCyFoUdn,232400,4
KURO'S SAMBA,0.624,0.283,7,-13.81,1,0.0431,0.847,0.00112,0.066,0.767,82.313,audio_features,3vtO0KupL0IyNLooxhk6C8,spotify:track:3vtO0KupL0IyNLooxhk6C8,https://api.spotify.com/v1/tracks/3vtO0KupL0IyNLooxhk6C8,https://api.spotify.com/v1/audio-analysis/3vtO0KupL0IyNLooxhk6C8,179693,4
PORT MERRY SUE,0.499,0.0778,4,-18.581,0,0.0397,0.987,0.0261,0.0822,0.25,87.882,audio_features,6yygzE4dUNfjEDAHD29L23,spotify:track:6yygzE4dUNfjEDAHD29L23,https://api.spotify.com/v1/tracks/6yygzE4dUNfjEDAHD29L23,https://api.spotify.com/v1/audio-analysis/6yygzE4dUNfjEDAHD29L23,271493,4
GOOD NIGHT,0.366,0.109,10,-17.703,1,0.0346,0.87,0.0116,0.118,0.41,180.253,audio_features,6GBVReoyxtRrmIFk3yc2Ul,spotify:track:6GBVReoyxtRrmIFk3yc2Ul,https://api.spotify.com/v1/tracks/6GBVReoyxtRrmIFk3yc2Ul,https://api.spotify.com/v1/audio-analysis/6GBVReoyxtRrmIFk3yc2Ul,168040,4
DOMINICA HOLIDAY,0.684,0.309,3,-12.87,1,0.0401,0.897,0.00203,0.0942,0.785,130.515,audio_features,5BIasLHZ1xphgcNobxawKu,spotify:track:5BIasLHZ1xphgcNobxawKu,https://api.spotify.com/v1/tracks/5BIasLHZ1xphgcNobxawKu,https://api.spotify.com/v1/audio-analysis/5BIasLHZ1xphgcNobxawKu,240040,4
街行き村行き,0.614,0.412,7,-11.304,1,0.0301,0.606,0,0.13,0.582,117.465,audio_features,2sqNyy9i14PB84nRhYQ1UM,spotify:track:2sqNyy9i14PB84nRhYQ1UM,https://api.spotify.com/v1/tracks/2sqNyy9i14PB84nRhYQ1UM,https://api.spotify.com/v1/audio-analysis/2sqNyy9i14PB84nRhYQ1UM,195828,4
春一番,0.418,0.457,1,-9.923,0,0.029,0.0615,8.24e-06,0.15,0.418,135.648,audio_features,3jumAVyGLABwPZHXcUiS6t,spotify:track:3jumAVyGLABwPZHXcUiS6t,https://api.spotify.com/v1/tracks/3jumAVyGLABwPZHXcUiS6t,https://api.spotify.com/v1/audio-analysis/3jumAVyGLABwPZHXcUiS6t,282028,4
村の村長さん,0.677,0.625,7,-10.483,0,0.0633,0.5,0,0.241,0.918,118.636,audio_features,1GicaP1RREomesK8es5YpT,spotify:track:1GicaP1RREomesK8es5YpT,https://api.spotify.com/v1/tracks/1GicaP1RREomesK8es5YpT,https://api.spotify.com/v1/audio-analysis/1GicaP1RREomesK8es5YpT,201549,4
パラソルさして,0.58,0.241,4,-12.089,1,0.0291,0.14,1.6e-06,0.13,0.473,137.569,audio_features,7ulximOe7CU1vkls0W6plG,spotify:track:7ulximOe7CU1vkls0W6plG,https://api.spotify.com/v1/tracks/7ulximOe7CU1vkls0W6plG,https://api.spotify.com/v1/audio-analysis/7ulximOe7CU1vkls0W6plG,368921,4
飾り窓の君,0.56,0.178,7,-15.543,1,0.0412,0.829,2.14e-06,0.116,0.67,188.693,audio_features,1ZrSadbKemdoYcGqztCAeE,spotify:track:1ZrSadbKemdoYcGqztCAeE,https://api.spotify.com/v1/tracks/1ZrSadbKemdoYcGqztCAeE,https://api.spotify.com/v1/audio-analysis/1ZrSadbKemdoYcGqztCAeE,203894,4
街の君,0.55,0.102,2,-20.253,1,0.0364,0.6,1.59e-06,0.748,0.46,144.797,audio_features,0fgyNOELt3AZXjNKXqykkM,spotify:track:0fgyNOELt3AZXjNKXqykkM,https://api.spotify.com/v1/tracks/0fgyNOELt3AZXjNKXqykkM,https://api.spotify.com/v1/audio-analysis/0fgyNOELt3AZXjNKXqykkM,240761,4
下町のディラン,0.639,0.626,9,-7.724,1,0.0294,0.233,1.09e-05,0.162,0.787,90.622,audio_features,6H5VPiUcKgx2DuYukwdHwT,spotify:track:6H5VPiUcKgx2DuYukwdHwT,https://api.spotify.com/v1/tracks/6H5VPiUcKgx2DuYukwdHwT,https://api.spotify.com/v1/audio-analysis/6H5VPiUcKgx2DuYukwdHwT,177454,4
朝の散歩道,0.584,0.0831,2,-19.978,1,0.0372,0.877,6.45e-05,0.106,0.314,126.412,audio_features,1uzFs9qXBk2cr58hE0qBhN,spotify:track:1uzFs9qXBk2cr58hE0qBhN,https://api.spotify.com/v1/tracks/1uzFs9qXBk2cr58hE0qBhN,https://api.spotify.com/v1/audio-analysis/1uzFs9qXBk2cr58hE0qBhN,136628,4
