name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
倖せは君を見捨てはしない,0.533,0.455,2,-9.862,1,0.0316,0.271,4.61e-05,0.0578,0.523,127.193,audio_features,5vT9VTJurRnSSF25Z3Eznw,spotify:track:5vT9VTJurRnSSF25Z3Eznw,https://api.spotify.com/v1/tracks/5vT9VTJurRnSSF25Z3Eznw,https://api.spotify.com/v1/audio-analysis/5vT9VTJurRnSSF25Z3Eznw,332400,4
上野市,0.624,0.662,5,-6.388,1,0.0396,0.355,0.000679,0.113,0.968,148.145,audio_features,1eSlab6LWrklo5q13PcWcR,spotify:track:1eSlab6LWrklo5q13PcWcR,https://api.spotify.com/v1/tracks/1eSlab6LWrklo5q13PcWcR,https://api.spotify.com/v1/audio-analysis/1eSlab6LWrklo5q13PcWcR,240187,4
夏,0.635,0.362,9,-12.891,1,0.0413,0.735,0.00185,0.265,0.206,121.443,audio_features,71pdgCI7Ky8vD3sy3byvGD,spotify:track:71pdgCI7Ky8vD3sy3byvGD,https://api.spotify.com/v1/tracks/71pdgCI7Ky8vD3sy3byvGD,https://api.spotify.com/v1/audio-analysis/71pdgCI7Ky8vD3sy3byvGD,265120,4
プロローグ,0.293,0.948,7,-11.482,1,0.118,0.0599,0.965,0.357,0.0399,134.252,audio_features,5E1wJBHoA9O3gTtB4eVkr9,spotify:track:5E1wJBHoA9O3gTtB4eVkr9,https://api.spotify.com/v1/tracks/5E1wJBHoA9O3gTtB4eVkr9,https://api.spotify.com/v1/audio-analysis/5E1wJBHoA9O3gTtB4eVkr9,127173,4
恋ごころ,0.558,0.127,2,-18.283,0,0.0362,0.923,0.0631,0.121,0.565,110.923,audio_features,3quJsjPTtE0Y6A2BhaU0lH,spotify:track:3quJsjPTtE0Y6A2BhaU0lH,https://api.spotify.com/v1/tracks/3quJsjPTtE0Y6A2BhaU0lH,https://api.spotify.com/v1/audio-analysis/3quJsjPTtE0Y6A2BhaU0lH,241173,4
風博士,0.545,0.684,2,-5.135,1,0.028,0.213,0.000352,0.328,0.621,132.087,audio_features,0hRNfYLOUT4keo5lkySuJX,spotify:track:0hRNfYLOUT4keo5lkySuJX,https://api.spotify.com/v1/tracks/0hRNfYLOUT4keo5lkySuJX,https://api.spotify.com/v1/audio-analysis/0hRNfYLOUT4keo5lkySuJX,257333,4
花と空に…… - Live,0.467,0.368,7,-9.641,1,0.0349,0.738,0,0.501,0.645,138.176,audio_features,60sopSxRRlUBAtpQhtQf7W,spotify:track:60sopSxRRlUBAtpQhtQf7W,https://api.spotify.com/v1/tracks/60sopSxRRlUBAtpQhtQf7W,https://api.spotify.com/v1/audio-analysis/60sopSxRRlUBAtpQhtQf7W,98467,4
すとらいき,0.707,0.709,0,-9.855,1,0.311,0.67,0.0211,0.068,0.96,154.898,audio_features,0fwUGJ3N2Sp0dwIrlxnvBi,spotify:track:0fwUGJ3N2Sp0dwIrlxnvBi,https://api.spotify.com/v1/tracks/0fwUGJ3N2Sp0dwIrlxnvBi,https://api.spotify.com/v1/audio-analysis/0fwUGJ3N2Sp0dwIrlxnvBi,132613,4
大阪しぐれ,0.446,0.0299,4,-20.87,1,0.038,0.979,4.63e-05,0.0915,0.318,78.248,audio_features,3U9JEgkvptw5sR6zxe5ie0,spotify:track:3U9JEgkvptw5sR6zxe5ie0,https://api.spotify.com/v1/tracks/3U9JEgkvptw5sR6zxe5ie0,https://api.spotify.com/v1/audio-analysis/3U9JEgkvptw5sR6zxe5ie0,209040,4
PLASTIC WIND(Part II),0.349,0.132,2,-17.156,1,0.0296,0.87,4.97e-05,0.0879,0.201,103.498,audio_features,00qraOqlU3zxRwCnjRKBXD,spotify:track:00qraOqlU3zxRwCnjRKBXD,https://api.spotify.com/v1/tracks/00qraOqlU3zxRwCnjRKBXD,https://api.spotify.com/v1/audio-analysis/00qraOqlU3zxRwCnjRKBXD,94027,4
別れの朝,0.592,0.0189,7,-21.848,0,0.0387,0.988,0.043,0.0724,0.338,143.921,audio_features,6BracMS0DSI6uYbQEnVOwP,spotify:track:6BracMS0DSI6uYbQEnVOwP,https://api.spotify.com/v1/tracks/6BracMS0DSI6uYbQEnVOwP,https://api.spotify.com/v1/audio-analysis/6BracMS0DSI6uYbQEnVOwP,276907,4
べろろんワルツ,0.561,0.215,5,-14.37,1,0.0298,0.617,2.83e-05,0.365,0.411,100.208,audio_features,6qmO7obFMNmozbFfW6oubW,spotify:track:6qmO7obFMNmozbFfW6oubW,https://api.spotify.com/v1/tracks/6qmO7obFMNmozbFfW6oubW,https://api.spotify.com/v1/audio-analysis/6qmO7obFMNmozbFfW6oubW,259933,3
すまあと,0.608,0.317,11,-10.493,0,0.0402,0.795,0.747,0.108,0.392,135.596,audio_features,2eeWHJr5UOkEtajlwogWuF,spotify:track:2eeWHJr5UOkEtajlwogWuF,https://api.spotify.com/v1/tracks/2eeWHJr5UOkEtajlwogWuF,https://api.spotify.com/v1/audio-analysis/2eeWHJr5UOkEtajlwogWuF,214107,4
若草の部屋,0.641,0.776,0,-9.02,0,0.0355,0.152,1.81e-05,0.0772,0.901,147.705,audio_features,3p3MjVzl6oSgg0Q2GD3VwT,spotify:track:3p3MjVzl6oSgg0Q2GD3VwT,https://api.spotify.com/v1/tracks/3p3MjVzl6oSgg0Q2GD3VwT,https://api.spotify.com/v1/audio-analysis/3p3MjVzl6oSgg0Q2GD3VwT,298480,4
白湯(SAYU)<高田渡君に捧ぐ>,0.585,0.0708,0,-17.734,1,0.0397,0.944,0.112,0.126,0.229,79.528,audio_features,2RzK9AnQhwVWI7goMIJrVs,spotify:track:2RzK9AnQhwVWI7goMIJrVs,https://api.spotify.com/v1/tracks/2RzK9AnQhwVWI7goMIJrVs,https://api.spotify.com/v1/audio-analysis/2RzK9AnQhwVWI7goMIJrVs,212800,4
