name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Hero's Come Back!!,0.716,0.951,11,-1.932,0,0.0604,0.0212,0,0.0394,0.703,104.024,audio_features,7weHG0yOwtAcZ0qBhyODLF,spotify:track:7weHG0yOwtAcZ0qBhyODLF,https://api.spotify.com/v1/tracks/7weHG0yOwtAcZ0qBhyODLF,https://api.spotify.com/v1/audio-analysis/7weHG0yOwtAcZ0qBhyODLF,273493,4
Hero's Come Back!!,0.717,0.953,11,-1.913,0,0.0505,0.0214,0,0.0344,0.69,104.009,audio_features,6d3gwOBgnDE9b60vOHZ9Bu,spotify:track:6d3gwOBgnDE9b60vOHZ9Bu,https://api.spotify.com/v1/tracks/6d3gwOBgnDE9b60vOHZ9Bu,https://api.spotify.com/v1/audio-analysis/6d3gwOBgnDE9b60vOHZ9Bu,274453,4
ココロオドル -original version-,0.747,0.985,4,-2.471,0,0.105,0.241,0,0.0342,0.909,113.041,audio_features,5tcnPaFhcpSLx7ihFwI9DM,spotify:track:5tcnPaFhcpSLx7ihFwI9DM,https://api.spotify.com/v1/tracks/5tcnPaFhcpSLx7ihFwI9DM,https://api.spotify.com/v1/audio-analysis/5tcnPaFhcpSLx7ihFwI9DM,253533,4
ココロオドル -original version-,0.75,0.982,4,-2.747,0,0.108,0.243,0,0.05,0.912,113.03,audio_features,424ekFg5fk3v0vmf9K85mU,spotify:track:424ekFg5fk3v0vmf9K85mU,https://api.spotify.com/v1/tracks/424ekFg5fk3v0vmf9K85mU,https://api.spotify.com/v1/audio-analysis/424ekFg5fk3v0vmf9K85mU,251640,4
ココロオドル -original version-,0.74,0.984,4,-2.464,0,0.114,0.252,0,0.0366,0.899,113.035,audio_features,4SUcD2v7iEcjMiQJTC6idd,spotify:track:4SUcD2v7iEcjMiQJTC6idd,https://api.spotify.com/v1/tracks/4SUcD2v7iEcjMiQJTC6idd,https://api.spotify.com/v1/audio-analysis/4SUcD2v7iEcjMiQJTC6idd,253533,4
エル・ミラドール〜展望台の唄〜,0.763,0.946,9,-3.261,0,0.0658,0.528,0,0.15,0.802,117.032,audio_features,2dyUUU1fiitsYa6JU835az,spotify:track:2dyUUU1fiitsYa6JU835az,https://api.spotify.com/v1/tracks/2dyUUU1fiitsYa6JU835az,https://api.spotify.com/v1/audio-analysis/2dyUUU1fiitsYa6JU835az,261667,4
ココロオドル(Remix),0.671,0.981,4,-4.048,0,0.0923,0.0714,0,0.377,0.726,128.049,audio_features,0EIc78W4ySEIeRlGnBOmEJ,spotify:track:0EIc78W4ySEIeRlGnBOmEJ,https://api.spotify.com/v1/tracks/0EIc78W4ySEIeRlGnBOmEJ,https://api.spotify.com/v1/audio-analysis/0EIc78W4ySEIeRlGnBOmEJ,266920,4
さくら Spring Field version,0.756,0.775,0,-4.224,0,0.0312,0.0652,0,0.0843,0.876,100.978,audio_features,6EnymTwFwEGM6D8hAFLQz0,spotify:track:6EnymTwFwEGM6D8hAFLQz0,https://api.spotify.com/v1/tracks/6EnymTwFwEGM6D8hAFLQz0,https://api.spotify.com/v1/audio-analysis/6EnymTwFwEGM6D8hAFLQz0,194627,4
Hero's Come Back!!,0.716,0.951,11,-1.894,0,0.0585,0.0237,0,0.0409,0.685,104.045,audio_features,5C16CymilvKSJJjtnYf8pm,spotify:track:5C16CymilvKSJJjtnYf8pm,https://api.spotify.com/v1/tracks/5C16CymilvKSJJjtnYf8pm,https://api.spotify.com/v1/audio-analysis/5C16CymilvKSJJjtnYf8pm,273667,4
ススミダス→,0.808,0.909,1,-3.627,1,0.144,0.452,0,0.537,0.817,105.01,audio_features,6p8keGAFixoTS3Rfd10wyH,spotify:track:6p8keGAFixoTS3Rfd10wyH,https://api.spotify.com/v1/tracks/6p8keGAFixoTS3Rfd10wyH,https://api.spotify.com/v1/audio-analysis/6p8keGAFixoTS3Rfd10wyH,276667,4
