name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
月の大きさ,0.555,0.941,9,-3.294,0,0.0481,0.484,0,0.266,0.813,92.487,audio_features,4bY2oZGA5Br3pTE1Jd1IfY,spotify:track:4bY2oZGA5Br3pTE1Jd1IfY,https://api.spotify.com/v1/tracks/4bY2oZGA5Br3pTE1Jd1IfY,https://api.spotify.com/v1/audio-analysis/4bY2oZGA5Br3pTE1Jd1IfY,236293,4
命は美しい,0.578,0.84,2,-5.164,0,0.037,0.0763,0,0.159,0.405,130.016,audio_features,1lguizUckAeXaFJnunKhm4,spotify:track:1lguizUckAeXaFJnunKhm4,https://api.spotify.com/v1/tracks/1lguizUckAeXaFJnunKhm4,https://api.spotify.com/v1/audio-analysis/1lguizUckAeXaFJnunKhm4,316560,4
OVERTURE,0.386,0.954,4,-6.792,1,0.0357,0.0822,0.963,0.365,0.582,141.925,audio_features,64mmcLqE9EmObDNMFhWIUa,spotify:track:64mmcLqE9EmObDNMFhWIUa,https://api.spotify.com/v1/tracks/64mmcLqE9EmObDNMFhWIUa,https://api.spotify.com/v1/audio-analysis/64mmcLqE9EmObDNMFhWIUa,76493,4
指望遠鏡(アニメサイズver.),0.527,0.955,0,-2.703,1,0.0486,0.63,0,0.158,0.784,179.961,audio_features,6U0VmbxGoqYvMjLqJqcYES,spotify:track:6U0VmbxGoqYvMjLqJqcYES,https://api.spotify.com/v1/tracks/6U0VmbxGoqYvMjLqJqcYES,https://api.spotify.com/v1/audio-analysis/6U0VmbxGoqYvMjLqJqcYES,88667,4
OVERTURE,0.386,0.947,4,-6.903,1,0.0348,0.0802,0.958,0.36,0.547,141.955,audio_features,3kEVCLkr2sO9B4nnEj2kuf,spotify:track:3kEVCLkr2sO9B4nnEj2kuf,https://api.spotify.com/v1/tracks/3kEVCLkr2sO9B4nnEj2kuf,https://api.spotify.com/v1/audio-analysis/3kEVCLkr2sO9B4nnEj2kuf,76493,4
シンクロニシティ,0.571,0.923,0,-3.639,1,0.04,0.603,0,0.0585,0.466,135.94,audio_features,3cZwlMEtYsc2c3d6ABFyOz,spotify:track:3cZwlMEtYsc2c3d6ABFyOz,https://api.spotify.com/v1/tracks/3cZwlMEtYsc2c3d6ABFyOz,https://api.spotify.com/v1/audio-analysis/3cZwlMEtYsc2c3d6ABFyOz,254880,4
指望遠鏡,0.472,0.938,0,-2.798,1,0.0476,0.283,0,0.198,0.687,179.97,audio_features,3G1eBTZjG3IS0uijvLd61d,spotify:track:3G1eBTZjG3IS0uijvLd61d,https://api.spotify.com/v1/tracks/3G1eBTZjG3IS0uijvLd61d,https://api.spotify.com/v1/audio-analysis/3G1eBTZjG3IS0uijvLd61d,202280,4
乃木坂の詩,0.553,0.978,0,-3.832,1,0.0709,0.00769,1.51e-06,0.334,0.475,101.975,audio_features,2HqPpwLSb2GHYvS5HWGx6E,spotify:track:2HqPpwLSb2GHYvS5HWGx6E,https://api.spotify.com/v1/tracks/2HqPpwLSb2GHYvS5HWGx6E,https://api.spotify.com/v1/audio-analysis/2HqPpwLSb2GHYvS5HWGx6E,270147,4
帰り道は遠回りしたくなる,0.51,0.857,1,-2.715,1,0.0403,0.457,0,0.0794,0.693,138.064,audio_features,4RWJxm0Vn83uE0TIhwnABv,spotify:track:4RWJxm0Vn83uE0TIhwnABv,https://api.spotify.com/v1/tracks/4RWJxm0Vn83uE0TIhwnABv,https://api.spotify.com/v1/audio-analysis/4RWJxm0Vn83uE0TIhwnABv,269707,4
OVERTURE,0.389,0.987,4,-6.785,1,0.0466,0.0791,0.957,0.356,0.0916,141.994,audio_features,7rodZ1M9j9LLZCUvCK5HDT,spotify:track:7rodZ1M9j9LLZCUvCK5HDT,https://api.spotify.com/v1/tracks/7rodZ1M9j9LLZCUvCK5HDT,https://api.spotify.com/v1/audio-analysis/7rodZ1M9j9LLZCUvCK5HDT,78333,4
サヨナラの意味,0.505,0.741,0,-3.639,0,0.0311,0.226,1.32e-05,0.216,0.508,127.016,audio_features,0lU7b9JpuI9RMVqqcJc5kd,spotify:track:0lU7b9JpuI9RMVqqcJc5kd,https://api.spotify.com/v1/tracks/0lU7b9JpuI9RMVqqcJc5kd,https://api.spotify.com/v1/audio-analysis/0lU7b9JpuI9RMVqqcJc5kd,299040,4
