name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
lower one's eyes,0.62,0.944,10,-3.361,0,0.134,0.0355,8.95e-05,0.206,0.801,132.05,audio_features,3P8sZzCeWXnBieW9XxE02Y,spotify:track:3P8sZzCeWXnBieW9XxE02Y,https://api.spotify.com/v1/tracks/3P8sZzCeWXnBieW9XxE02Y,https://api.spotify.com/v1/audio-analysis/3P8sZzCeWXnBieW9XxE02Y,230000,4
命ばっかり,0.624,0.958,4,-4.959,0,0.0496,0.00805,0,0.305,0.967,127.988,audio_features,0yEvK14lJzaw4UcvZh12du,spotify:track:0yEvK14lJzaw4UcvZh12du,https://api.spotify.com/v1/tracks/0yEvK14lJzaw4UcvZh12du,https://api.spotify.com/v1/audio-analysis/0yEvK14lJzaw4UcvZh12du,252188,4
映ら,0.662,0.761,5,-4.572,0,0.126,0.0374,0,0.378,0.779,139.909,audio_features,6hophuVicmUTxVWluz4Bxe,spotify:track:6hophuVicmUTxVWluz4Bxe,https://api.spotify.com/v1/tracks/6hophuVicmUTxVWluz4Bxe,https://api.spotify.com/v1/audio-analysis/6hophuVicmUTxVWluz4Bxe,272571,4
プロトディスコ,0.659,0.875,3,-3.591,0,0.067,0.0876,2.94e-06,0.0581,0.87,139.99,audio_features,5QRph2m9mqEdIt0P3iyUR0,spotify:track:5QRph2m9mqEdIt0P3iyUR0,https://api.spotify.com/v1/tracks/5QRph2m9mqEdIt0P3iyUR0,https://api.spotify.com/v1/audio-analysis/5QRph2m9mqEdIt0P3iyUR0,267429,4
フラジール,0.651,0.857,5,-6.184,0,0.0726,0.0641,0,0.393,0.923,127.007,audio_features,2N1Gc90q9I4bbvpAmxptmw,spotify:track:2N1Gc90q9I4bbvpAmxptmw,https://api.spotify.com/v1/tracks/2N1Gc90q9I4bbvpAmxptmw,https://api.spotify.com/v1/audio-analysis/2N1Gc90q9I4bbvpAmxptmw,270236,4
フィクサー,0.656,0.918,11,-4.051,0,0.089,0.167,1.97e-06,0.333,0.689,134.962,audio_features,2DYupgAcdomatly7Lhw8zv,spotify:track:2DYupgAcdomatly7Lhw8zv,https://api.spotify.com/v1/tracks/2DYupgAcdomatly7Lhw8zv,https://api.spotify.com/v1/audio-analysis/2DYupgAcdomatly7Lhw8zv,247111,4
Coffin,0.717,0.887,11,-7.985,0,0.0353,0.62,0.688,0.17,0.942,128.096,audio_features,4MeIonUDaKBaaJcQYrRmJz,spotify:track:4MeIonUDaKBaaJcQYrRmJz,https://api.spotify.com/v1/tracks/4MeIonUDaKBaaJcQYrRmJz,https://api.spotify.com/v1/audio-analysis/4MeIonUDaKBaaJcQYrRmJz,200625,4
終末じゃない,0.644,0.512,0,-12.797,0,0.122,0.0842,2.64e-06,0.253,0.77,127.959,audio_features,01cbWZs2Vvaff38TLugOYx,spotify:track:01cbWZs2Vvaff38TLugOYx,https://api.spotify.com/v1/tracks/01cbWZs2Vvaff38TLugOYx,https://api.spotify.com/v1/audio-analysis/01cbWZs2Vvaff38TLugOYx,270000,4
ディカディズム,0.511,0.607,11,-12.082,0,0.129,0.0955,0.00093,0.0929,0.675,124.305,audio_features,0upY75jp77IEcFXD0WJ4mM,spotify:track:0upY75jp77IEcFXD0WJ4mM,https://api.spotify.com/v1/tracks/0upY75jp77IEcFXD0WJ4mM,https://api.spotify.com/v1/audio-analysis/0upY75jp77IEcFXD0WJ4mM,232497,4
顕現,0.551,0.599,11,-12.98,0,0.0353,0.479,0.000407,0.216,0.678,129.986,audio_features,5q5pIqpeD0RtXoaB3Syevk,spotify:track:5q5pIqpeD0RtXoaB3Syevk,https://api.spotify.com/v1/tracks/5q5pIqpeD0RtXoaB3Syevk,https://api.spotify.com/v1/audio-analysis/5q5pIqpeD0RtXoaB3Syevk,273750,4
ダラクダ,0.45,0.916,7,-7.351,1,0.0384,0.269,0.66,0.321,0.596,179.965,audio_features,6srp8e0ifp43wNKVwTiOy7,spotify:track:6srp8e0ifp43wNKVwTiOy7,https://api.spotify.com/v1/tracks/6srp8e0ifp43wNKVwTiOy7,https://api.spotify.com/v1/audio-analysis/6srp8e0ifp43wNKVwTiOy7,214674,4
Hollow Sleep,0.745,0.756,5,-5.937,0,0.0429,0.0025,0,0.29,0.616,117.998,audio_features,68tYP6eKziHq90OXPC7nTb,spotify:track:68tYP6eKziHq90OXPC7nTb,https://api.spotify.com/v1/tracks/68tYP6eKziHq90OXPC7nTb,https://api.spotify.com/v1/audio-analysis/68tYP6eKziHq90OXPC7nTb,227825,4
石けんと薬,0.594,0.786,10,-5.786,0,0.0313,0.195,0,0.0745,0.917,103.926,audio_features,71xW0SMlsmUA0jfgJnpn06,spotify:track:71xW0SMlsmUA0jfgJnpn06,https://api.spotify.com/v1/tracks/71xW0SMlsmUA0jfgJnpn06,https://api.spotify.com/v1/audio-analysis/71xW0SMlsmUA0jfgJnpn06,222106,4
ステル,0.784,0.421,6,-16.429,1,0.0495,0.451,0.824,0.0854,0.65,110.01,audio_features,2yPpYJFNGh0RNIaXbzc3j5,spotify:track:2yPpYJFNGh0RNIaXbzc3j5,https://api.spotify.com/v1/tracks/2yPpYJFNGh0RNIaXbzc3j5,https://api.spotify.com/v1/audio-analysis/2yPpYJFNGh0RNIaXbzc3j5,225182,4
