name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
死にたい人*生きたい人,0.676,0.513,9,-3.773,0,0.0467,0.244,0,0.27,0.803,120.06,audio_features,7iggqkoI6Y5eb5rKmHtHfl,spotify:track:7iggqkoI6Y5eb5rKmHtHfl,https://api.spotify.com/v1/tracks/7iggqkoI6Y5eb5rKmHtHfl,https://api.spotify.com/v1/audio-analysis/7iggqkoI6Y5eb5rKmHtHfl,172000,4
ごめん,0.49,0.79,0,-4.323,1,0.0371,0.268,0,0.237,0.602,95.019,audio_features,3zYOVwhBWD9HKYiciwHuBj,spotify:track:3zYOVwhBWD9HKYiciwHuBj,https://api.spotify.com/v1/tracks/3zYOVwhBWD9HKYiciwHuBj,https://api.spotify.com/v1/audio-analysis/3zYOVwhBWD9HKYiciwHuBj,228632,4
不登校少年,0.325,0.692,1,-3.501,1,0.0687,0.107,1.44e-05,0.0806,0.477,130.07,audio_features,4OgQfID8kNYRt0iWQ59RVs,spotify:track:4OgQfID8kNYRt0iWQ59RVs,https://api.spotify.com/v1/tracks/4OgQfID8kNYRt0iWQ59RVs,https://api.spotify.com/v1/audio-analysis/4OgQfID8kNYRt0iWQ59RVs,283077,5
普通ってなんだよ,0.58,0.719,0,-3.682,1,0.0395,0.568,2.98e-05,0.24,0.724,132.025,audio_features,4wJD7CAsdiKPoJmz7Zjdb1,spotify:track:4wJD7CAsdiKPoJmz7Zjdb1,https://api.spotify.com/v1/tracks/4wJD7CAsdiKPoJmz7Zjdb1,https://api.spotify.com/v1/audio-analysis/4wJD7CAsdiKPoJmz7Zjdb1,307273,4
嫌われ者,0.306,0.643,5,-3.875,1,0.0569,0.389,0.000164,0.177,0.76,145.634,audio_features,3MBMWa7D7aZaCQui3KNpDK,spotify:track:3MBMWa7D7aZaCQui3KNpDK,https://api.spotify.com/v1/tracks/3MBMWa7D7aZaCQui3KNpDK,https://api.spotify.com/v1/audio-analysis/3MBMWa7D7aZaCQui3KNpDK,211233,4
あっちこっちガール,0.437,0.771,5,-3.053,1,0.0371,0.0322,0,0.231,0.894,160.063,audio_features,3OVjBjNVGYBqPSOcFKE4Fm,spotify:track:3OVjBjNVGYBqPSOcFKE4Fm,https://api.spotify.com/v1/tracks/3OVjBjNVGYBqPSOcFKE4Fm,https://api.spotify.com/v1/audio-analysis/3OVjBjNVGYBqPSOcFKE4Fm,202500,4
無力人間,0.422,0.837,6,-3.651,1,0.0464,0.108,0,0.398,0.73,97.556,audio_features,2LrWWxxqxmQnRJq9BE44Un,spotify:track:2LrWWxxqxmQnRJq9BE44Un,https://api.spotify.com/v1/tracks/2LrWWxxqxmQnRJq9BE44Un,https://api.spotify.com/v1/audio-analysis/2LrWWxxqxmQnRJq9BE44Un,246154,4
幽霊少女メルヴィ,0.613,0.775,4,-4.718,1,0.0432,0.352,0,0.619,0.622,100.023,audio_features,6HuiMmYcmFhTS9nzJ6HmKd,spotify:track:6HuiMmYcmFhTS9nzJ6HmKd,https://api.spotify.com/v1/tracks/6HuiMmYcmFhTS9nzJ6HmKd,https://api.spotify.com/v1/audio-analysis/6HuiMmYcmFhTS9nzJ6HmKd,244800,4
最低人間,0.392,0.716,8,-3.559,1,0.0498,0.177,5.63e-05,0.0774,0.608,171.954,audio_features,3MyoZcMjlPiUP5ImuqtpC8,spotify:track:3MyoZcMjlPiUP5ImuqtpC8,https://api.spotify.com/v1/tracks/3MyoZcMjlPiUP5ImuqtpC8,https://api.spotify.com/v1/audio-analysis/3MyoZcMjlPiUP5ImuqtpC8,234419,4
エンプティー,0.65,0.8,0,-3.956,1,0.0451,0.181,0,0.0214,0.845,90.987,audio_features,06M0WjATjwfcA4BHHMhTzr,spotify:track:06M0WjATjwfcA4BHHMhTzr,https://api.spotify.com/v1/tracks/06M0WjATjwfcA4BHHMhTzr,https://api.spotify.com/v1/audio-analysis/06M0WjATjwfcA4BHHMhTzr,248242,4
アルゴリズム会議,0.695,0.8,4,-4.673,1,0.0323,0.336,3.43e-06,0.0607,0.916,131.99,audio_features,3fHgM0OA7eUHRJwGZ8ARSE,spotify:track:3fHgM0OA7eUHRJwGZ8ARSE,https://api.spotify.com/v1/tracks/3fHgM0OA7eUHRJwGZ8ARSE,https://api.spotify.com/v1/audio-analysis/3fHgM0OA7eUHRJwGZ8ARSE,209091,4
泡沫の夢,0.537,0.686,10,-5.253,1,0.0263,0.703,0.0234,0.137,0.835,151.02,audio_features,3dsSypwTXsAT0nmTaBBYcV,spotify:track:3dsSypwTXsAT0nmTaBBYcV,https://api.spotify.com/v1/tracks/3dsSypwTXsAT0nmTaBBYcV,https://api.spotify.com/v1/audio-analysis/3dsSypwTXsAT0nmTaBBYcV,247947,4
憂鬱と夢見月,0.55,0.753,11,-3.005,1,0.0384,0.0395,0.000379,0.253,0.612,126.011,audio_features,7pNzvxSBm8PW5CvrFoaBoB,spotify:track:7pNzvxSBm8PW5CvrFoaBoB,https://api.spotify.com/v1/tracks/7pNzvxSBm8PW5CvrFoaBoB,https://api.spotify.com/v1/audio-analysis/7pNzvxSBm8PW5CvrFoaBoB,198095,4
ねぇ母さん,0.522,0.387,4,-4.241,1,0.0555,0.399,1.72e-05,0.0686,0.543,150.067,audio_features,0uL0QJtmy6ZgyUlRNITHUN,spotify:track:0uL0QJtmy6ZgyUlRNITHUN,https://api.spotify.com/v1/tracks/0uL0QJtmy6ZgyUlRNITHUN,https://api.spotify.com/v1/audio-analysis/0uL0QJtmy6ZgyUlRNITHUN,272800,4
夢切符,0.528,0.6,9,-7.63,1,0.0347,0.738,0.00203,0.334,0.379,124.03,audio_features,0KMhNjGEqrB7w3o4pEAeEr,spotify:track:0KMhNjGEqrB7w3o4pEAeEr,https://api.spotify.com/v1/tracks/0KMhNjGEqrB7w3o4pEAeEr,https://api.spotify.com/v1/audio-analysis/0KMhNjGEqrB7w3o4pEAeEr,236129,4
ゲーム依存症,0.423,0.89,9,-4.215,0,0.0581,0.0401,0.00207,0.0762,0.479,89.138,audio_features,5ilsCF2VVzu6aTBZU3YZ6E,spotify:track:5ilsCF2VVzu6aTBZU3YZ6E,https://api.spotify.com/v1/tracks/5ilsCF2VVzu6aTBZU3YZ6E,https://api.spotify.com/v1/audio-analysis/5ilsCF2VVzu6aTBZU3YZ6E,194157,4
