name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Baby Rose,0.715,0.875,9,-4.76,1,0.0584,0.3,0,0.077,0.853,115.216,audio_features,6dFTdW0prtqw4gmVUPH5iZ,spotify:track:6dFTdW0prtqw4gmVUPH5iZ,https://api.spotify.com/v1/tracks/6dFTdW0prtqw4gmVUPH5iZ,https://api.spotify.com/v1/audio-analysis/6dFTdW0prtqw4gmVUPH5iZ,252547,4
Q.E.D.,0.526,0.647,2,-10.086,1,0.0267,0.311,0.849,0.359,0.866,110.012,audio_features,5huDlsKxFdjT8JI8g0R3BW,spotify:track:5huDlsKxFdjT8JI8g0R3BW,https://api.spotify.com/v1/tracks/5huDlsKxFdjT8JI8g0R3BW,https://api.spotify.com/v1/audio-analysis/5huDlsKxFdjT8JI8g0R3BW,100640,3
Investigators,0.513,0.906,11,-7.373,0,0.0941,0.262,0.905,0.278,0.776,130.272,audio_features,00Eo2gvv0ERQUNjxpu8oUa,spotify:track:00Eo2gvv0ERQUNjxpu8oUa,https://api.spotify.com/v1/tracks/00Eo2gvv0ERQUNjxpu8oUa,https://api.spotify.com/v1/audio-analysis/00Eo2gvv0ERQUNjxpu8oUa,79133,4
夢の終わりに,0.48,0.29,2,-16.652,1,0.0312,0.344,0.00147,0.218,0.295,124.992,audio_features,3clTHuuYamrptfFobzCBiQ,spotify:track:3clTHuuYamrptfFobzCBiQ,https://api.spotify.com/v1/tracks/3clTHuuYamrptfFobzCBiQ,https://api.spotify.com/v1/audio-analysis/3clTHuuYamrptfFobzCBiQ,222960,4
SHINE THE LIGHT,0.56,0.901,2,-4.209,1,0.0414,0.0188,1.63e-06,0.0398,0.901,130.235,audio_features,32fyA0Ij1aFB5G1OTjsmlK,spotify:track:32fyA0Ij1aFB5G1OTjsmlK,https://api.spotify.com/v1/tracks/32fyA0Ij1aFB5G1OTjsmlK,https://api.spotify.com/v1/audio-analysis/32fyA0Ij1aFB5G1OTjsmlK,226373,4
The Mysterious Disease Specialist -Ramune-,0.499,0.4,9,-8.423,0,0.0339,0.572,0.382,0.219,0.737,80.64,audio_features,2g2ki7fJqL13GuDf3KzPD4,spotify:track:2g2ki7fJqL13GuDf3KzPD4,https://api.spotify.com/v1/tracks/2g2ki7fJqL13GuDf3KzPD4,https://api.spotify.com/v1/audio-analysis/2g2ki7fJqL13GuDf3KzPD4,75693,1
LAST LULLABY FOR YOU,0.315,0.47,5,-8.703,1,0.033,0.0316,4.55e-06,0.107,0.231,112.034,audio_features,6DjU1sywvAkiEF2SA812t6,spotify:track:6DjU1sywvAkiEF2SA812t6,https://api.spotify.com/v1/tracks/6DjU1sywvAkiEF2SA812t6,https://api.spotify.com/v1/audio-analysis/6DjU1sywvAkiEF2SA812t6,254187,3
Gekitou,0.501,0.87,7,-6.822,1,0.0452,0.000148,0.917,0.152,0.213,110.02,audio_features,52zqxiTEL5jc3htnBAtTWA,spotify:track:52zqxiTEL5jc3htnBAtTWA,https://api.spotify.com/v1/tracks/52zqxiTEL5jc3htnBAtTWA,https://api.spotify.com/v1/audio-analysis/52zqxiTEL5jc3htnBAtTWA,148427,4
Ketsudan,0.28,0.859,4,-7.574,1,0.0943,3.18e-05,0.9,0.131,0.08,159.956,audio_features,3kYm1xlRyhgWjRnFmzZCTa,spotify:track:3kYm1xlRyhgWjRnFmzZCTa,https://api.spotify.com/v1/tracks/3kYm1xlRyhgWjRnFmzZCTa,https://api.spotify.com/v1/audio-analysis/3kYm1xlRyhgWjRnFmzZCTa,123440,4
ビートに溺れて -DANCE THE NIGHT AWAY-,0.431,0.904,5,-4.278,0,0.0844,0.516,5.91e-06,0.581,0.616,182.21,audio_features,3ed4a3a3uX72LVFav7orxj,spotify:track:3ed4a3a3uX72LVFav7orxj,https://api.spotify.com/v1/tracks/3ed4a3a3uX72LVFav7orxj,https://api.spotify.com/v1/audio-analysis/3ed4a3a3uX72LVFav7orxj,295027,4
Fear Reaches Out,0.175,0.226,4,-16.835,0,0.0367,0.772,0.92,0.116,0.169,80.086,audio_features,0qhOH5IqxNLKtEbQDDxmvu,spotify:track:0qhOH5IqxNLKtEbQDDxmvu,https://api.spotify.com/v1/tracks/0qhOH5IqxNLKtEbQDDxmvu,https://api.spotify.com/v1/audio-analysis/0qhOH5IqxNLKtEbQDDxmvu,73067,4
LIFE,0.513,0.918,10,-4.827,1,0.0433,0.00736,6.24e-06,0.234,0.531,112.386,audio_features,0HCeQRo7Ls2p2tgaz1vueJ,spotify:track:0HCeQRo7Ls2p2tgaz1vueJ,https://api.spotify.com/v1/tracks/0HCeQRo7Ls2p2tgaz1vueJ,https://api.spotify.com/v1/audio-analysis/0HCeQRo7Ls2p2tgaz1vueJ,260453,4
Wildlife,0.581,0.908,2,-3.999,1,0.0484,0.0201,0,0.26,0.786,129.136,audio_features,3cyaAl7rBR9ejTDK1iPBy8,spotify:track:3cyaAl7rBR9ejTDK1iPBy8,https://api.spotify.com/v1/tracks/3cyaAl7rBR9ejTDK1iPBy8,https://api.spotify.com/v1/audio-analysis/3cyaAl7rBR9ejTDK1iPBy8,301613,4
Mysterious Disease,0.196,0.292,7,-14.132,0,0.0338,0.527,0.737,0.0877,0.215,179.804,audio_features,23zxEWJBdiexikMBJP96HV,spotify:track:23zxEWJBdiexikMBJP96HV,https://api.spotify.com/v1/tracks/23zxEWJBdiexikMBJP96HV,https://api.spotify.com/v1/audio-analysis/23zxEWJBdiexikMBJP96HV,76920,4
Senshu Nyuujou,0.464,0.837,9,-8.919,1,0.0826,0.0148,0.392,0.211,0.283,154.916,audio_features,2FaFVY74LlFif0mLG9ney2,spotify:track:2FaFVY74LlFif0mLG9ney2,https://api.spotify.com/v1/tracks/2FaFVY74LlFif0mLG9ney2,https://api.spotify.com/v1/audio-analysis/2FaFVY74LlFif0mLG9ney2,71707,4
Elegant and Cruel Master -Momiji-,0.589,0.458,9,-6.922,1,0.027,0.252,0.000167,0.286,0.675,109.983,audio_features,3tCQhi7PBkiUmNpd8ryWYa,spotify:track:3tCQhi7PBkiUmNpd8ryWYa,https://api.spotify.com/v1/tracks/3tCQhi7PBkiUmNpd8ryWYa,https://api.spotify.com/v1/audio-analysis/3tCQhi7PBkiUmNpd8ryWYa,90987,4
Shiawase na Jikan,0.254,0.299,0,-9.758,1,0.0317,0.817,0.526,0.113,0.179,68.96,audio_features,4szX7OLdrQuDNxAkYsmBZt,spotify:track:4szX7OLdrQuDNxAkYsmBZt,https://api.spotify.com/v1/tracks/4szX7OLdrQuDNxAkYsmBZt,https://api.spotify.com/v1/audio-analysis/4szX7OLdrQuDNxAkYsmBZt,111640,4
Asa II,0.634,0.764,3,-10.47,1,0.039,0.35,0.96,0.122,0.94,119.926,audio_features,4HjdOGBX1QoQ80RjhEbE5W,spotify:track:4HjdOGBX1QoQ80RjhEbE5W,https://api.spotify.com/v1/tracks/4HjdOGBX1QoQ80RjhEbE5W,https://api.spotify.com/v1/audio-analysis/4HjdOGBX1QoQ80RjhEbE5W,84827,4
HOT NIGHT!,0.601,0.957,4,-5.117,1,0.0916,0.0688,0,0.207,0.63,137.03,audio_features,3HWmx2ed4k7hRBfpNLCJ3W,spotify:track:3HWmx2ed4k7hRBfpNLCJ3W,https://api.spotify.com/v1/tracks/3HWmx2ed4k7hRBfpNLCJ3W,https://api.spotify.com/v1/audio-analysis/3HWmx2ed4k7hRBfpNLCJ3W,249133,4
Uneven Combination,0.787,0.33,10,-13.247,0,0.159,0.244,0.955,0.0695,0.913,123.003,audio_features,66lSdQl983LHHZatwY57kA,spotify:track:66lSdQl983LHHZatwY57kA,https://api.spotify.com/v1/tracks/66lSdQl983LHHZatwY57kA,https://api.spotify.com/v1/audio-analysis/66lSdQl983LHHZatwY57kA,38760,4
Shinki no Theme,0.473,0.941,0,-3.789,1,0.0741,0.00458,0.0131,0.203,0.62,142.047,audio_features,7bAenkALoCjvGpxViE3WBx,spotify:track:7bAenkALoCjvGpxViE3WBx,https://api.spotify.com/v1/tracks/7bAenkALoCjvGpxViE3WBx,https://api.spotify.com/v1/audio-analysis/7bAenkALoCjvGpxViE3WBx,100947,4
愛をさがして,0.535,0.811,2,-5.896,1,0.0294,0.0563,0.000513,0.183,0.441,106.0,audio_features,0QfF8NOeCgIXQMPMkLg1uG,spotify:track:0QfF8NOeCgIXQMPMkLg1uG,https://api.spotify.com/v1/tracks/0QfF8NOeCgIXQMPMkLg1uG,https://api.spotify.com/v1/audio-analysis/0QfF8NOeCgIXQMPMkLg1uG,378720,4
Taijoubu?,0.598,0.905,9,-7.35,1,0.0401,5.44e-05,0.838,0.141,0.74,108.028,audio_features,7gUvnFaWrvOYGQ0YHXJMh4,spotify:track:7gUvnFaWrvOYGQ0YHXJMh4,https://api.spotify.com/v1/tracks/7gUvnFaWrvOYGQ0YHXJMh4,https://api.spotify.com/v1/audio-analysis/7gUvnFaWrvOYGQ0YHXJMh4,123027,4
Power Battle,0.584,0.516,9,-11.632,1,0.0356,0.0794,0.815,0.148,0.258,125.046,audio_features,1hqM0va7llPy7xpRy6Rv6J,spotify:track:1hqM0va7llPy7xpRy6Rv6J,https://api.spotify.com/v1/tracks/1hqM0va7llPy7xpRy6Rv6J,https://api.spotify.com/v1/audio-analysis/1hqM0va7llPy7xpRy6Rv6J,137493,4
Forgotten Warmth,0.44,0.202,0,-13.438,1,0.0325,0.927,0.873,0.141,0.25,139.887,audio_features,06RmD7Bpw1ZU3vFlrZQvYI,spotify:track:06RmD7Bpw1ZU3vFlrZQvYI,https://api.spotify.com/v1/tracks/06RmD7Bpw1ZU3vFlrZQvYI,https://api.spotify.com/v1/audio-analysis/06RmD7Bpw1ZU3vFlrZQvYI,93827,4
The Girl with Too Many Memories -Ayame-,0.559,0.286,0,-8.396,1,0.0294,0.216,0,0.364,0.61,129.975,audio_features,1R45xOOtUBcJ0L0eZ434kL,spotify:track:1R45xOOtUBcJ0L0eZ434kL,https://api.spotify.com/v1/tracks/1R45xOOtUBcJ0L0eZ434kL,https://api.spotify.com/v1/audio-analysis/1R45xOOtUBcJ0L0eZ434kL,87107,3
Speed Battle,0.484,0.958,5,-7.186,1,0.0874,5.34e-06,0.794,0.342,0.247,142.974,audio_features,3nmIked5wmVPVyfwKMU0b8,spotify:track:3nmIked5wmVPVyfwKMU0b8,https://api.spotify.com/v1/tracks/3nmIked5wmVPVyfwKMU0b8,https://api.spotify.com/v1/audio-analysis/3nmIked5wmVPVyfwKMU0b8,133920,4
Contraindications,0.275,0.397,7,-13.286,1,0.0313,0.913,0.937,0.144,0.114,138.042,audio_features,4MjakyuHKglQRum371KAiV,spotify:track:4MjakyuHKglQRum371KAiV,https://api.spotify.com/v1/tracks/4MjakyuHKglQRum371KAiV,https://api.spotify.com/v1/audio-analysis/4MjakyuHKglQRum371KAiV,68413,4
