name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
山河,0.157,0.483,10,-8.167,0,0.0301,0.595,0.0419,0.127,0.168,82.234,audio_features,6jWiw55Kr1IVzXaMEo81m3,spotify:track:6jWiw55Kr1IVzXaMEo81m3,https://api.spotify.com/v1/tracks/6jWiw55Kr1IVzXaMEo81m3,https://api.spotify.com/v1/audio-analysis/6jWiw55Kr1IVzXaMEo81m3,386120,4
老いの願い,0.193,0.455,0,-8.492,1,0.0312,0.65,0.0125,0.181,0.302,83.115,audio_features,6TvCwxIhoNq59u2FeJnjml,spotify:track:6TvCwxIhoNq59u2FeJnjml,https://api.spotify.com/v1/tracks/6TvCwxIhoNq59u2FeJnjml,https://api.spotify.com/v1/audio-analysis/6TvCwxIhoNq59u2FeJnjml,248933,4
ラピスラズリの涙 - Duet ver.,0.414,0.271,2,-10.863,0,0.0364,0.879,1.78e-06,0.106,0.22,165.6,audio_features,0TWj8SS9vHOumQlQfMd2tA,spotify:track:0TWj8SS9vHOumQlQfMd2tA,https://api.spotify.com/v1/tracks/0TWj8SS9vHOumQlQfMd2tA,https://api.spotify.com/v1/audio-analysis/0TWj8SS9vHOumQlQfMd2tA,256530,3
笑ってみよう,0.497,0.653,7,-7.085,0,0.0278,0.0726,0.0157,0.948,0.573,97.984,audio_features,1rp3bqYu2HtBsmHc8andDp,spotify:track:1rp3bqYu2HtBsmHc8andDp,https://api.spotify.com/v1/tracks/1rp3bqYu2HtBsmHc8andDp,https://api.spotify.com/v1/audio-analysis/1rp3bqYu2HtBsmHc8andDp,249667,4
少しは私に愛を下さい,0.534,0.262,4,-11.791,0,0.0283,0.868,3.02e-05,0.0749,0.318,136.544,audio_features,1rJkSqew9kxcWzXCnu2MoL,spotify:track:1rJkSqew9kxcWzXCnu2MoL,https://api.spotify.com/v1/tracks/1rJkSqew9kxcWzXCnu2MoL,https://api.spotify.com/v1/audio-analysis/1rJkSqew9kxcWzXCnu2MoL,231496,4
僕の憧れそして人生,0.306,0.449,7,-8.929,1,0.0303,0.824,0.0566,0.189,0.244,78.119,audio_features,4j0gCwugQ8rCbdmWDUPPoh,spotify:track:4j0gCwugQ8rCbdmWDUPPoh,https://api.spotify.com/v1/tracks/4j0gCwugQ8rCbdmWDUPPoh,https://api.spotify.com/v1/audio-analysis/4j0gCwugQ8rCbdmWDUPPoh,267680,3
ラピスラズリの涙,0.46,0.494,9,-9.971,0,0.0274,0.23,0.155,0.154,0.0932,78.95,audio_features,2jeCamT0KMpuGYxvctXjFG,spotify:track:2jeCamT0KMpuGYxvctXjFG,https://api.spotify.com/v1/tracks/2jeCamT0KMpuGYxvctXjFG,https://api.spotify.com/v1/audio-analysis/2jeCamT0KMpuGYxvctXjFG,255347,3
俺は本当に生きてるだろうか,0.303,0.536,1,-6.838,0,0.0292,0.31,1.55e-05,0.254,0.156,83.826,audio_features,1NA4qtZ7zM5kycfxsZb6Le,spotify:track:1NA4qtZ7zM5kycfxsZb6Le,https://api.spotify.com/v1/tracks/1NA4qtZ7zM5kycfxsZb6Le,https://api.spotify.com/v1/audio-analysis/1NA4qtZ7zM5kycfxsZb6Le,342493,4
めまい,0.441,0.453,7,-10.015,0,0.0355,0.809,0.000122,0.119,0.277,88.099,audio_features,2hbr59l9XfbVB3YUlweZuC,spotify:track:2hbr59l9XfbVB3YUlweZuC,https://api.spotify.com/v1/tracks/2hbr59l9XfbVB3YUlweZuC,https://api.spotify.com/v1/audio-analysis/2hbr59l9XfbVB3YUlweZuC,230667,4
もういいかい,0.519,0.485,5,-8.181,1,0.0253,0.455,0.00106,0.116,0.343,102.969,audio_features,1mA9OTGmLePBIRkL3pL2qR,spotify:track:1mA9OTGmLePBIRkL3pL2qR,https://api.spotify.com/v1/tracks/1mA9OTGmLePBIRkL3pL2qR,https://api.spotify.com/v1/audio-analysis/1mA9OTGmLePBIRkL3pL2qR,291453,3
志熱くして - オリジナルカラオケ,0.403,0.432,5,-9.442,1,0.0253,0.753,0.925,0.174,0.13,86.957,audio_features,7vPp3Lel8SHvW7DaD5UyZZ,spotify:track:7vPp3Lel8SHvW7DaD5UyZZ,https://api.spotify.com/v1/tracks/7vPp3Lel8SHvW7DaD5UyZZ,https://api.spotify.com/v1/audio-analysis/7vPp3Lel8SHvW7DaD5UyZZ,242520,4
SO-LONG GOOD-BYE,0.394,0.303,3,-10.657,1,0.0303,0.765,0.34,0.157,0.224,110.505,audio_features,6DRs3gcPJosUob6MKaZdDA,spotify:track:6DRs3gcPJosUob6MKaZdDA,https://api.spotify.com/v1/tracks/6DRs3gcPJosUob6MKaZdDA,https://api.spotify.com/v1/audio-analysis/6DRs3gcPJosUob6MKaZdDA,136373,5
花、闌の時,0.492,0.335,5,-8.565,1,0.0259,0.882,1.27e-05,0.108,0.275,79.998,audio_features,24zGzXMORUL7yZ36LyasLK,spotify:track:24zGzXMORUL7yZ36LyasLK,https://api.spotify.com/v1/tracks/24zGzXMORUL7yZ36LyasLK,https://api.spotify.com/v1/audio-analysis/24zGzXMORUL7yZ36LyasLK,278453,4
志熱くして - インストゥルメンタル,0.278,0.122,5,-18.958,1,0.0347,0.968,0.902,0.122,0.151,75.904,audio_features,53eh2WnLwc5Kv4gafSkjak,spotify:track:53eh2WnLwc5Kv4gafSkjak,https://api.spotify.com/v1/tracks/53eh2WnLwc5Kv4gafSkjak,https://api.spotify.com/v1/audio-analysis/53eh2WnLwc5Kv4gafSkjak,273013,4
