name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
ベサメ・ムーチョ,0.913,0.29,0,-13.444,0,0.0504,0.738,0.00389,0.0949,0.804,113.047,audio_features,26nkboSGZauLZQJo2Ni1vA,spotify:track:26nkboSGZauLZQJo2Ni1vA,https://api.spotify.com/v1/tracks/26nkboSGZauLZQJo2Ni1vA,https://api.spotify.com/v1/audio-analysis/26nkboSGZauLZQJo2Ni1vA,199973,4
スウェイ・イット・フラ・ガール,0.677,0.324,10,-12.724,1,0.0411,0.865,0.0325,0.182,0.694,120.781,audio_features,5CzhAD9QczjC4IYwmlfDPH,spotify:track:5CzhAD9QczjC4IYwmlfDPH,https://api.spotify.com/v1/tracks/5CzhAD9QczjC4IYwmlfDPH,https://api.spotify.com/v1/audio-analysis/5CzhAD9QczjC4IYwmlfDPH,265933,4
キエンセラ,0.801,0.446,2,-11.424,1,0.0563,0.516,0.00059,0.0766,0.857,133.254,audio_features,6pTh0DeJkVDvv1ytHlwDiA,spotify:track:6pTh0DeJkVDvv1ytHlwDiA,https://api.spotify.com/v1/tracks/6pTh0DeJkVDvv1ytHlwDiA,https://api.spotify.com/v1/audio-analysis/6pTh0DeJkVDvv1ytHlwDiA,200867,4
ベサメ・ムーチョ - Short Version,0.908,0.281,0,-12.777,0,0.0477,0.767,0.000709,0.11,0.809,113.185,audio_features,6QLCNJtegyQKc7mtpIKT9I,spotify:track:6QLCNJtegyQKc7mtpIKT9I,https://api.spotify.com/v1/tracks/6QLCNJtegyQKc7mtpIKT9I,https://api.spotify.com/v1/audio-analysis/6QLCNJtegyQKc7mtpIKT9I,168948,4
GAROTA DE IPANEMA - 2006 Version,0.589,0.327,5,-13.788,0,0.0584,0.953,0.0333,0.114,0.334,149.494,audio_features,5qqr62XmFBoc4JddWjTJKV,spotify:track:5qqr62XmFBoc4JddWjTJKV,https://api.spotify.com/v1/tracks/5qqr62XmFBoc4JddWjTJKV,https://api.spotify.com/v1/audio-analysis/5qqr62XmFBoc4JddWjTJKV,279160,4
サマー・サンバ,0.651,0.47,2,-10.314,1,0.0307,0.822,0.00432,0.1,0.801,140.787,audio_features,7ml7zxSdgRW330pn8eNy9h,spotify:track:7ml7zxSdgRW330pn8eNy9h,https://api.spotify.com/v1/tracks/7ml7zxSdgRW330pn8eNy9h,https://api.spotify.com/v1/audio-analysis/7ml7zxSdgRW330pn8eNy9h,134954,4
I'll Be Home For Christmas,0.599,0.365,4,-13.752,1,0.0324,0.891,0.054,0.104,0.494,130.738,audio_features,7wKHhp9391vf2lPue5QjBj,spotify:track:7wKHhp9391vf2lPue5QjBj,https://api.spotify.com/v1/tracks/7wKHhp9391vf2lPue5QjBj,https://api.spotify.com/v1/audio-analysis/7wKHhp9391vf2lPue5QjBj,171000,4
I Wish You Love,0.706,0.584,0,-7.282,1,0.0251,0.277,3.56e-05,0.0699,0.438,100.018,audio_features,0zHc7eB9PyHmfHa5Urjwdb,spotify:track:0zHc7eB9PyHmfHa5Urjwdb,https://api.spotify.com/v1/tracks/0zHc7eB9PyHmfHa5Urjwdb,https://api.spotify.com/v1/audio-analysis/0zHc7eB9PyHmfHa5Urjwdb,228467,4
Gentle On My Mind,0.62,0.196,9,-15.252,1,0.035,0.961,0.0166,0.114,0.499,101.018,audio_features,3eQ2YHiFh7GtXloePYCOLA,spotify:track:3eQ2YHiFh7GtXloePYCOLA,https://api.spotify.com/v1/tracks/3eQ2YHiFh7GtXloePYCOLA,https://api.spotify.com/v1/audio-analysis/3eQ2YHiFh7GtXloePYCOLA,281453,4
I WISH YOU LOVE,0.707,0.585,0,-7.253,1,0.0251,0.278,3.26e-05,0.0698,0.432,100.016,audio_features,2BJq3tZ0WKGtDtOCo0Dlzy,spotify:track:2BJq3tZ0WKGtDtOCo0Dlzy,https://api.spotify.com/v1/tracks/2BJq3tZ0WKGtDtOCo0Dlzy,https://api.spotify.com/v1/audio-analysis/2BJq3tZ0WKGtDtOCo0Dlzy,228467,4
