name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Sailor Fuku wo Nugasanaide,0.726,0.707,11,-12.511,1,0.0442,0.272,0.000286,0.0421,0.962,121.149,audio_features,0FCsGMRpMCRs09GW9tW31H,spotify:track:0FCsGMRpMCRs09GW9tW31H,https://api.spotify.com/v1/tracks/0FCsGMRpMCRs09GW9tW31H,https://api.spotify.com/v1/audio-analysis/0FCsGMRpMCRs09GW9tW31H,222747,4
Linda,0.693,0.95,8,-4.989,0,0.0553,0.0457,0.0278,0.238,0.789,130.947,audio_features,4KLYUMPQLjCogwS3dBMW4f,spotify:track:4KLYUMPQLjCogwS3dBMW4f,https://api.spotify.com/v1/tracks/4KLYUMPQLjCogwS3dBMW4f,https://api.spotify.com/v1/audio-analysis/4KLYUMPQLjCogwS3dBMW4f,203760,4
Koi wa Question,0.591,0.788,3,-6.279,1,0.0367,0.0594,0,0.206,0.869,152.513,audio_features,3vfAwYTAn0ZnQEPpVGsQUp,spotify:track:3vfAwYTAn0ZnQEPpVGsQUp,https://api.spotify.com/v1/tracks/3vfAwYTAn0ZnQEPpVGsQUp,https://api.spotify.com/v1/audio-analysis/3vfAwYTAn0ZnQEPpVGsQUp,191973,4
Jaa Ne,0.574,0.86,11,-3.757,0,0.0315,0.0652,7.7e-06,0.298,0.893,175.853,audio_features,7sTJ5A61UQMiLOQKtP5Oz8,spotify:track:7sTJ5A61UQMiLOQKtP5Oz8,https://api.spotify.com/v1/tracks/7sTJ5A61UQMiLOQKtP5Oz8,https://api.spotify.com/v1/audio-analysis/7sTJ5A61UQMiLOQKtP5Oz8,231040,4
Seaside Session,0.702,0.603,5,-9.137,1,0.0295,0.366,5.26e-05,0.497,0.816,114.306,audio_features,3GhSCYCmN7pEr0zRTVSjb0,spotify:track:3GhSCYCmN7pEr0zRTVSjb0,https://api.spotify.com/v1/tracks/3GhSCYCmN7pEr0zRTVSjb0,https://api.spotify.com/v1/audio-analysis/3GhSCYCmN7pEr0zRTVSjb0,279600,4
Otto Chikan!,0.65,0.87,0,-3.718,1,0.037,0.0847,1.84e-05,0.331,0.969,155.878,audio_features,4NAztcQ1XAJUDYttrKl00L,spotify:track:4NAztcQ1XAJUDYttrKl00L,https://api.spotify.com/v1/tracks/4NAztcQ1XAJUDYttrKl00L,https://api.spotify.com/v1/audio-analysis/4NAztcQ1XAJUDYttrKl00L,193680,4
Makkana Jitensha,0.583,0.725,4,-12.952,1,0.043,0.206,6.55e-06,0.194,0.66,180.002,audio_features,6tJhFNvKE2gEpjcgW5ouYx,spotify:track:6tJhFNvKE2gEpjcgW5ouYx,https://api.spotify.com/v1/tracks/6tJhFNvKE2gEpjcgW5ouYx,https://api.spotify.com/v1/audio-analysis/6tJhFNvKE2gEpjcgW5ouYx,187160,4
Linda,0.698,0.907,8,-8.358,0,0.0448,0.024,0.0625,0.231,0.813,130.879,audio_features,7liR3QX00WMjqZhEPZWlvJ,spotify:track:7liR3QX00WMjqZhEPZWlvJ,https://api.spotify.com/v1/tracks/7liR3QX00WMjqZhEPZWlvJ,https://api.spotify.com/v1/audio-analysis/7liR3QX00WMjqZhEPZWlvJ,204813,4
Arerere,0.624,0.951,9,-5.193,1,0.0332,0.143,7.9e-06,0.25,0.871,169.611,audio_features,6tvXqMxZR5DlQcfkX3SD1f,spotify:track:6tvXqMxZR5DlQcfkX3SD1f,https://api.spotify.com/v1/tracks/6tvXqMxZR5DlQcfkX3SD1f,https://api.spotify.com/v1/audio-analysis/6tvXqMxZR5DlQcfkX3SD1f,209013,4
Natsu no Chiristmas,0.656,0.672,9,-13.486,0,0.0363,0.167,0.000365,0.634,0.616,125.295,audio_features,4Y40CdSWS7xy5MjM4ofeHW,spotify:track:4Y40CdSWS7xy5MjM4ofeHW,https://api.spotify.com/v1/tracks/4Y40CdSWS7xy5MjM4ofeHW,https://api.spotify.com/v1/audio-analysis/4Y40CdSWS7xy5MjM4ofeHW,186427,4
No More Renai Gokko,0.646,0.951,2,-6.271,0,0.0484,0.0831,1.48e-06,0.0783,0.646,137.297,audio_features,1DrsxjSCiErzWriI6VK9Zr,spotify:track:1DrsxjSCiErzWriI6VK9Zr,https://api.spotify.com/v1/tracks/1DrsxjSCiErzWriI6VK9Zr,https://api.spotify.com/v1/audio-analysis/1DrsxjSCiErzWriI6VK9Zr,226747,4
Umbrella Angel,0.702,0.852,2,-5.607,1,0.0263,0.151,0.0148,0.156,0.944,95.293,audio_features,51sX5r3YbbtpYOAy0qG8ej,spotify:track:51sX5r3YbbtpYOAy0qG8ej,https://api.spotify.com/v1/tracks/51sX5r3YbbtpYOAy0qG8ej,https://api.spotify.com/v1/audio-analysis/51sX5r3YbbtpYOAy0qG8ej,219733,4
Osaki ni Shitsurei,0.55,0.912,2,-3.281,1,0.0649,0.202,0,0.0798,0.8,188.36,audio_features,6fzIK5ZEmhw0y4L49CmIb3,spotify:track:6fzIK5ZEmhw0y4L49CmIb3,https://api.spotify.com/v1/tracks/6fzIK5ZEmhw0y4L49CmIb3,https://api.spotify.com/v1/audio-analysis/6fzIK5ZEmhw0y4L49CmIb3,230427,4
Oyoshi ni Nattene Teacher,0.748,0.944,10,-6.601,0,0.0331,0.112,0.00518,0.342,0.837,110.615,audio_features,6CWReum2TFvMgVnlar0mBg,spotify:track:6CWReum2TFvMgVnlar0mBg,https://api.spotify.com/v1/tracks/6CWReum2TFvMgVnlar0mBg,https://api.spotify.com/v1/audio-analysis/6CWReum2TFvMgVnlar0mBg,186760,4
Jogakusei no Ketsui,0.701,0.534,9,-6.309,0,0.0292,0.34,6.27e-06,0.4,0.931,117.047,audio_features,0E2FjfXFOp8M1KAeD9tlcb,spotify:track:0E2FjfXFOp8M1KAeD9tlcb,https://api.spotify.com/v1/tracks/0E2FjfXFOp8M1KAeD9tlcb,https://api.spotify.com/v1/audio-analysis/0E2FjfXFOp8M1KAeD9tlcb,125520,4
Sailor Fuku wo Nugasanaide,0.726,0.886,11,-5.786,1,0.0459,0.126,0.00154,0.0609,0.947,121.087,audio_features,6BKh7ApdgjlTYVJ47ZfWm5,spotify:track:6BKh7ApdgjlTYVJ47ZfWm5,https://api.spotify.com/v1/tracks/6BKh7ApdgjlTYVJ47ZfWm5,https://api.spotify.com/v1/audio-analysis/6BKh7ApdgjlTYVJ47ZfWm5,224800,4
Suki ni Nattemo Kurenai,0.614,0.863,5,-6.028,0,0.0324,0.0172,4.53e-05,0.0995,0.893,142.669,audio_features,6y4pNg7ZUr5IyyGiP5J5La,spotify:track:6y4pNg7ZUr5IyyGiP5J5La,https://api.spotify.com/v1/tracks/6y4pNg7ZUr5IyyGiP5J5La,https://api.spotify.com/v1/audio-analysis/6y4pNg7ZUr5IyyGiP5J5La,196520,4
Umbrella Angel,0.684,0.868,2,-6.433,1,0.0273,0.136,0.00566,0.294,0.931,95.444,audio_features,5c0Vd60sXBSXwyeVofz1mp,spotify:track:5c0Vd60sXBSXwyeVofz1mp,https://api.spotify.com/v1/tracks/5c0Vd60sXBSXwyeVofz1mp,https://api.spotify.com/v1/audio-analysis/5c0Vd60sXBSXwyeVofz1mp,221720,4
Houkago ni Ochikonda Shoujo,0.51,0.418,9,-13.611,0,0.0257,0.197,4.25e-06,0.312,0.359,93.079,audio_features,7oLAxi8q2sr2i8JXoHOYRH,spotify:track:7oLAxi8q2sr2i8JXoHOYRH,https://api.spotify.com/v1/tracks/7oLAxi8q2sr2i8JXoHOYRH,https://api.spotify.com/v1/audio-analysis/7oLAxi8q2sr2i8JXoHOYRH,265840,4
Heart ni Bokin wo,0.533,0.528,2,-13.135,1,0.0398,0.7,6.33e-06,0.317,0.659,167.917,audio_features,3XNrFu6TvYVKPo77B91qwi,spotify:track:3XNrFu6TvYVKPo77B91qwi,https://api.spotify.com/v1/tracks/3XNrFu6TvYVKPo77B91qwi,https://api.spotify.com/v1/audio-analysis/3XNrFu6TvYVKPo77B91qwi,218067,4
Makkana Mini Skirt,0.552,0.892,5,-4.973,1,0.0623,0.107,0,0.111,0.753,156.375,audio_features,4B93BpkUb0Dv0fcF6EiVGq,spotify:track:4B93BpkUb0Dv0fcF6EiVGq,https://api.spotify.com/v1/tracks/4B93BpkUb0Dv0fcF6EiVGq,https://api.spotify.com/v1/audio-analysis/4B93BpkUb0Dv0fcF6EiVGq,226267,4
Hoshi no Ballerina,0.702,0.869,8,-5.619,0,0.0363,0.286,0.000313,0.185,0.97,140.038,audio_features,0SuQFDdUe5sCULybmc7f4D,spotify:track:0SuQFDdUe5sCULybmc7f4D,https://api.spotify.com/v1/tracks/0SuQFDdUe5sCULybmc7f4D,https://api.spotify.com/v1/audio-analysis/0SuQFDdUe5sCULybmc7f4D,211693,4
Aki o Machibuse,0.541,0.95,8,-3.796,1,0.055,0.644,0.000447,0.1,0.533,145.522,audio_features,2SaP57L3L6QqTE6CKerwK1,spotify:track:2SaP57L3L6QqTE6CKerwK1,https://api.spotify.com/v1/tracks/2SaP57L3L6QqTE6CKerwK1,https://api.spotify.com/v1/audio-analysis/2SaP57L3L6QqTE6CKerwK1,217040,4
Like a Cherry Boy,0.582,0.673,5,-11.985,1,0.0362,0.168,0.00405,0.409,0.665,165.238,audio_features,1FBnF5zi4kEzgvHJ9XPet7,spotify:track:1FBnF5zi4kEzgvHJ9XPet7,https://api.spotify.com/v1/tracks/1FBnF5zi4kEzgvHJ9XPet7,https://api.spotify.com/v1/audio-analysis/1FBnF5zi4kEzgvHJ9XPet7,199867,4
