name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Oh! Daddy,0.78,0.782,2,-5.655,1,0.0575,0.332,9.24e-05,0.115,0.926,120.191,audio_features,7zTUM6WH7TapWHvBQSk7nZ,spotify:track:7zTUM6WH7TapWHvBQSk7nZ,https://api.spotify.com/v1/tracks/7zTUM6WH7TapWHvBQSk7nZ,https://api.spotify.com/v1/audio-analysis/7zTUM6WH7TapWHvBQSk7nZ,222053,4
Kareniwa Kanawanai,0.664,0.973,2,-4.262,1,0.085,0.186,4.77e-05,0.107,0.674,126.694,audio_features,4MHNoi0QYyG9XCmdPAjURH,spotify:track:4MHNoi0QYyG9XCmdPAjURH,https://api.spotify.com/v1/tracks/4MHNoi0QYyG9XCmdPAjURH,https://api.spotify.com/v1/audio-analysis/4MHNoi0QYyG9XCmdPAjURH,273893,4
彼にはかなわない,0.664,0.973,2,-4.262,1,0.085,0.186,4.77e-05,0.107,0.674,126.694,audio_features,12kOAI3qKS0PMjOR7iza13,spotify:track:12kOAI3qKS0PMjOR7iza13,https://api.spotify.com/v1/tracks/12kOAI3qKS0PMjOR7iza13,https://api.spotify.com/v1/audio-analysis/12kOAI3qKS0PMjOR7iza13,273893,4
Oh! Daddy,0.814,0.768,2,-5.537,1,0.0476,0.282,0.000127,0.0934,0.897,119.885,audio_features,532bsxtAWeCvUsdfLxMKhM,spotify:track:532bsxtAWeCvUsdfLxMKhM,https://api.spotify.com/v1/tracks/532bsxtAWeCvUsdfLxMKhM,https://api.spotify.com/v1/audio-analysis/532bsxtAWeCvUsdfLxMKhM,222320,4
Riverside Cafe,0.586,0.465,7,-7.343,1,0.0271,0.747,1.64e-05,0.116,0.439,72.471,audio_features,6fP9BBHWvrDv9ght5xrCRL,spotify:track:6fP9BBHWvrDv9ght5xrCRL,https://api.spotify.com/v1/tracks/6fP9BBHWvrDv9ght5xrCRL,https://api.spotify.com/v1/audio-analysis/6fP9BBHWvrDv9ght5xrCRL,277667,4
Unubore Lonely Cats,0.746,0.551,9,-6.498,1,0.0647,0.452,3.59e-05,0.712,0.492,124.059,audio_features,1esnLG0ZG9imEX8JWGba98,spotify:track:1esnLG0ZG9imEX8JWGba98,https://api.spotify.com/v1/tracks/1esnLG0ZG9imEX8JWGba98,https://api.spotify.com/v1/audio-analysis/1esnLG0ZG9imEX8JWGba98,281013,4
Oh! Daddy,0.78,0.782,2,-5.655,1,0.0575,0.332,9.24e-05,0.115,0.926,120.191,audio_features,2yLvquiUnIC1pfeTgt96Ne,spotify:track:2yLvquiUnIC1pfeTgt96Ne,https://api.spotify.com/v1/tracks/2yLvquiUnIC1pfeTgt96Ne,https://api.spotify.com/v1/audio-analysis/2yLvquiUnIC1pfeTgt96Ne,222053,4
Don't Stop Love,0.481,0.639,0,-6.219,1,0.033,0.62,1.71e-06,0.153,0.399,79.935,audio_features,2pLRsWFsncM1EdCmh5Xa19,spotify:track:2pLRsWFsncM1EdCmh5Xa19,https://api.spotify.com/v1/tracks/2pLRsWFsncM1EdCmh5Xa19,https://api.spotify.com/v1/audio-analysis/2pLRsWFsncM1EdCmh5Xa19,260787,4
Kinodokuna Aitsu,0.742,0.741,0,-6.162,1,0.0363,0.184,2.63e-05,0.0775,0.809,126.377,audio_features,751fB8mA1DeeAhDRQP28Ma,spotify:track:751fB8mA1DeeAhDRQP28Ma,https://api.spotify.com/v1/tracks/751fB8mA1DeeAhDRQP28Ma,https://api.spotify.com/v1/audio-analysis/751fB8mA1DeeAhDRQP28Ma,232213,4
Kiss Me Once Again,0.518,0.4,10,-7.226,1,0.0305,0.504,0,0.0753,0.0948,131.867,audio_features,4qFCPa682xweZzD2uZUyZc,spotify:track:4qFCPa682xweZzD2uZUyZc,https://api.spotify.com/v1/tracks/4qFCPa682xweZzD2uZUyZc,https://api.spotify.com/v1/audio-analysis/4qFCPa682xweZzD2uZUyZc,369693,4
Rainy Doll,0.608,0.603,2,-5.41,0,0.0318,0.335,0,0.0717,0.791,128.082,audio_features,6eV3lB0fnarv2cr6lGp4uA,spotify:track:6eV3lB0fnarv2cr6lGp4uA,https://api.spotify.com/v1/tracks/6eV3lB0fnarv2cr6lGp4uA,https://api.spotify.com/v1/audio-analysis/6eV3lB0fnarv2cr6lGp4uA,312880,4
She Knows Everything,0.756,0.87,2,-5.432,1,0.0522,0.35,1.33e-05,0.0545,0.957,92.879,audio_features,0WYQog5GsoYog6WgOxuWWJ,spotify:track:0WYQog5GsoYog6WgOxuWWJ,https://api.spotify.com/v1/tracks/0WYQog5GsoYog6WgOxuWWJ,https://api.spotify.com/v1/audio-analysis/0WYQog5GsoYog6WgOxuWWJ,284240,4
