name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
God-ish,0.652,0.811,7,-7.125,0,0.0964,0.246,1.35e-05,0.304,0.538,142.046,audio_features,206UWNKXURTnN4zf9vmXUV,spotify:track:206UWNKXURTnN4zf9vmXUV,https://api.spotify.com/v1/tracks/206UWNKXURTnN4zf9vmXUV,https://api.spotify.com/v1/audio-analysis/206UWNKXURTnN4zf9vmXUV,203760,4
Common World Domination,0.514,0.969,1,-2.908,0,0.126,0.00855,0.000681,0.2,0.757,149.907,audio_features,1A0k6cjkrCxH3Hx7Awb2G2,spotify:track:1A0k6cjkrCxH3Hx7Awb2G2,https://api.spotify.com/v1/tracks/1A0k6cjkrCxH3Hx7Awb2G2,https://api.spotify.com/v1/audio-analysis/1A0k6cjkrCxH3Hx7Awb2G2,200900,4
Non-breath oblige,0.606,0.852,0,-4.996,1,0.0881,0.0943,1.89e-06,0.0991,0.526,147.997,audio_features,5LAec0974S9ZJ4WmNbgRyv,spotify:track:5LAec0974S9ZJ4WmNbgRyv,https://api.spotify.com/v1/tracks/5LAec0974S9ZJ4WmNbgRyv,https://api.spotify.com/v1/audio-analysis/5LAec0974S9ZJ4WmNbgRyv,208991,4
Reincarnation Apple,0.662,0.779,2,-4.5,0,0.0573,0.109,2.69e-05,0.112,0.96,145.053,audio_features,1O8mA7lbLISvEGUiNFwQnV,spotify:track:1O8mA7lbLISvEGUiNFwQnV,https://api.spotify.com/v1/tracks/1O8mA7lbLISvEGUiNFwQnV,https://api.spotify.com/v1/audio-analysis/1O8mA7lbLISvEGUiNFwQnV,219083,4
Nee Nee Nee.,0.724,0.864,7,-4.958,1,0.0549,0.0146,0.00301,0.095,0.654,144.949,audio_features,4uHhJ58xvD4rlFLuqLo8TW,spotify:track:4uHhJ58xvD4rlFLuqLo8TW,https://api.spotify.com/v1/tracks/4uHhJ58xvD4rlFLuqLo8TW,https://api.spotify.com/v1/audio-analysis/4uHhJ58xvD4rlFLuqLo8TW,210608,4
Non-breath oblige,0.606,0.852,0,-4.996,1,0.0881,0.0943,1.89e-06,0.0991,0.526,147.997,audio_features,0LsKplOVgboKBm5MpJsX0H,spotify:track:0LsKplOVgboKBm5MpJsX0H,https://api.spotify.com/v1/tracks/0LsKplOVgboKBm5MpJsX0H,https://api.spotify.com/v1/audio-analysis/0LsKplOVgboKBm5MpJsX0H,208991,4
Magical Girl and Chocolate,0.646,0.863,6,-7.107,0,0.0531,0.0866,0,0.861,0.886,150.086,audio_features,12shJ1oIZnCG5ZZD8HjQVi,spotify:track:12shJ1oIZnCG5ZZD8HjQVi,https://api.spotify.com/v1/tracks/12shJ1oIZnCG5ZZD8HjQVi,https://api.spotify.com/v1/audio-analysis/12shJ1oIZnCG5ZZD8HjQVi,187600,4
Killer Spider,0.493,0.889,5,-7.194,0,0.164,0.115,4.86e-05,0.102,0.754,151.495,audio_features,3nOEQq57iGLmixCoGY0rOR,spotify:track:3nOEQq57iGLmixCoGY0rOR,https://api.spotify.com/v1/tracks/3nOEQq57iGLmixCoGY0rOR,https://api.spotify.com/v1/audio-analysis/3nOEQq57iGLmixCoGY0rOR,196667,4
SLoWMoTIoN,0.537,0.967,2,-4.99,1,0.13,0.00275,0,0.0936,0.586,160.005,audio_features,5moGDgg9undWOE9Uyz0kAO,spotify:track:5moGDgg9undWOE9Uyz0kAO,https://api.spotify.com/v1/tracks/5moGDgg9undWOE9Uyz0kAO,https://api.spotify.com/v1/audio-analysis/5moGDgg9undWOE9Uyz0kAO,313000,4
Nobody Makes Sense,0.665,0.857,6,-5.54,0,0.0584,0.0106,0.00358,0.058,0.669,112.944,audio_features,4gHBIsnHqHyXerbTwnsObs,spotify:track:4gHBIsnHqHyXerbTwnsObs,https://api.spotify.com/v1/tracks/4gHBIsnHqHyXerbTwnsObs,https://api.spotify.com/v1/audio-analysis/4gHBIsnHqHyXerbTwnsObs,233000,4
Apple dot com,0.718,0.694,1,-5.76,1,0.163,0.329,3.07e-06,0.0535,0.965,152.973,audio_features,5uj6nQbQNtKV3BKInIVbAU,spotify:track:5uj6nQbQNtKV3BKInIVbAU,https://api.spotify.com/v1/tracks/5uj6nQbQNtKV3BKInIVbAU,https://api.spotify.com/v1/audio-analysis/5uj6nQbQNtKV3BKInIVbAU,205000,4
Loveit,0.667,0.763,1,-5.349,0,0.042,0.0154,2.64e-05,0.552,0.482,145.037,audio_features,1j8H39IM4YLj3N7mRhIjpR,spotify:track:1j8H39IM4YLj3N7mRhIjpR,https://api.spotify.com/v1/tracks/1j8H39IM4YLj3N7mRhIjpR,https://api.spotify.com/v1/audio-analysis/1j8H39IM4YLj3N7mRhIjpR,218069,4
Because You're Here,0.548,0.828,1,-4.374,0,0.0537,0.00945,4.8e-06,0.101,0.31,150.005,audio_features,5t60rC3e9mXv8Jy9eGZbkE,spotify:track:5t60rC3e9mXv8Jy9eGZbkE,https://api.spotify.com/v1/tracks/5t60rC3e9mXv8Jy9eGZbkE,https://api.spotify.com/v1/audio-analysis/5t60rC3e9mXv8Jy9eGZbkE,272333,4
What's Inside,0.745,0.907,0,-5.519,1,0.0591,0.28,0,0.363,0.908,124.994,audio_features,64UtuYi5nGSmGSk63PT4EL,spotify:track:64UtuYi5nGSmGSk63PT4EL,https://api.spotify.com/v1/tracks/64UtuYi5nGSmGSk63PT4EL,https://api.spotify.com/v1/audio-analysis/64UtuYi5nGSmGSk63PT4EL,207000,4
Ghosts Play to the Audience,0.665,0.944,4,-5.576,0,0.0705,0.0708,3.38e-06,0.334,0.685,147.945,audio_features,3dmHfHkN6j5tuIYHyjBnIC,spotify:track:3dmHfHkN6j5tuIYHyjBnIC,https://api.spotify.com/v1/tracks/3dmHfHkN6j5tuIYHyjBnIC,https://api.spotify.com/v1/audio-analysis/3dmHfHkN6j5tuIYHyjBnIC,232000,4
Cosmospice,0.583,0.864,10,-6.907,0,0.172,0.00988,0.000594,0.356,0.577,164.974,audio_features,76YhULHCWQNdpouEjCtT77,spotify:track:76YhULHCWQNdpouEjCtT77,https://api.spotify.com/v1/tracks/76YhULHCWQNdpouEjCtT77,https://api.spotify.com/v1/audio-analysis/76YhULHCWQNdpouEjCtT77,193636,4
