name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
高いとこ回る:80歳になる頃には...な,0.351,0.927,10,-4.952,1,0.0431,0.0598,0.00158,0.0966,0.242,81.51,audio_features,46wGdrsKdNZn4GOBS43nFq,spotify:track:46wGdrsKdNZn4GOBS43nFq,https://api.spotify.com/v1/tracks/46wGdrsKdNZn4GOBS43nFq,https://api.spotify.com/v1/audio-analysis/46wGdrsKdNZn4GOBS43nFq,214852,4
アンドロメダの幽霊と枯れ尾花,0.121,0.738,5,-5.104,1,0.0469,8.39e-05,0.00247,0.208,0.399,82.869,audio_features,6KwxBCiaa1dxFMJ3dCB407,spotify:track:6KwxBCiaa1dxFMJ3dCB407,https://api.spotify.com/v1/tracks/6KwxBCiaa1dxFMJ3dCB407,https://api.spotify.com/v1/audio-analysis/6KwxBCiaa1dxFMJ3dCB407,196627,4
楽園のビジョン,0.738,0.602,8,-6.537,0,0.0403,0.117,0.000224,0.0799,0.577,117.008,audio_features,6eRLycN20idGtungZHylFX,spotify:track:6eRLycN20idGtungZHylFX,https://api.spotify.com/v1/tracks/6eRLycN20idGtungZHylFX,https://api.spotify.com/v1/audio-analysis/6eRLycN20idGtungZHylFX,284252,4
夏の権利,0.366,0.721,0,-4.957,1,0.0459,0.0484,0,0.321,0.509,138.615,audio_features,39QWrD8mPgNAuzhAVyrhLn,spotify:track:39QWrD8mPgNAuzhAVyrhLn,https://api.spotify.com/v1/tracks/39QWrD8mPgNAuzhAVyrhLn,https://api.spotify.com/v1/audio-analysis/39QWrD8mPgNAuzhAVyrhLn,267433,3
人間の意識データ - Demo,0.385,0.49,9,-5.329,0,0.0512,0.0187,0.251,0.0687,0.415,129.072,audio_features,3Hg2QbOUQfZr7IYa9x9nBK,spotify:track:3Hg2QbOUQfZr7IYa9x9nBK,https://api.spotify.com/v1/tracks/3Hg2QbOUQfZr7IYa9x9nBK,https://api.spotify.com/v1/audio-analysis/3Hg2QbOUQfZr7IYa9x9nBK,360315,3
もうすぐ終わるのです,0.481,0.858,8,-4.748,0,0.0293,0.0203,0.0293,0.147,0.402,152.969,audio_features,4l7j32WVq68nx6OVDZ4Xpb,spotify:track:4l7j32WVq68nx6OVDZ4Xpb,https://api.spotify.com/v1/tracks/4l7j32WVq68nx6OVDZ4Xpb,https://api.spotify.com/v1/audio-analysis/4l7j32WVq68nx6OVDZ4Xpb,147205,4
Crazy Athletic,0.499,0.904,0,-4.644,1,0.0349,0.0114,0,0.466,0.617,138.98,audio_features,4nvjpZHAwkYAelFYjVCpCN,spotify:track:4nvjpZHAwkYAelFYjVCpCN,https://api.spotify.com/v1/tracks/4nvjpZHAwkYAelFYjVCpCN,https://api.spotify.com/v1/audio-analysis/4nvjpZHAwkYAelFYjVCpCN,222982,4
直ったダーリン - Demo,0.221,0.557,2,-6.277,0,0.0322,0.000102,0.0296,0.556,0.397,86.928,audio_features,2mfhXJiIrExJuLLlrIzF3l,spotify:track:2mfhXJiIrExJuLLlrIzF3l,https://api.spotify.com/v1/tracks/2mfhXJiIrExJuLLlrIzF3l,https://api.spotify.com/v1/audio-analysis/2mfhXJiIrExJuLLlrIzF3l,229400,4
友達になってください,0.344,0.561,5,-5.962,1,0.0329,0.0586,3.76e-06,0.0736,0.244,106.518,audio_features,4d2mFmP4Kxd5nby51XEclo,spotify:track:4d2mFmP4Kxd5nby51XEclo,https://api.spotify.com/v1/tracks/4d2mFmP4Kxd5nby51XEclo,https://api.spotify.com/v1/audio-analysis/4d2mFmP4Kxd5nby51XEclo,290033,3
君も僕も,0.514,0.894,11,-5.087,0,0.0294,0.00143,0.000775,0.357,0.636,102.936,audio_features,6cBGDSTJyw38uISyo5eVUB,spotify:track:6cBGDSTJyw38uISyo5eVUB,https://api.spotify.com/v1/tracks/6cBGDSTJyw38uISyo5eVUB,https://api.spotify.com/v1/audio-analysis/6cBGDSTJyw38uISyo5eVUB,288607,4
