name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
No Nein Disco,0.644,0.949,1,-2.407,0,0.0585,0.00165,0.289,0.0451,0.966,167.994,audio_features,2Ga4vY0qYw5wg7GCU3CNs2,spotify:track:2Ga4vY0qYw5wg7GCU3CNs2,https://api.spotify.com/v1/tracks/2Ga4vY0qYw5wg7GCU3CNs2,https://api.spotify.com/v1/audio-analysis/2Ga4vY0qYw5wg7GCU3CNs2,218571,4
manimani,0.584,0.888,5,-4.977,0,0.0837,0.000731,0.0593,0.297,0.564,173.965,audio_features,7ntAoXzFfyVDYarUnAzhdO,spotify:track:7ntAoXzFfyVDYarUnAzhdO,https://api.spotify.com/v1/tracks/7ntAoXzFfyVDYarUnAzhdO,https://api.spotify.com/v1/audio-analysis/7ntAoXzFfyVDYarUnAzhdO,268966,4
202102250144,0.729,0.475,10,-10.799,1,0.187,0.00861,0.359,0.256,0.61,169.9,audio_features,3xzjrr0UqpFuBDe56AQrgC,spotify:track:3xzjrr0UqpFuBDe56AQrgC,https://api.spotify.com/v1/tracks/3xzjrr0UqpFuBDe56AQrgC,https://api.spotify.com/v1/audio-analysis/3xzjrr0UqpFuBDe56AQrgC,160949,4
Panopticon,0.566,0.857,6,-6.499,1,0.052,0.0251,0.639,0.12,0.541,173.977,audio_features,6DfHzsIJfNfvfOfSvNpoIX,spotify:track:6DfHzsIJfNfvfOfSvNpoIX,https://api.spotify.com/v1/tracks/6DfHzsIJfNfvfOfSvNpoIX,https://api.spotify.com/v1/audio-analysis/6DfHzsIJfNfvfOfSvNpoIX,254696,4
museum,0.681,0.91,1,-7.555,1,0.0388,4.4e-05,0.904,0.077,0.362,159.999,audio_features,0ztpbRBYfmST35tIdbn6CP,spotify:track:0ztpbRBYfmST35tIdbn6CP,https://api.spotify.com/v1/tracks/0ztpbRBYfmST35tIdbn6CP,https://api.spotify.com/v1/audio-analysis/0ztpbRBYfmST35tIdbn6CP,155000,4
Step for a Crescent,0.658,0.852,8,-7.218,1,0.0438,0.00153,0.00181,0.115,0.96,167.001,audio_features,3GRMlTauCRDf2NDOcWAxDh,spotify:track:3GRMlTauCRDf2NDOcWAxDh,https://api.spotify.com/v1/tracks/3GRMlTauCRDf2NDOcWAxDh,https://api.spotify.com/v1/audio-analysis/3GRMlTauCRDf2NDOcWAxDh,189701,4
Panopticon 2021,0.665,0.789,11,-5.818,1,0.0598,0.0202,0.272,0.102,0.416,173.955,audio_features,3QhZQZjSC7ATZTpJbevgFe,spotify:track:3QhZQZjSC7ATZTpJbevgFe,https://api.spotify.com/v1/tracks/3QhZQZjSC7ATZTpJbevgFe,https://api.spotify.com/v1/audio-analysis/3QhZQZjSC7ATZTpJbevgFe,262006,4
supernova,0.397,0.9,5,-4.406,1,0.0828,0.000172,0.142,0.139,0.394,196.001,audio_features,3rQkwGW6nzFuO7N13gWxad,spotify:track:3rQkwGW6nzFuO7N13gWxad,https://api.spotify.com/v1/tracks/3rQkwGW6nzFuO7N13gWxad,https://api.spotify.com/v1/audio-analysis/3rQkwGW6nzFuO7N13gWxad,199093,4
スーパーノヴァ feat.音街ウナ,0.371,0.913,5,-3.896,1,0.0882,0.000214,0.123,0.218,0.475,196.048,audio_features,5IfKYamNl8c3chqAQC8tZR,spotify:track:5IfKYamNl8c3chqAQC8tZR,https://api.spotify.com/v1/tracks/5IfKYamNl8c3chqAQC8tZR,https://api.spotify.com/v1/audio-analysis/5IfKYamNl8c3chqAQC8tZR,198428,4
アイソトープ,0.646,0.774,0,-4.831,1,0.0972,0.00653,0.000216,0.0978,0.406,173.978,audio_features,33KFPSZzNMnLLcxRzkB1LD,spotify:track:33KFPSZzNMnLLcxRzkB1LD,https://api.spotify.com/v1/tracks/33KFPSZzNMnLLcxRzkB1LD,https://api.spotify.com/v1/audio-analysis/33KFPSZzNMnLLcxRzkB1LD,226282,4
