name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Opening!,0.726,0.697,0,-8.229,1,0.0669,0.0183,0.347,0.0711,0.454,127.981,audio_features,45AE8SYhqaU4AFCIjZAf0w,spotify:track:45AE8SYhqaU4AFCIjZAf0w,https://api.spotify.com/v1/tracks/45AE8SYhqaU4AFCIjZAf0w,https://api.spotify.com/v1/audio-analysis/45AE8SYhqaU4AFCIjZAf0w,155630,3
東京行き「さくら」,0.732,0.228,9,-13.234,1,0.0488,0.94,0.0017,0.112,0.205,109.917,audio_features,7zloL5GXdihphSjsF6R0Wi,spotify:track:7zloL5GXdihphSjsF6R0Wi,https://api.spotify.com/v1/tracks/7zloL5GXdihphSjsF6R0Wi,https://api.spotify.com/v1/audio-analysis/7zloL5GXdihphSjsF6R0Wi,193557,4
愚痴,0.929,0.484,0,-9.56,1,0.053,0.792,2.71e-05,0.0849,0.643,139.954,audio_features,0bEyMsn31BzmFm6CPxl7gl,spotify:track:0bEyMsn31BzmFm6CPxl7gl,https://api.spotify.com/v1/tracks/0bEyMsn31BzmFm6CPxl7gl,https://api.spotify.com/v1/audio-analysis/0bEyMsn31BzmFm6CPxl7gl,176530,4
私の彼氏はDTMer,0.744,0.637,0,-8.805,1,0.0395,0.231,0.631,0.0868,0.784,160.049,audio_features,7KAzbHA9R6k3xRRtFJx7tx,spotify:track:7KAzbHA9R6k3xRRtFJx7tx,https://api.spotify.com/v1/tracks/7KAzbHA9R6k3xRRtFJx7tx,https://api.spotify.com/v1/audio-analysis/7KAzbHA9R6k3xRRtFJx7tx,251254,4
Etude,0.644,0.675,7,-9.591,1,0.0271,0.0142,0.0913,0.252,0.436,127.972,audio_features,5e7vegP1j2FL1iE8dECVuY,spotify:track:5e7vegP1j2FL1iE8dECVuY,https://api.spotify.com/v1/tracks/5e7vegP1j2FL1iE8dECVuY,https://api.spotify.com/v1/audio-analysis/5e7vegP1j2FL1iE8dECVuY,255005,4
ポケットで震えた携帯,0.696,0.772,0,-8.386,1,0.0931,0.189,0.899,0.0507,0.834,150.037,audio_features,5PO4F8DFf0hSOkojxsCTXi,spotify:track:5PO4F8DFf0hSOkojxsCTXi,https://api.spotify.com/v1/tracks/5PO4F8DFf0hSOkojxsCTXi,https://api.spotify.com/v1/audio-analysis/5PO4F8DFf0hSOkojxsCTXi,236004,4
Lavender,0.655,0.748,10,-8.672,1,0.0482,0.02,0.00197,0.0665,0.483,139.975,audio_features,0Hn0tCIOm8eS4pY0mBoe7A,spotify:track:0Hn0tCIOm8eS4pY0mBoe7A,https://api.spotify.com/v1/tracks/0Hn0tCIOm8eS4pY0mBoe7A,https://api.spotify.com/v1/audio-analysis/0Hn0tCIOm8eS4pY0mBoe7A,228004,4
rain drops,0.962,0.144,4,-10.722,1,0.121,0.596,0,0.0568,0.864,119.819,audio_features,3Y2TNDEyiqtdXGt0KkauD4,spotify:track:3Y2TNDEyiqtdXGt0KkauD4,https://api.spotify.com/v1/tracks/3Y2TNDEyiqtdXGt0KkauD4,https://api.spotify.com/v1/audio-analysis/3Y2TNDEyiqtdXGt0KkauD4,88651,3
灯篭飛ばし,0.628,0.439,7,-12.08,1,0.039,0.563,0.00732,0.0849,0.35,79.988,audio_features,6ekAhot84Mr6hvnWRrlEJB,spotify:track:6ekAhot84Mr6hvnWRrlEJB,https://api.spotify.com/v1/tracks/6ekAhot84Mr6hvnWRrlEJB,https://api.spotify.com/v1/audio-analysis/6ekAhot84Mr6hvnWRrlEJB,314445,4
プラネタリウム~Astronomerの繭~,0.582,0.573,0,-8.057,1,0.0457,0.142,0.00037,0.0875,0.524,150.019,audio_features,4YZIUIVQXNgwtJ1zWYveu9,spotify:track:4YZIUIVQXNgwtJ1zWYveu9,https://api.spotify.com/v1/tracks/4YZIUIVQXNgwtJ1zWYveu9,https://api.spotify.com/v1/audio-analysis/4YZIUIVQXNgwtJ1zWYveu9,230804,4
