name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Earthly Paradise,0.677,0.776,5,-9.103,0,0.0263,0.128,3.73e-05,0.204,0.781,115.434,audio_features,24ooAEyHQzm55NSX6h41Gl,spotify:track:24ooAEyHQzm55NSX6h41Gl,https://api.spotify.com/v1/tracks/24ooAEyHQzm55NSX6h41Gl,https://api.spotify.com/v1/audio-analysis/24ooAEyHQzm55NSX6h41Gl,268300,4
さよならロンリネス,0.669,0.834,7,-10.386,0,0.0325,0.153,1.85e-06,0.126,0.81,121.509,audio_features,1VkewEJCRA6luR7aVaRvpI,spotify:track:1VkewEJCRA6luR7aVaRvpI,https://api.spotify.com/v1/tracks/1VkewEJCRA6luR7aVaRvpI,https://api.spotify.com/v1/audio-analysis/1VkewEJCRA6luR7aVaRvpI,274200,4
He was beautiful,0.559,0.717,9,-10.661,1,0.0348,0.327,0.0338,0.105,0.862,79.39,audio_features,6Q3YGwZeLdQuw624pfvKia,spotify:track:6Q3YGwZeLdQuw624pfvKia,https://api.spotify.com/v1/tracks/6Q3YGwZeLdQuw624pfvKia,https://api.spotify.com/v1/audio-analysis/6Q3YGwZeLdQuw624pfvKia,233667,4
fairy tale ―おとぎ話―,0.684,0.593,9,-12.184,0,0.0257,0.354,0.00879,0.096,0.421,107.072,audio_features,1QYBi9hIuBCI2ZL8kxJpEx,spotify:track:1QYBi9hIuBCI2ZL8kxJpEx,https://api.spotify.com/v1/tracks/1QYBi9hIuBCI2ZL8kxJpEx,https://api.spotify.com/v1/audio-analysis/1QYBi9hIuBCI2ZL8kxJpEx,328767,4
心はいつもmystery,0.717,0.69,7,-8.444,0,0.0261,0.126,0.00272,0.341,0.805,98.386,audio_features,6nkBYlEK5KSIsI03F7USSx,spotify:track:6nkBYlEK5KSIsI03F7USSx,https://api.spotify.com/v1/tracks/6nkBYlEK5KSIsI03F7USSx,https://api.spotify.com/v1/audio-analysis/6nkBYlEK5KSIsI03F7USSx,288967,4
夢のエレメント ~勇者達へのレクイエム~,0.554,0.511,5,-10.181,0,0.0267,0.0895,0,0.0986,0.473,134.39,audio_features,1Kd0j1Wb26lv2Gvhskv6WA,spotify:track:1Kd0j1Wb26lv2Gvhskv6WA,https://api.spotify.com/v1/tracks/1Kd0j1Wb26lv2Gvhskv6WA,https://api.spotify.com/v1/audio-analysis/1Kd0j1Wb26lv2Gvhskv6WA,336167,4
花,0.527,0.453,10,-11.114,1,0.0286,0.197,1.54e-05,0.22,0.342,127.462,audio_features,6kk9v7jAxcO2IolfhElT7J,spotify:track:6kk9v7jAxcO2IolfhElT7J,https://api.spotify.com/v1/tracks/6kk9v7jAxcO2IolfhElT7J,https://api.spotify.com/v1/audio-analysis/6kk9v7jAxcO2IolfhElT7J,275767,4
天使の記憶,0.562,0.391,7,-13.086,1,0.025,0.361,0.000667,0.123,0.393,105.604,audio_features,1z0Xi2EDaq2IZ3Bj66FAIM,spotify:track:1z0Xi2EDaq2IZ3Bj66FAIM,https://api.spotify.com/v1/tracks/1z0Xi2EDaq2IZ3Bj66FAIM,https://api.spotify.com/v1/audio-analysis/1z0Xi2EDaq2IZ3Bj66FAIM,315567,3
The gift of love,0.518,0.522,0,-9.943,1,0.0275,0.225,0,0.256,0.365,132.637,audio_features,2hHFtGh8mNkGTSzsAD8pXg,spotify:track:2hHFtGh8mNkGTSzsAD8pXg,https://api.spotify.com/v1/tracks/2hHFtGh8mNkGTSzsAD8pXg,https://api.spotify.com/v1/audio-analysis/2hHFtGh8mNkGTSzsAD8pXg,220367,4
Kaho Kaise Jiye,0.62,0.143,6,-13.153,1,0.0866,0.988,0.0711,0.0919,0.562,109.381,audio_features,4eo8GW06NquEFmQD20P5c0,spotify:track:4eo8GW06NquEFmQD20P5c0,https://api.spotify.com/v1/tracks/4eo8GW06NquEFmQD20P5c0,https://api.spotify.com/v1/audio-analysis/4eo8GW06NquEFmQD20P5c0,177400,4
