name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
us,0.475,0.384,0,-6.156,1,0.0281,0.25,0.000923,0.0912,0.173,159.893,audio_features,1jNYv79ZVZ2pIUT8AYtelo,spotify:track:1jNYv79ZVZ2pIUT8AYtelo,https://api.spotify.com/v1/tracks/1jNYv79ZVZ2pIUT8AYtelo,https://api.spotify.com/v1/audio-analysis/1jNYv79ZVZ2pIUT8AYtelo,320000,4
遠い記憶、花束の赤,0.511,0.481,1,-8.593,1,0.0299,0.78,0.208,0.0966,0.555,82.963,audio_features,3DQuQ4C6wryQBxzGd9gMBj,spotify:track:3DQuQ4C6wryQBxzGd9gMBj,https://api.spotify.com/v1/tracks/3DQuQ4C6wryQBxzGd9gMBj,https://api.spotify.com/v1/audio-analysis/3DQuQ4C6wryQBxzGd9gMBj,230000,4
転校前夜,0.438,0.852,8,-3.237,1,0.0342,0.024,0,0.182,0.461,97.977,audio_features,75ciK63Vc9LlGJ5EPIiQ7N,spotify:track:75ciK63Vc9LlGJ5EPIiQ7N,https://api.spotify.com/v1/tracks/75ciK63Vc9LlGJ5EPIiQ7N,https://api.spotify.com/v1/audio-analysis/75ciK63Vc9LlGJ5EPIiQ7N,195000,4
Goodbye for Good,0.549,0.612,9,-8.613,1,0.0353,0.215,0,0.107,0.669,169.988,audio_features,4u0zRgiAgwHMUOIP9EN7Xz,spotify:track:4u0zRgiAgwHMUOIP9EN7Xz,https://api.spotify.com/v1/tracks/4u0zRgiAgwHMUOIP9EN7Xz,https://api.spotify.com/v1/audio-analysis/4u0zRgiAgwHMUOIP9EN7Xz,342250,4
雨宙寫眞,0.482,0.473,6,-7.351,1,0.032,0.677,0.00742,0.133,0.275,141.951,audio_features,2deejB1YH1vjqZHVsXH6qR,spotify:track:2deejB1YH1vjqZHVsXH6qR,https://api.spotify.com/v1/tracks/2deejB1YH1vjqZHVsXH6qR,https://api.spotify.com/v1/audio-analysis/2deejB1YH1vjqZHVsXH6qR,320000,4
Locketus,0.19,0.686,4,-3.506,1,0.0365,0.234,4.37e-05,0.227,0.371,171.923,audio_features,0ZbkpZKR18BXqsbkfUuNEJ,spotify:track:0ZbkpZKR18BXqsbkfUuNEJ,https://api.spotify.com/v1/tracks/0ZbkpZKR18BXqsbkfUuNEJ,https://api.spotify.com/v1/audio-analysis/0ZbkpZKR18BXqsbkfUuNEJ,260000,3
劇中歌,0.517,0.492,6,-5.9,1,0.0279,0.592,0,0.0941,0.538,147.936,audio_features,0l6pE1QkELKbkdSloP21Wj,spotify:track:0l6pE1QkELKbkdSloP21Wj,https://api.spotify.com/v1/tracks/0l6pE1QkELKbkdSloP21Wj,https://api.spotify.com/v1/audio-analysis/0l6pE1QkELKbkdSloP21Wj,243000,4
memento,0.552,0.431,8,-9.315,1,0.025,0.839,1.18e-06,0.284,0.379,76.961,audio_features,4S1ePTxxXtyuyb8ftW9h1U,spotify:track:4S1ePTxxXtyuyb8ftW9h1U,https://api.spotify.com/v1/tracks/4S1ePTxxXtyuyb8ftW9h1U,https://api.spotify.com/v1/audio-analysis/4S1ePTxxXtyuyb8ftW9h1U,351524,4
二人,0.439,0.614,1,-9.163,1,0.0408,0.45,0,0.549,0.418,79.973,audio_features,1Syqg1oMnKOkCr0BeAoi91,spotify:track:1Syqg1oMnKOkCr0BeAoi91,https://api.spotify.com/v1/tracks/1Syqg1oMnKOkCr0BeAoi91,https://api.spotify.com/v1/audio-analysis/1Syqg1oMnKOkCr0BeAoi91,269175,4
cinema,0.435,0.624,8,-5.319,1,0.0318,0.516,0.00355,0.0567,0.65,153.793,audio_features,7fqF5cClHlCrJ9TnKcXkb4,spotify:track:7fqF5cClHlCrJ9TnKcXkb4,https://api.spotify.com/v1/tracks/7fqF5cClHlCrJ9TnKcXkb4,https://api.spotify.com/v1/audio-analysis/7fqF5cClHlCrJ9TnKcXkb4,198000,4
