name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
禁断少女プラスA,0.512,0.934,1,-3.011,0,0.0567,0.00297,0.000171,0.175,0.377,103.028,audio_features,3hmuOstqnqSXeZAfZfGV1T,spotify:track:3hmuOstqnqSXeZAfZfGV1T,https://api.spotify.com/v1/tracks/3hmuOstqnqSXeZAfZfGV1T,https://api.spotify.com/v1/audio-analysis/3hmuOstqnqSXeZAfZfGV1T,231687,4
パンプキンズナイトメア,0.532,0.878,9,-1.473,0,0.042,0.0201,3.76e-05,0.335,0.8,113.019,audio_features,3tIePAsC4d5Lptx0tv4HSk,spotify:track:3tIePAsC4d5Lptx0tv4HSk,https://api.spotify.com/v1/tracks/3tIePAsC4d5Lptx0tv4HSk,https://api.spotify.com/v1/audio-analysis/3tIePAsC4d5Lptx0tv4HSk,204329,4
楓,0.532,0.95,0,-3.56,1,0.0425,0.00943,0.0179,0.32,0.401,95.53,audio_features,2GM0YjH01wN0iHM2c2u4Xe,spotify:track:2GM0YjH01wN0iHM2c2u4Xe,https://api.spotify.com/v1/tracks/2GM0YjH01wN0iHM2c2u4Xe,https://api.spotify.com/v1/audio-analysis/2GM0YjH01wN0iHM2c2u4Xe,259687,4
ヲトギバナシ,0.262,0.943,1,-0.908,1,0.0775,0.0336,0.177,0.392,0.62,102.691,audio_features,33SLfUeTcouPqbeA5SPEAD,spotify:track:33SLfUeTcouPqbeA5SPEAD,https://api.spotify.com/v1/tracks/33SLfUeTcouPqbeA5SPEAD,https://api.spotify.com/v1/audio-analysis/33SLfUeTcouPqbeA5SPEAD,204493,4
いんべーだーがーる,0.53,0.958,11,-3.268,1,0.0939,0.0249,1.47e-05,0.317,0.924,130.033,audio_features,1SWhlx2NcGhS2EeQ1mrdpZ,spotify:track:1SWhlx2NcGhS2EeQ1mrdpZ,https://api.spotify.com/v1/tracks/1SWhlx2NcGhS2EeQ1mrdpZ,https://api.spotify.com/v1/audio-analysis/1SWhlx2NcGhS2EeQ1mrdpZ,221928,4
あめふりのまち,0.417,0.834,3,-4.073,1,0.0299,0.035,0.000255,0.0434,0.492,173.947,audio_features,4PhNe7Y8MIP0FtCn612iFB,spotify:track:4PhNe7Y8MIP0FtCn612iFB,https://api.spotify.com/v1/tracks/4PhNe7Y8MIP0FtCn612iFB,https://api.spotify.com/v1/audio-analysis/4PhNe7Y8MIP0FtCn612iFB,276000,4
ヒメコイ (feat. 鏡音リン),0.567,0.892,1,-9.788,1,0.0743,0.107,0,0.332,0.726,94.975,audio_features,1KhwpVuhrfzgrI5S454kx9,spotify:track:1KhwpVuhrfzgrI5S454kx9,https://api.spotify.com/v1/tracks/1KhwpVuhrfzgrI5S454kx9,https://api.spotify.com/v1/audio-analysis/1KhwpVuhrfzgrI5S454kx9,247347,4
ソノ雨ハ音モ無ク,0.145,0.943,3,-4.88,0,0.286,0.5,1.7e-06,0.155,0.0925,158.064,audio_features,1BUAol8RYL3XlHOrRawAqe,spotify:track:1BUAol8RYL3XlHOrRawAqe,https://api.spotify.com/v1/tracks/1BUAol8RYL3XlHOrRawAqe,https://api.spotify.com/v1/audio-analysis/1BUAol8RYL3XlHOrRawAqe,275511,3
クオリア,0.4,0.883,8,-2.935,0,0.036,0.123,1.08e-06,0.211,0.41,92.995,audio_features,4qOlnxcDhn5zL4Y4fViaSX,spotify:track:4qOlnxcDhn5zL4Y4fViaSX,https://api.spotify.com/v1/tracks/4qOlnxcDhn5zL4Y4fViaSX,https://api.spotify.com/v1/audio-analysis/4qOlnxcDhn5zL4Y4fViaSX,292208,4
ai (album mix),0.501,0.924,1,-3.936,0,0.0614,0.202,0.000128,0.128,0.322,119.572,audio_features,661q43bTa1NMXxvgLCEQSA,spotify:track:661q43bTa1NMXxvgLCEQSA,https://api.spotify.com/v1/tracks/661q43bTa1NMXxvgLCEQSA,https://api.spotify.com/v1/audio-analysis/661q43bTa1NMXxvgLCEQSA,258206,4
ソノ雨ハ音モ無ク(album mix),0.253,0.936,3,-4.925,0,0.19,0.422,3.63e-06,0.146,0.0967,158.057,audio_features,7HdyfhGUjn3VABfESKETnL,spotify:track:7HdyfhGUjn3VABfESKETnL,https://api.spotify.com/v1/tracks/7HdyfhGUjn3VABfESKETnL,https://api.spotify.com/v1/audio-analysis/7HdyfhGUjn3VABfESKETnL,276174,4
カミノユリカゴ,0.466,0.974,1,-0.619,0,0.105,0.0101,3.1e-05,0.108,0.659,99.051,audio_features,7fMvvXKtaRSkXgblofUC6M,spotify:track:7fMvvXKtaRSkXgblofUC6M,https://api.spotify.com/v1/tracks/7fMvvXKtaRSkXgblofUC6M,https://api.spotify.com/v1/audio-analysis/7fMvvXKtaRSkXgblofUC6M,220323,4
Chain,0.338,0.915,11,-1.665,0,0.0684,0.0689,0,0.213,0.257,186.133,audio_features,6agNxygSMfm14cBLPO8qBD,spotify:track:6agNxygSMfm14cBLPO8qBD,https://api.spotify.com/v1/tracks/6agNxygSMfm14cBLPO8qBD,https://api.spotify.com/v1/audio-analysis/6agNxygSMfm14cBLPO8qBD,258750,3
パラレルシフトディストーション,0.406,0.968,11,-0.745,0,0.0677,0.000917,0,0.305,0.499,102.55,audio_features,3FZn5bikjbFYtIybvHBX6i,spotify:track:3FZn5bikjbFYtIybvHBX6i,https://api.spotify.com/v1/tracks/3FZn5bikjbFYtIybvHBX6i,https://api.spotify.com/v1/audio-analysis/3FZn5bikjbFYtIybvHBX6i,199027,4
Cheshire,0.352,0.687,6,-5.551,1,0.09,0.0548,0.942,0.364,0.777,163.797,audio_features,3OYLTp7jQj1c5ubUFHGEBi,spotify:track:3OYLTp7jQj1c5ubUFHGEBi,https://api.spotify.com/v1/tracks/3OYLTp7jQj1c5ubUFHGEBi,https://api.spotify.com/v1/audio-analysis/3OYLTp7jQj1c5ubUFHGEBi,111250,3
ai,0.521,0.93,1,-3.667,0,0.0559,0.178,0.00141,0.175,0.307,119.557,audio_features,66zZJihCNkU8nrTu3omsU0,spotify:track:66zZJihCNkU8nrTu3omsU0,https://api.spotify.com/v1/tracks/66zZJihCNkU8nrTu3omsU0,https://api.spotify.com/v1/audio-analysis/66zZJihCNkU8nrTu3omsU0,254121,4
コスモライト,0.466,0.927,9,-1.564,0,0.0402,0.00178,0,0.236,0.642,93.035,audio_features,4JNNaHXjZLPyGrg2GcBQPq,spotify:track:4JNNaHXjZLPyGrg2GcBQPq,https://api.spotify.com/v1/tracks/4JNNaHXjZLPyGrg2GcBQPq,https://api.spotify.com/v1/audio-analysis/4JNNaHXjZLPyGrg2GcBQPq,227097,4
咲,0.449,0.977,11,-4.48,0,0.126,0.00225,8.97e-06,0.199,0.464,136.885,audio_features,6WGFBf3sNBEVC5RtmE2pxF,spotify:track:6WGFBf3sNBEVC5RtmE2pxF,https://api.spotify.com/v1/tracks/6WGFBf3sNBEVC5RtmE2pxF,https://api.spotify.com/v1/audio-analysis/6WGFBf3sNBEVC5RtmE2pxF,197000,4
this Love,0.461,0.815,1,-5.247,0,0.0541,0.00846,0.000214,0.346,0.301,136.982,audio_features,0eWLxSk5YQJYbH6jDRj2im,spotify:track:0eWLxSk5YQJYbH6jDRj2im,https://api.spotify.com/v1/tracks/0eWLxSk5YQJYbH6jDRj2im,https://api.spotify.com/v1/audio-analysis/0eWLxSk5YQJYbH6jDRj2im,268523,4
禁断少女プラスA(miku mix),0.51,0.935,1,-3.469,0,0.062,0.0147,0,0.103,0.307,103.0,audio_features,3n4kKM4SGDZEcBP5b9uKhe,spotify:track:3n4kKM4SGDZEcBP5b9uKhe,https://api.spotify.com/v1/tracks/3n4kKM4SGDZEcBP5b9uKhe,https://api.spotify.com/v1/audio-analysis/3n4kKM4SGDZEcBP5b9uKhe,237663,4
ワールドエンドホリック,0.45,0.968,11,-0.855,0,0.119,0.0814,0.00369,0.0757,0.775,128.415,audio_features,7uUUltBltZ725mth0JIR8z,spotify:track:7uUUltBltZ725mth0JIR8z,https://api.spotify.com/v1/tracks/7uUUltBltZ725mth0JIR8z,https://api.spotify.com/v1/audio-analysis/7uUUltBltZ725mth0JIR8z,207249,4
ぷれい うぃず みぃ,0.441,0.923,1,-2.544,0,0.0737,0.006,0.0221,0.0854,0.585,119.746,audio_features,0z1tyH73XS9SuCTq1Nb7QZ,spotify:track:0z1tyH73XS9SuCTq1Nb7QZ,https://api.spotify.com/v1/tracks/0z1tyH73XS9SuCTq1Nb7QZ,https://api.spotify.com/v1/audio-analysis/0z1tyH73XS9SuCTq1Nb7QZ,185187,4
