name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Shout Baby,0.474,0.881,7,-1.846,1,0.0398,0.033,0,0.0513,0.587,180.0,audio_features,5K1m4aaPCxwnm9SKlWW1vh,spotify:track:5K1m4aaPCxwnm9SKlWW1vh,https://api.spotify.com/v1/tracks/5K1m4aaPCxwnm9SKlWW1vh,https://api.spotify.com/v1/audio-analysis/5K1m4aaPCxwnm9SKlWW1vh,265987,4
Mela!,0.619,0.941,8,-1.618,1,0.0584,0.0439,1.73e-05,0.318,0.624,137.967,audio_features,6IO5nn84TKArsi3cjpIqaD,spotify:track:6IO5nn84TKArsi3cjpIqaD,https://api.spotify.com/v1/tracks/6IO5nn84TKArsi3cjpIqaD,https://api.spotify.com/v1/audio-analysis/6IO5nn84TKArsi3cjpIqaD,242067,4
ずっとずっとずっと,0.679,0.904,10,-1.613,1,0.0431,0.132,0,0.106,0.787,127.976,audio_features,3oy9Y621WDsAXSAwJKSSZV,spotify:track:3oy9Y621WDsAXSAwJKSSZV,https://api.spotify.com/v1/tracks/3oy9Y621WDsAXSAwJKSSZV,https://api.spotify.com/v1/audio-analysis/3oy9Y621WDsAXSAwJKSSZV,229987,4
ミチヲユケ,0.563,0.928,1,-1.954,1,0.0856,0.0143,0,0.203,0.8,149.951,audio_features,63EaBEMlwYv55V7YXO7LQv,spotify:track:63EaBEMlwYv55V7YXO7LQv,https://api.spotify.com/v1/tracks/63EaBEMlwYv55V7YXO7LQv,https://api.spotify.com/v1/audio-analysis/63EaBEMlwYv55V7YXO7LQv,215600,4
大人ごっこ,0.642,0.892,7,-3.565,1,0.0643,0.051,0,0.33,0.33,111.948,audio_features,15jgPDvweFaEGp9J34MPgM,spotify:track:15jgPDvweFaEGp9J34MPgM,https://api.spotify.com/v1/tracks/15jgPDvweFaEGp9J34MPgM,https://api.spotify.com/v1/audio-analysis/15jgPDvweFaEGp9J34MPgM,282293,4
ずっとずっとずっと,0.68,0.906,10,-1.419,1,0.0478,0.158,0,0.122,0.806,127.989,audio_features,2He9deEfdXYWxnTUi0oOb0,spotify:track:2He9deEfdXYWxnTUi0oOb0,https://api.spotify.com/v1/tracks/2He9deEfdXYWxnTUi0oOb0,https://api.spotify.com/v1/audio-analysis/2He9deEfdXYWxnTUi0oOb0,228546,4
キャラクター,0.65,0.913,5,-2.147,1,0.0758,0.15,0,0.345,0.594,124.025,audio_features,0O4YelF6Zneq7sk1Ye73N2,spotify:track:0O4YelF6Zneq7sk1Ye73N2,https://api.spotify.com/v1/tracks/0O4YelF6Zneq7sk1Ye73N2,https://api.spotify.com/v1/audio-analysis/0O4YelF6Zneq7sk1Ye73N2,249427,4
LADYBUG,0.637,0.966,4,-1.512,0,0.11,0.155,0,0.0979,0.666,123.985,audio_features,6hVRV1wXUdJ86FywMBBeIa,spotify:track:6hVRV1wXUdJ86FywMBBeIa,https://api.spotify.com/v1/tracks/6hVRV1wXUdJ86FywMBBeIa,https://api.spotify.com/v1/audio-analysis/6hVRV1wXUdJ86FywMBBeIa,235280,4
Don!!,0.539,0.927,8,-2.291,1,0.0572,0.0425,0,0.192,0.737,200.051,audio_features,1NmeWXhB73LNP1y9PtTEbk,spotify:track:1NmeWXhB73LNP1y9PtTEbk,https://api.spotify.com/v1/tracks/1NmeWXhB73LNP1y9PtTEbk,https://api.spotify.com/v1/audio-analysis/1NmeWXhB73LNP1y9PtTEbk,228627,4
Re,0.622,0.434,10,-6.007,1,0.0242,0.671,0,0.122,0.474,80.027,audio_features,1gwvGQEfXiYXlbE0AqFBOI,spotify:track:1gwvGQEfXiYXlbE0AqFBOI,https://api.spotify.com/v1/tracks/1gwvGQEfXiYXlbE0AqFBOI,https://api.spotify.com/v1/audio-analysis/1gwvGQEfXiYXlbE0AqFBOI,227587,4
陽はまた昇るから,0.576,0.944,6,-2.409,1,0.06,0.0541,0,0.334,0.727,142.04,audio_features,43PlsJn27zRG2KjpL12eb7,spotify:track:43PlsJn27zRG2KjpL12eb7,https://api.spotify.com/v1/tracks/43PlsJn27zRG2KjpL12eb7,https://api.spotify.com/v1/audio-analysis/43PlsJn27zRG2KjpL12eb7,266373,4
ミチヲユケ,0.563,0.928,1,-1.954,1,0.0856,0.0143,0,0.203,0.8,149.951,audio_features,4sZIofyzcLrT98ZsF62BkL,spotify:track:4sZIofyzcLrT98ZsF62BkL,https://api.spotify.com/v1/tracks/4sZIofyzcLrT98ZsF62BkL,https://api.spotify.com/v1/audio-analysis/4sZIofyzcLrT98ZsF62BkL,215600,4
Landscape,0.667,0.951,1,-0.997,1,0.054,0.05,0,0.288,0.799,130.011,audio_features,2yOUBePdX7afs41FAy1XD7,spotify:track:2yOUBePdX7afs41FAy1XD7,https://api.spotify.com/v1/tracks/2yOUBePdX7afs41FAy1XD7,https://api.spotify.com/v1/audio-analysis/2yOUBePdX7afs41FAy1XD7,231840,4
結証,0.653,0.871,6,-3.04,1,0.0451,0.122,0,0.215,0.597,99.95,audio_features,3KIHXNKBeQCxDtgcyGYaB6,spotify:track:3KIHXNKBeQCxDtgcyGYaB6,https://api.spotify.com/v1/tracks/3KIHXNKBeQCxDtgcyGYaB6,https://api.spotify.com/v1/audio-analysis/3KIHXNKBeQCxDtgcyGYaB6,234746,4
sabotage,0.497,0.972,3,-0.624,1,0.0882,0.0155,0,0.139,0.431,161.978,audio_features,64ztvh9KDjnGR07r1bUTnz,spotify:track:64ztvh9KDjnGR07r1bUTnz,https://api.spotify.com/v1/tracks/64ztvh9KDjnGR07r1bUTnz,https://api.spotify.com/v1/audio-analysis/64ztvh9KDjnGR07r1bUTnz,241280,4
merry-go-round,0.637,0.993,11,-1.312,1,0.18,0.103,0,0.323,0.595,142.028,audio_features,56kt9vPQB4ghnVMUBYedwN,spotify:track:56kt9vPQB4ghnVMUBYedwN,https://api.spotify.com/v1/tracks/56kt9vPQB4ghnVMUBYedwN,https://api.spotify.com/v1/audio-analysis/56kt9vPQB4ghnVMUBYedwN,238427,4
Shout Baby - TV Edit -,0.5,0.923,7,-1.842,1,0.0403,0.0231,0,0.127,0.701,180.071,audio_features,4B7cOrnxjosUZE9NOSlu8S,spotify:track:4B7cOrnxjosUZE9NOSlu8S,https://api.spotify.com/v1/tracks/4B7cOrnxjosUZE9NOSlu8S,https://api.spotify.com/v1/audio-analysis/4B7cOrnxjosUZE9NOSlu8S,93373,4
ミチヲユケ - Instrumental,0.445,0.882,1,-5.065,1,0.0629,4.14e-05,0.648,0.163,0.744,149.763,audio_features,577LPZnzMrooPMyVCFfvI7,spotify:track:577LPZnzMrooPMyVCFfvI7,https://api.spotify.com/v1/tracks/577LPZnzMrooPMyVCFfvI7,https://api.spotify.com/v1/audio-analysis/577LPZnzMrooPMyVCFfvI7,215613,4
Don!! - Instrumental,0.415,0.921,8,-4.999,1,0.0407,0.000199,0.939,0.285,0.892,200.059,audio_features,17LJuIUPAmXTp9vrptRciN,spotify:track:17LJuIUPAmXTp9vrptRciN,https://api.spotify.com/v1/tracks/17LJuIUPAmXTp9vrptRciN,https://api.spotify.com/v1/audio-analysis/17LJuIUPAmXTp9vrptRciN,226947,4
ブレス,0.567,0.78,6,-4.265,1,0.0399,0.019,0.000329,0.562,0.36,98.023,audio_features,478aouesr5rNFHs1wU4BGC,spotify:track:478aouesr5rNFHs1wU4BGC,https://api.spotify.com/v1/tracks/478aouesr5rNFHs1wU4BGC,https://api.spotify.com/v1/audio-analysis/478aouesr5rNFHs1wU4BGC,264955,4
始まりの歌,0.435,0.949,3,-1.971,1,0.091,0.00483,5.56e-05,0.341,0.386,154.942,audio_features,7BNGOFJTHU5z7pfJjdi1Ko,spotify:track:7BNGOFJTHU5z7pfJjdi1Ko,https://api.spotify.com/v1/tracks/7BNGOFJTHU5z7pfJjdi1Ko,https://api.spotify.com/v1/audio-analysis/7BNGOFJTHU5z7pfJjdi1Ko,266533,4
キャラクター,0.65,0.913,5,-2.147,1,0.0758,0.15,0,0.345,0.594,124.025,audio_features,1WkMPKhw6w2PAaZyKpITNi,spotify:track:1WkMPKhw6w2PAaZyKpITNi,https://api.spotify.com/v1/tracks/1WkMPKhw6w2PAaZyKpITNi,https://api.spotify.com/v1/audio-analysis/1WkMPKhw6w2PAaZyKpITNi,249427,4
Landscape,0.667,0.951,1,-0.997,1,0.054,0.05,0,0.288,0.799,130.011,audio_features,1cvluyKT1Iw1NZGGUgQ8u4,spotify:track:1cvluyKT1Iw1NZGGUgQ8u4,https://api.spotify.com/v1/tracks/1cvluyKT1Iw1NZGGUgQ8u4,https://api.spotify.com/v1/audio-analysis/1cvluyKT1Iw1NZGGUgQ8u4,231840,4
S.T.U.D,0.373,0.929,6,-1.876,0,0.0872,0.00842,0,0.0995,0.521,180.002,audio_features,1YrrvdjklZiUDGVZCEUwpm,spotify:track:1YrrvdjklZiUDGVZCEUwpm,https://api.spotify.com/v1/tracks/1YrrvdjklZiUDGVZCEUwpm,https://api.spotify.com/v1/audio-analysis/1YrrvdjklZiUDGVZCEUwpm,240613,4
これからのこと、それからのこと,0.545,0.934,6,-2.334,1,0.0766,0.0772,1.22e-06,0.199,0.593,153.995,audio_features,3ee3P6E34IetUo60gwR0hw,spotify:track:3ee3P6E34IetUo60gwR0hw,https://api.spotify.com/v1/tracks/3ee3P6E34IetUo60gwR0hw,https://api.spotify.com/v1/audio-analysis/3ee3P6E34IetUo60gwR0hw,264933,4
想い人,0.468,0.8,11,-2.361,1,0.0348,0.142,0,0.157,0.346,167.981,audio_features,3SbSZWKs1CdnHH8AsP0TFR,spotify:track:3SbSZWKs1CdnHH8AsP0TFR,https://api.spotify.com/v1/tracks/3SbSZWKs1CdnHH8AsP0TFR,https://api.spotify.com/v1/audio-analysis/3SbSZWKs1CdnHH8AsP0TFR,271347,4
LITMUS,0.636,0.861,7,-3.396,1,0.055,0.0954,0,0.193,0.518,95.981,audio_features,1oE30MDSjSxTYTOOkll9Kt,spotify:track:1oE30MDSjSxTYTOOkll9Kt,https://api.spotify.com/v1/tracks/1oE30MDSjSxTYTOOkll9Kt,https://api.spotify.com/v1/audio-analysis/1oE30MDSjSxTYTOOkll9Kt,252907,4
LITMUS,0.655,0.805,7,-4.405,1,0.0534,0.104,0,0.134,0.5,95.992,audio_features,4SKkKCv06oN15DHpyKUnJk,spotify:track:4SKkKCv06oN15DHpyKUnJk,https://api.spotify.com/v1/tracks/4SKkKCv06oN15DHpyKUnJk,https://api.spotify.com/v1/audio-analysis/4SKkKCv06oN15DHpyKUnJk,254053,4
たとえたとえ,0.66,0.919,1,-1.451,0,0.0491,0.173,0,0.341,0.766,128.068,audio_features,1ovMDjMtwyaURodfDtwOgZ,spotify:track:1ovMDjMtwyaURodfDtwOgZ,https://api.spotify.com/v1/tracks/1ovMDjMtwyaURodfDtwOgZ,https://api.spotify.com/v1/audio-analysis/1ovMDjMtwyaURodfDtwOgZ,238746,4
夏を生きる,0.395,0.899,0,-2.462,1,0.0503,0.252,0,0.144,0.509,177.854,audio_features,5qKKv4GFct1qh8tyMNyplZ,spotify:track:5qKKv4GFct1qh8tyMNyplZ,https://api.spotify.com/v1/tracks/5qKKv4GFct1qh8tyMNyplZ,https://api.spotify.com/v1/audio-analysis/5qKKv4GFct1qh8tyMNyplZ,263039,4
たとえたとえ,0.643,0.907,1,-2.464,0,0.0468,0.0905,0,0.342,0.721,128.076,audio_features,7HPzdAV66KujBIhgs6eLCM,spotify:track:7HPzdAV66KujBIhgs6eLCM,https://api.spotify.com/v1/tracks/7HPzdAV66KujBIhgs6eLCM,https://api.spotify.com/v1/audio-analysis/7HPzdAV66KujBIhgs6eLCM,238360,4
