name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
なみだのうた,0.532,0.551,9,-7.197,1,0.0325,0.414,2.48e-06,0.105,0.45,143.753,audio_features,22DCtwZg8kYvhrXCkGUYRC,spotify:track:22DCtwZg8kYvhrXCkGUYRC,https://api.spotify.com/v1/tracks/22DCtwZg8kYvhrXCkGUYRC,https://api.spotify.com/v1/audio-analysis/22DCtwZg8kYvhrXCkGUYRC,218107,4
やさしいルールで恋して,0.572,0.578,7,-7.857,1,0.0287,0.501,0.000259,0.132,0.71,147.919,audio_features,64OhKDpF47wjY6SPF2b2pN,spotify:track:64OhKDpF47wjY6SPF2b2pN,https://api.spotify.com/v1/tracks/64OhKDpF47wjY6SPF2b2pN,https://api.spotify.com/v1/audio-analysis/64OhKDpF47wjY6SPF2b2pN,271613,4
荒野のダンステリア,0.616,0.798,11,-5.235,0,0.0303,0.028,0,0.0951,0.726,109.952,audio_features,3EUhhpd7wGT6f5cOLxOXVR,spotify:track:3EUhhpd7wGT6f5cOLxOXVR,https://api.spotify.com/v1/tracks/3EUhhpd7wGT6f5cOLxOXVR,https://api.spotify.com/v1/audio-analysis/3EUhhpd7wGT6f5cOLxOXVR,222480,4
Ice Cream Blues,0.745,0.912,11,-5.474,0,0.0526,0.135,0,0.313,0.672,105.019,audio_features,5W5g4QKeUDxop7tqbET2no,spotify:track:5W5g4QKeUDxop7tqbET2no,https://api.spotify.com/v1/tracks/5W5g4QKeUDxop7tqbET2no,https://api.spotify.com/v1/audio-analysis/5W5g4QKeUDxop7tqbET2no,269387,4
BIG LOVE(純愛模様),0.669,0.91,6,-4.467,0,0.0384,0.228,0,0.162,0.902,140.033,audio_features,6xkc2WPqEfqqbWQdYzKRI6,spotify:track:6xkc2WPqEfqqbWQdYzKRI6,https://api.spotify.com/v1/tracks/6xkc2WPqEfqqbWQdYzKRI6,https://api.spotify.com/v1/audio-analysis/6xkc2WPqEfqqbWQdYzKRI6,220093,4
さよならフェロー,0.612,0.731,9,-5.376,1,0.0366,0.00207,9.03e-06,0.121,0.515,116.999,audio_features,2fTuYbDsYKJJp1ZaWeimdg,spotify:track:2fTuYbDsYKJJp1ZaWeimdg,https://api.spotify.com/v1/tracks/2fTuYbDsYKJJp1ZaWeimdg,https://api.spotify.com/v1/audio-analysis/2fTuYbDsYKJJp1ZaWeimdg,225240,4
And I Love You,0.537,0.633,4,-5.884,1,0.0244,0.0814,1.26e-05,0.0835,0.535,92.01,audio_features,5MQxV1jzQKi4DW5T8ePUf4,spotify:track:5MQxV1jzQKi4DW5T8ePUf4,https://api.spotify.com/v1/tracks/5MQxV1jzQKi4DW5T8ePUf4,https://api.spotify.com/v1/audio-analysis/5MQxV1jzQKi4DW5T8ePUf4,209467,3
Thursday Magic,0.695,0.815,7,-5.72,1,0.0654,0.021,0,0.107,0.834,93.994,audio_features,388KbcBP6Uph0F9YTH5qzE,spotify:track:388KbcBP6Uph0F9YTH5qzE,https://api.spotify.com/v1/tracks/388KbcBP6Uph0F9YTH5qzE,https://api.spotify.com/v1/audio-analysis/388KbcBP6Uph0F9YTH5qzE,206507,4
聖夜(イヴ)に微笑みを,0.466,0.475,0,-8.2,1,0.0308,0.171,1.27e-06,0.111,0.287,144.007,audio_features,5OtApAqkjIUhRd3bZ7IcWU,spotify:track:5OtApAqkjIUhRd3bZ7IcWU,https://api.spotify.com/v1/tracks/5OtApAqkjIUhRd3bZ7IcWU,https://api.spotify.com/v1/audio-analysis/5OtApAqkjIUhRd3bZ7IcWU,270907,4
涙のMidnight Soul,0.79,0.655,6,-3.755,0,0.0317,0.186,0,0.0801,0.967,117.027,audio_features,1Ds0teTdJiKc4FaQPEvPuL,spotify:track:1Ds0teTdJiKc4FaQPEvPuL,https://api.spotify.com/v1/tracks/1Ds0teTdJiKc4FaQPEvPuL,https://api.spotify.com/v1/audio-analysis/1Ds0teTdJiKc4FaQPEvPuL,194427,4
遠い手紙,0.548,0.741,5,-5.412,1,0.0267,0.0207,0,0.135,0.211,111.004,audio_features,7cp7GsMQ0DGjkCzgmSFnYO,spotify:track:7cp7GsMQ0DGjkCzgmSFnYO,https://api.spotify.com/v1/tracks/7cp7GsMQ0DGjkCzgmSFnYO,https://api.spotify.com/v1/audio-analysis/7cp7GsMQ0DGjkCzgmSFnYO,239293,4
Oh! ロックンロール,0.607,0.825,7,-5.296,1,0.0319,0.0176,0,0.37,0.663,133.991,audio_features,4lUwf8GJwBi85Z6mVP2t2e,spotify:track:4lUwf8GJwBi85Z6mVP2t2e,https://api.spotify.com/v1/tracks/4lUwf8GJwBi85Z6mVP2t2e,https://api.spotify.com/v1/audio-analysis/4lUwf8GJwBi85Z6mVP2t2e,201640,4
Night Game,0.799,0.612,1,-6.839,0,0.0303,0.353,0.0142,0.137,0.787,119.995,audio_features,60MMnmsTYBAGutHf5JzBAJ,spotify:track:60MMnmsTYBAGutHf5JzBAJ,https://api.spotify.com/v1/tracks/60MMnmsTYBAGutHf5JzBAJ,https://api.spotify.com/v1/audio-analysis/60MMnmsTYBAGutHf5JzBAJ,249133,4
