name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Syoppai Namida,0.628,0.891,0,-3.172,1,0.0755,0.179,0,0.031,0.85,114.063,audio_features,0Itw003eGf09oP53RosO0B,spotify:track:0Itw003eGf09oP53RosO0B,https://api.spotify.com/v1/tracks/0Itw003eGf09oP53RosO0B,https://api.spotify.com/v1/audio-analysis/0Itw003eGf09oP53RosO0B,222016,4
Taiyo Runner,0.465,0.86,1,-4.048,1,0.0481,0.000143,0,0.169,0.672,93.006,audio_features,4bDAJJH35G58n19Q4OcJeb,spotify:track:4bDAJJH35G58n19Q4OcJeb,https://api.spotify.com/v1/tracks/4bDAJJH35G58n19Q4OcJeb,https://api.spotify.com/v1/audio-analysis/4bDAJJH35G58n19Q4OcJeb,216240,4
Taiyo Runner,0.451,0.874,10,-3.977,0,0.047,0.00013,0,0.18,0.661,93.089,audio_features,7llt4TnUcyvfsU8A2hJXJQ,spotify:track:7llt4TnUcyvfsU8A2hJXJQ,https://api.spotify.com/v1/tracks/7llt4TnUcyvfsU8A2hJXJQ,https://api.spotify.com/v1/audio-analysis/7llt4TnUcyvfsU8A2hJXJQ,217760,4
Parallel Na Kankei,0.61,0.782,0,-4.519,1,0.0477,0.019,0,0.207,0.651,129.008,audio_features,0XbAzyvnl06scpgEDEZJ8N,spotify:track:0XbAzyvnl06scpgEDEZJ8N,https://api.spotify.com/v1/tracks/0XbAzyvnl06scpgEDEZJ8N,https://api.spotify.com/v1/audio-analysis/0XbAzyvnl06scpgEDEZJ8N,283643,4
Parallel Na Kankei,0.609,0.784,0,-4.507,1,0.0459,0.0198,0,0.188,0.662,129.023,audio_features,5lqhNtumkfhcoRiing41EI,spotify:track:5lqhNtumkfhcoRiing41EI,https://api.spotify.com/v1/tracks/5lqhNtumkfhcoRiing41EI,https://api.spotify.com/v1/audio-analysis/5lqhNtumkfhcoRiing41EI,286243,4
Karakara Na Kokoro,0.569,0.807,1,-4.189,1,0.0491,0.0135,0,0.133,0.884,124.154,audio_features,1Th9LsPoQJISmupkJ6iJ5j,spotify:track:1Th9LsPoQJISmupkJ6iJ5j,https://api.spotify.com/v1/tracks/1Th9LsPoQJISmupkJ6iJ5j,https://api.spotify.com/v1/audio-analysis/1Th9LsPoQJISmupkJ6iJ5j,232076,4
Mugen No Try,0.346,0.882,5,-3.704,1,0.08,0.0147,9.7e-06,0.117,0.677,184.189,audio_features,5ISaaAJIpdeXI8WU8sTK3x,spotify:track:5ISaaAJIpdeXI8WU8sTK3x,https://api.spotify.com/v1/tracks/5ISaaAJIpdeXI8WU8sTK3x,https://api.spotify.com/v1/audio-analysis/5ISaaAJIpdeXI8WU8sTK3x,199229,4
Hanagoe,0.557,0.441,3,-5.857,1,0.0485,0.506,0,0.096,0.254,79.289,audio_features,7mqGmsE9ef25Xx1af6EZGs,spotify:track:7mqGmsE9ef25Xx1af6EZGs,https://api.spotify.com/v1/tracks/7mqGmsE9ef25Xx1af6EZGs,https://api.spotify.com/v1/audio-analysis/7mqGmsE9ef25Xx1af6EZGs,266002,4
Mugen No Try - Instrumental,0.484,0.913,5,-4.814,0,0.0453,4.15e-05,0.879,0.206,0.528,92.029,audio_features,6zJMSmKjzeeuH1IH2VS1SW,spotify:track:6zJMSmKjzeeuH1IH2VS1SW,https://api.spotify.com/v1/tracks/6zJMSmKjzeeuH1IH2VS1SW,https://api.spotify.com/v1/audio-analysis/6zJMSmKjzeeuH1IH2VS1SW,200729,4
Natsu No Venus,0.671,0.845,0,-4.857,1,0.034,0.0877,0,0.352,0.682,121.011,audio_features,3ubo0jAMNEeiNFQxfuHjNW,spotify:track:3ubo0jAMNEeiNFQxfuHjNW,https://api.spotify.com/v1/tracks/3ubo0jAMNEeiNFQxfuHjNW,https://api.spotify.com/v1/audio-analysis/3ubo0jAMNEeiNFQxfuHjNW,208865,4
Koi To Uso ~Gyutto Kimi No Te wo~ - instrumental,0.725,0.323,2,-11.708,1,0.0421,0.391,0.891,0.102,0.364,111.971,audio_features,3BueZGTPznlJFSeB9ooCXk,spotify:track:3BueZGTPznlJFSeB9ooCXk,https://api.spotify.com/v1/tracks/3BueZGTPznlJFSeB9ooCXk,https://api.spotify.com/v1/audio-analysis/3BueZGTPznlJFSeB9ooCXk,289787,4
