name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Aisaretemo Inai - Harem no Tenshitachi -,0.658,0.951,2,-5.869,1,0.0576,0.0663,0.0713,0.18,0.94,109.753,audio_features,6ox91uIdYjvyGvj8acmtEZ,spotify:track:6ox91uIdYjvyGvj8acmtEZ,https://api.spotify.com/v1/tracks/6ox91uIdYjvyGvj8acmtEZ,https://api.spotify.com/v1/audio-analysis/6ox91uIdYjvyGvj8acmtEZ,323160,4
Mouichido Yoru wo Tomete,0.555,0.521,4,-6.322,1,0.0277,0.365,0,0.129,0.332,133.72,audio_features,5UdBCvdTh6kL29jKd2XpUg,spotify:track:5UdBCvdTh6kL29jKd2XpUg,https://api.spotify.com/v1/tracks/5UdBCvdTh6kL29jKd2XpUg,https://api.spotify.com/v1/audio-analysis/5UdBCvdTh6kL29jKd2XpUg,247533,4
Melody,0.496,0.76,0,-5.018,1,0.0303,0.516,0.000527,0.317,0.667,92.026,audio_features,2OpaAoMdzC7fR6mAzTZL2G,spotify:track:2OpaAoMdzC7fR6mAzTZL2G,https://api.spotify.com/v1/tracks/2OpaAoMdzC7fR6mAzTZL2G,https://api.spotify.com/v1/audio-analysis/2OpaAoMdzC7fR6mAzTZL2G,330867,4
Natsu no Polaroid,0.696,0.792,7,-5.232,0,0.0274,0.094,4.96e-05,0.323,0.783,109.796,audio_features,54KpNosHwVB1UjV5iyhnM5,spotify:track:54KpNosHwVB1UjV5iyhnM5,https://api.spotify.com/v1/tracks/54KpNosHwVB1UjV5iyhnM5,https://api.spotify.com/v1/audio-analysis/54KpNosHwVB1UjV5iyhnM5,298347,4
Half Moon,0.628,0.908,0,-5.394,1,0.0298,0.282,0.000791,0.0965,0.92,124.748,audio_features,4XYrfcejpPNXWmxGvDP8ko,spotify:track:4XYrfcejpPNXWmxGvDP8ko,https://api.spotify.com/v1/tracks/4XYrfcejpPNXWmxGvDP8ko,https://api.spotify.com/v1/audio-analysis/4XYrfcejpPNXWmxGvDP8ko,260187,4
Ai no Jisa (Difference In Time),0.612,0.907,1,-5.568,1,0.0542,0.487,4.01e-06,0.13,0.735,91.966,audio_features,4jlYTpHlDZco5tEjRGbA47,spotify:track:4jlYTpHlDZco5tEjRGbA47,https://api.spotify.com/v1/tracks/4jlYTpHlDZco5tEjRGbA47,https://api.spotify.com/v1/audio-analysis/4jlYTpHlDZco5tEjRGbA47,288333,4
Omoigakenai Situation,0.637,0.958,5,-4.366,0,0.0527,0.0915,0.000135,0.299,0.944,147.715,audio_features,4A8Z3VcllHYHl7eeKZ43ux,spotify:track:4A8Z3VcllHYHl7eeKZ43ux,https://api.spotify.com/v1/tracks/4A8Z3VcllHYHl7eeKZ43ux,https://api.spotify.com/v1/audio-analysis/4A8Z3VcllHYHl7eeKZ43ux,256293,4
Kaze wo Dakishimete - Remix,0.663,0.796,6,-4.299,1,0.0263,0.151,0.000258,0.342,0.841,103.001,audio_features,5Kqpy2tjFiqjJEDMfDtKRP,spotify:track:5Kqpy2tjFiqjJEDMfDtKRP,https://api.spotify.com/v1/tracks/5Kqpy2tjFiqjJEDMfDtKRP,https://api.spotify.com/v1/audio-analysis/5Kqpy2tjFiqjJEDMfDtKRP,243693,4
7th Ave.,0.609,0.965,2,-3.976,0,0.0497,0.202,0.00677,0.0682,0.935,117.798,audio_features,5Vz3zZMpVVfkTRhpLDWlSw,spotify:track:5Vz3zZMpVVfkTRhpLDWlSw,https://api.spotify.com/v1/tracks/5Vz3zZMpVVfkTRhpLDWlSw,https://api.spotify.com/v1/audio-analysis/5Vz3zZMpVVfkTRhpLDWlSw,270613,4
Close To Me,0.714,0.545,10,-6.844,0,0.0341,0.457,0.00114,0.348,0.852,172.107,audio_features,4lmwd6Y2VOZoVvU4EmO8G4,spotify:track:4lmwd6Y2VOZoVvU4EmO8G4,https://api.spotify.com/v1/tracks/4lmwd6Y2VOZoVvU4EmO8G4,https://api.spotify.com/v1/audio-analysis/4lmwd6Y2VOZoVvU4EmO8G4,268573,4
In My Rainy Garden,0.644,0.808,4,-6.734,0,0.0352,0.24,0.0114,0.225,0.743,99.956,audio_features,6gUhGyv64GS26uWrmuI4du,spotify:track:6gUhGyv64GS26uWrmuI4du,https://api.spotify.com/v1/tracks/6gUhGyv64GS26uWrmuI4du,https://api.spotify.com/v1/audio-analysis/6gUhGyv64GS26uWrmuI4du,328000,4
Natsu no Gogo,0.603,0.869,2,-4.649,1,0.0416,0.193,1.81e-06,0.0533,0.864,98.952,audio_features,3rN4Df4yPZ9uBF0OQS7oyY,spotify:track:3rN4Df4yPZ9uBF0OQS7oyY,https://api.spotify.com/v1/tracks/3rN4Df4yPZ9uBF0OQS7oyY,https://api.spotify.com/v1/audio-analysis/3rN4Df4yPZ9uBF0OQS7oyY,309773,4
Acrylic Iro no Bishou,0.556,0.549,0,-9.04,0,0.0252,0.386,0.000138,0.0686,0.466,74.971,audio_features,6w4bA2WqchCbJ2cVna1qf8,spotify:track:6w4bA2WqchCbJ2cVna1qf8,https://api.spotify.com/v1/tracks/6w4bA2WqchCbJ2cVna1qf8,https://api.spotify.com/v1/audio-analysis/6w4bA2WqchCbJ2cVna1qf8,276733,4
Kaze wo Dakishimete,0.771,0.497,6,-12.916,1,0.0275,0.645,4.41e-05,0.179,0.926,103.086,audio_features,75DQR8fSuv2m3PL7ypfwcl,spotify:track:75DQR8fSuv2m3PL7ypfwcl,https://api.spotify.com/v1/tracks/75DQR8fSuv2m3PL7ypfwcl,https://api.spotify.com/v1/audio-analysis/75DQR8fSuv2m3PL7ypfwcl,242307,3
Natsu no Polaroid,0.679,0.774,7,-5.733,0,0.0288,0.156,9.72e-05,0.319,0.811,109.775,audio_features,0tKvThVjDmtq1uMvcXNPM7,spotify:track:0tKvThVjDmtq1uMvcXNPM7,https://api.spotify.com/v1/tracks/0tKvThVjDmtq1uMvcXNPM7,https://api.spotify.com/v1/audio-analysis/0tKvThVjDmtq1uMvcXNPM7,297213,4
7th Ave.,0.628,0.955,7,-4.622,0,0.0457,0.16,0.000533,0.054,0.945,117.813,audio_features,67oCEGPfx2czJ2K1dapLfX,spotify:track:67oCEGPfx2czJ2K1dapLfX,https://api.spotify.com/v1/tracks/67oCEGPfx2czJ2K1dapLfX,https://api.spotify.com/v1/audio-analysis/67oCEGPfx2czJ2K1dapLfX,269880,4
Rooms,0.658,0.667,9,-7.377,0,0.0243,0.45,3.39e-05,0.103,0.572,113.773,audio_features,7zw8muZBaKHGMgraEW4Gpr,spotify:track:7zw8muZBaKHGMgraEW4Gpr,https://api.spotify.com/v1/tracks/7zw8muZBaKHGMgraEW4Gpr,https://api.spotify.com/v1/audio-analysis/7zw8muZBaKHGMgraEW4Gpr,306613,4
Omoigakenai Situation,0.623,0.955,5,-4.34,0,0.0575,0.143,0.000236,0.33,0.929,147.743,audio_features,6P5S6Q3ZiakCrnSIQsErV9,spotify:track:6P5S6Q3ZiakCrnSIQsErV9,https://api.spotify.com/v1/tracks/6P5S6Q3ZiakCrnSIQsErV9,https://api.spotify.com/v1/audio-analysis/6P5S6Q3ZiakCrnSIQsErV9,257400,4
Shiosai no Toki (The Sound of Waves),0.626,0.889,11,-3.963,0,0.0393,0.142,1.8e-06,0.139,0.717,102.688,audio_features,7BcHRZCpRkb4BkJfl73lHE,spotify:track:7BcHRZCpRkb4BkJfl73lHE,https://api.spotify.com/v1/tracks/7BcHRZCpRkb4BkJfl73lHE,https://api.spotify.com/v1/audio-analysis/7BcHRZCpRkb4BkJfl73lHE,346573,4
Boku Niwa Kimi Dake,0.559,0.875,5,-5.81,1,0.0526,0.306,0,0.187,0.93,174.471,audio_features,0jBrroTpf4K7Z7a7N7K320,spotify:track:0jBrroTpf4K7Z7a7N7K320,https://api.spotify.com/v1/tracks/0jBrroTpf4K7Z7a7N7K320,https://api.spotify.com/v1/audio-analysis/0jBrroTpf4K7Z7a7N7K320,262640,4
This Time,0.705,0.938,5,-4.58,0,0.0412,0.221,0.000357,0.236,0.965,110.825,audio_features,5RyxosOrL5BDGdJr7Ywv7s,spotify:track:5RyxosOrL5BDGdJr7Ywv7s,https://api.spotify.com/v1/tracks/5RyxosOrL5BDGdJr7Ywv7s,https://api.spotify.com/v1/audio-analysis/5RyxosOrL5BDGdJr7Ywv7s,297600,4
Namida ga Kimi wo Wasurenai,0.54,0.494,7,-6.382,1,0.0263,0.39,0,0.0866,0.136,133.707,audio_features,7xrx2EH2acUj8i9xvFJFaP,spotify:track:7xrx2EH2acUj8i9xvFJFaP,https://api.spotify.com/v1/tracks/7xrx2EH2acUj8i9xvFJFaP,https://api.spotify.com/v1/audio-analysis/7xrx2EH2acUj8i9xvFJFaP,279480,4
Kimi ga Ita Kyuujitsu,0.44,0.505,7,-8.124,1,0.0292,0.637,6.32e-06,0.109,0.206,78.806,audio_features,33snBh8ViDAZZHYFKr9HVN,spotify:track:33snBh8ViDAZZHYFKr9HVN,https://api.spotify.com/v1/tracks/33snBh8ViDAZZHYFKr9HVN,https://api.spotify.com/v1/audio-analysis/33snBh8ViDAZZHYFKr9HVN,314147,4
Shizumiyuku Diamond,0.553,0.771,0,-7.078,1,0.0338,0.0176,2.14e-06,0.0839,0.136,99.726,audio_features,77PBlyd1HavOS7QOYFuOFf,spotify:track:77PBlyd1HavOS7QOYFuOFf,https://api.spotify.com/v1/tracks/77PBlyd1HavOS7QOYFuOFf,https://api.spotify.com/v1/audio-analysis/77PBlyd1HavOS7QOYFuOFf,314413,4
Jumpaku no Hasu no Hana,0.598,0.343,0,-15.445,1,0.0415,0.96,0.929,0.15,0.358,87.622,audio_features,1UenLyLH0q8bzAvVZ6FN93,spotify:track:1UenLyLH0q8bzAvVZ6FN93,https://api.spotify.com/v1/tracks/1UenLyLH0q8bzAvVZ6FN93,https://api.spotify.com/v1/audio-analysis/1UenLyLH0q8bzAvVZ6FN93,252707,4
Kowareta Taiyo - Original Karaoke,0.558,0.529,2,-8.927,1,0.0272,0.0013,0.753,0.091,0.281,141.917,audio_features,5ILr2oNZHzhtevFTxvUX7a,spotify:track:5ILr2oNZHzhtevFTxvUX7a,https://api.spotify.com/v1/tracks/5ILr2oNZHzhtevFTxvUX7a,https://api.spotify.com/v1/audio-analysis/5ILr2oNZHzhtevFTxvUX7a,366560,4
"""Kusareen"" Mo Iisa",0.644,0.899,6,-6.807,0,0.0355,0.104,0.000302,0.147,0.844,109.047,audio_features,1TVUgbqgZXUj4BkJI6c2xT,spotify:track:1TVUgbqgZXUj4BkJI6c2xT,https://api.spotify.com/v1/tracks/1TVUgbqgZXUj4BkJI6c2xT,https://api.spotify.com/v1/audio-analysis/1TVUgbqgZXUj4BkJI6c2xT,353120,4
With,0.542,0.347,4,-9.304,0,0.0241,0.872,1.17e-06,0.107,0.477,167.646,audio_features,1lR3yKmYJkfMfJNI3H08j3,spotify:track:1lR3yKmYJkfMfJNI3H08j3,https://api.spotify.com/v1/tracks/1lR3yKmYJkfMfJNI3H08j3,https://api.spotify.com/v1/audio-analysis/1lR3yKmYJkfMfJNI3H08j3,224960,4
Get Started,0.534,0.801,2,-5.777,1,0.0369,0.281,1.53e-06,0.338,0.553,74.976,audio_features,02XDBCsvZHMQki0qzJlVQ2,spotify:track:02XDBCsvZHMQki0qzJlVQ2,https://api.spotify.com/v1/tracks/02XDBCsvZHMQki0qzJlVQ2,https://api.spotify.com/v1/audio-analysis/02XDBCsvZHMQki0qzJlVQ2,288333,4
I Wanna Dance,0.515,0.951,7,-4.917,1,0.0489,0.00722,0.206,0.0874,0.28,119.975,audio_features,03atnJoDNsoqcvJ3DbtrZx,spotify:track:03atnJoDNsoqcvJ3DbtrZx,https://api.spotify.com/v1/tracks/03atnJoDNsoqcvJ3DbtrZx,https://api.spotify.com/v1/audio-analysis/03atnJoDNsoqcvJ3DbtrZx,326267,4
Kaze wo Dakishimete - Remix,0.662,0.812,1,-4.488,1,0.0264,0.16,0.000385,0.337,0.837,103.017,audio_features,3DVORisPg77bKL5cFeAg0k,spotify:track:3DVORisPg77bKL5cFeAg0k,https://api.spotify.com/v1/tracks/3DVORisPg77bKL5cFeAg0k,https://api.spotify.com/v1/audio-analysis/3DVORisPg77bKL5cFeAg0k,243667,4
Gelato wa Kyujitsu no Kouen de,0.479,0.182,0,-16.322,1,0.0322,0.976,0.687,0.109,0.2,135.929,audio_features,2zkUFDxwIR9ItBqHiErfUy,spotify:track:2zkUFDxwIR9ItBqHiErfUy,https://api.spotify.com/v1/tracks/2zkUFDxwIR9ItBqHiErfUy,https://api.spotify.com/v1/audio-analysis/2zkUFDxwIR9ItBqHiErfUy,175760,4
