name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
青春狂騒曲,0.297,0.934,7,-2.205,1,0.0787,0.000257,1.69e-06,0.225,0.421,136.254,audio_features,3zE6YLb2IBb8NriBuuXWQd,spotify:track:3zE6YLb2IBb8NriBuuXWQd,https://api.spotify.com/v1/tracks/3zE6YLb2IBb8NriBuuXWQd,https://api.spotify.com/v1/audio-analysis/3zE6YLb2IBb8NriBuuXWQd,286187,4
世界はそれを愛と呼ぶんだぜ(アルバムバージョン),0.305,0.866,9,-3.966,1,0.0542,5.12e-05,1.14e-06,0.176,0.57,141.767,audio_features,3DqDcoihfqU7b9kBh9PqXj,spotify:track:3DqDcoihfqU7b9kBh9PqXj,https://api.spotify.com/v1/tracks/3DqDcoihfqU7b9kBh9PqXj,https://api.spotify.com/v1/audio-analysis/3DqDcoihfqU7b9kBh9PqXj,311160,4
青春狂騒曲,0.313,0.937,7,-2.197,1,0.0831,0.000282,2.42e-06,0.186,0.445,136.311,audio_features,5ZxQUxB8848Q3muY9xoPx4,spotify:track:5ZxQUxB8848Q3muY9xoPx4,https://api.spotify.com/v1/tracks/5ZxQUxB8848Q3muY9xoPx4,https://api.spotify.com/v1/audio-analysis/5ZxQUxB8848Q3muY9xoPx4,286680,4
はじまっていく たかまっていく,0.571,0.876,9,-4.37,1,0.144,0.0337,0,0.324,0.722,149.997,audio_features,0YNCH9g8CqoCZ71lN49FKB,spotify:track:0YNCH9g8CqoCZ71lN49FKB,https://api.spotify.com/v1/tracks/0YNCH9g8CqoCZ71lN49FKB,https://api.spotify.com/v1/audio-analysis/0YNCH9g8CqoCZ71lN49FKB,249133,4
美しき人間の日々(サンボマスターは君に語りかけるバージョン),0.368,0.96,7,-2.662,1,0.0791,0.000418,1.72e-05,0.168,0.291,103.362,audio_features,0K8dBhNsmd9TPou0xaOncj,spotify:track:0K8dBhNsmd9TPou0xaOncj,https://api.spotify.com/v1/tracks/0K8dBhNsmd9TPou0xaOncj,https://api.spotify.com/v1/audio-analysis/0K8dBhNsmd9TPou0xaOncj,211960,4
Stand by me & you,0.512,0.71,8,-4.071,1,0.0719,0.00523,1.16e-06,0.3,0.734,77.116,audio_features,4f7NwlUEDO3A8bemUCAqVd,spotify:track:4f7NwlUEDO3A8bemUCAqVd,https://api.spotify.com/v1/tracks/4f7NwlUEDO3A8bemUCAqVd,https://api.spotify.com/v1/audio-analysis/4f7NwlUEDO3A8bemUCAqVd,288773,4
世界をかえさせておくれよ,0.376,0.973,6,-2.85,0,0.187,0.000325,7.71e-06,0.346,0.764,176.034,audio_features,5dB6ZkbIYPlJrWV1yn4xNK,spotify:track:5dB6ZkbIYPlJrWV1yn4xNK,https://api.spotify.com/v1/tracks/5dB6ZkbIYPlJrWV1yn4xNK,https://api.spotify.com/v1/audio-analysis/5dB6ZkbIYPlJrWV1yn4xNK,167920,4
できっこないを やらなくちゃ,0.409,0.978,9,-2.63,1,0.0683,7.58e-05,0,0.117,0.549,139.883,audio_features,0yeMceaGqfPNLWzflUg079,spotify:track:0yeMceaGqfPNLWzflUg079,https://api.spotify.com/v1/tracks/0yeMceaGqfPNLWzflUg079,https://api.spotify.com/v1/audio-analysis/0yeMceaGqfPNLWzflUg079,217920,4
青春狂騒曲(NARUTO-ナルト-Opening MIX),0.399,0.932,7,-2.515,1,0.0901,0.0017,1.15e-06,0.154,0.658,135.057,audio_features,61D847295rdJjBZYp09gGx,spotify:track:61D847295rdJjBZYp09gGx,https://api.spotify.com/v1/tracks/61D847295rdJjBZYp09gGx,https://api.spotify.com/v1/audio-analysis/61D847295rdJjBZYp09gGx,92733,4
君を守って 君を愛して,0.366,0.918,0,-2.321,1,0.0449,0.00114,2.94e-06,0.134,0.612,138.043,audio_features,3QlwXL0B77SPSvvCXzv0y3,spotify:track:3QlwXL0B77SPSvvCXzv0y3,https://api.spotify.com/v1/tracks/3QlwXL0B77SPSvvCXzv0y3,https://api.spotify.com/v1/audio-analysis/3QlwXL0B77SPSvvCXzv0y3,289160,4
きみのキレイに気づいておくれ,0.595,0.712,2,-3.92,1,0.0496,0.0167,0,0.0672,0.662,105.126,audio_features,07w0Wr8bYuxXB9gmDvzbo2,spotify:track:07w0Wr8bYuxXB9gmDvzbo2,https://api.spotify.com/v1/tracks/07w0Wr8bYuxXB9gmDvzbo2,https://api.spotify.com/v1/audio-analysis/07w0Wr8bYuxXB9gmDvzbo2,226000,4
これで自由になったのだ,0.265,0.972,4,-1.929,0,0.089,5.27e-05,2.39e-06,0.269,0.398,103.955,audio_features,4mRJAeN1EfbBVaL2Vw06OY,spotify:track:4mRJAeN1EfbBVaL2Vw06OY,https://api.spotify.com/v1/tracks/4mRJAeN1EfbBVaL2Vw06OY,https://api.spotify.com/v1/audio-analysis/4mRJAeN1EfbBVaL2Vw06OY,199827,4
月に咲く花のようになるの,0.469,0.909,2,-1.659,0,0.0485,0.182,0,0.122,0.641,121.113,audio_features,6R8LCBGg4OSUI6hoHlgSpU,spotify:track:6R8LCBGg4OSUI6hoHlgSpU,https://api.spotify.com/v1/tracks/6R8LCBGg4OSUI6hoHlgSpU,https://api.spotify.com/v1/audio-analysis/6R8LCBGg4OSUI6hoHlgSpU,227253,4
