name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
In the sun again,0.844,0.701,1,-10.232,1,0.0453,0.593,0.179,0.0724,0.968,106.99,audio_features,7uMP8ryVgMtkZIX2aB96ki,spotify:track:7uMP8ryVgMtkZIX2aB96ki,https://api.spotify.com/v1/tracks/7uMP8ryVgMtkZIX2aB96ki,https://api.spotify.com/v1/audio-analysis/7uMP8ryVgMtkZIX2aB96ki,169992,4
Kokoro ni Kumo wo Motsu Shonen,0.395,0.965,0,-3.956,1,0.0605,0.265,0.000183,0.266,0.659,194.111,audio_features,0fPRu3MqUxtqZtfKeZf9Ro,spotify:track:0fPRu3MqUxtqZtfKeZf9Ro,https://api.spotify.com/v1/tracks/0fPRu3MqUxtqZtfKeZf9Ro,https://api.spotify.com/v1/audio-analysis/0fPRu3MqUxtqZtfKeZf9Ro,229099,4
Sayonara pool boy,0.798,0.694,9,-10.612,1,0.0746,0.759,0.00787,0.114,0.411,90.024,audio_features,6M6RzBIZITKbUOE4C5p8dS,spotify:track:6M6RzBIZITKbUOE4C5p8dS,https://api.spotify.com/v1/tracks/6M6RzBIZITKbUOE4C5p8dS,https://api.spotify.com/v1/audio-analysis/6M6RzBIZITKbUOE4C5p8dS,234032,4
Setsuna,0.524,0.853,7,-6.143,0,0.0289,0.0724,0.0185,0.274,0.836,131.048,audio_features,3ZS8T80CXCWvMxr2nNejEk,spotify:track:3ZS8T80CXCWvMxr2nNejEk,https://api.spotify.com/v1/tracks/3ZS8T80CXCWvMxr2nNejEk,https://api.spotify.com/v1/audio-analysis/3ZS8T80CXCWvMxr2nNejEk,259185,4
Haru no Kaze,0.329,0.936,4,-3.999,1,0.174,0.0259,2.15e-06,0.168,0.293,173.667,audio_features,24oGOStuBCTOYNwRKnWDcA,spotify:track:24oGOStuBCTOYNwRKnWDcA,https://api.spotify.com/v1/tracks/24oGOStuBCTOYNwRKnWDcA,https://api.spotify.com/v1/audio-analysis/24oGOStuBCTOYNwRKnWDcA,189255,4
Kowareso,0.399,0.701,1,-5.551,1,0.0591,0.0216,1.9e-06,0.117,0.618,166.656,audio_features,3Z3RDXIcMsCQ3GJB32Q5qg,spotify:track:3Z3RDXIcMsCQ3GJB32Q5qg,https://api.spotify.com/v1/tracks/3Z3RDXIcMsCQ3GJB32Q5qg,https://api.spotify.com/v1/audio-analysis/3Z3RDXIcMsCQ3GJB32Q5qg,235744,4
Natsu no Nioi,0.47,0.938,0,-6.505,1,0.0554,0.00427,4e-05,0.422,0.811,99.575,audio_features,2DRE0dx7wbi1QpPwXQXTqI,spotify:track:2DRE0dx7wbi1QpPwXQXTqI,https://api.spotify.com/v1/tracks/2DRE0dx7wbi1QpPwXQXTqI,https://api.spotify.com/v1/audio-analysis/2DRE0dx7wbi1QpPwXQXTqI,67456,4
Ajisai,0.606,0.603,1,-6.89,1,0.0334,0.0492,0.00555,0.0953,0.45,118.936,audio_features,2qNc3c7IE5OVGeti4tneY5,spotify:track:2qNc3c7IE5OVGeti4tneY5,https://api.spotify.com/v1/tracks/2qNc3c7IE5OVGeti4tneY5,https://api.spotify.com/v1/audio-analysis/2qNc3c7IE5OVGeti4tneY5,259160,4
Seishun Kyosokyoku,0.573,0.775,0,-6.272,1,0.0345,0.0234,9.32e-06,0.107,0.809,95.129,audio_features,0rfLbgVwhZ2Q6UxArAO2Oq,spotify:track:0rfLbgVwhZ2Q6UxArAO2Oq,https://api.spotify.com/v1/tracks/0rfLbgVwhZ2Q6UxArAO2Oq,https://api.spotify.com/v1/audio-analysis/0rfLbgVwhZ2Q6UxArAO2Oq,199693,4
baby blue,0.61,0.42,7,-9.294,1,0.029,0.602,0.00357,0.0701,0.377,145.476,audio_features,2wldHC1OM7TOO1L1NUJKqi,spotify:track:2wldHC1OM7TOO1L1NUJKqi,https://api.spotify.com/v1/tracks/2wldHC1OM7TOO1L1NUJKqi,https://api.spotify.com/v1/audio-analysis/2wldHC1OM7TOO1L1NUJKqi,220800,4
