name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
黎明第二稿,0.373,0.176,9,-12.302,1,0.0442,0.992,0.898,0.0955,0.0367,71.059,audio_features,5VIWoOciDLpzpxkhoXieoZ,spotify:track:5VIWoOciDLpzpxkhoXieoZ,https://api.spotify.com/v1/tracks/5VIWoOciDLpzpxkhoXieoZ,https://api.spotify.com/v1/audio-analysis/5VIWoOciDLpzpxkhoXieoZ,369520,3
Prelude Op.28 No.15,0.385,0.142,1,-13.136,1,0.0371,0.932,0.256,0.324,0.0418,116.331,audio_features,6mDK6S8vj8Vermz5DhwdYu,spotify:track:6mDK6S8vj8Vermz5DhwdYu,https://api.spotify.com/v1/tracks/6mDK6S8vj8Vermz5DhwdYu,https://api.spotify.com/v1/audio-analysis/6mDK6S8vj8Vermz5DhwdYu,413587,4
TARKUS-ERUPTION,0.367,0.34,10,-11.218,1,0.0387,0.947,0.897,0.0723,0.179,141.358,audio_features,6CNDEHkjOa7jEKzlCeQVv0,spotify:track:6CNDEHkjOa7jEKzlCeQVv0,https://api.spotify.com/v1/tracks/6CNDEHkjOa7jEKzlCeQVv0,https://api.spotify.com/v1/audio-analysis/6CNDEHkjOa7jEKzlCeQVv0,214507,4
Engage,0.474,0.905,0,-5.94,1,0.0376,0.676,0.503,0.765,0.61,81.341,audio_features,7wCaAmbRF6weppK1M2fJQJ,spotify:track:7wCaAmbRF6weppK1M2fJQJ,https://api.spotify.com/v1/tracks/7wCaAmbRF6weppK1M2fJQJ,https://api.spotify.com/v1/audio-analysis/7wCaAmbRF6weppK1M2fJQJ,176840,4
NIGHT LIGHT,0.442,0.0663,9,-17.994,0,0.0661,0.985,0.891,0.115,0.0362,85.762,audio_features,3xeU2SnVMXKPZrFtE87Gr1,spotify:track:3xeU2SnVMXKPZrFtE87Gr1,https://api.spotify.com/v1/tracks/3xeU2SnVMXKPZrFtE87Gr1,https://api.spotify.com/v1/audio-analysis/3xeU2SnVMXKPZrFtE87Gr1,197627,4
MUSICA PER AMICI PER PIANOFORTE,0.622,0.0223,8,-15.55,1,0.133,0.983,0.803,0.12,0.11,113.63,audio_features,1Q45AeKDWeaL92lJ94nLYu,spotify:track:1Q45AeKDWeaL92lJ94nLYu,https://api.spotify.com/v1/tracks/1Q45AeKDWeaL92lJ94nLYu,https://api.spotify.com/v1/audio-analysis/1Q45AeKDWeaL92lJ94nLYu,291133,4
The Trilogy Sonata,0.214,0.282,4,-15.16,0,0.0375,0.99,0.873,0.101,0.0692,127.681,audio_features,1rEw0CoyDzOf5RrfBmJeju,spotify:track:1rEw0CoyDzOf5RrfBmJeju,https://api.spotify.com/v1/tracks/1rEw0CoyDzOf5RrfBmJeju,https://api.spotify.com/v1/audio-analysis/1rEw0CoyDzOf5RrfBmJeju,441853,3
夜歩く,0.369,0.637,5,-9.809,0,0.0298,0.0108,0.576,0.153,0.793,130.011,audio_features,4xURVSbdgyy4UEAsW6vJ7q,spotify:track:4xURVSbdgyy4UEAsW6vJ7q,https://api.spotify.com/v1/tracks/4xURVSbdgyy4UEAsW6vJ7q,https://api.spotify.com/v1/audio-analysis/4xURVSbdgyy4UEAsW6vJ7q,277973,4
Burning Hell,0.604,0.601,11,-9.728,0,0.0309,0.435,0.843,0.11,0.388,143.073,audio_features,6ZaTJCOsrdO32EIxgMSasB,spotify:track:6ZaTJCOsrdO32EIxgMSasB,https://api.spotify.com/v1/tracks/6ZaTJCOsrdO32EIxgMSasB,https://api.spotify.com/v1/audio-analysis/6ZaTJCOsrdO32EIxgMSasB,145213,4
AKEBONO(1991年版),0.375,0.314,3,-12.6,1,0.0334,0.971,0.879,0.095,0.138,73.874,audio_features,5SJwEYqTsf2c0r3SSwpFKO,spotify:track:5SJwEYqTsf2c0r3SSwpFKO,https://api.spotify.com/v1/tracks/5SJwEYqTsf2c0r3SSwpFKO,https://api.spotify.com/v1/audio-analysis/5SJwEYqTsf2c0r3SSwpFKO,280907,4
サンフランシスコ,0.418,0.994,0,-5.436,1,0.137,0.000116,0.45,0.0606,0.144,140.004,audio_features,4rOhc9c841fHcSPX2WJYpN,spotify:track:4rOhc9c841fHcSPX2WJYpN,https://api.spotify.com/v1/tracks/4rOhc9c841fHcSPX2WJYpN,https://api.spotify.com/v1/audio-analysis/4rOhc9c841fHcSPX2WJYpN,276747,4
FLASH'S THEME,0.432,0.583,2,-12.079,1,0.0378,0.943,0.894,0.1,0.0379,116.956,audio_features,0y5ccli2zqbHWAlDatZJgz,spotify:track:0y5ccli2zqbHWAlDatZJgz,https://api.spotify.com/v1/tracks/0y5ccli2zqbHWAlDatZJgz,https://api.spotify.com/v1/audio-analysis/0y5ccli2zqbHWAlDatZJgz,162747,1
THE金鶴~Theme of The Golden Crane,0.576,0.325,9,-11.557,0,0.0321,0.867,0.813,0.0922,0.339,161.995,audio_features,66XWaAorl0Cno7jVE3bEra,spotify:track:66XWaAorl0Cno7jVE3bEra,https://api.spotify.com/v1/tracks/66XWaAorl0Cno7jVE3bEra,https://api.spotify.com/v1/audio-analysis/66XWaAorl0Cno7jVE3bEra,262800,4
