name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
ストレート,0.55,0.246,6,-12.618,0,0.0304,0.892,2.18e-06,0.109,0.35,139.865,audio_features,5rcxdVN3XwjOGNpo6CZxj8,spotify:track:5rcxdVN3XwjOGNpo6CZxj8,https://api.spotify.com/v1/tracks/5rcxdVN3XwjOGNpo6CZxj8,https://api.spotify.com/v1/audio-analysis/5rcxdVN3XwjOGNpo6CZxj8,288973,4
21才,0.674,0.607,0,-9.416,0,0.0263,0.121,7.99e-05,0.0589,0.668,96.316,audio_features,3DHSAPdBT1WwXBSb649wXr,spotify:track:3DHSAPdBT1WwXBSb649wXr,https://api.spotify.com/v1/tracks/3DHSAPdBT1WwXBSb649wXr,https://api.spotify.com/v1/audio-analysis/3DHSAPdBT1WwXBSb649wXr,233160,4
# 4006,0.584,0.228,11,-10.241,1,0.0329,0.899,0,0.0897,0.355,110.308,audio_features,4kf6B1JwKqFYCd8XSmM8C0,spotify:track:4kf6B1JwKqFYCd8XSmM8C0,https://api.spotify.com/v1/tracks/4kf6B1JwKqFYCd8XSmM8C0,https://api.spotify.com/v1/audio-analysis/4kf6B1JwKqFYCd8XSmM8C0,197160,4
11月の海,0.309,0.419,5,-11.621,0,0.0471,0.696,2.33e-05,0.688,0.0781,64.041,audio_features,0cmSG2bZeXLGK3XIYqimaE,spotify:track:0cmSG2bZeXLGK3XIYqimaE,https://api.spotify.com/v1/tracks/0cmSG2bZeXLGK3XIYqimaE,https://api.spotify.com/v1/audio-analysis/0cmSG2bZeXLGK3XIYqimaE,264200,4
雨雪風,0.548,0.484,11,-9.948,0,0.0282,0.384,3.68e-06,0.141,0.486,123.589,audio_features,0iEkrhJejz0QOFWj3wz867,spotify:track:0iEkrhJejz0QOFWj3wz867,https://api.spotify.com/v1/tracks/0iEkrhJejz0QOFWj3wz867,https://api.spotify.com/v1/audio-analysis/0iEkrhJejz0QOFWj3wz867,227040,4
春よ恋,0.588,0.299,0,-8.774,1,0.0277,0.812,2.48e-06,0.119,0.252,100.031,audio_features,3jJsvutg7Za4syfJmUwGTW,spotify:track:3jJsvutg7Za4syfJmUwGTW,https://api.spotify.com/v1/tracks/3jJsvutg7Za4syfJmUwGTW,https://api.spotify.com/v1/audio-analysis/3jJsvutg7Za4syfJmUwGTW,242027,4
あんた,0.574,0.395,11,-11.443,1,0.0311,0.638,0,0.0692,0.28,115.682,audio_features,71NJImZ7lIrZL9NLaxLlbl,spotify:track:71NJImZ7lIrZL9NLaxLlbl,https://api.spotify.com/v1/tracks/71NJImZ7lIrZL9NLaxLlbl,https://api.spotify.com/v1/audio-analysis/71NJImZ7lIrZL9NLaxLlbl,265640,4
本日も晴天なり,0.672,0.488,11,-8.232,0,0.0269,0.531,2.46e-05,0.214,0.488,115.611,audio_features,1471grAkpxBKuwACqNdVGU,spotify:track:1471grAkpxBKuwACqNdVGU,https://api.spotify.com/v1/tracks/1471grAkpxBKuwACqNdVGU,https://api.spotify.com/v1/audio-analysis/1471grAkpxBKuwACqNdVGU,231653,4
君と,0.708,0.218,1,-12.642,0,0.0314,0.912,7.44e-06,0.0975,0.348,109.652,audio_features,296nXF3D47IJHMf5fgOQBa,spotify:track:296nXF3D47IJHMf5fgOQBa,https://api.spotify.com/v1/tracks/296nXF3D47IJHMf5fgOQBa,https://api.spotify.com/v1/audio-analysis/296nXF3D47IJHMf5fgOQBa,238360,4
春,0.365,0.173,11,-11.274,0,0.0302,0.903,0,0.146,0.3,157.507,audio_features,1jF0TKeJoIXg3LlpUt2vTe,spotify:track:1jF0TKeJoIXg3LlpUt2vTe,https://api.spotify.com/v1/tracks/1jF0TKeJoIXg3LlpUt2vTe,https://api.spotify.com/v1/audio-analysis/1jF0TKeJoIXg3LlpUt2vTe,214293,4
万感,0.648,0.222,10,-10.216,0,0.0259,0.806,0,0.189,0.55,96.749,audio_features,1HWyOkAxJkoSQOcS43un4Q,spotify:track:1HWyOkAxJkoSQOcS43un4Q,https://api.spotify.com/v1/tracks/1HWyOkAxJkoSQOcS43un4Q,https://api.spotify.com/v1/audio-analysis/1HWyOkAxJkoSQOcS43un4Q,266867,4
じょうだんだよ,0.617,0.51,11,-8.489,0,0.0266,0.802,0.000155,0.186,0.63,135.834,audio_features,2XlFtHLanE8XDE6ojDi7wx,spotify:track:2XlFtHLanE8XDE6ojDi7wx,https://api.spotify.com/v1/tracks/2XlFtHLanE8XDE6ojDi7wx,https://api.spotify.com/v1/audio-analysis/2XlFtHLanE8XDE6ojDi7wx,254333,4
表情音痴,0.456,0.249,10,-10.27,0,0.0288,0.754,0,0.139,0.0661,125.365,audio_features,3Yz3Cwo0mvbxmrkQV19rK5,spotify:track:3Yz3Cwo0mvbxmrkQV19rK5,https://api.spotify.com/v1/tracks/3Yz3Cwo0mvbxmrkQV19rK5,https://api.spotify.com/v1/audio-analysis/3Yz3Cwo0mvbxmrkQV19rK5,308400,3
終点駅,0.272,0.101,1,-14.419,1,0.036,0.983,0,0.0969,0.121,69.779,audio_features,0po3eMWjVNr4aDyoaid4hD,spotify:track:0po3eMWjVNr4aDyoaid4hD,https://api.spotify.com/v1/tracks/0po3eMWjVNr4aDyoaid4hD,https://api.spotify.com/v1/audio-analysis/0po3eMWjVNr4aDyoaid4hD,244120,3
瞳,0.634,0.236,8,-9.431,0,0.0282,0.4,0,0.0707,0.354,122.663,audio_features,4jCV5oq4Bu4m4JBibFy8XZ,spotify:track:4jCV5oq4Bu4m4JBibFy8XZ,https://api.spotify.com/v1/tracks/4jCV5oq4Bu4m4JBibFy8XZ,https://api.spotify.com/v1/audio-analysis/4jCV5oq4Bu4m4JBibFy8XZ,280520,4
飲もうよ,0.663,0.168,10,-13.505,1,0.0309,0.967,0.000106,0.0941,0.273,96.109,audio_features,6f0gKz6M83wONg8ajzw5PV,spotify:track:6f0gKz6M83wONg8ajzw5PV,https://api.spotify.com/v1/tracks/6f0gKz6M83wONg8ajzw5PV,https://api.spotify.com/v1/audio-analysis/6f0gKz6M83wONg8ajzw5PV,220040,3
