name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
TONDEMO-WONDERZ,0.671,0.913,0,-4.205,1,0.0561,0.179,0,0.304,0.96,172.063,audio_features,4hrhv3LGlhO0qK21zWeHgW,spotify:track:4hrhv3LGlhO0qK21zWeHgW,https://api.spotify.com/v1/tracks/4hrhv3LGlhO0qK21zWeHgW,https://api.spotify.com/v1/audio-analysis/4hrhv3LGlhO0qK21zWeHgW,195823,4
ÅMARA (The Great Intelligence),0.356,0.875,1,-7.461,1,0.0737,0.0607,0,0.322,0.409,114.149,audio_features,5mFeukL0pUTKjXtrTqGK2u,spotify:track:5mFeukL0pUTKjXtrTqGK2u,https://api.spotify.com/v1/tracks/5mFeukL0pUTKjXtrTqGK2u,https://api.spotify.com/v1/audio-analysis/5mFeukL0pUTKjXtrTqGK2u,195507,4
Introduction,0.432,0.269,1,-16.365,0,0.0504,0.894,0.99,0.0969,0.27,84.541,audio_features,4f32JOnT79sgbgbSBP5XCv,spotify:track:4f32JOnT79sgbgbSBP5XCv,https://api.spotify.com/v1/tracks/4f32JOnT79sgbgbSBP5XCv,https://api.spotify.com/v1/audio-analysis/4f32JOnT79sgbgbSBP5XCv,34880,1
Decadence,0.611,0.88,1,-5.955,1,0.0912,0.0284,0,0.344,0.655,119.986,audio_features,65tPQdbKnbib1qSVtfogF6,spotify:track:65tPQdbKnbib1qSVtfogF6,https://api.spotify.com/v1/tracks/65tPQdbKnbib1qSVtfogF6,https://api.spotify.com/v1/audio-analysis/65tPQdbKnbib1qSVtfogF6,179923,4
"Hello, Planet",0.672,0.884,7,-3.925,1,0.137,0.149,0,0.13,0.526,150.03,audio_features,4HV2zdfNV6hxc9f97jtDh5,spotify:track:4HV2zdfNV6hxc9f97jtDh5,https://api.spotify.com/v1/tracks/4HV2zdfNV6hxc9f97jtDh5,https://api.spotify.com/v1/audio-analysis/4HV2zdfNV6hxc9f97jtDh5,301200,4
39,0.489,0.818,6,-3.723,1,0.0354,0.0144,0,0.044,0.856,175.069,audio_features,3wmmuJJ1G9Ykkhp3NAqk8u,spotify:track:3wmmuJJ1G9Ykkhp3NAqk8u,https://api.spotify.com/v1/tracks/3wmmuJJ1G9Ykkhp3NAqk8u,https://api.spotify.com/v1/audio-analysis/3wmmuJJ1G9Ykkhp3NAqk8u,219980,4
The Day You Left,0.653,0.302,1,-12.266,0,0.358,0.969,0.927,0.0956,0.34,104.374,audio_features,2UOD8LhHysrj7pmSc42OME,spotify:track:2UOD8LhHysrj7pmSc42OME,https://api.spotify.com/v1/tracks/2UOD8LhHysrj7pmSc42OME,https://api.spotify.com/v1/audio-analysis/2UOD8LhHysrj7pmSc42OME,148507,4
フューチャー・イヴ (feat. 初音ミク),0.346,0.932,8,-4.345,1,0.109,0.0697,0,0.183,0.622,97.43,audio_features,4QQJsHq3lyQ0Tj8UI9VVWf,spotify:track:4QQJsHq3lyQ0Tj8UI9VVWf,https://api.spotify.com/v1/tracks/4QQJsHq3lyQ0Tj8UI9VVWf,https://api.spotify.com/v1/audio-analysis/4QQJsHq3lyQ0Tj8UI9VVWf,217000,4
GÜM,0.252,0.801,0,-10.181,1,0.0478,0.55,0.0292,0.0818,0.59,100.534,audio_features,6iCWxYeXuu4R0ADbCcCsG6,spotify:track:6iCWxYeXuu4R0ADbCcCsG6,https://api.spotify.com/v1/tracks/6iCWxYeXuu4R0ADbCcCsG6,https://api.spotify.com/v1/audio-analysis/6iCWxYeXuu4R0ADbCcCsG6,61827,5
the EmpErroR,0.571,0.962,1,-6.417,1,0.0645,0.0328,0.000336,0.299,0.771,119.974,audio_features,1Galpx5s4U4xmjBcDh6o26,spotify:track:1Galpx5s4U4xmjBcDh6o26,https://api.spotify.com/v1/tracks/1Galpx5s4U4xmjBcDh6o26,https://api.spotify.com/v1/audio-analysis/1Galpx5s4U4xmjBcDh6o26,226256,4
