name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
マイ・クラシック,0.658,0.613,2,-12.424,0,0.0334,0.0323,0.001,0.192,0.668,124.179,audio_features,5uUUUd174HDUdu6zWXeU9x,spotify:track:5uUUUd174HDUdu6zWXeU9x,https://api.spotify.com/v1/tracks/5uUUUd174HDUdu6zWXeU9x,https://api.spotify.com/v1/audio-analysis/5uUUUd174HDUdu6zWXeU9x,215493,4
黒い瞳~アモーレ・ミオ~,0.59,0.608,7,-10.325,1,0.0301,0.195,0,0.053,0.744,85.04,audio_features,1wPUMmhggZCAY9QkrPEziZ,spotify:track:1wPUMmhggZCAY9QkrPEziZ,https://api.spotify.com/v1/tracks/1wPUMmhggZCAY9QkrPEziZ,https://api.spotify.com/v1/audio-analysis/1wPUMmhggZCAY9QkrPEziZ,261320,4
旅芸人の恋歌,0.63,0.558,7,-11.692,1,0.101,0.719,0.00015,0.0602,0.821,120.808,audio_features,5vieVHNjLvSq0ia6FHfGBz,spotify:track:5vieVHNjLvSq0ia6FHfGBz,https://api.spotify.com/v1/tracks/5vieVHNjLvSq0ia6FHfGBz,https://api.spotify.com/v1/audio-analysis/5vieVHNjLvSq0ia6FHfGBz,295960,4
少女,0.393,0.169,0,-18.525,1,0.0293,0.728,0.000971,0.0761,0.244,160.235,audio_features,15cCYcGY4hKRXomjg10ucM,spotify:track:15cCYcGY4hKRXomjg10ucM,https://api.spotify.com/v1/tracks/15cCYcGY4hKRXomjg10ucM,https://api.spotify.com/v1/audio-analysis/15cCYcGY4hKRXomjg10ucM,298467,4
CABARET,0.675,0.292,4,-17.125,0,0.0293,0.361,1.4e-05,0.137,0.358,107.659,audio_features,4SPMz3cTLy9Ii0mJAJW7by,spotify:track:4SPMz3cTLy9Ii0mJAJW7by,https://api.spotify.com/v1/tracks/4SPMz3cTLy9Ii0mJAJW7by,https://api.spotify.com/v1/audio-analysis/4SPMz3cTLy9Ii0mJAJW7by,260933,4
Poor Little Girl,0.644,0.813,7,-5.97,1,0.0285,0.00148,0.000353,0.224,0.781,115.842,audio_features,5FGlKaY71ewlVEynLuPED8,spotify:track:5FGlKaY71ewlVEynLuPED8,https://api.spotify.com/v1/tracks/5FGlKaY71ewlVEynLuPED8,https://api.spotify.com/v1/audio-analysis/5FGlKaY71ewlVEynLuPED8,274724,4
Itoshino Dreamin' Girl,0.422,0.797,0,-10.789,0,0.0295,0.0111,2.72e-05,0.272,0.949,192.376,audio_features,2ux1S3HhSMDIQNiRyDKZw1,spotify:track:2ux1S3HhSMDIQNiRyDKZw1,https://api.spotify.com/v1/tracks/2ux1S3HhSMDIQNiRyDKZw1,https://api.spotify.com/v1/audio-analysis/2ux1S3HhSMDIQNiRyDKZw1,199467,4
TOO LONG SPRING,0.794,0.692,5,-9.489,1,0.0491,0.0325,5.97e-06,0.064,0.962,130.391,audio_features,076dmNoqR0waHxNM9UQG11,spotify:track:076dmNoqR0waHxNM9UQG11,https://api.spotify.com/v1/tracks/076dmNoqR0waHxNM9UQG11,https://api.spotify.com/v1/audio-analysis/076dmNoqR0waHxNM9UQG11,221707,4
8 Beat Dream,0.497,0.33,7,-13.996,0,0.0257,0.0826,2.78e-05,0.127,0.398,166.606,audio_features,3JJIwOIiW2lHOWrM9mNkMY,spotify:track:3JJIwOIiW2lHOWrM9mNkMY,https://api.spotify.com/v1/tracks/3JJIwOIiW2lHOWrM9mNkMY,https://api.spotify.com/v1/audio-analysis/3JJIwOIiW2lHOWrM9mNkMY,226267,3
裸足のバレリーナ (Demo Track),0.743,0.653,11,-6.755,0,0.0315,0.000144,0.697,0.093,0.507,93.38,audio_features,3vaoWuyr1LF9W1gXfF2T43,spotify:track:3vaoWuyr1LF9W1gXfF2T43,https://api.spotify.com/v1/tracks/3vaoWuyr1LF9W1gXfF2T43,https://api.spotify.com/v1/audio-analysis/3vaoWuyr1LF9W1gXfF2T43,242176,4
星影のプロフィール,0.384,0.212,7,-11.2,1,0.0293,0.832,1.72e-06,0.0889,0.137,73.376,audio_features,7AVgsXBOQbndk6pXaXq2cP,spotify:track:7AVgsXBOQbndk6pXaXq2cP,https://api.spotify.com/v1/tracks/7AVgsXBOQbndk6pXaXq2cP,https://api.spotify.com/v1/audio-analysis/7AVgsXBOQbndk6pXaXq2cP,223800,4
KIMINI DOUBLE PARKING,0.661,0.694,4,-8.699,1,0.0286,0.0736,1.09e-06,0.119,0.92,111.061,audio_features,6fI4Mxa0RsjpKCGpVP0ojd,spotify:track:6fI4Mxa0RsjpKCGpVP0ojd,https://api.spotify.com/v1/tracks/6fI4Mxa0RsjpKCGpVP0ojd,https://api.spotify.com/v1/audio-analysis/6fI4Mxa0RsjpKCGpVP0ojd,213400,4
たまらないよ,0.77,0.629,2,-10.543,1,0.0552,0.506,0.243,0.089,0.882,104.144,audio_features,7aHZTAVuHJRHprdQKb8TlE,spotify:track:7aHZTAVuHJRHprdQKb8TlE,https://api.spotify.com/v1/tracks/7aHZTAVuHJRHprdQKb8TlE,https://api.spotify.com/v1/audio-analysis/7aHZTAVuHJRHprdQKb8TlE,261293,4
12番街のキャロル,0.637,0.349,2,-14.155,0,0.0305,0.622,0,0.375,0.429,119.643,audio_features,6tXSMwgcCWpvLY2L3PxwAx,spotify:track:6tXSMwgcCWpvLY2L3PxwAx,https://api.spotify.com/v1/tracks/6tXSMwgcCWpvLY2L3PxwAx,https://api.spotify.com/v1/audio-analysis/6tXSMwgcCWpvLY2L3PxwAx,312200,4
