name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
顔,0.204,0.393,0,-8.905,0,0.0305,0.396,0,0.125,0.225,177.3,audio_features,5n1JEEk8mZ9N5gStwAS5Q7,spotify:track:5n1JEEk8mZ9N5gStwAS5Q7,https://api.spotify.com/v1/tracks/5n1JEEk8mZ9N5gStwAS5Q7,https://api.spotify.com/v1/audio-analysis/5n1JEEk8mZ9N5gStwAS5Q7,295000,4
僕は泣いてる,0.662,0.493,11,-8.589,0,0.024,0.46,0.00224,0.138,0.614,97.984,audio_features,4zEokAEgzMsNxUa3pjnTHv,spotify:track:4zEokAEgzMsNxUa3pjnTHv,https://api.spotify.com/v1/tracks/4zEokAEgzMsNxUa3pjnTHv,https://api.spotify.com/v1/audio-analysis/4zEokAEgzMsNxUa3pjnTHv,227453,4
Life is a Winding Road,0.691,0.554,6,-6.952,1,0.0263,0.295,1.34e-05,0.174,0.749,113.018,audio_features,2o9G72rCpj2CBNa4QkcOWl,spotify:track:2o9G72rCpj2CBNa4QkcOWl,https://api.spotify.com/v1/tracks/2o9G72rCpj2CBNa4QkcOWl,https://api.spotify.com/v1/audio-analysis/2o9G72rCpj2CBNa4QkcOWl,362440,4
太陽の彼方,0.639,0.753,3,-6.234,1,0.033,0.0308,0,0.0833,0.753,129.993,audio_features,23JOa1sS5HhyktaKnf7a4g,spotify:track:23JOa1sS5HhyktaKnf7a4g,https://api.spotify.com/v1/tracks/23JOa1sS5HhyktaKnf7a4g,https://api.spotify.com/v1/audio-analysis/23JOa1sS5HhyktaKnf7a4g,282000,4
遠くで,0.478,0.179,4,-11.461,1,0.0278,0.958,3.64e-06,0.107,0.19,79.942,audio_features,3cfh4PLMmjRwbIaMt4pd03,spotify:track:3cfh4PLMmjRwbIaMt4pd03,https://api.spotify.com/v1/tracks/3cfh4PLMmjRwbIaMt4pd03,https://api.spotify.com/v1/audio-analysis/3cfh4PLMmjRwbIaMt4pd03,260800,4
愛のバトン,0.527,0.245,5,-8.818,1,0.0272,0.746,0,0.171,0.161,82.001,audio_features,1YoKCkbYNEn4QyS8KawgOg,spotify:track:1YoKCkbYNEn4QyS8KawgOg,https://api.spotify.com/v1/tracks/1YoKCkbYNEn4QyS8KawgOg,https://api.spotify.com/v1/audio-analysis/1YoKCkbYNEn4QyS8KawgOg,381013,4
クラス会,0.647,0.508,11,-8.217,1,0.028,0.646,0.00114,0.127,0.568,121.991,audio_features,3wHJK0mB7jnLQT6sKBkLTp,spotify:track:3wHJK0mB7jnLQT6sKBkLTp,https://api.spotify.com/v1/tracks/3wHJK0mB7jnLQT6sKBkLTp,https://api.spotify.com/v1/audio-analysis/3wHJK0mB7jnLQT6sKBkLTp,299893,4
CARAVAN,0.652,0.65,1,-6.777,1,0.0259,0.0716,0,0.169,0.753,136.04,audio_features,132HqCZZk6rrZDgFBv1Rpy,spotify:track:132HqCZZk6rrZDgFBv1Rpy,https://api.spotify.com/v1/tracks/132HqCZZk6rrZDgFBv1Rpy,https://api.spotify.com/v1/audio-analysis/132HqCZZk6rrZDgFBv1Rpy,288787,4
大丈夫と100万回叫ぼう,0.559,0.38,11,-7.554,1,0.0284,0.6,0,0.184,0.269,94.917,audio_features,1SVj8tXohuk3GQg6sD0Skr,spotify:track:1SVj8tXohuk3GQg6sD0Skr,https://api.spotify.com/v1/tracks/1SVj8tXohuk3GQg6sD0Skr,https://api.spotify.com/v1/audio-analysis/1SVj8tXohuk3GQg6sD0Skr,346947,4
今日に乾杯!,0.619,0.608,1,-6.072,1,0.029,0.0121,0,0.0665,0.544,138.011,audio_features,6OwDfQZvhonziIndyiSADV,spotify:track:6OwDfQZvhonziIndyiSADV,https://api.spotify.com/v1/tracks/6OwDfQZvhonziIndyiSADV,https://api.spotify.com/v1/audio-analysis/6OwDfQZvhonziIndyiSADV,313027,4
ケセラセラと生きてゆこう,0.704,0.637,5,-5.114,1,0.0267,0.0385,0,0.144,0.777,130.044,audio_features,6mButltB8ILCyeih1SguTP,spotify:track:6mButltB8ILCyeih1SguTP,https://api.spotify.com/v1/tracks/6mButltB8ILCyeih1SguTP,https://api.spotify.com/v1/audio-analysis/6mButltB8ILCyeih1SguTP,341013,4
春になる頃に,0.69,0.352,1,-12.137,0,0.0299,0.822,1.03e-05,0.12,0.546,129.94,audio_features,6WtNsXWMLHumXrx95kFe0Q,spotify:track:6WtNsXWMLHumXrx95kFe0Q,https://api.spotify.com/v1/tracks/6WtNsXWMLHumXrx95kFe0Q,https://api.spotify.com/v1/audio-analysis/6WtNsXWMLHumXrx95kFe0Q,351907,4
蓮の花,0.562,0.153,8,-12.956,0,0.0276,0.904,2.65e-06,0.212,0.228,77.379,audio_features,3C3SHtopdpE6hCKdwjcLLj,spotify:track:3C3SHtopdpE6hCKdwjcLLj,https://api.spotify.com/v1/tracks/3C3SHtopdpE6hCKdwjcLLj,https://api.spotify.com/v1/audio-analysis/3C3SHtopdpE6hCKdwjcLLj,252013,4
