name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Love Balladeは歌えない - 2022 Mastering,0.571,0.758,8,-8.957,1,0.0467,0.55,0,0.637,0.769,164.313,audio_features,6e98nivSKOXUDwmlt1mhqp,spotify:track:6e98nivSKOXUDwmlt1mhqp,https://api.spotify.com/v1/tracks/6e98nivSKOXUDwmlt1mhqp,https://api.spotify.com/v1/audio-analysis/6e98nivSKOXUDwmlt1mhqp,208879,4
TOUCH DOWN,0.456,0.46,7,-8.241,1,0.0288,0.634,2.79e-06,0.159,0.338,74.482,audio_features,3a3FCa3BjUIZW3Q2IqR9ws,spotify:track:3a3FCa3BjUIZW3Q2IqR9ws,https://api.spotify.com/v1/tracks/3a3FCa3BjUIZW3Q2IqR9ws,https://api.spotify.com/v1/audio-analysis/3a3FCa3BjUIZW3Q2IqR9ws,263493,4
Summer Of 1985,0.572,0.615,9,-8.826,1,0.0293,0.161,0,0.0959,0.625,135.856,audio_features,76UJkW2mc7NTewmv2K8xKP,spotify:track:76UJkW2mc7NTewmv2K8xKP,https://api.spotify.com/v1/tracks/76UJkW2mc7NTewmv2K8xKP,https://api.spotify.com/v1/audio-analysis/76UJkW2mc7NTewmv2K8xKP,288493,4
Down Town Alley,0.59,0.726,10,-10.403,1,0.0347,0.291,0,0.0721,0.645,149.452,audio_features,6IU2w9W7UrVe3y1jDuOcW9,spotify:track:6IU2w9W7UrVe3y1jDuOcW9,https://api.spotify.com/v1/tracks/6IU2w9W7UrVe3y1jDuOcW9,https://api.spotify.com/v1/audio-analysis/6IU2w9W7UrVe3y1jDuOcW9,264440,4
ビー・バップ・パラダイス,0.617,0.858,8,-9.175,1,0.0661,0.479,0,0.22,0.727,162.022,audio_features,2Qh1JX9iwNhMOpCzG7kOJZ,spotify:track:2Qh1JX9iwNhMOpCzG7kOJZ,https://api.spotify.com/v1/tracks/2Qh1JX9iwNhMOpCzG7kOJZ,https://api.spotify.com/v1/audio-analysis/2Qh1JX9iwNhMOpCzG7kOJZ,232293,4
ビリー・ジョエルは似合わない,0.7,0.441,6,-13.549,0,0.028,0.167,0,0.124,0.704,129.928,audio_features,7A71iqZYFRovy1mcl5OS58,spotify:track:7A71iqZYFRovy1mcl5OS58,https://api.spotify.com/v1/tracks/7A71iqZYFRovy1mcl5OS58,https://api.spotify.com/v1/audio-analysis/7A71iqZYFRovy1mcl5OS58,277667,4
Down Town Alley,0.597,0.815,10,-7.674,1,0.0358,0.152,0,0.0678,0.622,149.062,audio_features,0uIrw0ufII71YJAo1J1TiV,spotify:track:0uIrw0ufII71YJAo1J1TiV,https://api.spotify.com/v1/tracks/0uIrw0ufII71YJAo1J1TiV,https://api.spotify.com/v1/audio-analysis/0uIrw0ufII71YJAo1J1TiV,263000,4
ビー・バップ・パラダイス,0.617,0.858,8,-9.175,1,0.0661,0.479,0,0.22,0.727,162.022,audio_features,6y6ywZBGwhWSiasFhwiagI,spotify:track:6y6ywZBGwhWSiasFhwiagI,https://api.spotify.com/v1/tracks/6y6ywZBGwhWSiasFhwiagI,https://api.spotify.com/v1/audio-analysis/6y6ywZBGwhWSiasFhwiagI,232293,4
サイレント・ダンサー,0.787,0.417,2,-13.592,0,0.0268,0.318,8.6e-06,0.0546,0.919,107.34,audio_features,5nc74XhVNsShuFIvWdHjNB,spotify:track:5nc74XhVNsShuFIvWdHjNB,https://api.spotify.com/v1/tracks/5nc74XhVNsShuFIvWdHjNB,https://api.spotify.com/v1/audio-analysis/5nc74XhVNsShuFIvWdHjNB,252840,4
LOVE AFFAIR,0.532,0.749,9,-13.752,0,0.0427,0.0614,0,0.029,0.912,207.631,audio_features,3uYpS7KtJWM8wRTXByrUhy,spotify:track:3uYpS7KtJWM8wRTXByrUhy,https://api.spotify.com/v1/tracks/3uYpS7KtJWM8wRTXByrUhy,https://api.spotify.com/v1/audio-analysis/3uYpS7KtJWM8wRTXByrUhy,240827,4
マスカレード,0.722,0.599,9,-12.292,0,0.0267,0.174,9.76e-05,0.201,0.781,129.733,audio_features,6BstWYXgXvaNL005Qxu8lB,spotify:track:6BstWYXgXvaNL005Qxu8lB,https://api.spotify.com/v1/tracks/6BstWYXgXvaNL005Qxu8lB,https://api.spotify.com/v1/audio-analysis/6BstWYXgXvaNL005Qxu8lB,263000,4
ビリー・ジョエルは似合わない,0.7,0.441,6,-13.549,0,0.028,0.167,0,0.124,0.704,129.928,audio_features,66Bh0ZYECm8b2ELi2tdDCv,spotify:track:66Bh0ZYECm8b2ELi2tdDCv,https://api.spotify.com/v1/tracks/66Bh0ZYECm8b2ELi2tdDCv,https://api.spotify.com/v1/audio-analysis/66Bh0ZYECm8b2ELi2tdDCv,277667,4
僕は君を失くしてる,0.561,0.518,2,-12.054,0,0.0328,0.349,1.2e-06,0.361,0.508,77.548,audio_features,4nKlOeFCHHYW8zDFi5WVik,spotify:track:4nKlOeFCHHYW8zDFi5WVik,https://api.spotify.com/v1/tracks/4nKlOeFCHHYW8zDFi5WVik,https://api.spotify.com/v1/audio-analysis/4nKlOeFCHHYW8zDFi5WVik,259507,4
ONE MORE NIGHT TOGETHER,0.547,0.308,9,-12.587,1,0.0283,0.787,0,0.0614,0.149,135.915,audio_features,118HWJnLTFzUdu4graWMeu,spotify:track:118HWJnLTFzUdu4graWMeu,https://api.spotify.com/v1/tracks/118HWJnLTFzUdu4graWMeu,https://api.spotify.com/v1/audio-analysis/118HWJnLTFzUdu4graWMeu,287507,4
$100万 Night,0.51,0.76,7,-10.673,1,0.0408,0.406,0,0.169,0.869,74.54,audio_features,1oNyqZvN9HbR5PYW2sqIeB,spotify:track:1oNyqZvN9HbR5PYW2sqIeB,https://api.spotify.com/v1/tracks/1oNyqZvN9HbR5PYW2sqIeB,https://api.spotify.com/v1/audio-analysis/1oNyqZvN9HbR5PYW2sqIeB,334973,4
Lovingly Beaming,0.668,0.555,5,-13.725,1,0.0328,0.0636,0,0.238,0.838,156.127,audio_features,2TI0oJYi4ocv1lHmV3yc6A,spotify:track:2TI0oJYi4ocv1lHmV3yc6A,https://api.spotify.com/v1/tracks/2TI0oJYi4ocv1lHmV3yc6A,https://api.spotify.com/v1/audio-analysis/2TI0oJYi4ocv1lHmV3yc6A,267827,4
トラブル・サマー,0.678,0.57,10,-12.363,1,0.0322,0.182,2.52e-05,0.0554,0.73,125.858,audio_features,045yaYnP0Kx6gnqYYDP55e,spotify:track:045yaYnP0Kx6gnqYYDP55e,https://api.spotify.com/v1/tracks/045yaYnP0Kx6gnqYYDP55e,https://api.spotify.com/v1/audio-analysis/045yaYnP0Kx6gnqYYDP55e,235000,4
BOYS IN THE MIDNIGHT,0.597,0.675,9,-10.618,1,0.0355,0.441,0,0.405,0.646,133.939,audio_features,390AI13FG4nIy17XqmYXsZ,spotify:track:390AI13FG4nIy17XqmYXsZ,https://api.spotify.com/v1/tracks/390AI13FG4nIy17XqmYXsZ,https://api.spotify.com/v1/audio-analysis/390AI13FG4nIy17XqmYXsZ,311067,4
MOTEL HEAVEN,0.648,0.669,9,-15.474,1,0.0347,0.0515,5.02e-06,0.297,0.949,147.947,audio_features,2QS8zxlMj8AKukabRsiVK9,spotify:track:2QS8zxlMj8AKukabRsiVK9,https://api.spotify.com/v1/tracks/2QS8zxlMj8AKukabRsiVK9,https://api.spotify.com/v1/audio-analysis/2QS8zxlMj8AKukabRsiVK9,255067,4
Love Balladeは歌えない,0.577,0.767,1,-8.336,1,0.0485,0.5,0,0.641,0.806,164.595,audio_features,7tGvNgi7L0QrbLcC2O3twl,spotify:track:7tGvNgi7L0QrbLcC2O3twl,https://api.spotify.com/v1/tracks/7tGvNgi7L0QrbLcC2O3twl,https://api.spotify.com/v1/audio-analysis/7tGvNgi7L0QrbLcC2O3twl,208507,4
眠れない…,0.735,0.499,9,-15.011,0,0.0322,0.191,5.76e-06,0.365,0.804,119.925,audio_features,3Omup9uEHw1tZfUDfTLmcM,spotify:track:3Omup9uEHw1tZfUDfTLmcM,https://api.spotify.com/v1/tracks/3Omup9uEHw1tZfUDfTLmcM,https://api.spotify.com/v1/audio-analysis/3Omup9uEHw1tZfUDfTLmcM,300840,4
僕は君を失くしてる,0.565,0.489,2,-12.966,0,0.0349,0.385,1.1e-06,0.368,0.483,77.553,audio_features,062k26DmhmyVPrpppdWb9Z,spotify:track:062k26DmhmyVPrpppdWb9Z,https://api.spotify.com/v1/tracks/062k26DmhmyVPrpppdWb9Z,https://api.spotify.com/v1/audio-analysis/062k26DmhmyVPrpppdWb9Z,259267,4
セレブレイション,0.442,0.781,5,-8.801,1,0.0576,0.378,0,0.117,0.763,197.11,audio_features,6qWlo4wjoT6zC0Fx6wN9Af,spotify:track:6qWlo4wjoT6zC0Fx6wN9Af,https://api.spotify.com/v1/tracks/6qWlo4wjoT6zC0Fx6wN9Af,https://api.spotify.com/v1/audio-analysis/6qWlo4wjoT6zC0Fx6wN9Af,264000,4
ミッドナイト・コール,0.494,0.771,7,-9.382,0,0.0335,0.509,1.05e-06,0.0773,0.855,157.479,audio_features,0moAvrmIFUs6sr0ro9hdPc,spotify:track:0moAvrmIFUs6sr0ro9hdPc,https://api.spotify.com/v1/tracks/0moAvrmIFUs6sr0ro9hdPc,https://api.spotify.com/v1/audio-analysis/0moAvrmIFUs6sr0ro9hdPc,245907,4
LONELY BIRD,0.457,0.816,9,-9.958,1,0.0362,0.116,0,0.0359,0.873,192.291,audio_features,6cZ97chVanMdwJWQH0g0qr,spotify:track:6cZ97chVanMdwJWQH0g0qr,https://api.spotify.com/v1/tracks/6cZ97chVanMdwJWQH0g0qr,https://api.spotify.com/v1/audio-analysis/6cZ97chVanMdwJWQH0g0qr,254960,4
モノクローム・メモリー,0.643,0.739,2,-11.625,0,0.0322,0.0729,5.27e-06,0.302,0.703,128.323,audio_features,6PFaKUh5H4QhonkGZ8dKX2,spotify:track:6PFaKUh5H4QhonkGZ8dKX2,https://api.spotify.com/v1/tracks/6PFaKUh5H4QhonkGZ8dKX2,https://api.spotify.com/v1/audio-analysis/6PFaKUh5H4QhonkGZ8dKX2,270493,4
トラブル・サマー,0.678,0.57,10,-12.363,1,0.0322,0.182,2.52e-05,0.0554,0.73,125.858,audio_features,25m1W4h51ylU5ATnrFdyWy,spotify:track:25m1W4h51ylU5ATnrFdyWy,https://api.spotify.com/v1/tracks/25m1W4h51ylU5ATnrFdyWy,https://api.spotify.com/v1/audio-analysis/25m1W4h51ylU5ATnrFdyWy,235000,4
ミスティーの瞳,0.745,0.456,6,-13.586,0,0.0283,0.217,4.53e-06,0.153,0.768,117.635,audio_features,0hRFgD3MDKwsrNMMCXGuvP,spotify:track:0hRFgD3MDKwsrNMMCXGuvP,https://api.spotify.com/v1/tracks/0hRFgD3MDKwsrNMMCXGuvP,https://api.spotify.com/v1/audio-analysis/0hRFgD3MDKwsrNMMCXGuvP,276000,4
俺たちのシーズン,0.436,0.69,9,-10.996,1,0.0471,0.245,0,0.0712,0.443,168.42,audio_features,1y6n74z3IewJuB6G5w85IB,spotify:track:1y6n74z3IewJuB6G5w85IB,https://api.spotify.com/v1/tracks/1y6n74z3IewJuB6G5w85IB,https://api.spotify.com/v1/audio-analysis/1y6n74z3IewJuB6G5w85IB,289773,4
都市,0.379,0.205,3,-18.871,1,0.0355,0.723,2.02e-05,0.0898,0.149,171.493,audio_features,4mz8rq2fBmHIOyiWW72cOn,spotify:track:4mz8rq2fBmHIOyiWW72cOn,https://api.spotify.com/v1/tracks/4mz8rq2fBmHIOyiWW72cOn,https://api.spotify.com/v1/audio-analysis/4mz8rq2fBmHIOyiWW72cOn,258507,4
LOVE AFFAIR,0.549,0.864,0,-9.584,1,0.052,0.0636,0,0.0335,0.895,207.587,audio_features,0dXWpdqDVcDjoR1JtYKvMV,spotify:track:0dXWpdqDVcDjoR1JtYKvMV,https://api.spotify.com/v1/tracks/0dXWpdqDVcDjoR1JtYKvMV,https://api.spotify.com/v1/audio-analysis/0dXWpdqDVcDjoR1JtYKvMV,243000,4
MORNING,0.61,0.4,7,-14.869,1,0.0287,0.321,0.00757,0.0723,0.647,87.967,audio_features,5Azner5ptF4mNYJ7staNLC,spotify:track:5Azner5ptF4mNYJ7staNLC,https://api.spotify.com/v1/tracks/5Azner5ptF4mNYJ7staNLC,https://api.spotify.com/v1/audio-analysis/5Azner5ptF4mNYJ7staNLC,374627,4
ONE MORE NIGHT TOGETHER,0.547,0.308,9,-12.587,1,0.0283,0.787,0,0.0614,0.149,135.915,audio_features,5FrOqMLT9B38p07zEXSZVU,spotify:track:5FrOqMLT9B38p07zEXSZVU,https://api.spotify.com/v1/tracks/5FrOqMLT9B38p07zEXSZVU,https://api.spotify.com/v1/audio-analysis/5FrOqMLT9B38p07zEXSZVU,287507,4
ラジオを消して,0.591,0.489,5,-10.786,1,0.0257,0.282,0.000146,0.592,0.352,95.827,audio_features,0GZNLwRxqk92NmPmQjGMZ8,spotify:track:0GZNLwRxqk92NmPmQjGMZ8,https://api.spotify.com/v1/tracks/0GZNLwRxqk92NmPmQjGMZ8,https://api.spotify.com/v1/audio-analysis/0GZNLwRxqk92NmPmQjGMZ8,318027,4
Down Town Alley,0.59,0.726,10,-10.403,1,0.0347,0.291,0,0.0721,0.645,149.452,audio_features,2IayrR0WJh2jExUma6UcvH,spotify:track:2IayrR0WJh2jExUma6UcvH,https://api.spotify.com/v1/tracks/2IayrR0WJh2jExUma6UcvH,https://api.spotify.com/v1/audio-analysis/2IayrR0WJh2jExUma6UcvH,264440,4
NIGHT DIVE,0.685,0.524,4,-15.036,0,0.0445,0.00855,8.33e-05,0.11,0.907,114.893,audio_features,2bFreJv8Y6paWp8rtPMaV3,spotify:track:2bFreJv8Y6paWp8rtPMaV3,https://api.spotify.com/v1/tracks/2bFreJv8Y6paWp8rtPMaV3,https://api.spotify.com/v1/audio-analysis/2bFreJv8Y6paWp8rtPMaV3,281040,4
CRESCENT MYSTERY,0.586,0.801,7,-10.644,1,0.0312,0.132,2.08e-06,0.157,0.86,140.9,audio_features,3rY7zR4HL0nY5fWHfWTIlH,spotify:track:3rY7zR4HL0nY5fWHfWTIlH,https://api.spotify.com/v1/tracks/3rY7zR4HL0nY5fWHfWTIlH,https://api.spotify.com/v1/audio-analysis/3rY7zR4HL0nY5fWHfWTIlH,238693,4
THIS TIME,0.691,0.64,2,-14.224,0,0.0318,0.123,4.63e-05,0.309,0.908,117.892,audio_features,2soSzKcDRx62zSwrc7WCNA,spotify:track:2soSzKcDRx62zSwrc7WCNA,https://api.spotify.com/v1/tracks/2soSzKcDRx62zSwrc7WCNA,https://api.spotify.com/v1/audio-analysis/2soSzKcDRx62zSwrc7WCNA,258493,4
お前と俺,0.654,0.716,7,-10.315,1,0.0256,0.428,4.62e-06,0.137,0.817,90.841,audio_features,2qq3A3f07Cp3MpF2mBoHRh,spotify:track:2qq3A3f07Cp3MpF2mBoHRh,https://api.spotify.com/v1/tracks/2qq3A3f07Cp3MpF2mBoHRh,https://api.spotify.com/v1/audio-analysis/2qq3A3f07Cp3MpF2mBoHRh,260933,4
