name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Sleeping Bag,0.536,0.941,2,-9.578,1,0.0344,0.00193,0.0377,0.043,0.706,120.836,audio_features,0jWBLLzqRhf0KoRnF4e3mI,spotify:track:0jWBLLzqRhf0KoRnF4e3mI,https://api.spotify.com/v1/tracks/0jWBLLzqRhf0KoRnF4e3mI,https://api.spotify.com/v1/audio-analysis/0jWBLLzqRhf0KoRnF4e3mI,382707,4
Daily『PARANOIA』,0.661,0.897,11,-7.663,0,0.037,0.00715,0.000989,0.127,0.709,140.409,audio_features,0p1pCsscJBBn2h7Ek1FHHr,spotify:track:0p1pCsscJBBn2h7Ek1FHHr,https://api.spotify.com/v1/tracks/0p1pCsscJBBn2h7Ek1FHHr,https://api.spotify.com/v1/audio-analysis/0p1pCsscJBBn2h7Ek1FHHr,245480,4
WANDERERS~皆行処又我行,0.471,0.879,2,-7.388,1,0.0385,2.31e-05,0.776,0.0538,0.309,123.919,audio_features,67kXYjM0kgJTZlwLUKOcGl,spotify:track:67kXYjM0kgJTZlwLUKOcGl,https://api.spotify.com/v1/tracks/67kXYjM0kgJTZlwLUKOcGl,https://api.spotify.com/v1/audio-analysis/67kXYjM0kgJTZlwLUKOcGl,322467,4
Urban Cowboy,0.594,0.918,9,-10.072,0,0.0371,0.00896,0.000129,0.0337,0.829,133.985,audio_features,2YF3v5egdP49kKWbofZe22,spotify:track:2YF3v5egdP49kKWbofZe22,https://api.spotify.com/v1/tracks/2YF3v5egdP49kKWbofZe22,https://api.spotify.com/v1/audio-analysis/2YF3v5egdP49kKWbofZe22,265400,4
Love You Soon,0.547,0.817,9,-7.218,1,0.0284,0.00805,0.106,0.176,0.561,122.997,audio_features,343SqWGoCfBKHGYnHKW6CG,spotify:track:343SqWGoCfBKHGYnHKW6CG,https://api.spotify.com/v1/tracks/343SqWGoCfBKHGYnHKW6CG,https://api.spotify.com/v1/audio-analysis/343SqWGoCfBKHGYnHKW6CG,350627,4
愛のテスト・パターンナー,0.62,0.8,6,-10.896,0,0.0484,0.000522,0.861,0.116,0.775,150.316,audio_features,50GN7s7XJFUcjhHKoFk9EV,spotify:track:50GN7s7XJFUcjhHKoFk9EV,https://api.spotify.com/v1/tracks/50GN7s7XJFUcjhHKoFk9EV,https://api.spotify.com/v1/audio-analysis/50GN7s7XJFUcjhHKoFk9EV,178600,4
Young & Innocent Days,0.61,0.524,7,-14.716,1,0.0275,0.124,4.26e-05,0.105,0.538,111.675,audio_features,2ZkHQ7pR4ma3zT5VhiKes1,spotify:track:2ZkHQ7pR4ma3zT5VhiKes1,https://api.spotify.com/v1/tracks/2ZkHQ7pR4ma3zT5VhiKes1,https://api.spotify.com/v1/audio-analysis/2ZkHQ7pR4ma3zT5VhiKes1,244093,4
Kimi no Hitomi no Mizuumi,0.562,0.739,7,-13.198,1,0.0319,0.011,0.00112,0.0982,0.965,75.494,audio_features,7ioWAUa0ORrCC6bcWlZf9g,spotify:track:7ioWAUa0ORrCC6bcWlZf9g,https://api.spotify.com/v1/tracks/7ioWAUa0ORrCC6bcWlZf9g,https://api.spotify.com/v1/audio-analysis/7ioWAUa0ORrCC6bcWlZf9g,252280,4
来!来!私眠ってません,0.467,0.671,2,-9.919,1,0.0277,1.01e-05,0.811,0.1,0.481,132.58,audio_features,7LZpakCyAr6iOUCpBHhQK8,spotify:track:7LZpakCyAr6iOUCpBHhQK8,https://api.spotify.com/v1/tracks/7LZpakCyAr6iOUCpBHhQK8,https://api.spotify.com/v1/audio-analysis/7LZpakCyAr6iOUCpBHhQK8,316627,4
Whisper in the Night,0.75,0.788,0,-11.574,1,0.0524,0.00106,0.457,0.0539,0.902,120.592,audio_features,3T9sp53EgRFoozSe0ArLoR,spotify:track:3T9sp53EgRFoozSe0ArLoR,https://api.spotify.com/v1/tracks/3T9sp53EgRFoozSe0ArLoR,https://api.spotify.com/v1/audio-analysis/3T9sp53EgRFoozSe0ArLoR,361987,4
WANDERERS~皆行処又我行,0.471,0.879,2,-7.388,1,0.0385,2.31e-05,0.776,0.0538,0.309,123.919,audio_features,5KWZPwEKWSJIeiKEljWoSU,spotify:track:5KWZPwEKWSJIeiKEljWoSU,https://api.spotify.com/v1/tracks/5KWZPwEKWSJIeiKEljWoSU,https://api.spotify.com/v1/audio-analysis/5KWZPwEKWSJIeiKEljWoSU,322467,4
