name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
乱数調整のリバースシンデレラ,0.506,0.906,5,-2.711,1,0.051,0.261,0,0.294,0.725,170.088,audio_features,7KeETMmiPdd27Dx8ZsXhfb,spotify:track:7KeETMmiPdd27Dx8ZsXhfb,https://api.spotify.com/v1/tracks/7KeETMmiPdd27Dx8ZsXhfb,https://api.spotify.com/v1/audio-analysis/7KeETMmiPdd27Dx8ZsXhfb,220235,4
お前の事誰が好きなん?,0.466,0.79,2,-4.48,1,0.0381,0.000334,0.915,0.426,0.636,150.034,audio_features,4ypS1zRfD3z2rXjvKR0sQw,spotify:track:4ypS1zRfD3z2rXjvKR0sQw,https://api.spotify.com/v1/tracks/4ypS1zRfD3z2rXjvKR0sQw,https://api.spotify.com/v1/audio-analysis/4ypS1zRfD3z2rXjvKR0sQw,181000,4
サンパチスター,0.17,0.909,8,-2.044,1,0.0545,0.223,0,0.078,0.52,190.115,audio_features,51p6gnlccykzlGZ6a24Zh0,spotify:track:51p6gnlccykzlGZ6a24Zh0,https://api.spotify.com/v1/tracks/51p6gnlccykzlGZ6a24Zh0,https://api.spotify.com/v1/audio-analysis/51p6gnlccykzlGZ6a24Zh0,173000,4
怪獣少女は火を吹かない,0.539,0.96,1,-2.286,0,0.0347,0.0228,0,0.109,0.574,99.976,audio_features,5q6FpPqYWnaOwRIuzJl5b3,spotify:track:5q6FpPqYWnaOwRIuzJl5b3,https://api.spotify.com/v1/tracks/5q6FpPqYWnaOwRIuzJl5b3,https://api.spotify.com/v1/audio-analysis/5q6FpPqYWnaOwRIuzJl5b3,200333,4
最高に頭が悪い曲,0.549,0.957,2,-2.82,0,0.0533,0.105,0.000264,0.0404,0.258,138.031,audio_features,0RnmXPtZ8XJqWPexw93ZYf,spotify:track:0RnmXPtZ8XJqWPexw93ZYf,https://api.spotify.com/v1/tracks/0RnmXPtZ8XJqWPexw93ZYf,https://api.spotify.com/v1/audio-analysis/0RnmXPtZ8XJqWPexw93ZYf,156733,4
ビームが撃てたらいいのに,0.151,0.875,0,-1.19,1,0.064,0.554,0,0.146,0.373,190.112,audio_features,7sASkjAu3pzZm7JlPr0EKI,spotify:track:7sASkjAu3pzZm7JlPr0EKI,https://api.spotify.com/v1/tracks/7sASkjAu3pzZm7JlPr0EKI,https://api.spotify.com/v1/audio-analysis/7sASkjAu3pzZm7JlPr0EKI,178693,4
#みどりの唄,0.141,0.926,9,-1.839,0,0.0943,0.639,0,0.249,0.427,219.982,audio_features,0htVPJzMrgGXBYAMM49ID1,spotify:track:0htVPJzMrgGXBYAMM49ID1,https://api.spotify.com/v1/tracks/0htVPJzMrgGXBYAMM49ID1,https://api.spotify.com/v1/audio-analysis/0htVPJzMrgGXBYAMM49ID1,153373,4
大好きな太鼓の音,0.568,0.898,1,-3.778,1,0.0281,0.00512,3.99e-05,0.159,0.393,95.021,audio_features,5kBUSJ77zUPuQ3sfFlodbg,spotify:track:5kBUSJ77zUPuQ3sfFlodbg,https://api.spotify.com/v1/tracks/5kBUSJ77zUPuQ3sfFlodbg,https://api.spotify.com/v1/audio-analysis/5kBUSJ77zUPuQ3sfFlodbg,287614,4
希う,0.491,0.696,9,-1.923,1,0.0408,0.76,0,0.204,0.569,108.982,audio_features,5qYZA0SrfsoMoU1cK0JUAd,spotify:track:5qYZA0SrfsoMoU1cK0JUAd,https://api.spotify.com/v1/tracks/5qYZA0SrfsoMoU1cK0JUAd,https://api.spotify.com/v1/audio-analysis/5qYZA0SrfsoMoU1cK0JUAd,195227,4
童貞が作ったラブソング,0.167,0.0416,7,-4.873,1,0.0619,0.701,0.0161,0.061,0.134,119.329,audio_features,4dBEvtp7DxPsWsDiIRR7bx,spotify:track:4dBEvtp7DxPsWsDiIRR7bx,https://api.spotify.com/v1/tracks/4dBEvtp7DxPsWsDiIRR7bx,https://api.spotify.com/v1/audio-analysis/4dBEvtp7DxPsWsDiIRR7bx,175107,3
Hinekure,0.599,0.942,9,-2.466,0,0.0367,0.0213,0,0.365,0.488,100.053,audio_features,0I2YgqJxcmAqhUUuTboTGn,spotify:track:0I2YgqJxcmAqhUUuTboTGn,https://api.spotify.com/v1/tracks/0I2YgqJxcmAqhUUuTboTGn,https://api.spotify.com/v1/audio-analysis/0I2YgqJxcmAqhUUuTboTGn,177387,4
ぷっすんきゅう,0.553,0.774,10,-2.611,0,0.0394,0.696,0,0.269,0.732,99.815,audio_features,1SEKvXD7JoRMIS4dqfKzRo,spotify:track:1SEKvXD7JoRMIS4dqfKzRo,https://api.spotify.com/v1/tracks/1SEKvXD7JoRMIS4dqfKzRo,https://api.spotify.com/v1/audio-analysis/1SEKvXD7JoRMIS4dqfKzRo,171533,4
