name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
ブロッサム前線,0.6,0.849,8,-11.286,0,0.0337,0.224,0.0383,0.225,0.973,150.054,audio_features,3yiIGmxW5v7CJJFK6XNYmc,spotify:track:3yiIGmxW5v7CJJFK6XNYmc,https://api.spotify.com/v1/tracks/3yiIGmxW5v7CJJFK6XNYmc,https://api.spotify.com/v1/audio-analysis/3yiIGmxW5v7CJJFK6XNYmc,149000,4
歓喜の歌,0.489,0.791,4,-12.802,0,0.0353,0.0437,0.000919,0.0739,0.81,199.996,audio_features,1PnOTM2GRuFu0tR6bfVSFF,spotify:track:1PnOTM2GRuFu0tR6bfVSFF,https://api.spotify.com/v1/tracks/1PnOTM2GRuFu0tR6bfVSFF,https://api.spotify.com/v1/audio-analysis/1PnOTM2GRuFu0tR6bfVSFF,169000,4
砂漠シティ,0.634,0.655,6,-12.742,0,0.0342,0.248,2.49e-06,0.199,0.97,103.982,audio_features,7vgWlQqYX9YWk7Xg6sA2Km,spotify:track:7vgWlQqYX9YWk7Xg6sA2Km,https://api.spotify.com/v1/tracks/7vgWlQqYX9YWk7Xg6sA2Km,https://api.spotify.com/v1/audio-analysis/7vgWlQqYX9YWk7Xg6sA2Km,159000,4
依存症スネーク,0.556,0.929,3,-11.712,1,0.0374,0.368,4.76e-06,0.0964,0.947,150.078,audio_features,53WvcJX8PWx0BJSYdi4MjK,spotify:track:53WvcJX8PWx0BJSYdi4MjK,https://api.spotify.com/v1/tracks/53WvcJX8PWx0BJSYdi4MjK,https://api.spotify.com/v1/audio-analysis/53WvcJX8PWx0BJSYdi4MjK,168000,4
こんな時だからこそ踊れ,0.488,0.716,9,-10.083,0,0.0353,0.000322,0.0328,0.0507,0.846,119.941,audio_features,0Z6PHhJhNIMoVF9by4nOzI,spotify:track:0Z6PHhJhNIMoVF9by4nOzI,https://api.spotify.com/v1/tracks/0Z6PHhJhNIMoVF9by4nOzI,https://api.spotify.com/v1/audio-analysis/0Z6PHhJhNIMoVF9by4nOzI,140000,4
感情スクランブル,0.618,0.894,11,-11.465,1,0.0384,0.313,0.869,0.0724,0.963,118.027,audio_features,5Su8H8Qd0WqcM9Wr39W2RE,spotify:track:5Su8H8Qd0WqcM9Wr39W2RE,https://api.spotify.com/v1/tracks/5Su8H8Qd0WqcM9Wr39W2RE,https://api.spotify.com/v1/audio-analysis/5Su8H8Qd0WqcM9Wr39W2RE,153000,4
電脳アーカイブ,0.613,0.667,7,-11.946,1,0.0328,0.295,0.00938,0.143,0.805,97.967,audio_features,5lFHrcogIFXQHKSfUYjo6x,spotify:track:5lFHrcogIFXQHKSfUYjo6x,https://api.spotify.com/v1/tracks/5lFHrcogIFXQHKSfUYjo6x,https://api.spotify.com/v1/audio-analysis/5lFHrcogIFXQHKSfUYjo6x,140000,4
オオカミ少年アリス,0.734,0.648,4,-12.135,1,0.0313,0.329,0.000443,0.0615,0.961,150.046,audio_features,26clzuZ6PIvONpJzpMoSCz,spotify:track:26clzuZ6PIvONpJzpMoSCz,https://api.spotify.com/v1/tracks/26clzuZ6PIvONpJzpMoSCz,https://api.spotify.com/v1/audio-analysis/26clzuZ6PIvONpJzpMoSCz,200000,4
春のレンガ道の街頭にて,0.69,0.305,5,-9.464,1,0.0312,0.748,0.363,0.138,0.883,94.98,audio_features,5mUAsx9yFk9yQCti3U8iO4,spotify:track:5mUAsx9yFk9yQCti3U8iO4,https://api.spotify.com/v1/tracks/5mUAsx9yFk9yQCti3U8iO4,https://api.spotify.com/v1/audio-analysis/5mUAsx9yFk9yQCti3U8iO4,100000,3
廃墟探索,0.561,0.538,4,-10.94,1,0.0513,0.189,0.817,0.159,0.613,119.96,audio_features,4PXBsiuOcrBkri43rr1va2,spotify:track:4PXBsiuOcrBkri43rr1va2,https://api.spotify.com/v1/tracks/4PXBsiuOcrBkri43rr1va2,https://api.spotify.com/v1/audio-analysis/4PXBsiuOcrBkri43rr1va2,171000,4
