name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
エゴロック - long ver.,0.537,0.99,0,-2.534,0,0.199,0.0435,0,0.257,0.433,112.574,audio_features,2FRMwFXODegegRrfLAeVwx,spotify:track:2FRMwFXODegegRrfLAeVwx,https://api.spotify.com/v1/tracks/2FRMwFXODegegRrfLAeVwx,https://api.spotify.com/v1/audio-analysis/2FRMwFXODegegRrfLAeVwx,169529,4
テレキャスタービーボーイ,0.557,0.793,8,-5.043,0,0.0647,0.116,0,0.253,0.961,181.97,audio_features,2rkSQrbwRoH82pA40rTQf3,spotify:track:2rkSQrbwRoH82pA40rTQf3,https://api.spotify.com/v1/tracks/2rkSQrbwRoH82pA40rTQf3,https://api.spotify.com/v1/audio-analysis/2rkSQrbwRoH82pA40rTQf3,165307,4
ジャンキーナイトタウンオーケストラ,0.535,0.977,1,-2.149,1,0.246,0.0471,0,0.192,0.605,145.126,audio_features,3ASzfo5SRD3TioeUWJbHse,spotify:track:3ASzfo5SRD3TioeUWJbHse,https://api.spotify.com/v1/tracks/3ASzfo5SRD3TioeUWJbHse,https://api.spotify.com/v1/audio-analysis/3ASzfo5SRD3TioeUWJbHse,213000,4
エゴロック,0.636,0.907,0,-6.663,0,0.0643,0.012,0,0.25,0.822,112.463,audio_features,3UVNKqlbi4HuTxtr4ONvh5,spotify:track:3UVNKqlbi4HuTxtr4ONvh5,https://api.spotify.com/v1/tracks/3UVNKqlbi4HuTxtr4ONvh5,https://api.spotify.com/v1/audio-analysis/3UVNKqlbi4HuTxtr4ONvh5,169986,4
テレキャスタービーボーイ - long ver.,0.492,0.911,1,-2.803,1,0.174,0.154,0,0.365,0.963,181.954,audio_features,34PWkiTDmG9lAJ3leUGOri,spotify:track:34PWkiTDmG9lAJ3leUGOri,https://api.spotify.com/v1/tracks/34PWkiTDmG9lAJ3leUGOri,https://api.spotify.com/v1/audio-analysis/34PWkiTDmG9lAJ3leUGOri,164500,4
あんずの花,0.765,0.816,5,-0.931,0,0.0382,0.0951,0.00555,0.273,0.638,104.016,audio_features,0BJzl6XwawM8guBW9mDj2M,spotify:track:0BJzl6XwawM8guBW9mDj2M,https://api.spotify.com/v1/tracks/0BJzl6XwawM8guBW9mDj2M,https://api.spotify.com/v1/audio-analysis/0BJzl6XwawM8guBW9mDj2M,239217,4
カメレオン - すりぃ ver.,0.568,0.917,10,-4.161,0,0.0556,0.115,0,0.163,0.928,169.957,audio_features,4Mh7K0wruU1tpfah4lqp7O,spotify:track:4Mh7K0wruU1tpfah4lqp7O,https://api.spotify.com/v1/tracks/4Mh7K0wruU1tpfah4lqp7O,https://api.spotify.com/v1/audio-analysis/4Mh7K0wruU1tpfah4lqp7O,180000,4
空中分解,0.599,0.818,10,-7.365,0,0.0391,0.0197,0,0.132,0.886,100.06,audio_features,7yYm9Tuok4Evvu53z2JHyh,spotify:track:7yYm9Tuok4Evvu53z2JHyh,https://api.spotify.com/v1/tracks/7yYm9Tuok4Evvu53z2JHyh,https://api.spotify.com/v1/audio-analysis/7yYm9Tuok4Evvu53z2JHyh,169913,4
ジブラ - すりぃ ver.,0.903,0.521,11,-5.08,0,0.0666,0.376,7.72e-06,0.0633,0.728,101.494,audio_features,7Ada4k78T7tOo21s2jIIXF,spotify:track:7Ada4k78T7tOo21s2jIIXF,https://api.spotify.com/v1/tracks/7Ada4k78T7tOo21s2jIIXF,https://api.spotify.com/v1/audio-analysis/7Ada4k78T7tOo21s2jIIXF,142000,4
バニー - すりぃ ver.,0.63,0.887,10,-3.013,1,0.0647,0.0732,0,0.323,0.95,75.995,audio_features,7gPVbfkTglZojIV964cvfc,spotify:track:7gPVbfkTglZojIV964cvfc,https://api.spotify.com/v1/tracks/7gPVbfkTglZojIV964cvfc,https://api.spotify.com/v1/audio-analysis/7gPVbfkTglZojIV964cvfc,180000,4
ジャンキーナイトタウンオーケストラ,0.582,0.954,3,-4.689,0,0.0546,0.0166,0,0.155,0.922,144.967,audio_features,6jnEWtLotZ2XvNf4lavTzT,spotify:track:6jnEWtLotZ2XvNf4lavTzT,https://api.spotify.com/v1/tracks/6jnEWtLotZ2XvNf4lavTzT,https://api.spotify.com/v1/audio-analysis/6jnEWtLotZ2XvNf4lavTzT,215336,4
フクロウさん - すりぃ ver.,0.543,0.923,8,-1.237,0,0.07,0.0511,0,0.0946,0.828,162.022,audio_features,5Tnt4NKytyBKkC5I5TypV7,spotify:track:5Tnt4NKytyBKkC5I5TypV7,https://api.spotify.com/v1/tracks/5Tnt4NKytyBKkC5I5TypV7,https://api.spotify.com/v1/audio-analysis/5Tnt4NKytyBKkC5I5TypV7,180000,4
ちゅめ〜む,0.6,0.758,2,-3.491,1,0.069,0.208,0,0.321,0.82,155.068,audio_features,2HEm9GgUHihuqYKiAyHHm5,spotify:track:2HEm9GgUHihuqYKiAyHHm5,https://api.spotify.com/v1/tracks/2HEm9GgUHihuqYKiAyHHm5,https://api.spotify.com/v1/audio-analysis/2HEm9GgUHihuqYKiAyHHm5,219000,4
カメレオン,0.522,0.923,10,-1.973,0,0.0823,0.0561,0,0.0815,0.891,170.131,audio_features,68CYG0ICN5XAiohex6mYX2,spotify:track:68CYG0ICN5XAiohex6mYX2,https://api.spotify.com/v1/tracks/68CYG0ICN5XAiohex6mYX2,https://api.spotify.com/v1/audio-analysis/68CYG0ICN5XAiohex6mYX2,180000,4
めめしぃ,0.654,0.824,3,-4.818,1,0.0347,0.661,1.72e-05,0.211,0.962,154.084,audio_features,0MG1kMwl0OQmH3OtWsTcSA,spotify:track:0MG1kMwl0OQmH3OtWsTcSA,https://api.spotify.com/v1/tracks/0MG1kMwl0OQmH3OtWsTcSA,https://api.spotify.com/v1/audio-analysis/0MG1kMwl0OQmH3OtWsTcSA,175957,4
ヘビリンゴ,0.731,0.89,6,-1.102,1,0.0406,0.226,0.00632,0.298,0.745,104.948,audio_features,4uw4goMk2bvSFs04NuzTlf,spotify:track:4uw4goMk2bvSFs04NuzTlf,https://api.spotify.com/v1/tracks/4uw4goMk2bvSFs04NuzTlf,https://api.spotify.com/v1/audio-analysis/4uw4goMk2bvSFs04NuzTlf,227561,4
ジブラ,0.694,0.518,11,-3.541,0,0.164,0.278,0.000311,0.265,0.792,202.859,audio_features,3SJLNpeGawQ7wAoshdCLGH,spotify:track:3SJLNpeGawQ7wAoshdCLGH,https://api.spotify.com/v1/tracks/3SJLNpeGawQ7wAoshdCLGH,https://api.spotify.com/v1/audio-analysis/3SJLNpeGawQ7wAoshdCLGH,142000,4
フクロウさん,0.526,0.852,8,-2.535,0,0.0813,0.0619,0,0.0781,0.88,162.246,audio_features,7zCMNYycY4uXkBCLDWdcGj,spotify:track:7zCMNYycY4uXkBCLDWdcGj,https://api.spotify.com/v1/tracks/7zCMNYycY4uXkBCLDWdcGj,https://api.spotify.com/v1/audio-analysis/7zCMNYycY4uXkBCLDWdcGj,180000,4
