name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
気分上々↑↑,0.7,0.94,9,-2.266,1,0.0539,0.0453,0,0.0519,0.793,125.066,audio_features,1Ymiw5yfFzwSkbrAN3iAKm,spotify:track:1Ymiw5yfFzwSkbrAN3iAKm,https://api.spotify.com/v1/tracks/1Ymiw5yfFzwSkbrAN3iAKm,https://api.spotify.com/v1/audio-analysis/1Ymiw5yfFzwSkbrAN3iAKm,227185,4
大好きになればいいんじゃない?,0.644,0.873,11,-3.879,1,0.042,0.0751,0,0.0678,0.842,127.996,audio_features,6Sty65Lwtk1n6292gkpkT2,spotify:track:6Sty65Lwtk1n6292gkpkT2,https://api.spotify.com/v1/tracks/6Sty65Lwtk1n6292gkpkT2,https://api.spotify.com/v1/audio-analysis/6Sty65Lwtk1n6292gkpkT2,307907,4
スキスキ星人,0.439,0.922,9,-3.31,1,0.0332,0.00851,3.95e-06,0.241,0.497,185.041,audio_features,217opy2ZZMNRyJauNHk3rH,spotify:track:217opy2ZZMNRyJauNHk3rH,https://api.spotify.com/v1/tracks/217opy2ZZMNRyJauNHk3rH,https://api.spotify.com/v1/audio-analysis/217opy2ZZMNRyJauNHk3rH,236173,4
おかえりらぶっ!,0.536,0.905,8,-5.497,1,0.0408,0.185,0,0.207,0.711,166.02,audio_features,0g7afKFBOqx7tiLoYhvneF,spotify:track:0g7afKFBOqx7tiLoYhvneF,https://api.spotify.com/v1/tracks/0g7afKFBOqx7tiLoYhvneF,https://api.spotify.com/v1/audio-analysis/0g7afKFBOqx7tiLoYhvneF,222547,4
ギンギラ銀河,0.497,0.969,5,-3.512,0,0.0942,0.00193,0,0.296,0.588,156.919,audio_features,4cw2aJ8jSxhNWgtu2who12,spotify:track:4cw2aJ8jSxhNWgtu2who12,https://api.spotify.com/v1/tracks/4cw2aJ8jSxhNWgtu2who12,https://api.spotify.com/v1/audio-analysis/4cw2aJ8jSxhNWgtu2who12,199227,4
Strawberry Kiss,0.586,0.947,10,-3.823,1,0.102,0.461,0,0.11,0.771,183.028,audio_features,2JkIO8kaUyZumopy5adMYD,spotify:track:2JkIO8kaUyZumopy5adMYD,https://api.spotify.com/v1/tracks/2JkIO8kaUyZumopy5adMYD,https://api.spotify.com/v1/audio-analysis/2JkIO8kaUyZumopy5adMYD,207551,4
START,0.511,0.975,1,-2.413,0,0.0871,0.000443,0,0.0656,0.544,104.975,audio_features,1k9h45ikBq1Gr5UBHOUCST,spotify:track:1k9h45ikBq1Gr5UBHOUCST,https://api.spotify.com/v1/tracks/1k9h45ikBq1Gr5UBHOUCST,https://api.spotify.com/v1/audio-analysis/1k9h45ikBq1Gr5UBHOUCST,181622,4
33414,0.593,0.836,1,-4.571,1,0.17,0.0326,0,0.358,0.508,199.883,audio_features,6LDsvq4O2CEPVmtvYG1t0Y,spotify:track:6LDsvq4O2CEPVmtvYG1t0Y,https://api.spotify.com/v1/tracks/6LDsvq4O2CEPVmtvYG1t0Y,https://api.spotify.com/v1/audio-analysis/6LDsvq4O2CEPVmtvYG1t0Y,216810,4
青春チョコレート,0.654,0.783,2,-3.287,1,0.0413,0.098,0,0.0924,0.82,120.015,audio_features,5bhhZDVT1UFZHvqce3OEQn,spotify:track:5bhhZDVT1UFZHvqce3OEQn,https://api.spotify.com/v1/tracks/5bhhZDVT1UFZHvqce3OEQn,https://api.spotify.com/v1/audio-analysis/5bhhZDVT1UFZHvqce3OEQn,196112,4
夏祭り,0.603,0.908,11,-5.907,1,0.0527,0.0129,0,0.0659,0.802,141.014,audio_features,5ec0DKs76yFwiY9AEUXmf4,spotify:track:5ec0DKs76yFwiY9AEUXmf4,https://api.spotify.com/v1/tracks/5ec0DKs76yFwiY9AEUXmf4,https://api.spotify.com/v1/audio-analysis/5ec0DKs76yFwiY9AEUXmf4,233719,4
Very,0.647,0.904,6,-3.522,1,0.0636,0.0523,0,0.0475,0.931,139.967,audio_features,6ET6x9liuhqDx4cIGXk7aX,spotify:track:6ET6x9liuhqDx4cIGXk7aX,https://api.spotify.com/v1/tracks/6ET6x9liuhqDx4cIGXk7aX,https://api.spotify.com/v1/audio-analysis/6ET6x9liuhqDx4cIGXk7aX,186680,4
