name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
DADDY ! DADDY ! DO !,0.684,0.815,8,-3.826,0,0.0496,0.322,0,0.12,0.819,138.104,audio_features,4xeWELPxBZKhhCrUr84jmp,spotify:track:4xeWELPxBZKhhCrUr84jmp,https://api.spotify.com/v1/tracks/4xeWELPxBZKhhCrUr84jmp,https://api.spotify.com/v1/audio-analysis/4xeWELPxBZKhhCrUr84jmp,254640,4
GIRI GIRI,0.78,0.889,11,-4.053,1,0.0351,0.223,0,0.0484,0.961,127.993,audio_features,5RtsmtLsEnwa96TEf56tJQ,spotify:track:5RtsmtLsEnwa96TEf56tJQ,https://api.spotify.com/v1/tracks/5RtsmtLsEnwa96TEf56tJQ,https://api.spotify.com/v1/audio-analysis/5RtsmtLsEnwa96TEf56tJQ,258767,4
ラブ・ドラマティック,0.71,0.798,9,-5.309,1,0.0343,0.364,0,0.354,0.789,129.039,audio_features,7AhMVnj6N89jmuCKNyr0AZ,spotify:track:7AhMVnj6N89jmuCKNyr0AZ,https://api.spotify.com/v1/tracks/7AhMVnj6N89jmuCKNyr0AZ,https://api.spotify.com/v1/audio-analysis/7AhMVnj6N89jmuCKNyr0AZ,263613,4
ラブ・ドラマティック (Funky Flag Version),0.714,0.796,9,-4.949,1,0.0327,0.257,0,0.237,0.802,129.031,audio_features,05zDB03E1WxCLyraJJ2I2r,spotify:track:05zDB03E1WxCLyraJJ2I2r,https://api.spotify.com/v1/tracks/05zDB03E1WxCLyraJJ2I2r,https://api.spotify.com/v1/audio-analysis/05zDB03E1WxCLyraJJ2I2r,262947,4
Misty Mauve,0.874,0.616,8,-8.044,1,0.0367,0.33,3.72e-06,0.0414,0.776,101.038,audio_features,1ZIFlVnbF4uTLl8sJDda3s,spotify:track:1ZIFlVnbF4uTLl8sJDda3s,https://api.spotify.com/v1/tracks/1ZIFlVnbF4uTLl8sJDda3s,https://api.spotify.com/v1/audio-analysis/1ZIFlVnbF4uTLl8sJDda3s,276493,4
DADDY ! DADDY ! DO ! - From THE FIRST TAKE,0.662,0.832,8,-4.539,0,0.0513,0.329,0,0.321,0.742,138.078,audio_features,29pWvV3ZEYZeeDkFIf60Co,spotify:track:29pWvV3ZEYZeeDkFIf60Co,https://api.spotify.com/v1/tracks/29pWvV3ZEYZeeDkFIf60Co,https://api.spotify.com/v1/audio-analysis/29pWvV3ZEYZeeDkFIf60Co,250730,4
怪物,0.757,0.526,6,-8.312,1,0.0365,0.0824,9.54e-06,0.395,0.695,125.992,audio_features,59HmSgY0nkUAHEua5bWE2l,spotify:track:59HmSgY0nkUAHEua5bWE2l,https://api.spotify.com/v1/tracks/59HmSgY0nkUAHEua5bWE2l,https://api.spotify.com/v1/audio-analysis/59HmSgY0nkUAHEua5bWE2l,291680,4
ラブ・ドラマティック (89 Sec.TV Size Version),0.713,0.734,9,-5.26,1,0.0332,0.612,0,0.322,0.898,128.926,audio_features,4gQrpMOcP4oHM3qdMnSEmG,spotify:track:4gQrpMOcP4oHM3qdMnSEmG,https://api.spotify.com/v1/tracks/4gQrpMOcP4oHM3qdMnSEmG,https://api.spotify.com/v1/audio-analysis/4gQrpMOcP4oHM3qdMnSEmG,93840,4
怪物,0.757,0.526,6,-8.312,1,0.0365,0.0824,9.54e-06,0.395,0.695,125.992,audio_features,1jfZcCLo4T47Vgk5c1rh5N,spotify:track:1jfZcCLo4T47Vgk5c1rh5N,https://api.spotify.com/v1/tracks/1jfZcCLo4T47Vgk5c1rh5N,https://api.spotify.com/v1/audio-analysis/1jfZcCLo4T47Vgk5c1rh5N,291680,4
GIRI GIRI - TV Size Ver.,0.822,0.838,11,-4.016,1,0.043,0.275,0,0.202,0.969,127.975,audio_features,0NiEPqKjzaPKTuxBZJclho,spotify:track:0NiEPqKjzaPKTuxBZJclho,https://api.spotify.com/v1/tracks/0NiEPqKjzaPKTuxBZJclho,https://api.spotify.com/v1/audio-analysis/0NiEPqKjzaPKTuxBZJclho,91053,4
GIRI GIRI,0.778,0.887,11,-4.039,1,0.0342,0.224,0,0.0547,0.96,127.997,audio_features,6u2J3SybITOvr6WWRiFDPK,spotify:track:6u2J3SybITOvr6WWRiFDPK,https://api.spotify.com/v1/tracks/6u2J3SybITOvr6WWRiFDPK,https://api.spotify.com/v1/audio-analysis/6u2J3SybITOvr6WWRiFDPK,260573,4
恋人,0.736,0.775,10,-7.997,0,0.032,0.287,3.73e-06,0.29,0.838,113.53,audio_features,5IS30nsL1vF4vYfb7xCnKJ,spotify:track:5IS30nsL1vF4vYfb7xCnKJ,https://api.spotify.com/v1/tracks/5IS30nsL1vF4vYfb7xCnKJ,https://api.spotify.com/v1/audio-analysis/5IS30nsL1vF4vYfb7xCnKJ,326960,4
