name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Overture at the End,0.148,0.225,11,-16.183,0,0.0426,0.987,0.801,0.108,0.0384,137.414,audio_features,0SxZC4EraHbxT7bqTxA0ce,spotify:track:0SxZC4EraHbxT7bqTxA0ce,https://api.spotify.com/v1/tracks/0SxZC4EraHbxT7bqTxA0ce,https://api.spotify.com/v1/audio-analysis/0SxZC4EraHbxT7bqTxA0ce,73067,3
Miyuyachiyo,0.629,0.656,5,-6.435,0,0.0296,0.356,1.47e-05,0.369,0.311,106.833,audio_features,3igUUaOj4tAIklnPbnGsqZ,spotify:track:3igUUaOj4tAIklnPbnGsqZ,https://api.spotify.com/v1/tracks/3igUUaOj4tAIklnPbnGsqZ,https://api.spotify.com/v1/audio-analysis/3igUUaOj4tAIklnPbnGsqZ,294233,4
Innocent Wish,0.283,0.21,4,-21.503,0,0.0336,0.976,0.942,0.124,0.147,67.497,audio_features,4AMOA7xkIhdxuJN64cKAqs,spotify:track:4AMOA7xkIhdxuJN64cKAqs,https://api.spotify.com/v1/tracks/4AMOA7xkIhdxuJN64cKAqs,https://api.spotify.com/v1/audio-analysis/4AMOA7xkIhdxuJN64cKAqs,100640,3
Translucent,0.118,0.0157,5,-21.765,1,0.0467,0.984,0.67,0.0937,0.0306,46.054,audio_features,4R4stUE6r2xZmKoJNqKbjV,spotify:track:4R4stUE6r2xZmKoJNqKbjV,https://api.spotify.com/v1/tracks/4R4stUE6r2xZmKoJNqKbjV,https://api.spotify.com/v1/audio-analysis/4R4stUE6r2xZmKoJNqKbjV,72600,3
Wind Rippers,0.566,0.953,7,-6.266,1,0.0423,0.000522,0.447,0.155,0.804,144.97,audio_features,1KdmvcPPDBLlGP1GKfPUaK,spotify:track:1KdmvcPPDBLlGP1GKfPUaK,https://api.spotify.com/v1/tracks/1KdmvcPPDBLlGP1GKfPUaK,https://api.spotify.com/v1/audio-analysis/1KdmvcPPDBLlGP1GKfPUaK,81533,4
Distrust,0.183,0.291,11,-18.866,0,0.0378,0.538,0.884,0.0859,0.0338,142.654,audio_features,0R3DL2aS6icSxlypYQZI7y,spotify:track:0R3DL2aS6icSxlypYQZI7y,https://api.spotify.com/v1/tracks/0R3DL2aS6icSxlypYQZI7y,https://api.spotify.com/v1/audio-analysis/0R3DL2aS6icSxlypYQZI7y,121773,3
Avalon,0.661,0.608,0,-6.325,1,0.0276,0.0349,0.314,0.263,0.708,98.014,audio_features,112j3JpSpVvIkPGQh3L3oH,spotify:track:112j3JpSpVvIkPGQh3L3oH,https://api.spotify.com/v1/tracks/112j3JpSpVvIkPGQh3L3oH,https://api.spotify.com/v1/audio-analysis/112j3JpSpVvIkPGQh3L3oH,157267,4
Birthday Song - 326 mix,0.698,0.457,0,-7.711,1,0.0267,0.261,9.26e-06,0.117,0.562,112.019,audio_features,41ZlE79NaGVnpvqOiBpsIz,spotify:track:41ZlE79NaGVnpvqOiBpsIz,https://api.spotify.com/v1/tracks/41ZlE79NaGVnpvqOiBpsIz,https://api.spotify.com/v1/audio-analysis/41ZlE79NaGVnpvqOiBpsIz,249533,3
Schematic,0.27,0.364,1,-14.589,0,0.0347,0.0189,0.837,0.0936,0.0275,97.342,audio_features,2SMJGmKEeNmncnGJdxdFVr,spotify:track:2SMJGmKEeNmncnGJdxdFVr,https://api.spotify.com/v1/tracks/2SMJGmKEeNmncnGJdxdFVr,https://api.spotify.com/v1/audio-analysis/2SMJGmKEeNmncnGJdxdFVr,114627,4
Good morning,0.802,0.939,5,-5.928,1,0.0293,0.248,0.0999,0.691,0.96,119.961,audio_features,0bd19tt0wWSdCCWjTyBEQ3,spotify:track:0bd19tt0wWSdCCWjTyBEQ3,https://api.spotify.com/v1/tracks/0bd19tt0wWSdCCWjTyBEQ3,https://api.spotify.com/v1/audio-analysis/0bd19tt0wWSdCCWjTyBEQ3,263053,4
Heimdall,0.651,0.466,8,-7.776,1,0.0319,0.135,0.93,0.0941,0.243,120.107,audio_features,56Ylj0x4aPNaFYmDmrbdiP,spotify:track:56Ylj0x4aPNaFYmDmrbdiP,https://api.spotify.com/v1/tracks/56Ylj0x4aPNaFYmDmrbdiP,https://api.spotify.com/v1/audio-analysis/56Ylj0x4aPNaFYmDmrbdiP,110400,4
Empathy Overdrive,0.313,0.526,4,-7.358,0,0.0352,0.00617,0.848,0.0895,0.0555,120.039,audio_features,1qDmpZsr1VN5KVocLjOsdE,spotify:track:1qDmpZsr1VN5KVocLjOsdE,https://api.spotify.com/v1/tracks/1qDmpZsr1VN5KVocLjOsdE,https://api.spotify.com/v1/audio-analysis/1qDmpZsr1VN5KVocLjOsdE,148240,4
Rhapsody in C Minor,0.286,0.749,5,-7.903,0,0.12,0.000583,0.919,0.186,0.186,131.92,audio_features,67JMkgGRMsHEKCw6v42SoW,spotify:track:67JMkgGRMsHEKCw6v42SoW,https://api.spotify.com/v1/tracks/67JMkgGRMsHEKCw6v42SoW,https://api.spotify.com/v1/audio-analysis/67JMkgGRMsHEKCw6v42SoW,165667,4
Dear Friend,0.688,0.69,9,-9.149,1,0.0264,0.00984,0.768,0.156,0.409,107.983,audio_features,3ugUw0sIiT8FMtRIHBcRMb,spotify:track:3ugUw0sIiT8FMtRIHBcRMb,https://api.spotify.com/v1/tracks/3ugUw0sIiT8FMtRIHBcRMb,https://api.spotify.com/v1/audio-analysis/3ugUw0sIiT8FMtRIHBcRMb,237200,4
Pulse Internal,0.434,0.0108,2,-22.646,1,0.0411,0.96,0.698,0.0742,0.0323,119.614,audio_features,1Ez1o4ohY9l8ZxtkOmx218,spotify:track:1Ez1o4ohY9l8ZxtkOmx218,https://api.spotify.com/v1/tracks/1Ez1o4ohY9l8ZxtkOmx218,https://api.spotify.com/v1/audio-analysis/1Ez1o4ohY9l8ZxtkOmx218,102600,4
いろのいろいろ,0.794,0.653,5,-6.827,1,0.0326,0.0307,0.387,0.115,0.865,120.015,audio_features,7JuDOOTDTlM5p5AnwCFSLC,spotify:track:7JuDOOTDTlM5p5AnwCFSLC,https://api.spotify.com/v1/tracks/7JuDOOTDTlM5p5AnwCFSLC,https://api.spotify.com/v1/audio-analysis/7JuDOOTDTlM5p5AnwCFSLC,217760,4
Welcome to Walkure World,0.486,0.78,5,-9.868,0,0.0405,0.0595,0.839,0.252,0.352,119.981,audio_features,7aa0lTHHrIeKqbWLg6XXAp,spotify:track:7aa0lTHHrIeKqbWLg6XXAp,https://api.spotify.com/v1/tracks/7aa0lTHHrIeKqbWLg6XXAp,https://api.spotify.com/v1/audio-analysis/7aa0lTHHrIeKqbWLg6XXAp,104733,4
Kaze no Naka no Hana no youni,0.583,0.359,11,-8.576,0,0.0246,0.633,0,0.0813,0.275,104.018,audio_features,25HtTfSI4QXNTDoiu7zefI,spotify:track:25HtTfSI4QXNTDoiu7zefI,https://api.spotify.com/v1/tracks/25HtTfSI4QXNTDoiu7zefI,https://api.spotify.com/v1/audio-analysis/25HtTfSI4QXNTDoiu7zefI,195840,4
Birthday Song,0.692,0.442,0,-8.035,1,0.0272,0.37,0,0.308,0.512,112.026,audio_features,4PNAgez5oJuo3XmETCTDV7,spotify:track:4PNAgez5oJuo3XmETCTDV7,https://api.spotify.com/v1/tracks/4PNAgez5oJuo3XmETCTDV7,https://api.spotify.com/v1/audio-analysis/4PNAgez5oJuo3XmETCTDV7,249573,3
HELLO,0.7,0.738,8,-9.242,1,0.0521,0.382,0.6,0.106,0.52,127.85,audio_features,0vw4Ets9ndMfTxnu7RTxud,spotify:track:0vw4Ets9ndMfTxnu7RTxud,https://api.spotify.com/v1/tracks/0vw4Ets9ndMfTxnu7RTxud,https://api.spotify.com/v1/audio-analysis/0vw4Ets9ndMfTxnu7RTxud,158760,3
"Hallo, Shoo Shoo",0.792,0.741,2,-6.312,1,0.0315,0.665,0.728,0.171,0.739,118.568,audio_features,5tw5VYuTQuFCpphXkp04Eo,spotify:track:5tw5VYuTQuFCpphXkp04Eo,https://api.spotify.com/v1/tracks/5tw5VYuTQuFCpphXkp04Eo,https://api.spotify.com/v1/audio-analysis/5tw5VYuTQuFCpphXkp04Eo,197093,4
Hidden Fact,0.317,0.338,9,-13.066,0,0.0339,0.601,0.756,0.0922,0.0585,121.049,audio_features,4xeDftzc4AToNiFGaiZ9vW,spotify:track:4xeDftzc4AToNiFGaiZ9vW,https://api.spotify.com/v1/tracks/4xeDftzc4AToNiFGaiZ9vW,https://api.spotify.com/v1/audio-analysis/4xeDftzc4AToNiFGaiZ9vW,133600,3
FEEL OR DEAL,0.868,0.291,8,-14.558,1,0.0857,0.958,0.887,0.113,0.586,99.893,audio_features,2sUC7LfX16E4YnCkzTl6Yj,spotify:track:2sUC7LfX16E4YnCkzTl6Yj,https://api.spotify.com/v1/tracks/2sUC7LfX16E4YnCkzTl6Yj,https://api.spotify.com/v1/audio-analysis/2sUC7LfX16E4YnCkzTl6Yj,206373,4
Grief,0.461,0.104,5,-19.7,0,0.0274,0.962,0.769,0.114,0.128,74.935,audio_features,4ONydc1LpyujeWKi4YY848,spotify:track:4ONydc1LpyujeWKi4YY848,https://api.spotify.com/v1/tracks/4ONydc1LpyujeWKi4YY848,https://api.spotify.com/v1/audio-analysis/4ONydc1LpyujeWKi4YY848,100667,3
Gift,0.563,0.233,5,-17.324,1,0.0416,0.805,0.119,0.129,0.0515,100.026,audio_features,3MwF3ktxGPARleQCd5BRNT,spotify:track:3MwF3ktxGPARleQCd5BRNT,https://api.spotify.com/v1/tracks/3MwF3ktxGPARleQCd5BRNT,https://api.spotify.com/v1/audio-analysis/3MwF3ktxGPARleQCd5BRNT,114467,4
Activation,0.292,0.655,5,-11.749,1,0.065,0.0357,0.87,0.113,0.0395,89.984,audio_features,2Er91u99kb0PXp11N6cGzf,spotify:track:2Er91u99kb0PXp11N6cGzf,https://api.spotify.com/v1/tracks/2Er91u99kb0PXp11N6cGzf,https://api.spotify.com/v1/audio-analysis/2Er91u99kb0PXp11N6cGzf,185867,4
Mission,0.296,0.329,5,-11.33,1,0.0298,0.662,0.938,0.106,0.0699,78.087,audio_features,06DUHfyn4yBYQpVveA5ckr,spotify:track:06DUHfyn4yBYQpVveA5ckr,https://api.spotify.com/v1/tracks/06DUHfyn4yBYQpVveA5ckr,https://api.spotify.com/v1/audio-analysis/06DUHfyn4yBYQpVveA5ckr,128933,3
A STONE OF WISEMAN,0.563,0.272,3,-13.147,1,0.0385,0.916,0.737,0.138,0.0857,127.891,audio_features,30XqelRBEm9thZKBiuhDC3,spotify:track:30XqelRBEm9thZKBiuhDC3,https://api.spotify.com/v1/tracks/30XqelRBEm9thZKBiuhDC3,https://api.spotify.com/v1/audio-analysis/30XqelRBEm9thZKBiuhDC3,233707,3
Uncontrolled,0.436,0.714,10,-11.584,0,0.0547,0.0012,0.922,0.08,0.271,94.989,audio_features,5UXDoVhoeGvSteZBelBvKb,spotify:track:5UXDoVhoeGvSteZBelBvKb,https://api.spotify.com/v1/tracks/5UXDoVhoeGvSteZBelBvKb,https://api.spotify.com/v1/audio-analysis/5UXDoVhoeGvSteZBelBvKb,124467,4
FAT'S,0.767,0.369,5,-19.921,0,0.165,0.416,0.864,0.16,0.268,127.777,audio_features,5A0Oyf2LWYzzKULf7eKf4k,spotify:track:5A0Oyf2LWYzzKULf7eKf4k,https://api.spotify.com/v1/tracks/5A0Oyf2LWYzzKULf7eKf4k,https://api.spotify.com/v1/audio-analysis/5A0Oyf2LWYzzKULf7eKf4k,57480,4
Trader,0.459,0.482,0,-11.969,0,0.0344,0.0674,0.758,0.364,0.207,99.957,audio_features,5qyhpBarkgjCT3jkiAyI01,spotify:track:5qyhpBarkgjCT3jkiAyI01,https://api.spotify.com/v1/tracks/5qyhpBarkgjCT3jkiAyI01,https://api.spotify.com/v1/audio-analysis/5qyhpBarkgjCT3jkiAyI01,150000,4
LIFE KING,0.78,0.698,10,-11.642,0,0.0604,0.169,0.928,0.0597,0.968,99.891,audio_features,0h7hjIqF1N81CWXYtRl7Jc,spotify:track:0h7hjIqF1N81CWXYtRl7Jc,https://api.spotify.com/v1/tracks/0h7hjIqF1N81CWXYtRl7Jc,https://api.spotify.com/v1/audio-analysis/0h7hjIqF1N81CWXYtRl7Jc,162693,4
Come Wonder With Me,0.794,0.72,9,-8.429,0,0.027,0.709,0.451,0.347,0.782,117.935,audio_features,23vYDLVQ77ta6p54RmfCvh,spotify:track:23vYDLVQ77ta6p54RmfCvh,https://api.spotify.com/v1/tracks/23vYDLVQ77ta6p54RmfCvh,https://api.spotify.com/v1/audio-analysis/23vYDLVQ77ta6p54RmfCvh,228760,4
Dog Fight,0.427,0.877,7,-7.731,1,0.0551,0.0115,0.921,0.276,0.245,171.947,audio_features,52dVGDMsvCwdb2DssUBTe6,spotify:track:52dVGDMsvCwdb2DssUBTe6,https://api.spotify.com/v1/tracks/52dVGDMsvCwdb2DssUBTe6,https://api.spotify.com/v1/audio-analysis/52dVGDMsvCwdb2DssUBTe6,144000,4
Jellyfish,0.303,0.223,3,-15.766,1,0.0297,0.953,0.956,0.14,0.0523,100.063,audio_features,5rknsqB5fEWZ5uZh1uFnbP,spotify:track:5rknsqB5fEWZ5uZh1uFnbP,https://api.spotify.com/v1/tracks/5rknsqB5fEWZ5uZh1uFnbP,https://api.spotify.com/v1/audio-analysis/5rknsqB5fEWZ5uZh1uFnbP,122267,3
RESET,0.193,0.033,7,-15.063,0,0.0337,0.955,0.824,0.197,0.0392,101.463,audio_features,48ewAKk1d18fz28JnICfME,spotify:track:48ewAKk1d18fz28JnICfME,https://api.spotify.com/v1/tracks/48ewAKk1d18fz28JnICfME,https://api.spotify.com/v1/audio-analysis/48ewAKk1d18fz28JnICfME,147680,4
Natsuyasumi ga Machidooshii -mon biclo,0.934,0.33,0,-7.103,1,0.124,0.11,0.00516,0.296,0.802,95.716,audio_features,0HCLkFRZvJzsnYWknrOnKu,spotify:track:0HCLkFRZvJzsnYWknrOnKu,https://api.spotify.com/v1/tracks/0HCLkFRZvJzsnYWknrOnKu,https://api.spotify.com/v1/audio-analysis/0HCLkFRZvJzsnYWknrOnKu,177453,4
AFTER DREAM,0.768,0.76,2,-10.987,1,0.0293,0.23,0.934,0.0642,0.911,119.848,audio_features,3u6Xyzsf4KLWP0NocziekR,spotify:track:3u6Xyzsf4KLWP0NocziekR,https://api.spotify.com/v1/tracks/3u6Xyzsf4KLWP0NocziekR,https://api.spotify.com/v1/audio-analysis/3u6Xyzsf4KLWP0NocziekR,380867,4
Rag-Nyan Nyan no Uta,0.897,0.318,8,-10.099,1,0.0567,0.878,0,0.0978,0.734,124.012,audio_features,5lNiuGcxPWf0DS2vVBrxsZ,spotify:track:5lNiuGcxPWf0DS2vVBrxsZ,https://api.spotify.com/v1/tracks/5lNiuGcxPWf0DS2vVBrxsZ,https://api.spotify.com/v1/audio-analysis/5lNiuGcxPWf0DS2vVBrxsZ,33533,4
Yawaraka na Kisetsu,0.701,0.441,3,-9.946,1,0.038,0.981,0.713,0.155,0.438,79.387,audio_features,4wyBQnQaruGEAK7Qk9JrHJ,spotify:track:4wyBQnQaruGEAK7Qk9JrHJ,https://api.spotify.com/v1/tracks/4wyBQnQaruGEAK7Qk9JrHJ,https://api.spotify.com/v1/audio-analysis/4wyBQnQaruGEAK7Qk9JrHJ,216507,3
OTOKO ONNA SEISHI MUGENDAI,0.581,0.0212,8,-16.674,1,0.371,0.804,0.93,0.112,0.67,99.792,audio_features,04rcfyvE5vGJbuXxGvsQOl,spotify:track:04rcfyvE5vGJbuXxGvsQOl,https://api.spotify.com/v1/tracks/04rcfyvE5vGJbuXxGvsQOl,https://api.spotify.com/v1/audio-analysis/04rcfyvE5vGJbuXxGvsQOl,269640,3
