name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
土曜日の落書き~BUDDIES-GOODIES~,0.709,0.892,11,-5.626,0,0.0419,0.428,7.67e-06,0.0556,0.624,114.858,audio_features,5QQS2IN9VCjV5BVx3noG0A,spotify:track:5QQS2IN9VCjV5BVx3noG0A,https://api.spotify.com/v1/tracks/5QQS2IN9VCjV5BVx3noG0A,https://api.spotify.com/v1/audio-analysis/5QQS2IN9VCjV5BVx3noG0A,268333,4
NUDE~Naked Cry~,0.618,0.943,4,-7.772,0,0.0421,0.0129,0.0141,0.135,0.776,115.993,audio_features,3OxpZTT9KmRCLtkRwv01xr,spotify:track:3OxpZTT9KmRCLtkRwv01xr,https://api.spotify.com/v1/tracks/3OxpZTT9KmRCLtkRwv01xr,https://api.spotify.com/v1/audio-analysis/3OxpZTT9KmRCLtkRwv01xr,274667,4
BY THE MEREST CHANCE,0.551,0.479,7,-11.352,1,0.0288,0.459,0.0126,0.1,0.277,141.758,audio_features,7GfotM0P48n7JUtofRIWve,spotify:track:7GfotM0P48n7JUtofRIWve,https://api.spotify.com/v1/tracks/7GfotM0P48n7JUtofRIWve,https://api.spotify.com/v1/audio-analysis/7GfotM0P48n7JUtofRIWve,366160,4
~9~,0.882,0.533,9,-10.611,0,0.0398,0.0573,0.554,0.0229,0.975,126.207,audio_features,4259aTiU9ekDDYcgyaze1G,spotify:track:4259aTiU9ekDDYcgyaze1G,https://api.spotify.com/v1/tracks/4259aTiU9ekDDYcgyaze1G,https://api.spotify.com/v1/audio-analysis/4259aTiU9ekDDYcgyaze1G,235227,4
風の予感,0.771,0.662,1,-9.158,1,0.0315,0.373,0.000761,0.155,0.943,126.204,audio_features,6zvG89Rt1fWqltw1JOhyCE,spotify:track:6zvG89Rt1fWqltw1JOhyCE,https://api.spotify.com/v1/tracks/6zvG89Rt1fWqltw1JOhyCE,https://api.spotify.com/v1/audio-analysis/6zvG89Rt1fWqltw1JOhyCE,331440,4
Gravity,0.618,0.901,1,-7.137,1,0.0635,0.00825,3.44e-05,0.341,0.773,116.013,audio_features,7CrenR9wuYb9pq65uWP9TE,spotify:track:7CrenR9wuYb9pq65uWP9TE,https://api.spotify.com/v1/tracks/7CrenR9wuYb9pq65uWP9TE,https://api.spotify.com/v1/audio-analysis/7CrenR9wuYb9pq65uWP9TE,257867,4
SO COOL,0.678,0.669,5,-10.628,0,0.0305,0.215,0.000656,0.287,0.362,97.998,audio_features,4CNL3ngMxLQlIX7LjHJnJO,spotify:track:4CNL3ngMxLQlIX7LjHJnJO,https://api.spotify.com/v1/tracks/4CNL3ngMxLQlIX7LjHJnJO,https://api.spotify.com/v1/audio-analysis/4CNL3ngMxLQlIX7LjHJnJO,284040,4
TELL ME,0.741,0.754,1,-9.374,1,0.0431,0.308,0.000104,0.0493,0.846,110.007,audio_features,4Zr18uOvUIHdpWCLbdSbV9,spotify:track:4Zr18uOvUIHdpWCLbdSbV9,https://api.spotify.com/v1/tracks/4Zr18uOvUIHdpWCLbdSbV9,https://api.spotify.com/v1/audio-analysis/4Zr18uOvUIHdpWCLbdSbV9,235600,4
FAKE,0.704,0.716,7,-9.532,1,0.042,0.00718,0.0102,0.0694,0.416,119.849,audio_features,0Hpu3QFCqK7exDsr3SrAEw,spotify:track:0Hpu3QFCqK7exDsr3SrAEw,https://api.spotify.com/v1/tracks/0Hpu3QFCqK7exDsr3SrAEw,https://api.spotify.com/v1/audio-analysis/0Hpu3QFCqK7exDsr3SrAEw,247867,4
This Is The Way,0.673,0.631,6,-7.018,1,0.0313,0.221,1.95e-05,0.105,0.369,94.901,audio_features,7mNIj49v4KQD50vTH0M8Dc,spotify:track:7mNIj49v4KQD50vTH0M8Dc,https://api.spotify.com/v1/tracks/7mNIj49v4KQD50vTH0M8Dc,https://api.spotify.com/v1/audio-analysis/7mNIj49v4KQD50vTH0M8Dc,284000,4
FALSE RAIN~天気雨~,0.769,0.497,1,-9.549,1,0.115,0.0569,0.00502,0.0795,0.889,96.915,audio_features,5IZl1UdCW1ziAWCKB9Xj5X,spotify:track:5IZl1UdCW1ziAWCKB9Xj5X,https://api.spotify.com/v1/tracks/5IZl1UdCW1ziAWCKB9Xj5X,https://api.spotify.com/v1/audio-analysis/5IZl1UdCW1ziAWCKB9Xj5X,254733,4
WE'VE GOT THE FUTURE,0.672,0.735,10,-10.146,0,0.0513,0.0992,0.0586,0.0389,0.8,99.962,audio_features,58eXDvPgX7sRBB759cSgXV,spotify:track:58eXDvPgX7sRBB759cSgXV,https://api.spotify.com/v1/tracks/58eXDvPgX7sRBB759cSgXV,https://api.spotify.com/v1/audio-analysis/58eXDvPgX7sRBB759cSgXV,308133,4
MORE THAN EVER,0.351,0.541,9,-12.7,1,0.0533,0.165,1.07e-05,0.231,0.186,156.044,audio_features,0NM3owbIYszzRzVreLwroM,spotify:track:0NM3owbIYszzRzVreLwroM,https://api.spotify.com/v1/tracks/0NM3owbIYszzRzVreLwroM,https://api.spotify.com/v1/audio-analysis/0NM3owbIYszzRzVreLwroM,323707,4
BYE,0.554,0.918,8,-9.633,1,0.0698,0.242,0.00329,0.149,0.645,191.764,audio_features,7r5J87OtmepMIhQkxnJ3CT,spotify:track:7r5J87OtmepMIhQkxnJ3CT,https://api.spotify.com/v1/tracks/7r5J87OtmepMIhQkxnJ3CT,https://api.spotify.com/v1/audio-analysis/7r5J87OtmepMIhQkxnJ3CT,381560,4
二人の風(Album version),0.548,0.547,9,-6.856,0,0.0282,0.517,5.24e-06,0.138,0.396,77.913,audio_features,2Fc0DkuH4DphxoiTvAooD6,spotify:track:2Fc0DkuH4DphxoiTvAooD6,https://api.spotify.com/v1/tracks/2Fc0DkuH4DphxoiTvAooD6,https://api.spotify.com/v1/audio-analysis/2Fc0DkuH4DphxoiTvAooD6,400960,4
NEVER,0.525,0.455,9,-10.3,1,0.0322,0.247,0.0021,0.0852,0.507,80.908,audio_features,1IEfhGQ6TJvtldIVvSVyni,spotify:track:1IEfhGQ6TJvtldIVvSVyni,https://api.spotify.com/v1/tracks/1IEfhGQ6TJvtldIVvSVyni,https://api.spotify.com/v1/audio-analysis/1IEfhGQ6TJvtldIVvSVyni,300173,4
TAKE YOUR TIME,0.554,0.515,1,-12.967,1,0.037,0.191,0.0191,0.157,0.435,156.045,audio_features,3sanVWkLfwapNMQUiuHKyY,spotify:track:3sanVWkLfwapNMQUiuHKyY,https://api.spotify.com/v1/tracks/3sanVWkLfwapNMQUiuHKyY,https://api.spotify.com/v1/audio-analysis/3sanVWkLfwapNMQUiuHKyY,347600,4
PART OF LIFE(Parallel Version),0.608,0.549,3,-9.737,1,0.0513,0.615,3.47e-06,0.102,0.184,72.001,audio_features,2HezpefNUt1Pv85chf3REO,spotify:track:2HezpefNUt1Pv85chf3REO,https://api.spotify.com/v1/tracks/2HezpefNUt1Pv85chf3REO,https://api.spotify.com/v1/audio-analysis/2HezpefNUt1Pv85chf3REO,338493,4
5分後の恋人,0.705,0.89,6,-6.101,1,0.0346,0.0913,0.0067,0.0537,0.883,104.968,audio_features,4DWm5VS0TaZasQUbww9UlF,spotify:track:4DWm5VS0TaZasQUbww9UlF,https://api.spotify.com/v1/tracks/4DWm5VS0TaZasQUbww9UlF,https://api.spotify.com/v1/audio-analysis/4DWm5VS0TaZasQUbww9UlF,304467,4
ONCE YOU GET STARTED(THE NEW LOVE),0.613,0.534,5,-12.468,0,0.0455,0.273,0.0911,0.0689,0.537,80.916,audio_features,2YqjIyYClrkbDa7tpxq7WH,spotify:track:2YqjIyYClrkbDa7tpxq7WH,https://api.spotify.com/v1/tracks/2YqjIyYClrkbDa7tpxq7WH,https://api.spotify.com/v1/audio-analysis/2YqjIyYClrkbDa7tpxq7WH,360627,4
STYLE,0.699,0.956,8,-6.426,0,0.0369,0.0609,0.0287,0.0513,0.89,117.969,audio_features,4VZeIdvG0DGRO828gZqw88,spotify:track:4VZeIdvG0DGRO828gZqw88,https://api.spotify.com/v1/tracks/4VZeIdvG0DGRO828gZqw88,https://api.spotify.com/v1/audio-analysis/4VZeIdvG0DGRO828gZqw88,338333,4
There U have it!,0.313,0.937,5,-7.958,1,0.0753,0.0081,0.00314,0.612,0.348,139.825,audio_features,1mtQ8oWYGrtlwlspJG4nFL,spotify:track:1mtQ8oWYGrtlwlspJG4nFL,https://api.spotify.com/v1/tracks/1mtQ8oWYGrtlwlspJG4nFL,https://api.spotify.com/v1/audio-analysis/1mtQ8oWYGrtlwlspJG4nFL,134867,4
SCHOOL,0.767,0.775,9,-11.192,0,0.0532,0.0817,0.000237,0.102,0.835,122.062,audio_features,3thJRlS8m5NCRiYhaOVKuk,spotify:track:3thJRlS8m5NCRiYhaOVKuk,https://api.spotify.com/v1/tracks/3thJRlS8m5NCRiYhaOVKuk,https://api.spotify.com/v1/audio-analysis/3thJRlS8m5NCRiYhaOVKuk,248493,4
“YOU”,0.504,0.131,9,-15.035,1,0.0351,0.875,0,0.11,0.163,124.806,audio_features,6k1bSe92G1iQLv0RPsqxFA,spotify:track:6k1bSe92G1iQLv0RPsqxFA,https://api.spotify.com/v1/tracks/6k1bSe92G1iQLv0RPsqxFA,https://api.spotify.com/v1/audio-analysis/6k1bSe92G1iQLv0RPsqxFA,208160,4
強さの意味,0.507,0.59,0,-6.95,1,0.0308,0.326,0.000157,0.262,0.285,147.882,audio_features,4mppQa7WwZZg6A5Li6BHpR,spotify:track:4mppQa7WwZZg6A5Li6BHpR,https://api.spotify.com/v1/tracks/4mppQa7WwZZg6A5Li6BHpR,https://api.spotify.com/v1/audio-analysis/4mppQa7WwZZg6A5Li6BHpR,305507,4
自分の色,0.369,0.117,10,-15.781,0,0.0355,0.893,8.43e-05,0.296,0.226,131.556,audio_features,45kE5RAK9YqDARjHDWSLkZ,spotify:track:45kE5RAK9YqDARjHDWSLkZ,https://api.spotify.com/v1/tracks/45kE5RAK9YqDARjHDWSLkZ,https://api.spotify.com/v1/audio-analysis/45kE5RAK9YqDARjHDWSLkZ,379933,4
いくつもの奇跡,0.669,0.644,7,-9.804,1,0.0408,0.0503,4.73e-06,0.0959,0.499,96.071,audio_features,6cwnRLzMhxNIjymdPStmzt,spotify:track:6cwnRLzMhxNIjymdPStmzt,https://api.spotify.com/v1/tracks/6cwnRLzMhxNIjymdPStmzt,https://api.spotify.com/v1/audio-analysis/6cwnRLzMhxNIjymdPStmzt,306467,4
FLIGHT,0.649,0.47,7,-12.283,1,0.057,0.00479,0.658,0.122,0.887,163.845,audio_features,6axAqUeuSTjXxZxEdfewRG,spotify:track:6axAqUeuSTjXxZxEdfewRG,https://api.spotify.com/v1/tracks/6axAqUeuSTjXxZxEdfewRG,https://api.spotify.com/v1/audio-analysis/6axAqUeuSTjXxZxEdfewRG,286373,4
祈り,0.357,0.692,0,-6.738,1,0.0389,0.714,0.263,0.143,0.126,77.957,audio_features,0UujLzjDxPTRIKTZMf6bki,spotify:track:0UujLzjDxPTRIKTZMf6bki,https://api.spotify.com/v1/tracks/0UujLzjDxPTRIKTZMf6bki,https://api.spotify.com/v1/audio-analysis/0UujLzjDxPTRIKTZMf6bki,309493,4
CONFIDENTIAL MINOR PROJECT,0.408,0.721,2,-11.619,1,0.06,0.149,0.00164,0.103,0.382,185.88,audio_features,02dU3fz7owVdnx7osT83OV,spotify:track:02dU3fz7owVdnx7osT83OV,https://api.spotify.com/v1/tracks/02dU3fz7owVdnx7osT83OV,https://api.spotify.com/v1/audio-analysis/02dU3fz7owVdnx7osT83OV,321200,4
WHO WANNA BE #1,0.668,0.773,0,-9.971,1,0.0682,0.0728,0.000117,0.0991,0.449,124.119,audio_features,62otL52DghejdblKBbfaqy,spotify:track:62otL52DghejdblKBbfaqy,https://api.spotify.com/v1/tracks/62otL52DghejdblKBbfaqy,https://api.spotify.com/v1/audio-analysis/62otL52DghejdblKBbfaqy,255573,4
JOY,0.648,0.493,0,-13.265,1,0.0362,0.536,0.0118,0.0866,0.615,155.847,audio_features,7qOQsAh7BTbdPqYRyARx6d,spotify:track:7qOQsAh7BTbdPqYRyARx6d,https://api.spotify.com/v1/tracks/7qOQsAh7BTbdPqYRyARx6d,https://api.spotify.com/v1/audio-analysis/7qOQsAh7BTbdPqYRyARx6d,353800,4
