name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
風鈴,0.571,0.417,0,-8.147,1,0.0353,0.551,4.06e-06,0.0894,0.305,99.405,audio_features,2FVPBns8WsSftNNnT1XbAy,spotify:track:2FVPBns8WsSftNNnT1XbAy,https://api.spotify.com/v1/tracks/2FVPBns8WsSftNNnT1XbAy,https://api.spotify.com/v1/audio-analysis/2FVPBns8WsSftNNnT1XbAy,324940,3
Shangri-La,0.421,0.664,3,-8.329,0,0.146,0.618,1.37e-06,0.153,0.595,171.872,audio_features,4tyJWQ7odSPpA1fkXlolr0,spotify:track:4tyJWQ7odSPpA1fkXlolr0,https://api.spotify.com/v1/tracks/4tyJWQ7odSPpA1fkXlolr0,https://api.spotify.com/v1/audio-analysis/4tyJWQ7odSPpA1fkXlolr0,283619,4
Life goes on,0.543,0.774,9,-6.871,1,0.0465,0.271,9.34e-06,0.179,0.545,176.086,audio_features,14e5QU6t123K5q46udLuRO,spotify:track:14e5QU6t123K5q46udLuRO,https://api.spotify.com/v1/tracks/14e5QU6t123K5q46udLuRO,https://api.spotify.com/v1/audio-analysis/14e5QU6t123K5q46udLuRO,334285,4
Laughing Boy,0.617,0.476,0,-9.108,1,0.0338,0.384,0.000509,0.171,0.503,122.005,audio_features,3mFvtj4MTYBTo7uKhygKTV,spotify:track:3mFvtj4MTYBTo7uKhygKTV,https://api.spotify.com/v1/tracks/3mFvtj4MTYBTo7uKhygKTV,https://api.spotify.com/v1/audio-analysis/3mFvtj4MTYBTo7uKhygKTV,379977,4
僕は半分になるよ,0.784,0.674,8,-8.197,0,0.149,0.137,0,0.181,0.758,93.983,audio_features,2cXKCWvODCmXg16hlmnJ8L,spotify:track:2cXKCWvODCmXg16hlmnJ8L,https://api.spotify.com/v1/tracks/2cXKCWvODCmXg16hlmnJ8L,https://api.spotify.com/v1/audio-analysis/2cXKCWvODCmXg16hlmnJ8L,255887,4
黒い鳥,0.722,0.668,5,-6.658,0,0.0345,0.516,0,0.123,0.762,96.044,audio_features,2JAiN7b6jPUHFC93T1smZZ,spotify:track:2JAiN7b6jPUHFC93T1smZZ,https://api.spotify.com/v1/tracks/2JAiN7b6jPUHFC93T1smZZ,https://api.spotify.com/v1/audio-analysis/2JAiN7b6jPUHFC93T1smZZ,283622,4
Wondering,0.579,0.557,0,-7.677,1,0.0502,0.58,0,0.0648,0.662,206.131,audio_features,7L1A2zcsS5M4gfYoUscOSQ,spotify:track:7L1A2zcsS5M4gfYoUscOSQ,https://api.spotify.com/v1/tracks/7L1A2zcsS5M4gfYoUscOSQ,https://api.spotify.com/v1/audio-analysis/7L1A2zcsS5M4gfYoUscOSQ,285096,4
HOME,0.761,0.388,0,-10.256,0,0.0307,0.593,1.61e-05,0.105,0.385,108.035,audio_features,6PW1OydLVxjYVnWzDIW85q,spotify:track:6PW1OydLVxjYVnWzDIW85q,https://api.spotify.com/v1/tracks/6PW1OydLVxjYVnWzDIW85q,https://api.spotify.com/v1/audio-analysis/6PW1OydLVxjYVnWzDIW85q,285979,4
美しき緑の星,0.668,0.848,0,-4.267,1,0.0427,0.476,0,0.319,0.781,125.053,audio_features,3iD4TawJLE7SAIgyLQfBMC,spotify:track:3iD4TawJLE7SAIgyLQfBMC,https://api.spotify.com/v1/tracks/3iD4TawJLE7SAIgyLQfBMC,https://api.spotify.com/v1/audio-analysis/3iD4TawJLE7SAIgyLQfBMC,236640,4
君の場所,0.564,0.438,7,-7.371,1,0.0269,0.701,1.66e-06,0.106,0.276,91.917,audio_features,0oJZDNu1fbh1DKmepn4gfO,spotify:track:0oJZDNu1fbh1DKmepn4gfO,https://api.spotify.com/v1/tracks/0oJZDNu1fbh1DKmepn4gfO,https://api.spotify.com/v1/audio-analysis/0oJZDNu1fbh1DKmepn4gfO,287117,3
世界はラブソング,0.723,0.77,5,-5.674,0,0.0305,0.224,0,0.284,0.852,106.038,audio_features,2XrPMbk4MRQA7W5q0CzS7C,spotify:track:2XrPMbk4MRQA7W5q0CzS7C,https://api.spotify.com/v1/tracks/2XrPMbk4MRQA7W5q0CzS7C,https://api.spotify.com/v1/audio-analysis/2XrPMbk4MRQA7W5q0CzS7C,239434,4
SOUL from BODY,0.796,0.728,7,-7.822,0,0.0926,0.195,0,0.0793,0.796,103.915,audio_features,2SVoke2Nm6jWPlq9lHnDuR,spotify:track:2SVoke2Nm6jWPlq9lHnDuR,https://api.spotify.com/v1/tracks/2SVoke2Nm6jWPlq9lHnDuR,https://api.spotify.com/v1/audio-analysis/2SVoke2Nm6jWPlq9lHnDuR,285011,4
そんなやり方,0.765,0.521,11,-8.098,1,0.0569,0.0497,0,0.503,0.881,86.03,audio_features,0xgf5iuX4F7EjaICUiaO4C,spotify:track:0xgf5iuX4F7EjaICUiaO4C,https://api.spotify.com/v1/tracks/0xgf5iuX4F7EjaICUiaO4C,https://api.spotify.com/v1/audio-analysis/0xgf5iuX4F7EjaICUiaO4C,256138,4
LOVE MACHINE,0.834,0.577,7,-9.577,0,0.0441,0.559,0.000161,0.173,0.873,110.015,audio_features,1V0YiXned39MjscJqsKvod,spotify:track:1V0YiXned39MjscJqsKvod,https://api.spotify.com/v1/tracks/1V0YiXned39MjscJqsKvod,https://api.spotify.com/v1/audio-analysis/1V0YiXned39MjscJqsKvod,299997,4
September Rain,0.519,0.125,11,-14.426,0,0.0392,0.831,0,0.0916,0.348,97.795,audio_features,5o4eN5qws0akzbQIGqhNEQ,spotify:track:5o4eN5qws0akzbQIGqhNEQ,https://api.spotify.com/v1/tracks/5o4eN5qws0akzbQIGqhNEQ,https://api.spotify.com/v1/audio-analysis/5o4eN5qws0akzbQIGqhNEQ,241109,3
