name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
HYPER-VIPER,0.344,0.82,4,-5.64,0,0.042,5.56e-06,0.809,0.129,0.711,143.007,audio_features,1mlQIRDRvfohmlcTLIRSCJ,spotify:track:1mlQIRDRvfohmlcTLIRSCJ,https://api.spotify.com/v1/tracks/1mlQIRDRvfohmlcTLIRSCJ,https://api.spotify.com/v1/audio-analysis/1mlQIRDRvfohmlcTLIRSCJ,324560,4
BLUE PHLOX,0.451,0.645,7,-5.771,1,0.0317,3.72e-05,0.885,0.0998,0.392,134.013,audio_features,2ZTFiKsN6drCp9hFjgwcyY,spotify:track:2ZTFiKsN6drCp9hFjgwcyY,https://api.spotify.com/v1/tracks/2ZTFiKsN6drCp9hFjgwcyY,https://api.spotify.com/v1/audio-analysis/2ZTFiKsN6drCp9hFjgwcyY,377627,4
ANALYTIC-SYNTHETIC,0.217,0.93,4,-5.366,0,0.102,9.26e-06,0.82,0.0622,0.631,169.703,audio_features,3kwK0bvS4kIwgD3zOEvoc8,spotify:track:3kwK0bvS4kIwgD3zOEvoc8,https://api.spotify.com/v1/tracks/3kwK0bvS4kIwgD3zOEvoc8,https://api.spotify.com/v1/audio-analysis/3kwK0bvS4kIwgD3zOEvoc8,318680,5
READY TO RUMBLE!,0.233,0.945,7,-5.115,1,0.221,5.12e-05,0.944,0.325,0.273,135.633,audio_features,1scY6ngPWJDOjej9Q5HQvL,spotify:track:1scY6ngPWJDOjej9Q5HQvL,https://api.spotify.com/v1/tracks/1scY6ngPWJDOjej9Q5HQvL,https://api.spotify.com/v1/audio-analysis/1scY6ngPWJDOjej9Q5HQvL,324920,4
咲き誇れ Right Now!,0.519,0.976,7,-3.897,0,0.13,0.000242,4.52e-05,0.0927,0.348,118.011,audio_features,4zr5oz71JaylqXcgERp1VI,spotify:track:4zr5oz71JaylqXcgERp1VI,https://api.spotify.com/v1/tracks/4zr5oz71JaylqXcgERp1VI,https://api.spotify.com/v1/audio-analysis/4zr5oz71JaylqXcgERp1VI,289827,4
Secret Story,0.357,0.894,0,-5.076,1,0.112,0.0021,0.000254,0.182,0.528,171.94,audio_features,5XVLyzKj27PGwhU7vWd6ze,spotify:track:5XVLyzKj27PGwhU7vWd6ze,https://api.spotify.com/v1/tracks/5XVLyzKj27PGwhU7vWd6ze,https://api.spotify.com/v1/audio-analysis/5XVLyzKj27PGwhU7vWd6ze,268853,4
LOVE IS...,0.343,0.651,10,-5.033,1,0.0353,0.106,2.21e-06,0.131,0.365,205.827,audio_features,5Sy9Hzo2JQnUb0400OuwFO,spotify:track:5Sy9Hzo2JQnUb0400OuwFO,https://api.spotify.com/v1/tracks/5Sy9Hzo2JQnUb0400OuwFO,https://api.spotify.com/v1/audio-analysis/5Sy9Hzo2JQnUb0400OuwFO,304573,4
Nothing to Lose,0.752,0.789,9,-5.99,0,0.139,0.107,0.816,0.343,0.579,115.992,audio_features,7DfroeSxbSqtI219dNM7oX,spotify:track:7DfroeSxbSqtI219dNM7oX,https://api.spotify.com/v1/tracks/7DfroeSxbSqtI219dNM7oX,https://api.spotify.com/v1/audio-analysis/7DfroeSxbSqtI219dNM7oX,260387,4
BOOGIE DOWN,0.853,0.555,0,-5.821,1,0.0708,0.193,7.14e-06,0.213,0.967,113.027,audio_features,7qXbFSQC6SjVZDJT0lXFsN,spotify:track:7qXbFSQC6SjVZDJT0lXFsN,https://api.spotify.com/v1/tracks/7qXbFSQC6SjVZDJT0lXFsN,https://api.spotify.com/v1/audio-analysis/7qXbFSQC6SjVZDJT0lXFsN,279797,4
ROUND AND ROUND,0.515,0.737,6,-5.382,0,0.0422,0.0888,0,0.382,0.673,81.974,audio_features,1hpvX3FlUE0JDIdg5FLAVP,spotify:track:1hpvX3FlUE0JDIdg5FLAVP,https://api.spotify.com/v1/tracks/1hpvX3FlUE0JDIdg5FLAVP,https://api.spotify.com/v1/audio-analysis/1hpvX3FlUE0JDIdg5FLAVP,315707,4
