name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
KISS,0.556,0.524,4,-14.711,0,0.164,0.587,8.98e-05,0.776,0.549,107.581,audio_features,34xUZktAPG8muOmqNDq3e5,spotify:track:34xUZktAPG8muOmqNDq3e5,https://api.spotify.com/v1/tracks/34xUZktAPG8muOmqNDq3e5,https://api.spotify.com/v1/audio-analysis/34xUZktAPG8muOmqNDq3e5,396533,4
都合のいい身体,0.701,0.815,2,-4.7,1,0.041,0.217,3.09e-05,0.175,0.446,108.987,audio_features,69zFMRt7MTGSd1thgyOHy8,spotify:track:69zFMRt7MTGSd1thgyOHy8,https://api.spotify.com/v1/tracks/69zFMRt7MTGSd1thgyOHy8,https://api.spotify.com/v1/audio-analysis/69zFMRt7MTGSd1thgyOHy8,218680,3
Whisky ga osukideshyo,0.736,0.318,6,-9.241,0,0.042,0.565,0,0.341,0.498,81.969,audio_features,4s6L7uAYKVTNbGMshaD1t8,spotify:track:4s6L7uAYKVTNbGMshaD1t8,https://api.spotify.com/v1/tracks/4s6L7uAYKVTNbGMshaD1t8,https://api.spotify.com/v1/audio-analysis/4s6L7uAYKVTNbGMshaD1t8,108742,4
Jisaokakeru omoi - Hitori Soul Show Live Version,0.783,0.545,5,-13.94,1,0.141,0.601,2.49e-06,0.702,0.469,132.239,audio_features,7KuHWDkuAKZSXnpZX5sC60,spotify:track:7KuHWDkuAKZSXnpZX5sC60,https://api.spotify.com/v1/tracks/7KuHWDkuAKZSXnpZX5sC60,https://api.spotify.com/v1/audio-analysis/7KuHWDkuAKZSXnpZX5sC60,432000,4
BODY FRESHER - Hitori Soul Show Live Version,0.749,0.712,5,-10.843,1,0.0812,0.722,0,0.978,0.548,110.841,audio_features,6EVEPmLfnEccQQ598gb0n5,spotify:track:6EVEPmLfnEccQQ598gb0n5,https://api.spotify.com/v1/tracks/6EVEPmLfnEccQQ598gb0n5,https://api.spotify.com/v1/audio-analysis/6EVEPmLfnEccQQ598gb0n5,362000,4
Fiesta,0.634,0.612,7,-7.856,1,0.134,0.415,0,0.0628,0.891,130.835,audio_features,1Yo4gFluFPAUtbGywi9pAH,spotify:track:1Yo4gFluFPAUtbGywi9pAH,https://api.spotify.com/v1/tracks/1Yo4gFluFPAUtbGywi9pAH,https://api.spotify.com/v1/audio-analysis/1Yo4gFluFPAUtbGywi9pAH,336587,4
Sardine no kanzume - Hitori Soul Show Live Version,0.742,0.688,0,-9.967,1,0.203,0.265,0,0.941,0.405,109.846,audio_features,6IZnhYS2U5tc0vYYpn68bU,spotify:track:6IZnhYS2U5tc0vYYpn68bU,https://api.spotify.com/v1/tracks/6IZnhYS2U5tc0vYYpn68bU,https://api.spotify.com/v1/audio-analysis/6IZnhYS2U5tc0vYYpn68bU,468000,4
FUTARI NO GUITAR - Hitori Soul Show Live Version,0.863,0.201,3,-23.015,1,0.164,0.69,0,0.687,0.794,125.435,audio_features,4KK7c53GcDuveUtElACdOk,spotify:track:4KK7c53GcDuveUtElACdOk,https://api.spotify.com/v1/tracks/4KK7c53GcDuveUtElACdOk,https://api.spotify.com/v1/audio-analysis/4KK7c53GcDuveUtElACdOk,287000,4
JUMPIN' JACK JIVE - Hitori Soul Show Live Version,0.562,0.708,5,-10.575,1,0.347,0.827,4.73e-06,0.862,0.355,128.138,audio_features,6CGiBsGVB5EZRCmTXcZWl5,spotify:track:6CGiBsGVB5EZRCmTXcZWl5,https://api.spotify.com/v1/tracks/6CGiBsGVB5EZRCmTXcZWl5,https://api.spotify.com/v1/audio-analysis/6CGiBsGVB5EZRCmTXcZWl5,362000,4
Kouunnna Tour - Hitori Soul Show Live Version,0.367,0.0439,0,-22.607,1,0.117,0.963,3.29e-05,0.906,0.362,70.379,audio_features,4RnmCAfwyVGqxPvfPN0ari,spotify:track:4RnmCAfwyVGqxPvfPN0ari,https://api.spotify.com/v1/tracks/4RnmCAfwyVGqxPvfPN0ari,https://api.spotify.com/v1/audio-analysis/4RnmCAfwyVGqxPvfPN0ari,468700,4
Seppun,0.605,0.176,7,-13.203,1,0.0638,0.907,0,0.186,0.357,106.468,audio_features,3asEBipFJvJfXfAYH76yyb,spotify:track:3asEBipFJvJfXfAYH76yyb,https://api.spotify.com/v1/tracks/3asEBipFJvJfXfAYH76yyb,https://api.spotify.com/v1/audio-analysis/3asEBipFJvJfXfAYH76yyb,335205,4
R&R - Hitori Soul Show Live Version,0.494,0.993,9,-5.548,0,0.0804,0.532,2.38e-06,0.947,0.0671,134.002,audio_features,5irMdIJu5gW754okDRppIM,spotify:track:5irMdIJu5gW754okDRppIM,https://api.spotify.com/v1/tracks/5irMdIJu5gW754okDRppIM,https://api.spotify.com/v1/audio-analysis/5irMdIJu5gW754okDRppIM,289300,4
MIDNIGHT SHUFFLE - Hitori Soul Show Live Version,0.729,0.479,0,-14.364,1,0.347,0.736,6.14e-06,0.978,0.444,110.036,audio_features,3F88Ml1nnEFOxdprgcER6H,spotify:track:3F88Ml1nnEFOxdprgcER6H,https://api.spotify.com/v1/tracks/3F88Ml1nnEFOxdprgcER6H,https://api.spotify.com/v1/audio-analysis/3F88Ml1nnEFOxdprgcER6H,461000,4
Kouun na Tour,0.454,0.11,0,-15.892,1,0.136,0.755,5.2e-05,0.0887,0.205,205.688,audio_features,1gNBImgvE1kzeU9hNKsU7p,spotify:track:1gNBImgvE1kzeU9hNKsU7p,https://api.spotify.com/v1/tracks/1gNBImgvE1kzeU9hNKsU7p,https://api.spotify.com/v1/audio-analysis/1gNBImgvE1kzeU9hNKsU7p,545560,3
Sharekoube,0.56,0.316,9,-9.118,1,0.0311,0.247,0,0.188,0.614,176.472,audio_features,6rQMNKbOsZBcaQemZXpAFt,spotify:track:6rQMNKbOsZBcaQemZXpAFt,https://api.spotify.com/v1/tracks/6rQMNKbOsZBcaQemZXpAFt,https://api.spotify.com/v1/audio-analysis/6rQMNKbOsZBcaQemZXpAFt,211483,4
Volare (Nel blu dipinto di blu) - Hitori Soul Show Live Version,0.496,0.541,4,-10.453,1,0.0641,0.878,9.3e-06,0.873,0.575,112.959,audio_features,2JlQ6aOQ6VfPblyRs9gJHN,spotify:track:2JlQ6aOQ6VfPblyRs9gJHN,https://api.spotify.com/v1/tracks/2JlQ6aOQ6VfPblyRs9gJHN,https://api.spotify.com/v1/audio-analysis/2JlQ6aOQ6VfPblyRs9gJHN,274000,4
BIKE - Hitori Soul Show Live Version,0.783,0.0469,5,-16.477,1,0.0576,0.861,0,0.831,0.532,123.821,audio_features,486Gt5QlAF8nKM2eVQQZVc,spotify:track:486Gt5QlAF8nKM2eVQQZVc,https://api.spotify.com/v1/tracks/486Gt5QlAF8nKM2eVQQZVc,https://api.spotify.com/v1/audio-analysis/486Gt5QlAF8nKM2eVQQZVc,279000,4
Tsuki no ura de aimashou - Hitori Soul Show Live Version,0.714,0.721,0,-10.12,1,0.0511,0.608,0,0.975,0.577,129.989,audio_features,5bmXaSI43YLisfyj7RimCp,spotify:track:5bmXaSI43YLisfyj7RimCp,https://api.spotify.com/v1/tracks/5bmXaSI43YLisfyj7RimCp,https://api.spotify.com/v1/audio-analysis/5bmXaSI43YLisfyj7RimCp,288660,4
The Rover - Hitori Soul Show Live Version,0.668,0.899,9,-8.438,0,0.11,0.537,0,0.971,0.553,93.974,audio_features,11PWSG0fEIDawGkebPNCqm,spotify:track:11PWSG0fEIDawGkebPNCqm,https://api.spotify.com/v1/tracks/11PWSG0fEIDawGkebPNCqm,https://api.spotify.com/v1/audio-analysis/11PWSG0fEIDawGkebPNCqm,326000,4
Masked - Hitori Soul Show Live Version,0.559,0.882,9,-8.768,0,0.0462,0.678,2.4e-05,0.955,0.478,104.037,audio_features,2oPL2rib3tNWSmPoJFIYK6,spotify:track:2oPL2rib3tNWSmPoJFIYK6,https://api.spotify.com/v1/tracks/2oPL2rib3tNWSmPoJFIYK6,https://api.spotify.com/v1/audio-analysis/2oPL2rib3tNWSmPoJFIYK6,304000,4
Primal - Hitori Soul Show Live Version,0.352,0.0891,7,-26.621,1,0.103,0.94,0.000117,0.97,0.266,87.731,audio_features,3FMX67V1pexWA0jLam2blQ,spotify:track:3FMX67V1pexWA0jLam2blQ,https://api.spotify.com/v1/tracks/3FMX67V1pexWA0jLam2blQ,https://api.spotify.com/v1/audio-analysis/3FMX67V1pexWA0jLam2blQ,303000,4
Asobitagari,0.534,0.513,4,-6.742,1,0.0366,0.14,3.58e-06,0.279,0.817,202.59,audio_features,37N99OuMbyk9vxkgdrY3EL,spotify:track:37N99OuMbyk9vxkgdrY3EL,https://api.spotify.com/v1/tracks/37N99OuMbyk9vxkgdrY3EL,https://api.spotify.com/v1/audio-analysis/37N99OuMbyk9vxkgdrY3EL,308248,4
Tsukiji Alright,0.732,0.539,2,-8.337,1,0.169,0.624,0,0.314,0.73,141.052,audio_features,1dTXoWPiQPfGN10Ctc64Qv,spotify:track:1dTXoWPiQPfGN10Ctc64Qv,https://api.spotify.com/v1/tracks/1dTXoWPiQPfGN10Ctc64Qv,https://api.spotify.com/v1/audio-analysis/1dTXoWPiQPfGN10Ctc64Qv,277867,4
Rollerblade Race - Hitori Soul Show Live Version,0.807,0.648,5,-10.413,0,0.0368,0.628,0,0.941,0.709,112.906,audio_features,2l5S1CGcQF6p5tYyK3xn69,spotify:track:2l5S1CGcQF6p5tYyK3xn69,https://api.spotify.com/v1/tracks/2l5S1CGcQF6p5tYyK3xn69,https://api.spotify.com/v1/audio-analysis/2l5S1CGcQF6p5tYyK3xn69,235000,4
Hitori Soul Show no Theme - Hitori Soul Show Live Version,0.417,0.761,0,-8.172,1,0.19,0.799,0,0.771,0.31,115.567,audio_features,2ftYGJmoxryysjuRn74O4w,spotify:track:2ftYGJmoxryysjuRn74O4w,https://api.spotify.com/v1/tracks/2ftYGJmoxryysjuRn74O4w,https://api.spotify.com/v1/audio-analysis/2ftYGJmoxryysjuRn74O4w,109000,4
クレイジーラブ,0.448,0.627,2,-4.536,1,0.0335,0.136,1.93e-06,0.0596,0.654,106.353,audio_features,2ixWZ6is7q4OglMNRhFbtb,spotify:track:2ixWZ6is7q4OglMNRhFbtb,https://api.spotify.com/v1/tracks/2ixWZ6is7q4OglMNRhFbtb,https://api.spotify.com/v1/audio-analysis/2ixWZ6is7q4OglMNRhFbtb,252720,3
BRONCO - Hitori Soul Show Live Version,0.638,0.766,9,-8.467,1,0.0482,0.621,0,0.659,0.662,98.012,audio_features,4KBLgrQD8mH6GI6rZVHaMU,spotify:track:4KBLgrQD8mH6GI6rZVHaMU,https://api.spotify.com/v1/tracks/4KBLgrQD8mH6GI6rZVHaMU,https://api.spotify.com/v1/audio-analysis/4KBLgrQD8mH6GI6rZVHaMU,344000,4
Seppun - Hitori Soul Show Live Version,0.377,0.189,4,-17.53,0,0.16,0.955,8.11e-06,0.911,0.226,167.662,audio_features,77eGKZ20P0wn1hpuQqUjcr,spotify:track:77eGKZ20P0wn1hpuQqUjcr,https://api.spotify.com/v1/tracks/77eGKZ20P0wn1hpuQqUjcr,https://api.spotify.com/v1/audio-analysis/77eGKZ20P0wn1hpuQqUjcr,300000,3
ZIGZAG,0.651,0.566,2,-8.036,1,0.044,0.266,0,0.242,0.387,143.078,audio_features,0fBbrqkfP5kdjZDtU63flZ,spotify:track:0fBbrqkfP5kdjZDtU63flZ,https://api.spotify.com/v1/tracks/0fBbrqkfP5kdjZDtU63flZ,https://api.spotify.com/v1/audio-analysis/0fBbrqkfP5kdjZDtU63flZ,183772,4
FREE RIDE - Hitori Soul Show Live Version,0.761,0.883,0,-7.356,1,0.177,0.722,0,0.656,0.899,147.045,audio_features,5K2YfRlQCNP7eUP8q04f7l,spotify:track:5K2YfRlQCNP7eUP8q04f7l,https://api.spotify.com/v1/tracks/5K2YfRlQCNP7eUP8q04f7l,https://api.spotify.com/v1/audio-analysis/5K2YfRlQCNP7eUP8q04f7l,220000,4
bless You!,0.534,0.691,5,-8.969,0,0.103,0.735,7.6e-06,0.694,0.371,118.424,audio_features,5W881t2A1afzCdCeV7IKMx,spotify:track:5W881t2A1afzCdCeV7IKMx,https://api.spotify.com/v1/tracks/5W881t2A1afzCdCeV7IKMx,https://api.spotify.com/v1/audio-analysis/5W881t2A1afzCdCeV7IKMx,539612,4
Free Ride,0.694,0.779,7,-8.316,1,0.0528,0.588,7.43e-06,0.207,0.918,146.022,audio_features,29hV2ETrW0fzQyIDGDHdIs,spotify:track:29hV2ETrW0fzQyIDGDHdIs,https://api.spotify.com/v1/tracks/29hV2ETrW0fzQyIDGDHdIs,https://api.spotify.com/v1/audio-analysis/29hV2ETrW0fzQyIDGDHdIs,248066,4
Shalekoube - Hitori Soul Show Live Version,0.599,0.032,4,-24.824,1,0.0606,0.939,0,0.992,0.287,79.443,audio_features,2RG3K665KMZIVlVAky8u3v,spotify:track:2RG3K665KMZIVlVAky8u3v,https://api.spotify.com/v1/tracks/2RG3K665KMZIVlVAky8u3v,https://api.spotify.com/v1/audio-analysis/2RG3K665KMZIVlVAky8u3v,235000,4
Fiesta - Hitori Soul Show Live Version,0.724,0.782,6,-9.858,1,0.0669,0.298,0,0.927,0.409,116.833,audio_features,7xjKp4lwHqfDtNSvLFaM1y,spotify:track:7xjKp4lwHqfDtNSvLFaM1y,https://api.spotify.com/v1/tracks/7xjKp4lwHqfDtNSvLFaM1y,https://api.spotify.com/v1/audio-analysis/7xjKp4lwHqfDtNSvLFaM1y,372000,4
Konya wa Boogie Back - Hitori Soul Show Live Version,0.492,0.812,9,-6.859,0,0.395,0.804,0,0.983,0.558,200.0,audio_features,2hQ9keh6KEv1mbQRZhp7so,spotify:track:2hQ9keh6KEv1mbQRZhp7so,https://api.spotify.com/v1/tracks/2hQ9keh6KEv1mbQRZhp7so,https://api.spotify.com/v1/audio-analysis/2hQ9keh6KEv1mbQRZhp7so,387000,4
Coming Soon - Hitori Soul Show Live Version,0.57,0.723,5,-7.412,1,0.209,0.792,0,0.711,0.422,125.785,audio_features,1C6SwzVVvsDV6p9hF16zct,spotify:track:1C6SwzVVvsDV6p9hF16zct,https://api.spotify.com/v1/tracks/1C6SwzVVvsDV6p9hF16zct,https://api.spotify.com/v1/audio-analysis/1C6SwzVVvsDV6p9hF16zct,551000,4
MILLION SECRETS OF JAZZ,0.83,0.47,7,-17.475,1,0.0712,0.362,0.000577,0.696,0.596,100.787,audio_features,40FLb8NhaPoBdNEOCbMedc,spotify:track:40FLb8NhaPoBdNEOCbMedc,https://api.spotify.com/v1/tracks/40FLb8NhaPoBdNEOCbMedc,https://api.spotify.com/v1/audio-analysis/40FLb8NhaPoBdNEOCbMedc,557800,4
LET'S GO!,0.721,0.818,2,-13.477,0,0.0542,0.282,1.93e-06,0.723,0.381,117.641,audio_features,5ra02uwZJk6ipPWyTuzAxD,spotify:track:5ra02uwZJk6ipPWyTuzAxD,https://api.spotify.com/v1/tracks/5ra02uwZJk6ipPWyTuzAxD,https://api.spotify.com/v1/audio-analysis/5ra02uwZJk6ipPWyTuzAxD,394933,4
