name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
桃色吐息,0.65,0.586,1,-6.182,0,0.0285,0.32,0,0.109,0.547,126.879,audio_features,2tjvfmmzb10wqancTebap6,spotify:track:2tjvfmmzb10wqancTebap6,https://api.spotify.com/v1/tracks/2tjvfmmzb10wqancTebap6,https://api.spotify.com/v1/audio-analysis/2tjvfmmzb10wqancTebap6,215867,4
ごめんね…,0.507,0.621,6,-5.58,1,0.0251,0.163,0,0.149,0.379,147.752,audio_features,1ELs8wJDyI30ITeIadXE9q,spotify:track:1ELs8wJDyI30ITeIadXE9q,https://api.spotify.com/v1/tracks/1ELs8wJDyI30ITeIadXE9q,https://api.spotify.com/v1/audio-analysis/1ELs8wJDyI30ITeIadXE9q,284493,4
はがゆい唇,0.739,0.907,3,-3.945,0,0.0328,0.393,0,0.189,0.893,119.88,audio_features,5tHeBURWUhnYUhKk19ftmp,spotify:track:5tHeBURWUhnYUhKk19ftmp,https://api.spotify.com/v1/tracks/5tHeBURWUhnYUhKk19ftmp,https://api.spotify.com/v1/audio-analysis/5tHeBURWUhnYUhKk19ftmp,262600,4
五番街のマリーへ,0.285,0.422,2,-6.913,1,0.0346,0.731,1.91e-05,0.281,0.427,170.071,audio_features,6XHiqIoY4DxCxv37de2kPY,spotify:track:6XHiqIoY4DxCxv37de2kPY,https://api.spotify.com/v1/tracks/6XHiqIoY4DxCxv37de2kPY,https://api.spotify.com/v1/audio-analysis/6XHiqIoY4DxCxv37de2kPY,248000,4
for you...,0.4,0.577,8,-6.123,1,0.0321,0.464,6.67e-05,0.134,0.157,74.261,audio_features,4n4572hQs0m9FGKqUGCeZV,spotify:track:4n4572hQs0m9FGKqUGCeZV,https://api.spotify.com/v1/tracks/4n4572hQs0m9FGKqUGCeZV,https://api.spotify.com/v1/audio-analysis/4n4572hQs0m9FGKqUGCeZV,275200,4
別れの朝,0.481,0.612,2,-7.775,0,0.0382,0.0344,0.000539,0.124,0.267,85.955,audio_features,2ZvCqUaGmQtBq3GeqnFp8C,spotify:track:2ZvCqUaGmQtBq3GeqnFp8C,https://api.spotify.com/v1/tracks/2ZvCqUaGmQtBq3GeqnFp8C,https://api.spotify.com/v1/audio-analysis/2ZvCqUaGmQtBq3GeqnFp8C,242133,4
BAD BOY,0.54,0.361,5,-8.335,1,0.03,0.579,2.29e-05,0.115,0.216,74.926,audio_features,551jqveG1VmnoMbd18aUOT,spotify:track:551jqveG1VmnoMbd18aUOT,https://api.spotify.com/v1/tracks/551jqveG1VmnoMbd18aUOT,https://api.spotify.com/v1/audio-analysis/551jqveG1VmnoMbd18aUOT,253533,4
遥かな人へ,0.614,0.782,7,-4.481,1,0.0271,0.152,1.59e-06,0.132,0.72,128.839,audio_features,5ABG6QMI8zc3TMBDHIBXpP,spotify:track:5ABG6QMI8zc3TMBDHIBXpP,https://api.spotify.com/v1/tracks/5ABG6QMI8zc3TMBDHIBXpP,https://api.spotify.com/v1/audio-analysis/5ABG6QMI8zc3TMBDHIBXpP,255640,4
ジョニィへの伝言,0.307,0.509,5,-6.05,1,0.0319,0.699,0,0.0919,0.283,177.697,audio_features,76IFBFbc729TiCN0oxpPXX,spotify:track:76IFBFbc729TiCN0oxpPXX,https://api.spotify.com/v1/tracks/76IFBFbc729TiCN0oxpPXX,https://api.spotify.com/v1/audio-analysis/76IFBFbc729TiCN0oxpPXX,220893,4
Sincerely,0.781,0.827,10,-5.115,0,0.0267,0.588,1.83e-06,0.137,0.896,106.017,audio_features,1KWShc2rzZnD9j2KRs9Sck,spotify:track:1KWShc2rzZnD9j2KRs9Sck,https://api.spotify.com/v1/tracks/1KWShc2rzZnD9j2KRs9Sck,https://api.spotify.com/v1/audio-analysis/1KWShc2rzZnD9j2KRs9Sck,283200,4
あなたの空を翔びたい,0.528,0.501,5,-5.529,1,0.0253,0.717,6.39e-06,0.0956,0.155,90.864,audio_features,6gFMNBblUTWtRQ8fZDgLUD,spotify:track:6gFMNBblUTWtRQ8fZDgLUD,https://api.spotify.com/v1/tracks/6gFMNBblUTWtRQ8fZDgLUD,https://api.spotify.com/v1/audio-analysis/6gFMNBblUTWtRQ8fZDgLUD,248160,4
So in Love,0.597,0.85,0,-4.501,0,0.0279,0.0425,0,0.183,0.537,133.047,audio_features,4tt5gmcDf1L5Y0WUqmVaKP,spotify:track:4tt5gmcDf1L5Y0WUqmVaKP,https://api.spotify.com/v1/tracks/4tt5gmcDf1L5Y0WUqmVaKP,https://api.spotify.com/v1/audio-analysis/4tt5gmcDf1L5Y0WUqmVaKP,275933,4
誕生日(バースディ),0.241,0.355,5,-9.334,1,0.029,0.599,6.03e-06,0.225,0.246,178.298,audio_features,6zkOMO291P3OaL7AjOmBIo,spotify:track:6zkOMO291P3OaL7AjOmBIo,https://api.spotify.com/v1/tracks/6zkOMO291P3OaL7AjOmBIo,https://api.spotify.com/v1/audio-analysis/6zkOMO291P3OaL7AjOmBIo,216067,4
そっと…Lovin' you,0.604,0.565,2,-7.028,1,0.0261,0.3,2.93e-05,0.387,0.341,128.798,audio_features,1p9gLXe4E83B5e7iI2F6Ul,spotify:track:1p9gLXe4E83B5e7iI2F6Ul,https://api.spotify.com/v1/tracks/1p9gLXe4E83B5e7iI2F6Ul,https://api.spotify.com/v1/audio-analysis/1p9gLXe4E83B5e7iI2F6Ul,264560,4
フレンズ,0.379,0.442,3,-8.594,1,0.0297,0.588,0.000786,0.123,0.114,145.983,audio_features,6JVeHAUdFyVcjB802pDkfV,spotify:track:6JVeHAUdFyVcjB802pDkfV,https://api.spotify.com/v1/tracks/6JVeHAUdFyVcjB802pDkfV,https://api.spotify.com/v1/audio-analysis/6JVeHAUdFyVcjB802pDkfV,310973,4
陽かげりの街,0.583,0.687,1,-6.129,0,0.0274,0.297,0.000416,0.478,0.695,130.033,audio_features,6CTZCRsZgdPYvldyBgsVJU,spotify:track:6CTZCRsZgdPYvldyBgsVJU,https://api.spotify.com/v1/tracks/6CTZCRsZgdPYvldyBgsVJU,https://api.spotify.com/v1/audio-analysis/6CTZCRsZgdPYvldyBgsVJU,254093,4
