name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
虹の都へ,0.65,0.946,2,-3.983,1,0.0552,0.335,0.000731,0.258,0.762,132.257,audio_features,1bKg70oyTdQ2xLtXQIbi7A,spotify:track:1bKg70oyTdQ2xLtXQIbi7A,https://api.spotify.com/v1/tracks/1bKg70oyTdQ2xLtXQIbi7A,https://api.spotify.com/v1/audio-analysis/1bKg70oyTdQ2xLtXQIbi7A,225627,4
新しいカメラ,0.614,0.912,2,-5.639,1,0.0585,0.36,0.218,0.195,0.873,81.021,audio_features,3HyBWjmsd7oNC8Kf84xzli,spotify:track:3HyBWjmsd7oNC8Kf84xzli,https://api.spotify.com/v1/tracks/3HyBWjmsd7oNC8Kf84xzli,https://api.spotify.com/v1/audio-analysis/3HyBWjmsd7oNC8Kf84xzli,332347,4
TOKYO SKY BLUE,0.703,0.683,2,-8.52,0,0.0326,0.414,0.145,0.113,0.652,92.998,audio_features,51mAC09sDlMdo0pLq780RS,spotify:track:51mAC09sDlMdo0pLq780RS,https://api.spotify.com/v1/tracks/51mAC09sDlMdo0pLq780RS,https://api.spotify.com/v1/audio-analysis/51mAC09sDlMdo0pLq780RS,254840,4
ベステン ダンク,0.662,0.891,9,-5.132,1,0.0406,0.119,0.000345,0.33,0.903,127.897,audio_features,4Z9cCEzlI2cdJnGS8Df8vI,spotify:track:4Z9cCEzlI2cdJnGS8Df8vI,https://api.spotify.com/v1/tracks/4Z9cCEzlI2cdJnGS8Df8vI,https://api.spotify.com/v1/audio-analysis/4Z9cCEzlI2cdJnGS8Df8vI,276960,4
Winter's Tale ~冬物語~,0.638,0.806,6,-6.29,1,0.0304,0.00382,0,0.224,0.827,133.895,audio_features,5OJfMJasV2Cr6n7DKNiruL,spotify:track:5OJfMJasV2Cr6n7DKNiruL,https://api.spotify.com/v1/tracks/5OJfMJasV2Cr6n7DKNiruL,https://api.spotify.com/v1/audio-analysis/5OJfMJasV2Cr6n7DKNiruL,315171,4
虹の都へ,0.65,0.946,2,-3.983,1,0.0552,0.335,0.000731,0.258,0.762,132.257,audio_features,4n0XAuyRaFjb0kGry5tN5b,spotify:track:4n0XAuyRaFjb0kGry5tN5b,https://api.spotify.com/v1/tracks/4n0XAuyRaFjb0kGry5tN5b,https://api.spotify.com/v1/audio-analysis/4n0XAuyRaFjb0kGry5tN5b,225627,4
Itsunomanika Hare (Out of the Grey),0.664,0.101,9,-14.718,1,0.0657,0.988,0.00186,0.103,0.0737,98.142,audio_features,2uIoLgKU7Ist93UXfAdTwX,spotify:track:2uIoLgKU7Ist93UXfAdTwX,https://api.spotify.com/v1/tracks/2uIoLgKU7Ist93UXfAdTwX,https://api.spotify.com/v1/audio-analysis/2uIoLgKU7Ist93UXfAdTwX,218107,4
もう、いいかい,0.734,0.714,7,-9.344,1,0.0403,0.173,0.0181,0.0992,0.742,143.999,audio_features,0qzwznMcPr6pphDqIUDMCK,spotify:track:0qzwznMcPr6pphDqIUDMCK,https://api.spotify.com/v1/tracks/0qzwznMcPr6pphDqIUDMCK,https://api.spotify.com/v1/audio-analysis/0qzwznMcPr6pphDqIUDMCK,231453,3
Winter's Tale ~冬物語~,0.639,0.822,6,-5.638,1,0.0304,0.0043,0,0.136,0.803,133.891,audio_features,4IMi0SpaSvBuOL11wUftRN,spotify:track:4IMi0SpaSvBuOL11wUftRN,https://api.spotify.com/v1/tracks/4IMi0SpaSvBuOL11wUftRN,https://api.spotify.com/v1/audio-analysis/4IMi0SpaSvBuOL11wUftRN,317133,4
ないものねだり,0.546,0.722,7,-7.039,1,0.0306,0.0314,0.339,0.0924,0.755,101.584,audio_features,0GuFP0c97XgHL7gH7q4PPn,spotify:track:0GuFP0c97XgHL7gH7q4PPn,https://api.spotify.com/v1/tracks/0GuFP0c97XgHL7gH7q4PPn,https://api.spotify.com/v1/audio-analysis/0GuFP0c97XgHL7gH7q4PPn,226978,4
炎 (1992) –“Candle of Hope”Prototype,0.625,0.889,2,-4.715,1,0.032,0.0394,0.223,0.261,0.912,107.812,audio_features,2ACultG0Kyhye9aFsAbYE6,spotify:track:2ACultG0Kyhye9aFsAbYE6,https://api.spotify.com/v1/tracks/2ACultG0Kyhye9aFsAbYE6,https://api.spotify.com/v1/audio-analysis/2ACultG0Kyhye9aFsAbYE6,260240,4
