name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
メロディー,0.598,0.224,6,-12.618,1,0.0321,0.867,1.27e-05,0.106,0.166,126.473,audio_features,3WlNXip1Fm13r2YREQvKMR,spotify:track:3WlNXip1Fm13r2YREQvKMR,https://api.spotify.com/v1/tracks/3WlNXip1Fm13r2YREQvKMR,https://api.spotify.com/v1/audio-analysis/3WlNXip1Fm13r2YREQvKMR,280280,4
初恋,0.669,0.492,4,-9.483,0,0.028,0.816,0.000227,0.116,0.612,125.01,audio_features,3kyopPWlRXpOj1qfy5wRUJ,spotify:track:3kyopPWlRXpOj1qfy5wRUJ,https://api.spotify.com/v1/tracks/3kyopPWlRXpOj1qfy5wRUJ,https://api.spotify.com/v1/audio-analysis/3kyopPWlRXpOj1qfy5wRUJ,227240,4
花咲く土手に (LIVE 2015 旭川),0.495,0.294,6,-12.319,1,0.0326,0.46,8.38e-05,0.711,0.179,129.853,audio_features,0KC7JN9KWH3ima0wHLgFpQ,spotify:track:0KC7JN9KWH3ima0wHLgFpQ,https://api.spotify.com/v1/tracks/0KC7JN9KWH3ima0wHLgFpQ,https://api.spotify.com/v1/audio-analysis/0KC7JN9KWH3ima0wHLgFpQ,286053,4
田園,0.411,0.933,7,-6.767,1,0.0474,0.19,0,0.11,0.671,75.281,audio_features,6mkmn00ou8o08iEADwzKCg,spotify:track:6mkmn00ou8o08iEADwzKCg,https://api.spotify.com/v1/tracks/6mkmn00ou8o08iEADwzKCg,https://api.spotify.com/v1/audio-analysis/6mkmn00ou8o08iEADwzKCg,219667,4
君がいないから (LIVE 2015 旭川),0.384,0.44,1,-9.998,1,0.038,0.415,0,0.638,0.238,143.981,audio_features,67Qum1Yh5zFqvbFnMtypW3,spotify:track:67Qum1Yh5zFqvbFnMtypW3,https://api.spotify.com/v1/tracks/67Qum1Yh5zFqvbFnMtypW3,https://api.spotify.com/v1/audio-analysis/67Qum1Yh5zFqvbFnMtypW3,213867,4
Beautiful World,0.362,0.321,4,-6.939,1,0.0363,0.851,0,0.205,0.172,135.616,audio_features,3x9fmCeM7CRiB3NwrVZxvM,spotify:track:3x9fmCeM7CRiB3NwrVZxvM,https://api.spotify.com/v1/tracks/3x9fmCeM7CRiB3NwrVZxvM,https://api.spotify.com/v1/audio-analysis/3x9fmCeM7CRiB3NwrVZxvM,340573,4
I LOVE YOU,0.405,0.235,6,-10.832,1,0.0401,0.96,0.00109,0.107,0.4,137.258,audio_features,72k1itdG2JlRPKqBfxmioF,spotify:track:72k1itdG2JlRPKqBfxmioF,https://api.spotify.com/v1/tracks/72k1itdG2JlRPKqBfxmioF,https://api.spotify.com/v1/audio-analysis/72k1itdG2JlRPKqBfxmioF,238960,3
Melody,0.361,0.0394,5,-26.197,1,0.0554,0.989,0.92,0.0954,0.0476,74.277,audio_features,2KU2Bya8KKlvH7KYkfC5q2,spotify:track:2KU2Bya8KKlvH7KYkfC5q2,https://api.spotify.com/v1/tracks/2KU2Bya8KKlvH7KYkfC5q2,https://api.spotify.com/v1/audio-analysis/2KU2Bya8KKlvH7KYkfC5q2,249267,4
MR.LONELY,0.641,0.43,0,-9.363,1,0.0276,0.219,0.00146,0.0705,0.328,129.899,audio_features,6ZFygwOMAj29sLNGcpGyQa,spotify:track:6ZFygwOMAj29sLNGcpGyQa,https://api.spotify.com/v1/tracks/6ZFygwOMAj29sLNGcpGyQa,https://api.spotify.com/v1/audio-analysis/6ZFygwOMAj29sLNGcpGyQa,316800,4
星路 (みち),0.544,0.512,11,-7.821,0,0.0332,0.534,0.00142,0.122,0.504,156.137,audio_features,0TWwbu3qo6fglRBJerQ068,spotify:track:0TWwbu3qo6fglRBJerQ068,https://api.spotify.com/v1/tracks/0TWwbu3qo6fglRBJerQ068,https://api.spotify.com/v1/audio-analysis/0TWwbu3qo6fglRBJerQ068,216760,4
