name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
仮面ライダークウガ!,0.417,0.856,2,-7.98,1,0.0546,0.0091,0,0.222,0.348,151.898,audio_features,7Kvgi7InjhAiHCx45e8kr5,spotify:track:7Kvgi7InjhAiHCx45e8kr5,https://api.spotify.com/v1/tracks/7Kvgi7InjhAiHCx45e8kr5,https://api.spotify.com/v1/audio-analysis/7Kvgi7InjhAiHCx45e8kr5,244947,4
仮面ライダークウガ! - 『超英雄祭』 LIVE,0.291,0.915,0,-3.714,1,0.068,0.0586,0,0.245,0.309,151.982,audio_features,1kb90uIuoOR4RBchXSlaJg,spotify:track:1kb90uIuoOR4RBchXSlaJg,https://api.spotify.com/v1/tracks/1kb90uIuoOR4RBchXSlaJg,https://api.spotify.com/v1/audio-analysis/1kb90uIuoOR4RBchXSlaJg,255640,4
BEGIN THE BEGUINE,0.604,0.809,2,-5.113,1,0.0677,0.549,8.07e-06,0.0811,0.652,94.856,audio_features,6SdflY124AKRJTgMf6u2DC,spotify:track:6SdflY124AKRJTgMf6u2DC,https://api.spotify.com/v1/tracks/6SdflY124AKRJTgMf6u2DC,https://api.spotify.com/v1/audio-analysis/6SdflY124AKRJTgMf6u2DC,164720,4
SAILING,0.509,0.524,11,-5.6,1,0.0278,0.581,1.91e-06,0.131,0.233,126.079,audio_features,4IG4FgWEQB4SIS5YvBsnzh,spotify:track:4IG4FgWEQB4SIS5YvBsnzh,https://api.spotify.com/v1/tracks/4IG4FgWEQB4SIS5YvBsnzh,https://api.spotify.com/v1/audio-analysis/4IG4FgWEQB4SIS5YvBsnzh,286947,4
WHEN YOU WISH UPON A STAR,0.406,0.265,4,-9.894,1,0.0307,0.943,1.27e-06,0.13,0.128,118.077,audio_features,2stWMLZz3V7U17KnBvaNAa,spotify:track:2stWMLZz3V7U17KnBvaNAa,https://api.spotify.com/v1/tracks/2stWMLZz3V7U17KnBvaNAa,https://api.spotify.com/v1/audio-analysis/2stWMLZz3V7U17KnBvaNAa,284613,3
DESPERADO,0.469,0.3,5,-9.08,1,0.0333,0.852,0,0.0976,0.257,130.016,audio_features,0MOOQOUYGyP9bVzdJuUwPJ,spotify:track:0MOOQOUYGyP9bVzdJuUwPJ,https://api.spotify.com/v1/tracks/0MOOQOUYGyP9bVzdJuUwPJ,https://api.spotify.com/v1/audio-analysis/0MOOQOUYGyP9bVzdJuUwPJ,211587,4
You've Got A Friend,0.672,0.626,6,-5.841,1,0.0252,0.362,8.78e-06,0.129,0.753,88.04,audio_features,5B4QK2Imw6hMAfmFPIjlsl,spotify:track:5B4QK2Imw6hMAfmFPIjlsl,https://api.spotify.com/v1/tracks/5B4QK2Imw6hMAfmFPIjlsl,https://api.spotify.com/v1/audio-analysis/5B4QK2Imw6hMAfmFPIjlsl,313413,4
SEA OF LOVE,0.666,0.476,7,-7.893,1,0.0288,0.504,8.27e-05,0.103,0.303,117.052,audio_features,1lWj690FWGznUTmjrZE4Tv,spotify:track:1lWj690FWGznUTmjrZE4Tv,https://api.spotify.com/v1/tracks/1lWj690FWGznUTmjrZE4Tv,https://api.spotify.com/v1/audio-analysis/1lWj690FWGznUTmjrZE4Tv,199760,3
IT'S MY LIFE,0.614,0.501,9,-6.107,0,0.0297,0.323,0,0.134,0.259,118.021,audio_features,5CC8xWxWYXxigXxHiRbB6R,spotify:track:5CC8xWxWYXxigXxHiRbB6R,https://api.spotify.com/v1/tracks/5CC8xWxWYXxigXxHiRbB6R,https://api.spotify.com/v1/audio-analysis/5CC8xWxWYXxigXxHiRbB6R,225040,4
THE ROSE,0.377,0.244,9,-8.11,1,0.0292,0.867,0,0.0938,0.185,124.109,audio_features,60eEfL7eHm1JEOtIYNy2Sg,spotify:track:60eEfL7eHm1JEOtIYNy2Sg,https://api.spotify.com/v1/tracks/60eEfL7eHm1JEOtIYNy2Sg,https://api.spotify.com/v1/audio-analysis/60eEfL7eHm1JEOtIYNy2Sg,224947,4
MY FUNNY VALENTINE,0.674,0.619,2,-8.04,0,0.0369,0.45,0.00217,0.166,0.454,83.992,audio_features,2H2t1T12po9hmdHRcu9ZuO,spotify:track:2H2t1T12po9hmdHRcu9ZuO,https://api.spotify.com/v1/tracks/2H2t1T12po9hmdHRcu9ZuO,https://api.spotify.com/v1/audio-analysis/2H2t1T12po9hmdHRcu9ZuO,314507,4
Over The Rainbow,0.398,0.372,5,-7.169,1,0.0275,0.838,8.79e-06,0.132,0.308,185.919,audio_features,64EGMu6QOgEWxZdrNj4qc8,spotify:track:64EGMu6QOgEWxZdrNj4qc8,https://api.spotify.com/v1/tracks/64EGMu6QOgEWxZdrNj4qc8,https://api.spotify.com/v1/audio-analysis/64EGMu6QOgEWxZdrNj4qc8,340427,3
