name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Broken Wings,0.567,0.692,4,-7.076,0,0.0354,0.297,0.049,0.184,0.356,83.993,audio_features,1mIFAbX8z0Q4aPKueXTe8u,spotify:track:1mIFAbX8z0Q4aPKueXTe8u,https://api.spotify.com/v1/tracks/1mIFAbX8z0Q4aPKueXTe8u,https://api.spotify.com/v1/audio-analysis/1mIFAbX8z0Q4aPKueXTe8u,225733,4
Message #9,0.546,0.847,2,-8.689,1,0.0715,0.00452,0.711,0.0862,0.084,117.051,audio_features,7CMQ2O2IVOwbJ5AaJi0sKl,spotify:track:7CMQ2O2IVOwbJ5AaJi0sKl,https://api.spotify.com/v1/tracks/7CMQ2O2IVOwbJ5AaJi0sKl,https://api.spotify.com/v1/audio-analysis/7CMQ2O2IVOwbJ5AaJi0sKl,235640,4
Let me hear,0.568,0.636,4,-7.101,1,0.0306,0.282,4.07e-05,0.138,0.353,155.983,audio_features,75c8yZzPlJ5JM4l9wnsU20,spotify:track:75c8yZzPlJ5JM4l9wnsU20,https://api.spotify.com/v1/tracks/75c8yZzPlJ5JM4l9wnsU20,https://api.spotify.com/v1/audio-analysis/75c8yZzPlJ5JM4l9wnsU20,287920,4
Let me hear,0.539,0.679,4,-5.971,1,0.032,0.352,0.000415,0.18,0.28,156.0,audio_features,6u03zYDyowjHW4zRCo4347,spotify:track:6u03zYDyowjHW4zRCo4347,https://api.spotify.com/v1/tracks/6u03zYDyowjHW4zRCo4347,https://api.spotify.com/v1/audio-analysis/6u03zYDyowjHW4zRCo4347,285391,4
Love Song,0.32,0.353,6,-10.05,0,0.0309,0.288,0.207,0.156,0.149,138.068,audio_features,13m1AZmhtXypDyPayir6gU,spotify:track:13m1AZmhtXypDyPayir6gU,https://api.spotify.com/v1/tracks/13m1AZmhtXypDyPayir6gU,https://api.spotify.com/v1/audio-analysis/13m1AZmhtXypDyPayir6gU,228093,4
笑顔で愛してる -Single Version-,0.552,0.906,4,-4.619,1,0.039,0.359,7.89e-05,0.302,0.609,113.535,audio_features,1yL4eqQlytDhe4cCm8VsbZ,spotify:track:1yL4eqQlytDhe4cCm8VsbZ,https://api.spotify.com/v1/tracks/1yL4eqQlytDhe4cCm8VsbZ,https://api.spotify.com/v1/audio-analysis/1yL4eqQlytDhe4cCm8VsbZ,282493,4
瞳のなかの少年,0.648,0.883,10,-3.786,0,0.0328,0.353,0.0128,0.178,0.802,100.936,audio_features,3un9B5acKU1vrB7PYHlRbJ,spotify:track:3un9B5acKU1vrB7PYHlRbJ,https://api.spotify.com/v1/tracks/3un9B5acKU1vrB7PYHlRbJ,https://api.spotify.com/v1/audio-analysis/3un9B5acKU1vrB7PYHlRbJ,264160,4
赤い靴,0.674,0.53,7,-8.84,1,0.0243,0.508,0.00359,0.261,0.388,89.991,audio_features,0ozsOSqFcE8928nTdOuvUS,spotify:track:0ozsOSqFcE8928nTdOuvUS,https://api.spotify.com/v1/tracks/0ozsOSqFcE8928nTdOuvUS,https://api.spotify.com/v1/audio-analysis/0ozsOSqFcE8928nTdOuvUS,205507,3
The Last Rose of Summer,0.345,0.111,9,-14.665,1,0.0303,0.968,0.0525,0.118,0.217,66.937,audio_features,6kqNzQQcCujbu1H9CzGTaF,spotify:track:6kqNzQQcCujbu1H9CzGTaF,https://api.spotify.com/v1/tracks/6kqNzQQcCujbu1H9CzGTaF,https://api.spotify.com/v1/audio-analysis/6kqNzQQcCujbu1H9CzGTaF,253773,3
とことんしあわせ,0.557,0.672,4,-7.632,0,0.0278,0.155,0.000547,0.117,0.555,151.985,audio_features,5nVvagcLmwZFuYeVzkweWL,spotify:track:5nVvagcLmwZFuYeVzkweWL,https://api.spotify.com/v1/tracks/5nVvagcLmwZFuYeVzkweWL,https://api.spotify.com/v1/audio-analysis/5nVvagcLmwZFuYeVzkweWL,266160,4
謝々 Bye Bye,0.709,0.93,2,-3.811,1,0.0548,0.529,0.0265,0.187,0.965,144.836,audio_features,6OA6eIP10lajmIKFpEguyU,spotify:track:6OA6eIP10lajmIKFpEguyU,https://api.spotify.com/v1/tracks/6OA6eIP10lajmIKFpEguyU,https://api.spotify.com/v1/audio-analysis/6OA6eIP10lajmIKFpEguyU,236027,4
Many more joys,0.751,0.0736,2,-17.151,1,0.0418,0.984,0.000811,0.106,0.517,83.759,audio_features,7zUWYay5miFj1x768O5noG,spotify:track:7zUWYay5miFj1x768O5noG,https://api.spotify.com/v1/tracks/7zUWYay5miFj1x768O5noG,https://api.spotify.com/v1/audio-analysis/7zUWYay5miFj1x768O5noG,64107,4
