name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
昴-すばる-,0.218,0.321,4,-9.216,1,0.0304,0.887,0.00191,0.238,0.194,175.678,audio_features,74E2o7gPc7auKY71mLSfa1,spotify:track:74E2o7gPc7auKY71mLSfa1,https://api.spotify.com/v1/tracks/74E2o7gPc7auKY71mLSfa1,https://api.spotify.com/v1/audio-analysis/74E2o7gPc7auKY71mLSfa1,272067,4
いい日旅立ち,0.533,0.327,2,-12.335,0,0.027,0.575,9.84e-06,0.179,0.162,99.686,audio_features,7Dh0wbO6o9PhCfFGMM5WJo,spotify:track:7Dh0wbO6o9PhCfFGMM5WJo,https://api.spotify.com/v1/tracks/7Dh0wbO6o9PhCfFGMM5WJo,https://api.spotify.com/v1/audio-analysis/7Dh0wbO6o9PhCfFGMM5WJo,271840,4
忘れていいの -愛の幕切れ- feat. 小川知子,0.558,0.329,7,-10.522,1,0.0369,0.76,0.0101,0.103,0.258,80.792,audio_features,7rrrwL8zWTo4dRmZ0hG4mx,spotify:track:7rrrwL8zWTo4dRmZ0hG4mx,https://api.spotify.com/v1/tracks/7rrrwL8zWTo4dRmZ0hG4mx,https://api.spotify.com/v1/audio-analysis/7rrrwL8zWTo4dRmZ0hG4mx,280027,4
ガラスの花,0.782,0.34,9,-13.229,0,0.0278,0.39,7.32e-06,0.136,0.779,95.992,audio_features,74IW5PEhfx33ERV0HS1xIf,spotify:track:74IW5PEhfx33ERV0HS1xIf,https://api.spotify.com/v1/tracks/74IW5PEhfx33ERV0HS1xIf,https://api.spotify.com/v1/audio-analysis/74IW5PEhfx33ERV0HS1xIf,225827,4
浪漫鉄道 <蹉跌篇>,0.431,0.303,2,-10.524,1,0.0328,0.44,0,0.136,0.234,78.816,audio_features,40Homu1Arkq2brFWJDf2hX,spotify:track:40Homu1Arkq2brFWJDf2hX,https://api.spotify.com/v1/tracks/40Homu1Arkq2brFWJDf2hX,https://api.spotify.com/v1/audio-analysis/40Homu1Arkq2brFWJDf2hX,258133,4
海猫,0.353,0.0884,9,-24.967,0,0.0381,0.488,2.86e-06,0.251,0.131,153.41,audio_features,3RrGQdCGir0yY0RBOOT4wa,spotify:track:3RrGQdCGir0yY0RBOOT4wa,https://api.spotify.com/v1/tracks/3RrGQdCGir0yY0RBOOT4wa,https://api.spotify.com/v1/audio-analysis/3RrGQdCGir0yY0RBOOT4wa,268667,4
サライ,0.523,0.426,0,-8.575,1,0.0242,0.504,0.000269,0.151,0.2,86.996,audio_features,5S71fHzCp0lWUH8f8Y7BDd,spotify:track:5S71fHzCp0lWUH8f8Y7BDd,https://api.spotify.com/v1/tracks/5S71fHzCp0lWUH8f8Y7BDd,https://api.spotify.com/v1/audio-analysis/5S71fHzCp0lWUH8f8Y7BDd,425440,4
Subaru,0.46,0.471,4,-5.533,1,0.0303,0.596,7.66e-05,0.1,0.217,76.966,audio_features,4YFsZjfB0Y6hANB7WaWsOJ,spotify:track:4YFsZjfB0Y6hANB7WaWsOJ,https://api.spotify.com/v1/tracks/4YFsZjfB0Y6hANB7WaWsOJ,https://api.spotify.com/v1/audio-analysis/4YFsZjfB0Y6hANB7WaWsOJ,364267,4
儚きは,0.574,0.322,2,-12.214,1,0.0264,0.783,2.13e-05,0.144,0.255,95.438,audio_features,5WspUyHqzpvRBlY9kBVt7g,spotify:track:5WspUyHqzpvRBlY9kBVt7g,https://api.spotify.com/v1/tracks/5WspUyHqzpvRBlY9kBVt7g,https://api.spotify.com/v1/audio-analysis/5WspUyHqzpvRBlY9kBVt7g,232600,4
三都物語,0.55,0.441,1,-8.549,0,0.0258,0.149,0.000177,0.184,0.227,101.848,audio_features,2CKyVifRTds0QUMblwxXSq,spotify:track:2CKyVifRTds0QUMblwxXSq,https://api.spotify.com/v1/tracks/2CKyVifRTds0QUMblwxXSq,https://api.spotify.com/v1/audio-analysis/2CKyVifRTds0QUMblwxXSq,250973,4
