name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
villain,0.312,0.876,7,-3.819,1,0.422,0.00628,7.86e-05,0.244,0.745,201.981,audio_features,5KE5i73iG4A7h8OyqyIaZK,spotify:track:5KE5i73iG4A7h8OyqyIaZK,https://api.spotify.com/v1/tracks/5KE5i73iG4A7h8OyqyIaZK,https://api.spotify.com/v1/audio-analysis/5KE5i73iG4A7h8OyqyIaZK,200392,4
Devil,0.752,0.63,9,-5.429,0,0.0317,0.0831,0,0.053,0.808,128.025,audio_features,0APWEfXKDsQZpzw3aOKYVI,spotify:track:0APWEfXKDsQZpzw3aOKYVI,https://api.spotify.com/v1/tracks/0APWEfXKDsQZpzw3aOKYVI,https://api.spotify.com/v1/audio-analysis/0APWEfXKDsQZpzw3aOKYVI,203666,4
UNICORN,0.626,0.798,5,-2.334,0,0.0808,0.0168,6.79e-05,0.273,0.795,91.89,audio_features,6NT9rwcaLbBCJgNC3KszWR,spotify:track:6NT9rwcaLbBCJgNC3KszWR,https://api.spotify.com/v1/tracks/6NT9rwcaLbBCJgNC3KszWR,https://api.spotify.com/v1/audio-analysis/6NT9rwcaLbBCJgNC3KszWR,217526,4
キュリオ シティ (feat. 初音ミク&鏡音レン&鏡音リン),0.631,0.814,0,-5.458,1,0.0353,0.0141,4.26e-05,0.128,0.944,154.997,audio_features,4sKtVLsTmb0cVunZNpGmGd,spotify:track:4sKtVLsTmb0cVunZNpGmGd,https://api.spotify.com/v1/tracks/4sKtVLsTmb0cVunZNpGmGd,https://api.spotify.com/v1/audio-analysis/4sKtVLsTmb0cVunZNpGmGd,232548,4
ヴィラン ((album ver.)),0.492,0.845,0,-5.203,1,0.444,0.00611,0,0.285,0.819,204.016,audio_features,1C2JEXAG5m6tZPu6GC8u07,spotify:track:1C2JEXAG5m6tZPu6GC8u07,https://api.spotify.com/v1/tracks/1C2JEXAG5m6tZPu6GC8u07,https://api.spotify.com/v1/audio-analysis/1C2JEXAG5m6tZPu6GC8u07,203000,4
ザネリ,0.724,0.739,0,-6.37,1,0.048,0.0626,0,0.111,0.695,127.923,audio_features,57AFNCr0TyH5381WKKBRZj,spotify:track:57AFNCr0TyH5381WKKBRZj,https://api.spotify.com/v1/tracks/57AFNCr0TyH5381WKKBRZj,https://api.spotify.com/v1/audio-analysis/57AFNCr0TyH5381WKKBRZj,245000,4
クーロンズ・ホテル,0.697,0.877,8,-4.613,1,0.04,0.0137,0.00171,0.208,0.714,130.013,audio_features,2wywYTwBYiB8C6H8x3zg4C,spotify:track:2wywYTwBYiB8C6H8x3zg4C,https://api.spotify.com/v1/tracks/2wywYTwBYiB8C6H8x3zg4C,https://api.spotify.com/v1/audio-analysis/2wywYTwBYiB8C6H8x3zg4C,234227,4
Empress,0.662,0.717,7,-5.198,1,0.0542,0.0878,0,0.13,0.822,117.99,audio_features,3DjI5XIKURSqC7VUoyed9B,spotify:track:3DjI5XIKURSqC7VUoyed9B,https://api.spotify.com/v1/tracks/3DjI5XIKURSqC7VUoyed9B,https://api.spotify.com/v1/audio-analysis/3DjI5XIKURSqC7VUoyed9B,254000,4
発火,0.686,0.682,0,-5.332,1,0.0331,0.0209,0.000125,0.186,0.913,94.955,audio_features,7LK0QLXSBERdUZBQ6j8SpN,spotify:track:7LK0QLXSBERdUZBQ6j8SpN,https://api.spotify.com/v1/tracks/7LK0QLXSBERdUZBQ6j8SpN,https://api.spotify.com/v1/audio-analysis/7LK0QLXSBERdUZBQ6j8SpN,223000,4
名探偵連続殺人事件,0.604,0.911,0,-3.698,0,0.0363,0.0142,2.86e-06,0.388,0.936,139.986,audio_features,03BDveaGdrz36Z8ljFpj65,spotify:track:03BDveaGdrz36Z8ljFpj65,https://api.spotify.com/v1/tracks/03BDveaGdrz36Z8ljFpj65,https://api.spotify.com/v1/audio-analysis/03BDveaGdrz36Z8ljFpj65,267867,4
Bradbury,0.654,0.806,8,-4.892,1,0.0698,0.296,0,0.0511,0.88,121.031,audio_features,4EKbBwy2dJzEXN17Xs3yQV,spotify:track:4EKbBwy2dJzEXN17Xs3yQV,https://api.spotify.com/v1/tracks/4EKbBwy2dJzEXN17Xs3yQV,https://api.spotify.com/v1/audio-analysis/4EKbBwy2dJzEXN17Xs3yQV,218926,4
Villan,0.555,0.857,7,-3.508,1,0.322,0.00457,2.49e-06,0.271,0.858,101.878,audio_features,3iHoFo9LOkcJSsST2EREcO,spotify:track:3iHoFo9LOkcJSsST2EREcO,https://api.spotify.com/v1/tracks/3iHoFo9LOkcJSsST2EREcO,https://api.spotify.com/v1/audio-analysis/3iHoFo9LOkcJSsST2EREcO,203189,4
Lamé,0.594,0.614,8,-5.375,1,0.0441,0.0544,0.00138,0.135,0.756,185.875,audio_features,649WFj7wT3ExxkqiAiK6n3,spotify:track:649WFj7wT3ExxkqiAiK6n3,https://api.spotify.com/v1/tracks/649WFj7wT3ExxkqiAiK6n3,https://api.spotify.com/v1/audio-analysis/649WFj7wT3ExxkqiAiK6n3,249947,4
Neonbow Walker,0.675,0.642,10,-7.198,0,0.0325,0.00566,0.000715,0.111,0.698,119.963,audio_features,3abKXim7hHzk6MmSJQ5oP5,spotify:track:3abKXim7hHzk6MmSJQ5oP5,https://api.spotify.com/v1/tracks/3abKXim7hHzk6MmSJQ5oP5,https://api.spotify.com/v1/audio-analysis/3abKXim7hHzk6MmSJQ5oP5,205213,4
一角獣 ((album ver.)),0.685,0.706,8,-6.448,1,0.0557,0.0248,1.81e-05,0.27,0.804,91.914,audio_features,5S0g5Foo7iZJpyu8tczxvD,spotify:track:5S0g5Foo7iZJpyu8tczxvD,https://api.spotify.com/v1/tracks/5S0g5Foo7iZJpyu8tczxvD,https://api.spotify.com/v1/audio-analysis/5S0g5Foo7iZJpyu8tczxvD,219933,4
ギラギラ -make up mix-,0.604,0.727,7,-7.567,1,0.0321,0.208,0,0.121,0.531,95.971,audio_features,2QBC5BOL4Pym9K3lNV24sx,spotify:track:2QBC5BOL4Pym9K3lNV24sx,https://api.spotify.com/v1/tracks/2QBC5BOL4Pym9K3lNV24sx,https://api.spotify.com/v1/audio-analysis/2QBC5BOL4Pym9K3lNV24sx,279000,4
Kosho Yashiki Satsujin Jiken,0.564,0.886,4,-2.827,0,0.0535,0.146,5.27e-06,0.161,0.431,139.958,audio_features,0fVNFLeZNPmRSiLPWfAs13,spotify:track:0fVNFLeZNPmRSiLPWfAs13,https://api.spotify.com/v1/tracks/0fVNFLeZNPmRSiLPWfAs13,https://api.spotify.com/v1/audio-analysis/0fVNFLeZNPmRSiLPWfAs13,270000,4
歌にならない花はない,0.651,0.587,2,-8.788,1,0.0367,0.0623,5.67e-05,0.0715,0.315,107.963,audio_features,2RQ9r56kfDyFrMNfca78Op,spotify:track:2RQ9r56kfDyFrMNfca78Op,https://api.spotify.com/v1/tracks/2RQ9r56kfDyFrMNfca78Op,https://api.spotify.com/v1/audio-analysis/2RQ9r56kfDyFrMNfca78Op,282000,4
能面島神隠し事件,0.593,0.917,4,-3.214,0,0.0717,0.176,0,0.34,0.835,146.045,audio_features,697AIlbIOeP2iiy9zELJmn,spotify:track:697AIlbIOeP2iiy9zELJmn,https://api.spotify.com/v1/tracks/697AIlbIOeP2iiy9zELJmn,https://api.spotify.com/v1/audio-analysis/697AIlbIOeP2iiy9zELJmn,226467,4
moonbeam,0.494,0.0461,4,-20.968,0,0.0827,0.958,0.926,0.0976,0.308,120.145,audio_features,7IBUuw9pKYvnYXpN2NNy4h,spotify:track:7IBUuw9pKYvnYXpN2NNy4h,https://api.spotify.com/v1/tracks/7IBUuw9pKYvnYXpN2NNy4h,https://api.spotify.com/v1/audio-analysis/7IBUuw9pKYvnYXpN2NNy4h,81000,4
モノノケミステリヰ,0.423,0.954,5,-3.42,1,0.0786,0.00894,1.67e-05,0.336,0.627,190.024,audio_features,0PyaIST9mlEyNqBhvh90m8,spotify:track:0PyaIST9mlEyNqBhvh90m8,https://api.spotify.com/v1/tracks/0PyaIST9mlEyNqBhvh90m8,https://api.spotify.com/v1/audio-analysis/0PyaIST9mlEyNqBhvh90m8,226240,4
月射病,0.292,0.384,6,-6.468,0,0.0326,0.0811,0,0.0852,0.435,82.909,audio_features,0eRA5CNCHD6wgSfbc6ckDR,spotify:track:0eRA5CNCHD6wgSfbc6ckDR,https://api.spotify.com/v1/tracks/0eRA5CNCHD6wgSfbc6ckDR,https://api.spotify.com/v1/audio-analysis/0eRA5CNCHD6wgSfbc6ckDR,243173,4
誘蛾 ~名探偵育成計画~,0.469,0.95,11,-2.5,0,0.12,0.055,1.02e-06,0.325,0.587,160.018,audio_features,097vyEAqgZjSOoBMFhVoY0,spotify:track:097vyEAqgZjSOoBMFhVoY0,https://api.spotify.com/v1/tracks/097vyEAqgZjSOoBMFhVoY0,https://api.spotify.com/v1/audio-analysis/097vyEAqgZjSOoBMFhVoY0,294933,1
ナゾトキ処方箋,0.558,0.907,7,-3.3,1,0.03,0.00728,0,0.384,0.898,141.972,audio_features,7KmMb5Ds0Dn75X9IZNmi4r,spotify:track:7KmMb5Ds0Dn75X9IZNmi4r,https://api.spotify.com/v1/tracks/7KmMb5Ds0Dn75X9IZNmi4r,https://api.spotify.com/v1/audio-analysis/7KmMb5Ds0Dn75X9IZNmi4r,235227,4
怪盗大鴉,0.638,0.928,4,-2.893,0,0.101,0.0781,1.04e-06,0.137,0.651,121.915,audio_features,2KK418wYQdEltKOo2RdBLH,spotify:track:2KK418wYQdEltKOo2RdBLH,https://api.spotify.com/v1/tracks/2KK418wYQdEltKOo2RdBLH,https://api.spotify.com/v1/audio-analysis/2KK418wYQdEltKOo2RdBLH,210133,4
猫屋敷心中事件,0.472,0.939,2,-4.022,1,0.105,0.0021,0,0.314,0.588,175.007,audio_features,3pCLJKBE2WIYmWs5VrA5Rr,spotify:track:3pCLJKBE2WIYmWs5VrA5Rr,https://api.spotify.com/v1/tracks/3pCLJKBE2WIYmWs5VrA5Rr,https://api.spotify.com/v1/audio-analysis/3pCLJKBE2WIYmWs5VrA5Rr,265133,4
