name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
ranbu,0.444,0.946,8,-2.331,1,0.0494,4.66e-06,0.957,0.296,0.157,90.083,audio_features,0CasfbV1HTXwkfGEYEeuHZ,spotify:track:0CasfbV1HTXwkfGEYEeuHZ,https://api.spotify.com/v1/tracks/0CasfbV1HTXwkfGEYEeuHZ,https://api.spotify.com/v1/audio-analysis/0CasfbV1HTXwkfGEYEeuHZ,86697,4
daten,0.503,0.714,5,-7.403,1,0.0296,0.00105,0.822,0.247,0.137,109.91,audio_features,3sXh5YCinmV98uredfXGnc,spotify:track:3sXh5YCinmV98uredfXGnc,https://api.spotify.com/v1/tracks/3sXh5YCinmV98uredfXGnc,https://api.spotify.com/v1/audio-analysis/3sXh5YCinmV98uredfXGnc,105000,4
ryuuun,0.153,0.322,5,-6.479,1,0.0391,1.04e-06,0.821,0.11,0.137,134.81,audio_features,7Bz1anRbMwSf4w4uHRWdtz,spotify:track:7Bz1anRbMwSf4w4uHRWdtz,https://api.spotify.com/v1/tracks/7Bz1anRbMwSf4w4uHRWdtz,https://api.spotify.com/v1/audio-analysis/7Bz1anRbMwSf4w4uHRWdtz,100500,4
katyou,0.631,0.912,7,-6.116,1,0.0362,0.000484,0.888,0.0639,0.966,150.016,audio_features,045za1vQJcn3P4qUydW7ZC,spotify:track:045za1vQJcn3P4qUydW7ZC,https://api.spotify.com/v1/tracks/045za1vQJcn3P4qUydW7ZC,https://api.spotify.com/v1/audio-analysis/045za1vQJcn3P4qUydW7ZC,126600,4
gekkou,0.485,0.841,0,-4.032,1,0.0359,0.795,0.942,0.103,0.393,149.947,audio_features,3rk5zERXAB57Kr0I24zyEa,spotify:track:3rk5zERXAB57Kr0I24zyEa,https://api.spotify.com/v1/tracks/3rk5zERXAB57Kr0I24zyEa,https://api.spotify.com/v1/audio-analysis/3rk5zERXAB57Kr0I24zyEa,95100,3
syuumaku,0.676,0.538,0,-6.086,1,0.0392,0.358,0.853,0.116,0.132,86.005,audio_features,6ccLgqGJ3CAwnhmmeHUEXK,spotify:track:6ccLgqGJ3CAwnhmmeHUEXK,https://api.spotify.com/v1/tracks/6ccLgqGJ3CAwnhmmeHUEXK,https://api.spotify.com/v1/audio-analysis/6ccLgqGJ3CAwnhmmeHUEXK,127151,4
rinne,0.637,0.703,5,-6.876,1,0.0305,0.0226,0.945,0.12,0.178,116.016,audio_features,1NPuFgBHuP7OIALsGDsaGo,spotify:track:1NPuFgBHuP7OIALsGDsaGo,https://api.spotify.com/v1/tracks/1NPuFgBHuP7OIALsGDsaGo,https://api.spotify.com/v1/audio-analysis/1NPuFgBHuP7OIALsGDsaGo,133707,4
rekka,0.347,0.948,7,-2.854,1,0.058,2.09e-05,0.898,0.121,0.931,159.905,audio_features,2mNqUCqRvuARLf7d3GjCdg,spotify:track:2mNqUCqRvuARLf7d3GjCdg,https://api.spotify.com/v1/tracks/2mNqUCqRvuARLf7d3GjCdg,https://api.spotify.com/v1/audio-analysis/2mNqUCqRvuARLf7d3GjCdg,129938,4
suikyou,0.516,0.819,0,-4.667,1,0.0402,0.000435,0.952,0.0887,0.077,120.023,audio_features,6Y2aaF0SxJ50ohWy4VZq1b,spotify:track:6Y2aaF0SxJ50ohWy4VZq1b,https://api.spotify.com/v1/tracks/6Y2aaF0SxJ50ohWy4VZq1b,https://api.spotify.com/v1/audio-analysis/6Y2aaF0SxJ50ohWy4VZq1b,162750,4
kagami,0.326,0.226,10,-13.957,1,0.0394,3.04e-06,0.409,0.106,0.0288,46.832,audio_features,54s4gJmS4Ace0BT4chEBFq,spotify:track:54s4gJmS4Ace0BT4chEBFq,https://api.spotify.com/v1/tracks/54s4gJmS4Ace0BT4chEBFq,https://api.spotify.com/v1/audio-analysis/54s4gJmS4Ace0BT4chEBFq,86333,3
