name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Degenerate -デジェネレイト-,0.422,0.974,0,-4.064,0,0.0546,0.00357,0.869,0.274,0.664,164.013,audio_features,2DBzA85zCIUWamuerqQtbK,spotify:track:2DBzA85zCIUWamuerqQtbK,https://api.spotify.com/v1/tracks/2DBzA85zCIUWamuerqQtbK,https://api.spotify.com/v1/audio-analysis/2DBzA85zCIUWamuerqQtbK,248000,4
starlight winter love,0.607,0.74,0,-3.679,1,0.0307,0.0141,0,0.109,0.671,100.006,audio_features,1jfggtdayoAAu7nLSPAEZK,spotify:track:1jfggtdayoAAu7nLSPAEZK,https://api.spotify.com/v1/tracks/1jfggtdayoAAu7nLSPAEZK,https://api.spotify.com/v1/audio-analysis/1jfggtdayoAAu7nLSPAEZK,247928,4
WildCard -Full Length-,0.497,0.977,6,-1.585,0,0.147,0.203,0.000164,0.36,0.498,169.976,audio_features,6Fv2w0g9oqQug7ZWi2j3jp,spotify:track:6Fv2w0g9oqQug7ZWi2j3jp,https://api.spotify.com/v1/tracks/6Fv2w0g9oqQug7ZWi2j3jp,https://api.spotify.com/v1/audio-analysis/6Fv2w0g9oqQug7ZWi2j3jp,239211,4
twinkle night,0.595,0.949,2,-4.007,1,0.0472,0.00235,0.153,0.317,0.909,148.017,audio_features,1FKzEsHAZjy332OzJT9MlO,spotify:track:1FKzEsHAZjy332OzJT9MlO,https://api.spotify.com/v1/tracks/1FKzEsHAZjy332OzJT9MlO,https://api.spotify.com/v1/audio-analysis/1FKzEsHAZjy332OzJT9MlO,285071,4
Gonna Be Wannabe(EXTENDED MIX),0.628,0.978,0,-4.176,1,0.0649,0.0115,0.317,0.219,0.719,137.992,audio_features,1s4NptbpwteFuEaBB0cg9z,spotify:track:1s4NptbpwteFuEaBB0cg9z,https://api.spotify.com/v1/tracks/1s4NptbpwteFuEaBB0cg9z,https://api.spotify.com/v1/audio-analysis/1s4NptbpwteFuEaBB0cg9z,424347,4
injured pride (feat. Nakumo),0.589,0.946,8,-3.867,1,0.0755,0.00444,0,0.485,0.658,159.981,audio_features,2rM9md7scSpE2uJZh9xXCA,spotify:track:2rM9md7scSpE2uJZh9xXCA,https://api.spotify.com/v1/tracks/2rM9md7scSpE2uJZh9xXCA,https://api.spotify.com/v1/audio-analysis/2rM9md7scSpE2uJZh9xXCA,230992,4
The last light,0.751,0.614,4,-5.2,0,0.0304,0.0306,3.07e-06,0.0557,0.784,104.996,audio_features,7KzqhcBwdsQbr0NDSD1Upc,spotify:track:7KzqhcBwdsQbr0NDSD1Upc,https://api.spotify.com/v1/tracks/7KzqhcBwdsQbr0NDSD1Upc,https://api.spotify.com/v1/audio-analysis/7KzqhcBwdsQbr0NDSD1Upc,304716,4
believe yourself,0.553,0.972,8,-3.651,0,0.135,0.00213,0.000228,0.104,0.469,147.99,audio_features,4I8ZVkwxh1vzltLGk8xCzs,spotify:track:4I8ZVkwxh1vzltLGk8xCzs,https://api.spotify.com/v1/tracks/4I8ZVkwxh1vzltLGk8xCzs,https://api.spotify.com/v1/audio-analysis/4I8ZVkwxh1vzltLGk8xCzs,284578,4
月想歌,0.415,0.928,9,-3.334,0,0.0706,0.00839,0,0.146,0.681,150.059,audio_features,7pELMRYy4NETw8RRPXnYb6,spotify:track:7pELMRYy4NETw8RRPXnYb6,https://api.spotify.com/v1/tracks/7pELMRYy4NETw8RRPXnYb6,https://api.spotify.com/v1/audio-analysis/7pELMRYy4NETw8RRPXnYb6,214912,4
NEXT DOOR,0.489,0.991,6,-4.305,0,0.138,0.0545,1.13e-05,0.168,0.363,146.048,audio_features,5VFbVMxlVXLXq4HgoLetsY,spotify:track:5VFbVMxlVXLXq4HgoLetsY,https://api.spotify.com/v1/tracks/5VFbVMxlVXLXq4HgoLetsY,https://api.spotify.com/v1/audio-analysis/5VFbVMxlVXLXq4HgoLetsY,240966,4
