name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
SHIVER,0.531,0.862,7,-3.884,1,0.0708,8.29e-05,0,0.359,0.688,119.966,audio_features,4w4XgYAROtMykzWdkXGtOO,spotify:track:4w4XgYAROtMykzWdkXGtOO,https://api.spotify.com/v1/tracks/4w4XgYAROtMykzWdkXGtOO,https://api.spotify.com/v1/audio-analysis/4w4XgYAROtMykzWdkXGtOO,251093,4
DEUX,0.47,0.918,3,-4.188,0,0.0773,0.000272,0.000407,0.2,0.556,124.975,audio_features,2vwD0Eu2BAfxXYaQxjinmY,spotify:track:2vwD0Eu2BAfxXYaQxjinmY,https://api.spotify.com/v1/tracks/2vwD0Eu2BAfxXYaQxjinmY,https://api.spotify.com/v1/audio-analysis/2vwD0Eu2BAfxXYaQxjinmY,238573,4
UGLY,0.419,0.954,10,-4.783,0,0.141,0.000668,0.134,0.429,0.216,160.028,audio_features,4YKJbMxKqJK2f2fkBgUu4t,spotify:track:4YKJbMxKqJK2f2fkBgUu4t,https://api.spotify.com/v1/tracks/4YKJbMxKqJK2f2fkBgUu4t,https://api.spotify.com/v1/audio-analysis/4YKJbMxKqJK2f2fkBgUu4t,211920,4
枯詩,0.545,0.952,9,-3.383,0,0.0828,0.0362,0,0.367,0.588,119.964,audio_features,79fHfBPNAiiH0RWbMPMHX6,spotify:track:79fHfBPNAiiH0RWbMPMHX6,https://api.spotify.com/v1/tracks/79fHfBPNAiiH0RWbMPMHX6,https://api.spotify.com/v1/audio-analysis/79fHfBPNAiiH0RWbMPMHX6,310533,4
DOGMA,0.235,0.879,6,-4.162,1,0.0673,4.51e-05,0.00356,0.383,0.181,106.223,audio_features,02k5YUKJhcARbQc4inPWP2,spotify:track:02k5YUKJhcARbQc4inPWP2,https://api.spotify.com/v1/tracks/02k5YUKJhcARbQc4inPWP2,https://api.spotify.com/v1/audio-analysis/02k5YUKJhcARbQc4inPWP2,267960,4
THE INVISIBLE WALL,0.531,0.942,11,-4.697,0,0.0479,0.00012,0.313,0.124,0.281,100.058,audio_features,2RVz6FSykAi0DPr4cavdGX,spotify:track:2RVz6FSykAi0DPr4cavdGX,https://api.spotify.com/v1/tracks/2RVz6FSykAi0DPr4cavdGX,https://api.spotify.com/v1/audio-analysis/2RVz6FSykAi0DPr4cavdGX,273400,3
FILTH IN THE BEAUTY,0.526,0.893,5,-5.335,0,0.0984,1.3e-05,0.00627,0.359,0.509,119.827,audio_features,6o0qh8ntVB2qWcHfsu0cVF,spotify:track:6o0qh8ntVB2qWcHfsu0cVF,https://api.spotify.com/v1/tracks/6o0qh8ntVB2qWcHfsu0cVF,https://api.spotify.com/v1/audio-analysis/6o0qh8ntVB2qWcHfsu0cVF,251867,4
CHIZURU,0.26,0.876,1,-4.559,0,0.0747,8.29e-06,0.02,0.0835,0.272,103.949,audio_features,6FdM0uIAz6WeF8av6e0m26,spotify:track:6FdM0uIAz6WeF8av6e0m26,https://api.spotify.com/v1/tracks/6FdM0uIAz6WeF8av6e0m26,https://api.spotify.com/v1/audio-analysis/6FdM0uIAz6WeF8av6e0m26,347053,4
NAKIGAHARA,0.503,0.691,6,-5.866,1,0.0343,0.00211,0.102,0.457,0.574,179.999,audio_features,3waWSy6m2Pf2iGqP3fSa5V,spotify:track:3waWSy6m2Pf2iGqP3fSa5V,https://api.spotify.com/v1/tracks/3waWSy6m2Pf2iGqP3fSa5V,https://api.spotify.com/v1/audio-analysis/3waWSy6m2Pf2iGqP3fSa5V,439187,4
INSIDE BEAST,0.49,0.9,8,-3.335,1,0.118,3.65e-05,0.00461,0.224,0.669,130.127,audio_features,4XDny1eo4d5t4pWQUPUl76,spotify:track:4XDny1eo4d5t4pWQUPUl76,https://api.spotify.com/v1/tracks/4XDny1eo4d5t4pWQUPUl76,https://api.spotify.com/v1/audio-analysis/4XDny1eo4d5t4pWQUPUl76,229760,4
