name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Aiueo,0.621,0.649,7,-11.196,1,0.0404,0.00285,0.765,0.168,0.0751,93.015,audio_features,5jY07FvEcLpgrmLgzfvqAG,spotify:track:5jY07FvEcLpgrmLgzfvqAG,https://api.spotify.com/v1/tracks/5jY07FvEcLpgrmLgzfvqAG,https://api.spotify.com/v1/audio-analysis/5jY07FvEcLpgrmLgzfvqAG,278500,4
Ghost Horn,0.742,0.643,0,-9.038,1,0.184,0.242,0.9,0.073,0.654,111.031,audio_features,0U69yCjt0eWPjZqOOixRp9,spotify:track:0U69yCjt0eWPjZqOOixRp9,https://api.spotify.com/v1/tracks/0U69yCjt0eWPjZqOOixRp9,https://api.spotify.com/v1/audio-analysis/0U69yCjt0eWPjZqOOixRp9,321128,4
Aiueo - (12inch Mix),0.702,0.433,7,-12.528,1,0.0369,0.295,0.0813,0.064,0.0664,93.018,audio_features,3pCo2YRG64vG9JU1iOWBJq,spotify:track:3pCo2YRG64vG9JU1iOWBJq,https://api.spotify.com/v1/tracks/3pCo2YRG64vG9JU1iOWBJq,https://api.spotify.com/v1/audio-analysis/3pCo2YRG64vG9JU1iOWBJq,281939,4
Lights Out,0.618,0.85,6,-8.97,1,0.0887,0.0171,0.813,0.117,0.364,111.009,audio_features,7rYnFYzPLwvHV9xxiNQ69O,spotify:track:7rYnFYzPLwvHV9xxiNQ69O,https://api.spotify.com/v1/tracks/7rYnFYzPLwvHV9xxiNQ69O,https://api.spotify.com/v1/audio-analysis/7rYnFYzPLwvHV9xxiNQ69O,409005,4
Dead Asleep,0.711,0.616,9,-9.3,1,0.169,0.204,0.82,0.301,0.339,111.992,audio_features,6pgXz2jgfBwrtifBtWvHdN,spotify:track:6pgXz2jgfBwrtifBtWvHdN,https://api.spotify.com/v1/tracks/6pgXz2jgfBwrtifBtWvHdN,https://api.spotify.com/v1/audio-analysis/6pgXz2jgfBwrtifBtWvHdN,378313,4
Kasumi Bldg 4F,0.683,0.558,2,-12.194,1,0.0547,0.19,0.122,0.103,0.119,124.984,audio_features,38ZneHmaykbC2prZFyRQmt,spotify:track:38ZneHmaykbC2prZFyRQmt,https://api.spotify.com/v1/tracks/38ZneHmaykbC2prZFyRQmt,https://api.spotify.com/v1/audio-analysis/38ZneHmaykbC2prZFyRQmt,381840,4
Moonstep - (O.N.O Remix),0.631,0.65,1,-11.806,1,0.0336,0.00333,0.653,0.0923,0.343,112.001,audio_features,47b3M7z2iZak9QmjudsxAR,spotify:track:47b3M7z2iZak9QmjudsxAR,https://api.spotify.com/v1/tracks/47b3M7z2iZak9QmjudsxAR,https://api.spotify.com/v1/audio-analysis/47b3M7z2iZak9QmjudsxAR,253637,4
Subspace Entrance,0.78,0.51,10,-11.966,0,0.0725,0.132,0.865,0.0974,0.189,115.996,audio_features,7gHk7AhHILf5XhA2S3BeXQ,spotify:track:7gHk7AhHILf5XhA2S3BeXQ,https://api.spotify.com/v1/tracks/7gHk7AhHILf5XhA2S3BeXQ,https://api.spotify.com/v1/audio-analysis/7gHk7AhHILf5XhA2S3BeXQ,402299,4
Gion,0.709,0.745,6,-9.348,1,0.0552,0.182,0.697,0.256,0.476,96.993,audio_features,3TFWs71unwcHs4UbxwHmVp,spotify:track:3TFWs71unwcHs4UbxwHmVp,https://api.spotify.com/v1/tracks/3TFWs71unwcHs4UbxwHmVp,https://api.spotify.com/v1/audio-analysis/3TFWs71unwcHs4UbxwHmVp,264000,4
Smoker Forest,0.682,0.618,7,-11.376,1,0.0809,0.00454,0.122,0.381,0.166,115.986,audio_features,0FhTBYs7ML0cqNjl86TYHD,spotify:track:0FhTBYs7ML0cqNjl86TYHD,https://api.spotify.com/v1/tracks/0FhTBYs7ML0cqNjl86TYHD,https://api.spotify.com/v1/audio-analysis/0FhTBYs7ML0cqNjl86TYHD,410250,4
Kashambo,0.342,0.784,9,-8.959,0,0.062,0.00528,0.841,0.105,0.13,116.952,audio_features,6vb3DhdvVEdnjVv0HMXGaT,spotify:track:6vb3DhdvVEdnjVv0HMXGaT,https://api.spotify.com/v1/tracks/6vb3DhdvVEdnjVv0HMXGaT,https://api.spotify.com/v1/audio-analysis/6vb3DhdvVEdnjVv0HMXGaT,339718,4
Ascension Dub,0.546,0.329,0,-15.213,1,0.207,0.0964,0.823,0.0508,0.254,125.074,audio_features,7IZwYjErrQEXzJmrrewTvO,spotify:track:7IZwYjErrQEXzJmrrewTvO,https://api.spotify.com/v1/tracks/7IZwYjErrQEXzJmrrewTvO,https://api.spotify.com/v1/audio-analysis/7IZwYjErrQEXzJmrrewTvO,335168,4
Nerenai,0.792,0.949,1,-9.037,1,0.136,0.314,0.854,0.107,0.336,113.63,audio_features,2lMdlLOKETRKhVDpBBl2A5,spotify:track:2lMdlLOKETRKhVDpBBl2A5,https://api.spotify.com/v1/tracks/2lMdlLOKETRKhVDpBBl2A5,https://api.spotify.com/v1/audio-analysis/2lMdlLOKETRKhVDpBBl2A5,401656,4
Glide,0.666,0.697,10,-11.645,0,0.0463,0.217,0.797,0.114,0.743,115.992,audio_features,2a2SP3nGVJlpRO6ygAp9fQ,spotify:track:2a2SP3nGVJlpRO6ygAp9fQ,https://api.spotify.com/v1/tracks/2a2SP3nGVJlpRO6ygAp9fQ,https://api.spotify.com/v1/audio-analysis/2a2SP3nGVJlpRO6ygAp9fQ,448000,4
