name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
ココロ,0.52,0.966,4,-3.042,0,0.0774,0.137,6.37e-06,0.271,0.196,140.006,audio_features,6gsd0653qu7ePqE2gXA2ET,spotify:track:6gsd0653qu7ePqE2gXA2ET,https://api.spotify.com/v1/tracks/6gsd0653qu7ePqE2gXA2ET,https://api.spotify.com/v1/audio-analysis/6gsd0653qu7ePqE2gXA2ET,282866,4
ソレイユ -Soleil-,0.436,0.871,11,-3.38,0,0.0398,0.336,0,0.0771,0.2,66.692,audio_features,3XcFfFFH8FDyDwTGNe6TN4,spotify:track:3XcFfFFH8FDyDwTGNe6TN4,https://api.spotify.com/v1/tracks/3XcFfFFH8FDyDwTGNe6TN4,https://api.spotify.com/v1/audio-analysis/3XcFfFFH8FDyDwTGNe6TN4,230400,4
ココロ,0.52,0.966,4,-3.042,0,0.0774,0.137,6.37e-06,0.271,0.196,140.006,audio_features,0QeMKjVoHAmwKFoZ4SAFK5,spotify:track:0QeMKjVoHAmwKFoZ4SAFK5,https://api.spotify.com/v1/tracks/0QeMKjVoHAmwKFoZ4SAFK5,https://api.spotify.com/v1/audio-analysis/0QeMKjVoHAmwKFoZ4SAFK5,282866,4
よつばのクローバー,0.532,0.561,9,-6.287,1,0.0296,0.535,0,0.362,0.249,153.966,audio_features,4FpZnjSbrMdkL2GCgkUjsc,spotify:track:4FpZnjSbrMdkL2GCgkUjsc,https://api.spotify.com/v1/tracks/4FpZnjSbrMdkL2GCgkUjsc,https://api.spotify.com/v1/audio-analysis/4FpZnjSbrMdkL2GCgkUjsc,285075,4
トエト,0.577,0.475,2,-4.837,1,0.026,0.562,0,0.0947,0.566,160.103,audio_features,374cmk1v5TiR2IhtFKfghu,spotify:track:374cmk1v5TiR2IhtFKfghu,https://api.spotify.com/v1/tracks/374cmk1v5TiR2IhtFKfghu,https://api.spotify.com/v1/audio-analysis/374cmk1v5TiR2IhtFKfghu,212995,4
トラボティック・ワールド,0.593,0.703,4,-4.248,1,0.0248,0.4,0,0.145,0.34,84.989,audio_features,20hGQ1nlw5kaMORnO2QYyb,spotify:track:20hGQ1nlw5kaMORnO2QYyb,https://api.spotify.com/v1/tracks/20hGQ1nlw5kaMORnO2QYyb,https://api.spotify.com/v1/audio-analysis/20hGQ1nlw5kaMORnO2QYyb,246438,4
少年銀河,0.54,0.948,0,-4.133,0,0.0323,0.0331,0.000131,0.374,0.382,119.961,audio_features,4LxaJpaj5DN3xvVsKH9e5w,spotify:track:4LxaJpaj5DN3xvVsKH9e5w,https://api.spotify.com/v1/tracks/4LxaJpaj5DN3xvVsKH9e5w,https://api.spotify.com/v1/audio-analysis/4LxaJpaj5DN3xvVsKH9e5w,256000,4
頑張ろうよ,0.591,0.823,2,-3.262,1,0.0326,0.348,1.35e-05,0.145,0.487,119.908,audio_features,6pyy22pgiBRdIRG6DfIlas,spotify:track:6pyy22pgiBRdIRG6DfIlas,https://api.spotify.com/v1/tracks/6pyy22pgiBRdIRG6DfIlas,https://api.spotify.com/v1/audio-analysis/6pyy22pgiBRdIRG6DfIlas,282000,4
ルナ ~海の妖精~,0.39,0.292,1,-9.662,0,0.0292,0.708,2.87e-05,0.936,0.0398,74.926,audio_features,1lKSGfDJn0cdAk6P2SJZho,spotify:track:1lKSGfDJn0cdAk6P2SJZho,https://api.spotify.com/v1/tracks/1lKSGfDJn0cdAk6P2SJZho,https://api.spotify.com/v1/audio-analysis/1lKSGfDJn0cdAk6P2SJZho,329269,4
ココロ -MIKU EXPO 2014 in INDONESIA Live-,0.427,0.945,4,-3.981,0,0.11,0.00719,5.28e-05,0.68,0.103,140.0,audio_features,1Pn6lciLlEJFFvi1iYBnFE,spotify:track:1Pn6lciLlEJFFvi1iYBnFE,https://api.spotify.com/v1/tracks/1Pn6lciLlEJFFvi1iYBnFE,https://api.spotify.com/v1/audio-analysis/1Pn6lciLlEJFFvi1iYBnFE,207374,4
チョコレイトロード,0.467,0.896,6,-3.038,0,0.0383,0.214,3.65e-06,0.11,0.813,189.993,audio_features,4LXdOebv7PKXCzkRUf7v4R,spotify:track:4LXdOebv7PKXCzkRUf7v4R,https://api.spotify.com/v1/tracks/4LXdOebv7PKXCzkRUf7v4R,https://api.spotify.com/v1/audio-analysis/4LXdOebv7PKXCzkRUf7v4R,240000,4
ココロ ピアノver.,0.392,0.0604,4,-21.01,0,0.0509,0.98,0.82,0.0781,0.146,160.735,audio_features,0HHRoC0idsOKroc5kHuXKi,spotify:track:0HHRoC0idsOKroc5kHuXKi,https://api.spotify.com/v1/tracks/0HHRoC0idsOKroc5kHuXKi,https://api.spotify.com/v1/audio-analysis/0HHRoC0idsOKroc5kHuXKi,323093,4
おてんば姫の歌♪,0.563,0.602,4,-5.715,1,0.0304,0.601,3e-06,0.104,0.785,200.045,audio_features,4JMBmuMP63uHGk7vgD4FUM,spotify:track:4JMBmuMP63uHGk7vgD4FUM,https://api.spotify.com/v1/tracks/4JMBmuMP63uHGk7vgD4FUM,https://api.spotify.com/v1/audio-analysis/4JMBmuMP63uHGk7vgD4FUM,195941,4
空想絵本,0.618,0.944,5,-3.11,1,0.0364,0.362,8.12e-06,0.0898,0.161,129.954,audio_features,5OBnNRh8QBPvkZjIijjnfJ,spotify:track:5OBnNRh8QBPvkZjIijjnfJ,https://api.spotify.com/v1/tracks/5OBnNRh8QBPvkZjIijjnfJ,https://api.spotify.com/v1/audio-analysis/5OBnNRh8QBPvkZjIijjnfJ,284161,4
Kokoro,0.534,0.946,4,-4.592,0,0.0854,0.262,0,0.284,0.31,139.97,audio_features,7h4xX2kYs30GaG6lQGY0Tn,spotify:track:7h4xX2kYs30GaG6lQGY0Tn,https://api.spotify.com/v1/tracks/7h4xX2kYs30GaG6lQGY0Tn,https://api.spotify.com/v1/audio-analysis/7h4xX2kYs30GaG6lQGY0Tn,280000,4
さよならありがとう,0.565,0.834,9,-4.299,0,0.0615,0.425,0,0.261,0.136,80.026,audio_features,2NUuc1h9wjAatEbyFKLMFd,spotify:track:2NUuc1h9wjAatEbyFKLMFd,https://api.spotify.com/v1/tracks/2NUuc1h9wjAatEbyFKLMFd,https://api.spotify.com/v1/audio-analysis/2NUuc1h9wjAatEbyFKLMFd,230000,4
トエト -カラオケver.-,0.568,0.491,2,-6.991,1,0.0241,0.115,0.0306,0.0917,0.625,80.021,audio_features,3oRJGb8F7hkJSMgQCdcWYL,spotify:track:3oRJGb8F7hkJSMgQCdcWYL,https://api.spotify.com/v1/tracks/3oRJGb8F7hkJSMgQCdcWYL,https://api.spotify.com/v1/audio-analysis/3oRJGb8F7hkJSMgQCdcWYL,212995,4
ピンクスパイダー,0.545,0.765,6,-4.453,0,0.0379,0.112,0.000292,0.0427,0.913,199.94,audio_features,7lukkIa5kelxHXt4KUnMNc,spotify:track:7lukkIa5kelxHXt4KUnMNc,https://api.spotify.com/v1/tracks/7lukkIa5kelxHXt4KUnMNc,https://api.spotify.com/v1/audio-analysis/7lukkIa5kelxHXt4KUnMNc,222086,4
Kokoro - B.U.S Remix,0.554,0.985,4,-3.741,0,0.0494,0.026,0.355,0.285,0.456,140.014,audio_features,65l8vsdplBT0aB8a0lpVD4,spotify:track:65l8vsdplBT0aB8a0lpVD4,https://api.spotify.com/v1/tracks/65l8vsdplBT0aB8a0lpVD4,https://api.spotify.com/v1/audio-analysis/65l8vsdplBT0aB8a0lpVD4,262000,4
Hakoniwa Dystopia,0.449,0.933,6,-2.126,0,0.0664,0.00301,0,0.309,0.492,89.98,audio_features,5ydXSznsvvIhZqPLz7AQRE,spotify:track:5ydXSznsvvIhZqPLz7AQRE,https://api.spotify.com/v1/tracks/5ydXSznsvvIhZqPLz7AQRE,https://api.spotify.com/v1/audio-analysis/5ydXSznsvvIhZqPLz7AQRE,175500,4
大切な君へ贈る歌,0.529,0.735,9,-4.036,1,0.029,0.262,0.00195,0.21,0.184,76.036,audio_features,5oSg0Mq586O7yyGrJjwHRc,spotify:track:5oSg0Mq586O7yyGrJjwHRc,https://api.spotify.com/v1/tracks/5oSg0Mq586O7yyGrJjwHRc,https://api.spotify.com/v1/audio-analysis/5oSg0Mq586O7yyGrJjwHRc,371053,4
トエト,0.554,0.492,2,-5.179,1,0.0243,0.521,0,0.104,0.471,80.03,audio_features,0R4sYmvnzOEiPCYIKjxu1i,spotify:track:0R4sYmvnzOEiPCYIKjxu1i,https://api.spotify.com/v1/tracks/0R4sYmvnzOEiPCYIKjxu1i,https://api.spotify.com/v1/audio-analysis/0R4sYmvnzOEiPCYIKjxu1i,212995,4
ソラトバズ,0.553,0.487,4,-4.14,1,0.0264,0.545,0,0.105,0.337,75.012,audio_features,16dyfu9hV2wKf7MPFQspuS,spotify:track:16dyfu9hV2wKf7MPFQspuS,https://api.spotify.com/v1/tracks/16dyfu9hV2wKf7MPFQspuS,https://api.spotify.com/v1/audio-analysis/16dyfu9hV2wKf7MPFQspuS,246395,4
