name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
in the rain,0.632,0.519,7,-7.428,1,0.0283,0.0723,0.00258,0.499,0.391,142.009,audio_features,23h7bp5S0KCQkmvK8HLRHJ,spotify:track:23h7bp5S0KCQkmvK8HLRHJ,https://api.spotify.com/v1/tracks/23h7bp5S0KCQkmvK8HLRHJ,https://api.spotify.com/v1/audio-analysis/23h7bp5S0KCQkmvK8HLRHJ,292181,4
Wanna Kiss,0.911,0.718,11,-5.93,0,0.0765,0.262,0.000813,0.104,0.902,107.124,audio_features,5LXQeJX8ZGS7Q5ZZ3vtGF7,spotify:track:5LXQeJX8ZGS7Q5ZZ3vtGF7,https://api.spotify.com/v1/tracks/5LXQeJX8ZGS7Q5ZZ3vtGF7,https://api.spotify.com/v1/audio-analysis/5LXQeJX8ZGS7Q5ZZ3vtGF7,270560,4
Wanna Kiss - 2021 Remaster,0.913,0.681,11,-6.495,0,0.0624,0.264,0.00185,0.074,0.91,107.115,audio_features,7rz71t9mmV30YrTqM0ZNRy,spotify:track:7rz71t9mmV30YrTqM0ZNRy,https://api.spotify.com/v1/tracks/7rz71t9mmV30YrTqM0ZNRy,https://api.spotify.com/v1/audio-analysis/7rz71t9mmV30YrTqM0ZNRy,270147,4
Cathy - 2021 Remaster,0.771,0.565,8,-6.668,1,0.0377,0.576,5.82e-06,0.12,0.639,80.022,audio_features,3VvetHVsq5ZNUigscFcOK0,spotify:track:3VvetHVsq5ZNUigscFcOK0,https://api.spotify.com/v1/tracks/3VvetHVsq5ZNUigscFcOK0,https://api.spotify.com/v1/audio-analysis/3VvetHVsq5ZNUigscFcOK0,342227,4
RAINY DRIVER,0.707,0.534,6,-8.063,0,0.0391,0.546,0.00194,0.0918,0.851,157.239,audio_features,1ZwRYkM0YqiaP4CeIjCtSW,spotify:track:1ZwRYkM0YqiaP4CeIjCtSW,https://api.spotify.com/v1/tracks/1ZwRYkM0YqiaP4CeIjCtSW,https://api.spotify.com/v1/audio-analysis/1ZwRYkM0YqiaP4CeIjCtSW,269587,4
Imagination,0.586,0.876,2,-5.113,0,0.0503,0.449,2.94e-05,0.248,0.745,134.046,audio_features,7nVKDYrcK6EboSEepssFlz,spotify:track:7nVKDYrcK6EboSEepssFlz,https://api.spotify.com/v1/tracks/7nVKDYrcK6EboSEepssFlz,https://api.spotify.com/v1/audio-analysis/7nVKDYrcK6EboSEepssFlz,274653,4
Sexy Robot - 2021 Remaster,0.673,0.541,0,-5.048,1,0.314,0.434,7.91e-05,0.102,0.916,204.648,audio_features,5KIQpXxw14rO3C10xfuV9t,spotify:track:5KIQpXxw14rO3C10xfuV9t,https://api.spotify.com/v1/tracks/5KIQpXxw14rO3C10xfuV9t,https://api.spotify.com/v1/audio-analysis/5KIQpXxw14rO3C10xfuV9t,239613,4
INSTANT POLAROID,0.689,0.557,3,-7.205,0,0.0256,0.148,0.0125,0.134,0.717,105.146,audio_features,76Oc5XGaHlroHibHCe3vKd,spotify:track:76Oc5XGaHlroHibHCe3vKd,https://api.spotify.com/v1/tracks/76Oc5XGaHlroHibHCe3vKd,https://api.spotify.com/v1/audio-analysis/76Oc5XGaHlroHibHCe3vKd,248173,4
Tuxedo Connection - 2021 Remaster,0.841,0.732,7,-6.871,1,0.0538,0.155,0.00019,0.0449,0.836,121.705,audio_features,66gJozV9IcXNiFmfTd5MUr,spotify:track:66gJozV9IcXNiFmfTd5MUr,https://api.spotify.com/v1/tracks/66gJozV9IcXNiFmfTd5MUr,https://api.spotify.com/v1/audio-analysis/66gJozV9IcXNiFmfTd5MUr,201520,4
Behind You - 2021 Remaster,0.638,0.303,4,-8.255,1,0.03,0.717,0.00023,0.262,0.226,121.029,audio_features,1BFy5QqeFYvL4Lsj8Ue640,spotify:track:1BFy5QqeFYvL4Lsj8Ue640,https://api.spotify.com/v1/tracks/1BFy5QqeFYvL4Lsj8Ue640,https://api.spotify.com/v1/audio-analysis/1BFy5QqeFYvL4Lsj8Ue640,207707,3
