name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
white day,0.526,0.463,0,-9.125,1,0.0375,0.368,0.346,0.0636,0.446,118.25,audio_features,0KGG9BPCybqbjY4mYMRMvK,spotify:track:0KGG9BPCybqbjY4mYMRMvK,https://api.spotify.com/v1/tracks/0KGG9BPCybqbjY4mYMRMvK,https://api.spotify.com/v1/audio-analysis/0KGG9BPCybqbjY4mYMRMvK,259493,4
through the summer Glass,0.549,0.302,5,-10.056,1,0.0293,0.662,0.571,0.173,0.27,131.963,audio_features,1yUKMepyFKplEkYV8rX0k5,spotify:track:1yUKMepyFKplEkYV8rX0k5,https://api.spotify.com/v1/tracks/1yUKMepyFKplEkYV8rX0k5,https://api.spotify.com/v1/audio-analysis/1yUKMepyFKplEkYV8rX0k5,326307,4
I will wait for you,0.438,0.524,0,-8.001,0,0.0301,0.321,0.521,0.3,0.64,142.133,audio_features,5KbRFsPQSdtefuo1iKlZzR,spotify:track:5KbRFsPQSdtefuo1iKlZzR,https://api.spotify.com/v1/tracks/5KbRFsPQSdtefuo1iKlZzR,https://api.spotify.com/v1/audio-analysis/5KbRFsPQSdtefuo1iKlZzR,380173,4
Summertime,0.383,0.683,9,-6.104,0,0.0349,0.0356,0.611,0.149,0.63,107.103,audio_features,6q4qnGbn8Ifp7OSyIjcOUx,spotify:track:6q4qnGbn8Ifp7OSyIjcOUx,https://api.spotify.com/v1/tracks/6q4qnGbn8Ifp7OSyIjcOUx,https://api.spotify.com/v1/audio-analysis/6q4qnGbn8Ifp7OSyIjcOUx,250800,3
Lagrimas em segredo,0.151,0.211,7,-7.313,0,0.0333,0.66,0.93,0.15,0.0536,81.976,audio_features,0F9ZL0RK3HRHHSUKSHIbcG,spotify:track:0F9ZL0RK3HRHHSUKSHIbcG,https://api.spotify.com/v1/tracks/0F9ZL0RK3HRHHSUKSHIbcG,https://api.spotify.com/v1/audio-analysis/0F9ZL0RK3HRHHSUKSHIbcG,275768,4
Tearful Rain,0.339,0.255,0,-7.24,1,0.0316,0.718,0.893,0.108,0.172,126.757,audio_features,02lFYPGyRHBOHRGFuNNvlh,spotify:track:02lFYPGyRHBOHRGFuNNvlh,https://api.spotify.com/v1/tracks/02lFYPGyRHBOHRGFuNNvlh,https://api.spotify.com/v1/audio-analysis/02lFYPGyRHBOHRGFuNNvlh,300660,4
ANEMONE,0.378,0.21,5,-10.463,0,0.0339,0.929,0.0159,0.0965,0.214,111.839,audio_features,5FlgmvbRiLBMh33RvySh2Y,spotify:track:5FlgmvbRiLBMh33RvySh2Y,https://api.spotify.com/v1/tracks/5FlgmvbRiLBMh33RvySh2Y,https://api.spotify.com/v1/audio-analysis/5FlgmvbRiLBMh33RvySh2Y,278302,4
Ocean Flight,0.712,0.707,0,-6.623,0,0.0308,0.381,0.64,0.102,0.876,119.967,audio_features,5CrVpKQzyhIjKctXretPii,spotify:track:5CrVpKQzyhIjKctXretPii,https://api.spotify.com/v1/tracks/5CrVpKQzyhIjKctXretPii,https://api.spotify.com/v1/audio-analysis/5CrVpKQzyhIjKctXretPii,357800,4
ANEMONE,0.378,0.21,5,-10.463,0,0.0339,0.929,0.0159,0.0965,0.214,111.839,audio_features,5DZmpLuVfJvCYHRcU50iFc,spotify:track:5DZmpLuVfJvCYHRcU50iFc,https://api.spotify.com/v1/tracks/5DZmpLuVfJvCYHRcU50iFc,https://api.spotify.com/v1/audio-analysis/5DZmpLuVfJvCYHRcU50iFc,278302,4
DANNY BOY,0.348,0.277,3,-10.2,1,0.0307,0.775,0.88,0.156,0.301,118.697,audio_features,69NRHHE896J7WsbKWya4wl,spotify:track:69NRHHE896J7WsbKWya4wl,https://api.spotify.com/v1/tracks/69NRHHE896J7WsbKWya4wl,https://api.spotify.com/v1/audio-analysis/69NRHHE896J7WsbKWya4wl,223213,4
Soaring Feather,0.621,0.538,7,-6.454,0,0.0291,0.557,0.381,0.247,0.63,112.466,audio_features,0Us6IsMD4VKgotLQZTmJxM,spotify:track:0Us6IsMD4VKgotLQZTmJxM,https://api.spotify.com/v1/tracks/0Us6IsMD4VKgotLQZTmJxM,https://api.spotify.com/v1/audio-analysis/0Us6IsMD4VKgotLQZTmJxM,236457,4
the way you look tonight,0.401,0.757,0,-6.156,1,0.0508,0.308,0.0822,0.0867,0.701,154.367,audio_features,6v7Zbd3lq8EUBQeXIfABfL,spotify:track:6v7Zbd3lq8EUBQeXIfABfL,https://api.spotify.com/v1/tracks/6v7Zbd3lq8EUBQeXIfABfL,https://api.spotify.com/v1/audio-analysis/6v7Zbd3lq8EUBQeXIfABfL,326267,4
madrugada,0.708,0.417,4,-8.876,0,0.066,0.773,0.0051,0.158,0.565,99.415,audio_features,7xgPeW8Wv9fgUeV2LmrF2b,spotify:track:7xgPeW8Wv9fgUeV2LmrF2b,https://api.spotify.com/v1/tracks/7xgPeW8Wv9fgUeV2LmrF2b,https://api.spotify.com/v1/audio-analysis/7xgPeW8Wv9fgUeV2LmrF2b,305827,4
TAKE FIVE,0.384,0.479,10,-10.318,0,0.0302,0.0993,0.723,0.192,0.457,165.571,audio_features,2O1MRM9by1JEG3ptGyeMkb,spotify:track:2O1MRM9by1JEG3ptGyeMkb,https://api.spotify.com/v1/tracks/2O1MRM9by1JEG3ptGyeMkb,https://api.spotify.com/v1/audio-analysis/2O1MRM9by1JEG3ptGyeMkb,275640,5
soaring feather,0.371,0.464,7,-9.003,0,0.0264,0.547,0.68,0.179,0.604,103.929,audio_features,4wgrVP1Gbi9Opk67eLysJk,spotify:track:4wgrVP1Gbi9Opk67eLysJk,https://api.spotify.com/v1/tracks/4wgrVP1Gbi9Opk67eLysJk,https://api.spotify.com/v1/audio-analysis/4wgrVP1Gbi9Opk67eLysJk,364827,3
Caribbean Evening Wind,0.652,0.78,7,-6.304,1,0.044,0.0994,0.395,0.0953,0.476,135.987,audio_features,0g0gnEv6gm2P1eENt5peo7,spotify:track:0g0gnEv6gm2P1eENt5peo7,https://api.spotify.com/v1/tracks/0g0gnEv6gm2P1eENt5peo7,https://api.spotify.com/v1/audio-analysis/0g0gnEv6gm2P1eENt5peo7,316601,4
Madrugada,0.355,0.411,5,-7.184,0,0.0342,0.785,0.488,0.135,0.142,123.864,audio_features,1nkZCG3eP8y3pP4SXOXHuQ,spotify:track:1nkZCG3eP8y3pP4SXOXHuQ,https://api.spotify.com/v1/tracks/1nkZCG3eP8y3pP4SXOXHuQ,https://api.spotify.com/v1/audio-analysis/1nkZCG3eP8y3pP4SXOXHuQ,286881,4
SPLASH IN DARKNESS,0.465,0.466,2,-9.751,0,0.0367,0.528,0.742,0.0929,0.444,127.287,audio_features,5e1ml57BCx0tF93iV2CB6X,spotify:track:5e1ml57BCx0tF93iV2CB6X,https://api.spotify.com/v1/tracks/5e1ml57BCx0tF93iV2CB6X,https://api.spotify.com/v1/audio-analysis/5e1ml57BCx0tF93iV2CB6X,563907,4
RUN ABOUT,0.365,0.814,0,-5.683,0,0.129,0.268,0.253,0.139,0.74,149.591,audio_features,08cfkELGtbXQULtIPkqEHz,spotify:track:08cfkELGtbXQULtIPkqEHz,https://api.spotify.com/v1/tracks/08cfkELGtbXQULtIPkqEHz,https://api.spotify.com/v1/audio-analysis/08cfkELGtbXQULtIPkqEHz,359667,4
CONTRA-DANCA,0.723,0.269,8,-13.67,1,0.0368,0.927,0.0103,0.326,0.298,119.923,audio_features,50ZiL8STmN6Td2fM56PL8O,spotify:track:50ZiL8STmN6Td2fM56PL8O,https://api.spotify.com/v1/tracks/50ZiL8STmN6Td2fM56PL8O,https://api.spotify.com/v1/audio-analysis/50ZiL8STmN6Td2fM56PL8O,402493,4
Que Bom!,0.621,0.507,10,-7.999,1,0.0354,0.587,0.867,0.279,0.707,105.651,audio_features,5fkK9b22HG6fGyY7Kr4uup,spotify:track:5fkK9b22HG6fGyY7Kr4uup,https://api.spotify.com/v1/tracks/5fkK9b22HG6fGyY7Kr4uup,https://api.spotify.com/v1/audio-analysis/5fkK9b22HG6fGyY7Kr4uup,230925,4
SHIO-SAI,0.228,0.225,7,-10.291,0,0.033,0.719,0.42,0.168,0.125,125.969,audio_features,4jQZE4YGVqiFeizPg2Shnm,spotify:track:4jQZE4YGVqiFeizPg2Shnm,https://api.spotify.com/v1/tracks/4jQZE4YGVqiFeizPg2Shnm,https://api.spotify.com/v1/audio-analysis/4jQZE4YGVqiFeizPg2Shnm,267369,4
"Take the ""A""train",0.368,0.519,0,-8.477,1,0.0521,0.304,0.206,0.0819,0.558,204.221,audio_features,59O2MfaZX1QE8uDkI5hf61,spotify:track:59O2MfaZX1QE8uDkI5hf61,https://api.spotify.com/v1/tracks/59O2MfaZX1QE8uDkI5hf61,https://api.spotify.com/v1/audio-analysis/59O2MfaZX1QE8uDkI5hf61,248893,4
