name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Nothing days,0.618,0.845,0,-6.051,1,0.0404,0.106,0.00013,0.0633,0.626,92.257,audio_features,3bTPhYb1LFvjNCUZVxN981,spotify:track:3bTPhYb1LFvjNCUZVxN981,https://api.spotify.com/v1/tracks/3bTPhYb1LFvjNCUZVxN981,https://api.spotify.com/v1/audio-analysis/3bTPhYb1LFvjNCUZVxN981,262773,4
DOWNTOWN BOY,0.599,0.637,11,-5.769,0,0.0486,0.166,4.55e-05,0.189,0.673,175.988,audio_features,7zjTG3g1M2bFiFCWNhhRVb,spotify:track:7zjTG3g1M2bFiFCWNhhRVb,https://api.spotify.com/v1/tracks/7zjTG3g1M2bFiFCWNhhRVb,https://api.spotify.com/v1/audio-analysis/7zjTG3g1M2bFiFCWNhhRVb,323933,4
I'm willing,0.594,0.84,1,-3.591,1,0.125,0.153,0.000582,0.718,0.724,172.391,audio_features,26WcuroKJlqmdzFJXp6QAz,spotify:track:26WcuroKJlqmdzFJXp6QAz,https://api.spotify.com/v1/tracks/26WcuroKJlqmdzFJXp6QAz,https://api.spotify.com/v1/audio-analysis/26WcuroKJlqmdzFJXp6QAz,281373,4
A song for my friends,0.542,0.577,9,-5.819,1,0.0248,0.279,0,0.148,0.292,98.795,audio_features,5dWxxYsEiEsiMmxAStdD9B,spotify:track:5dWxxYsEiEsiMmxAStdD9B,https://api.spotify.com/v1/tracks/5dWxxYsEiEsiMmxAStdD9B,https://api.spotify.com/v1/audio-analysis/5dWxxYsEiEsiMmxAStdD9B,310080,4
Break On Out (Single Version),0.702,0.961,8,-2.872,1,0.0734,0.253,4.66e-05,0.138,0.633,122.318,audio_features,2dtQ2OzneatSpDub89iL8D,spotify:track:2dtQ2OzneatSpDub89iL8D,https://api.spotify.com/v1/tracks/2dtQ2OzneatSpDub89iL8D,https://api.spotify.com/v1/audio-analysis/2dtQ2OzneatSpDub89iL8D,269533,4
Snow,0.554,0.68,0,-6.669,1,0.0417,0.169,0,0.0912,0.297,94.32,audio_features,6S4aFKItfE3LARJ6qvLr0P,spotify:track:6S4aFKItfE3LARJ6qvLr0P,https://api.spotify.com/v1/tracks/6S4aFKItfE3LARJ6qvLr0P,https://api.spotify.com/v1/audio-analysis/6S4aFKItfE3LARJ6qvLr0P,334533,4
情熱の太陽 (Instrumental),0.747,0.947,10,-7.992,0,0.0305,0.0173,0.769,0.134,0.945,115.012,audio_features,3u1TKDJXD2HTNFumzE40O1,spotify:track:3u1TKDJXD2HTNFumzE40O1,https://api.spotify.com/v1/tracks/3u1TKDJXD2HTNFumzE40O1,https://api.spotify.com/v1/audio-analysis/3u1TKDJXD2HTNFumzE40O1,308707,4
I'm missin' you,0.742,0.673,5,-5.945,0,0.0341,0.101,8.71e-05,0.0989,0.678,94.246,audio_features,6g0UJlgCBrB2RUNtTp3lBr,spotify:track:6g0UJlgCBrB2RUNtTp3lBr,https://api.spotify.com/v1/tracks/6g0UJlgCBrB2RUNtTp3lBr,https://api.spotify.com/v1/audio-analysis/6g0UJlgCBrB2RUNtTp3lBr,302933,4
Ride On Time,0.787,0.689,7,-8.255,1,0.039,0.03,0.00192,0.355,0.875,100.104,audio_features,52AP8QdES9K7EzuQMmVHw9,spotify:track:52AP8QdES9K7EzuQMmVHw9,https://api.spotify.com/v1/tracks/52AP8QdES9K7EzuQMmVHw9,https://api.spotify.com/v1/audio-analysis/52AP8QdES9K7EzuQMmVHw9,379173,4
Still I,0.655,0.941,7,-5.135,1,0.135,0.0868,2.87e-06,0.319,0.428,98.307,audio_features,0qjtrQGs06pJIfIL4GFl1n,spotify:track:0qjtrQGs06pJIfIL4GFl1n,https://api.spotify.com/v1/tracks/0qjtrQGs06pJIfIL4GFl1n,https://api.spotify.com/v1/audio-analysis/0qjtrQGs06pJIfIL4GFl1n,262267,4
