name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
オレンジノート,0.621,0.408,9,-8.821,1,0.0233,0.615,2.61e-05,0.093,0.569,96.032,audio_features,17i77lKJh7jrJyNgTmFKVM,spotify:track:17i77lKJh7jrJyNgTmFKVM,https://api.spotify.com/v1/tracks/17i77lKJh7jrJyNgTmFKVM,https://api.spotify.com/v1/audio-analysis/17i77lKJh7jrJyNgTmFKVM,262760,4
My silly girls,0.917,0.642,8,-8.26,1,0.0369,0.8,9.67e-06,0.0906,0.945,116.001,audio_features,0O6TZtKKhHgXZCZ5j2nAeU,spotify:track:0O6TZtKKhHgXZCZ5j2nAeU,https://api.spotify.com/v1/tracks/0O6TZtKKhHgXZCZ5j2nAeU,https://api.spotify.com/v1/audio-analysis/0O6TZtKKhHgXZCZ5j2nAeU,267600,4
Strawberry Night,0.633,0.714,2,-6.666,1,0.0295,0.0502,0.000391,0.159,0.826,125.03,audio_features,7E191PLHdqH7DOqEsOgANC,spotify:track:7E191PLHdqH7DOqEsOgANC,https://api.spotify.com/v1/tracks/7E191PLHdqH7DOqEsOgANC,https://api.spotify.com/v1/audio-analysis/7E191PLHdqH7DOqEsOgANC,214813,4
グッドライフ,0.846,0.34,5,-9.751,1,0.0426,0.922,0,0.104,0.744,124.855,audio_features,7jT1BAFBLGMzH9cXo2vP9t,spotify:track:7jT1BAFBLGMzH9cXo2vP9t,https://api.spotify.com/v1/tracks/7jT1BAFBLGMzH9cXo2vP9t,https://api.spotify.com/v1/audio-analysis/7jT1BAFBLGMzH9cXo2vP9t,208320,4
始まりのヒカリ,0.739,0.0986,0,-16.525,1,0.0392,0.994,0.00355,0.0888,0.61,112.368,audio_features,3pXpDzRyhzI9OMihQH4X47,spotify:track:3pXpDzRyhzI9OMihQH4X47,https://api.spotify.com/v1/tracks/3pXpDzRyhzI9OMihQH4X47,https://api.spotify.com/v1/audio-analysis/3pXpDzRyhzI9OMihQH4X47,220860,3
ファンタスティック,0.653,0.366,6,-10.323,1,0.0386,0.689,0.00188,0.0944,0.733,185.33,audio_features,3bobDfv5Z10gK1JEsWQVVe,spotify:track:3bobDfv5Z10gK1JEsWQVVe,https://api.spotify.com/v1/tracks/3bobDfv5Z10gK1JEsWQVVe,https://api.spotify.com/v1/audio-analysis/3bobDfv5Z10gK1JEsWQVVe,226378,4
Feeling,0.62,0.582,7,-8.5,0,0.0479,0.646,0,0.357,0.792,80.954,audio_features,0bmUs6RMYFm7vsTb2CV09v,spotify:track:0bmUs6RMYFm7vsTb2CV09v,https://api.spotify.com/v1/tracks/0bmUs6RMYFm7vsTb2CV09v,https://api.spotify.com/v1/audio-analysis/0bmUs6RMYFm7vsTb2CV09v,284587,4
私になる明日,0.707,0.567,9,-5.86,0,0.0276,0.165,0,0.096,0.74,126.014,audio_features,573TwECd4wlMqXZQ6Mj5ID,spotify:track:573TwECd4wlMqXZQ6Mj5ID,https://api.spotify.com/v1/tracks/573TwECd4wlMqXZQ6Mj5ID,https://api.spotify.com/v1/audio-analysis/573TwECd4wlMqXZQ6Mj5ID,301520,4
アヒルのガー子,0.695,0.451,0,-5.664,1,0.0441,0.885,7.08e-06,0.102,0.804,185.836,audio_features,3vWbUd3bmPRm1goMd8RWdT,spotify:track:3vWbUd3bmPRm1goMd8RWdT,https://api.spotify.com/v1/tracks/3vWbUd3bmPRm1goMd8RWdT,https://api.spotify.com/v1/audio-analysis/3vWbUd3bmPRm1goMd8RWdT,224194,4
yellow sky -solo ukulele- - Instrumental,0.642,0.11,9,-23.413,1,0.0681,0.986,0.274,0.351,0.515,135.714,audio_features,75S4ZgQeCw8MDIDXibgC4u,spotify:track:75S4ZgQeCw8MDIDXibgC4u,https://api.spotify.com/v1/tracks/75S4ZgQeCw8MDIDXibgC4u,https://api.spotify.com/v1/audio-analysis/75S4ZgQeCw8MDIDXibgC4u,141000,4
