name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
天ノ弱,0.52,0.967,2,-3.192,1,0.0829,0.00874,0,0.17,0.618,100.487,audio_features,34qfGndmeLECaqkzrU3rzO,spotify:track:34qfGndmeLECaqkzrU3rzO,https://api.spotify.com/v1/tracks/34qfGndmeLECaqkzrU3rzO,https://api.spotify.com/v1/audio-analysis/34qfGndmeLECaqkzrU3rzO,190187,4
命に嫌われている。,0.571,0.903,0,-4.768,1,0.117,0.155,0.000261,0.141,0.277,199.988,audio_features,1D9l3S2uqYTVAAPL825H73,spotify:track:1D9l3S2uqYTVAAPL825H73,https://api.spotify.com/v1/tracks/1D9l3S2uqYTVAAPL825H73,https://api.spotify.com/v1/audio-analysis/1D9l3S2uqYTVAAPL825H73,278479,4
シャルル,0.613,0.884,10,-3.462,1,0.112,0.0439,0,0.114,0.637,145.029,audio_features,5ixum2qfNvOkG7CsC1SvJk,spotify:track:5ixum2qfNvOkG7CsC1SvJk,https://api.spotify.com/v1/tracks/5ixum2qfNvOkG7CsC1SvJk,https://api.spotify.com/v1/audio-analysis/5ixum2qfNvOkG7CsC1SvJk,230375,4
羞恥心に殺される,0.516,0.862,10,-4.015,0,0.0522,0.000206,0.000164,0.138,0.519,89.973,audio_features,240XdZgzGuwW5xI0epcMdi,spotify:track:240XdZgzGuwW5xI0epcMdi,https://api.spotify.com/v1/tracks/240XdZgzGuwW5xI0epcMdi,https://api.spotify.com/v1/audio-analysis/240XdZgzGuwW5xI0epcMdi,260907,4
DAYBREAK FRONTLINE,0.64,0.938,0,-4.787,1,0.0606,0.113,0,0.0638,0.356,136.021,audio_features,4A5zTUoNV3lPW8m34xY8Oa,spotify:track:4A5zTUoNV3lPW8m34xY8Oa,https://api.spotify.com/v1/tracks/4A5zTUoNV3lPW8m34xY8Oa,https://api.spotify.com/v1/audio-analysis/4A5zTUoNV3lPW8m34xY8Oa,218107,4
ヴァンパイア,0.59,0.978,1,-2.695,0,0.231,0.0462,0,0.102,0.689,163.932,audio_features,3y1xm3wW5apn1i2Vp8HT6H,spotify:track:3y1xm3wW5apn1i2Vp8HT6H,https://api.spotify.com/v1/tracks/3y1xm3wW5apn1i2Vp8HT6H,https://api.spotify.com/v1/audio-analysis/3y1xm3wW5apn1i2Vp8HT6H,185669,4
ロキ,0.529,0.959,4,-3.703,0,0.133,0.00479,0,0.417,0.746,150.051,audio_features,1QIYpRKOqbsJvfxJaRUhiy,spotify:track:1QIYpRKOqbsJvfxJaRUhiy,https://api.spotify.com/v1/tracks/1QIYpRKOqbsJvfxJaRUhiy,https://api.spotify.com/v1/audio-analysis/1QIYpRKOqbsJvfxJaRUhiy,229800,4
シャルル,0.613,0.884,10,-3.462,1,0.112,0.0439,0,0.114,0.637,145.029,audio_features,47qXXTNQuPyA8FyQQhD7hI,spotify:track:47qXXTNQuPyA8FyQQhD7hI,https://api.spotify.com/v1/tracks/47qXXTNQuPyA8FyQQhD7hI,https://api.spotify.com/v1/audio-analysis/47qXXTNQuPyA8FyQQhD7hI,230375,4
ヴァンパイア,0.59,0.978,1,-2.695,0,0.231,0.0462,0,0.102,0.689,163.932,audio_features,4M0ojH6RFhKdxbzLVwlk00,spotify:track:4M0ojH6RFhKdxbzLVwlk00,https://api.spotify.com/v1/tracks/4M0ojH6RFhKdxbzLVwlk00,https://api.spotify.com/v1/audio-analysis/4M0ojH6RFhKdxbzLVwlk00,185669,4
エンヴィーベイビー,0.621,0.913,6,-3.879,0,0.124,0.0117,0,0.258,0.785,170.98,audio_features,1mbvhZzSy2FN3d7q4kuIOc,spotify:track:1mbvhZzSy2FN3d7q4kuIOc,https://api.spotify.com/v1/tracks/1mbvhZzSy2FN3d7q4kuIOc,https://api.spotify.com/v1/audio-analysis/1mbvhZzSy2FN3d7q4kuIOc,136333,4
命に嫌われている。,0.571,0.903,0,-4.768,1,0.117,0.155,0.000261,0.141,0.277,199.988,audio_features,6sGHnestkHMKKO35YwxFxg,spotify:track:6sGHnestkHMKKO35YwxFxg,https://api.spotify.com/v1/tracks/6sGHnestkHMKKO35YwxFxg,https://api.spotify.com/v1/audio-analysis/6sGHnestkHMKKO35YwxFxg,278479,4
