name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Be as One,0.562,0.579,9,-4.268,0,0.0402,0.337,0,0.371,0.303,161.829,audio_features,6bMEJFQQ042ESPWSoeVGLa,spotify:track:6bMEJFQQ042ESPWSoeVGLa,https://api.spotify.com/v1/tracks/6bMEJFQQ042ESPWSoeVGLa,https://api.spotify.com/v1/audio-analysis/6bMEJFQQ042ESPWSoeVGLa,266747,4
Listen to the Rain,0.606,0.757,11,-5.389,0,0.0385,0.0244,0,0.136,0.533,109.993,audio_features,3nCceNsKTDVCOUCGP4V3cQ,spotify:track:3nCceNsKTDVCOUCGP4V3cQ,https://api.spotify.com/v1/tracks/3nCceNsKTDVCOUCGP4V3cQ,https://api.spotify.com/v1/audio-analysis/3nCceNsKTDVCOUCGP4V3cQ,314947,4
Be as One,0.615,0.574,9,-3.978,0,0.0353,0.342,0,0.378,0.292,81.004,audio_features,576ZLDmjo87UnC60I7S2gq,spotify:track:576ZLDmjo87UnC60I7S2gq,https://api.spotify.com/v1/tracks/576ZLDmjo87UnC60I7S2gq,https://api.spotify.com/v1/audio-analysis/576ZLDmjo87UnC60I7S2gq,266507,4
Ameato,0.778,0.698,2,-7.35,1,0.0324,0.0772,0,0.317,0.584,104.012,audio_features,2z3KEC17YldSD6ifDMJENP,spotify:track:2z3KEC17YldSD6ifDMJENP,https://api.spotify.com/v1/tracks/2z3KEC17YldSD6ifDMJENP,https://api.spotify.com/v1/audio-analysis/2z3KEC17YldSD6ifDMJENP,274547,4
Ameato,0.777,0.789,2,-4.657,1,0.031,0.0616,0,0.314,0.579,104.014,audio_features,5ZhpBmxIbSgmooaxYjisr9,spotify:track:5ZhpBmxIbSgmooaxYjisr9,https://api.spotify.com/v1/tracks/5ZhpBmxIbSgmooaxYjisr9,https://api.spotify.com/v1/audio-analysis/5ZhpBmxIbSgmooaxYjisr9,274800,4
Ameato,0.775,0.757,2,-5.572,1,0.0319,0.0737,0,0.32,0.56,104.01,audio_features,5t3nJlsChLwezXKdPAopVr,spotify:track:5t3nJlsChLwezXKdPAopVr,https://api.spotify.com/v1/tracks/5t3nJlsChLwezXKdPAopVr,https://api.spotify.com/v1/audio-analysis/5t3nJlsChLwezXKdPAopVr,273813,4
Forever Memories,0.756,0.916,0,-3.416,1,0.0303,0.258,0,0.112,0.891,109.912,audio_features,194d7XJSpQxpTyzBwGe3Rk,spotify:track:194d7XJSpQxpTyzBwGe3Rk,https://api.spotify.com/v1/tracks/194d7XJSpQxpTyzBwGe3Rk,https://api.spotify.com/v1/audio-analysis/194d7XJSpQxpTyzBwGe3Rk,299653,4
Super Lover - I Need You Tonight -,0.748,0.88,4,-3.408,1,0.037,0.00789,1.02e-06,0.0482,0.959,118.955,audio_features,3NnUSLyLO9evdxnTqKYNal,spotify:track:3NnUSLyLO9evdxnTqKYNal,https://api.spotify.com/v1/tracks/3NnUSLyLO9evdxnTqKYNal,https://api.spotify.com/v1/audio-analysis/3NnUSLyLO9evdxnTqKYNal,194263,4
Shiki,0.601,0.783,10,-5.435,0,0.0291,0.0281,0,0.325,0.69,122.012,audio_features,277jedF0c9oLB199mKEffJ,spotify:track:277jedF0c9oLB199mKEffJ,https://api.spotify.com/v1/tracks/277jedF0c9oLB199mKEffJ,https://api.spotify.com/v1/audio-analysis/277jedF0c9oLB199mKEffJ,294733,4
Beautiful Now,0.673,0.788,2,-4.756,1,0.0333,0.314,0.000286,0.0777,0.487,105.026,audio_features,2RbWinXSDMwOe86ajeJ5f0,spotify:track:2RbWinXSDMwOe86ajeJ5f0,https://api.spotify.com/v1/tracks/2RbWinXSDMwOe86ajeJ5f0,https://api.spotify.com/v1/audio-analysis/2RbWinXSDMwOe86ajeJ5f0,201760,4
Paradox,0.757,0.927,10,-4.835,1,0.0783,0.0379,0,0.0643,0.559,102.854,audio_features,70jktRMhygN8Bs02XKNpA8,spotify:track:70jktRMhygN8Bs02XKNpA8,https://api.spotify.com/v1/tracks/70jktRMhygN8Bs02XKNpA8,https://api.spotify.com/v1/audio-analysis/70jktRMhygN8Bs02XKNpA8,257067,4
Feel The Fate,0.533,0.935,0,-3.963,1,0.0677,0.0135,0.000474,0.0762,0.876,206.07,audio_features,1yOyzRhVx3hSIJrbGPs3Yt,spotify:track:1yOyzRhVx3hSIJrbGPs3Yt,https://api.spotify.com/v1/tracks/1yOyzRhVx3hSIJrbGPs3Yt,https://api.spotify.com/v1/audio-analysis/1yOyzRhVx3hSIJrbGPs3Yt,284760,4
Strip,0.672,0.739,8,-5.064,0,0.0632,0.0188,0,0.143,0.599,126.147,audio_features,3sAoCJ5dJ1p32ongtpqEnk,spotify:track:3sAoCJ5dJ1p32ongtpqEnk,https://api.spotify.com/v1/tracks/3sAoCJ5dJ1p32ongtpqEnk,https://api.spotify.com/v1/audio-analysis/3sAoCJ5dJ1p32ongtpqEnk,172680,4
Kireida,0.723,0.81,10,-6.585,0,0.0471,0.00857,1.65e-06,0.0759,0.729,109.994,audio_features,7f9TQPfWwJdkgtfX4EsRD6,spotify:track:7f9TQPfWwJdkgtfX4EsRD6,https://api.spotify.com/v1/tracks/7f9TQPfWwJdkgtfX4EsRD6,https://api.spotify.com/v1/audio-analysis/7f9TQPfWwJdkgtfX4EsRD6,205933,4
Long Road,0.624,0.941,5,-4.187,1,0.0744,0.00463,8.52e-05,0.238,0.613,135.008,audio_features,1QajQ0lwDKfSpn265SbRM9,spotify:track:1QajQ0lwDKfSpn265SbRM9,https://api.spotify.com/v1/tracks/1QajQ0lwDKfSpn265SbRM9,https://api.spotify.com/v1/audio-analysis/1QajQ0lwDKfSpn265SbRM9,315013,4
Little,0.479,0.56,10,-8.826,1,0.127,0.487,0,0.375,0.664,98.576,audio_features,1r3RmecgsLLYiWXj4pfdWF,spotify:track:1r3RmecgsLLYiWXj4pfdWF,https://api.spotify.com/v1/tracks/1r3RmecgsLLYiWXj4pfdWF,https://api.spotify.com/v1/audio-analysis/1r3RmecgsLLYiWXj4pfdWF,248960,4
Endless Moment,0.631,0.929,0,-4.941,1,0.0551,0.0268,0.000108,0.0564,0.795,105.874,audio_features,2rdZMUqYUh0jHqLWM2imfc,spotify:track:2rdZMUqYUh0jHqLWM2imfc,https://api.spotify.com/v1/tracks/2rdZMUqYUh0jHqLWM2imfc,https://api.spotify.com/v1/audio-analysis/2rdZMUqYUh0jHqLWM2imfc,260507,4
Strip,0.672,0.736,8,-5.116,0,0.0639,0.0197,0,0.159,0.599,126.144,audio_features,2HuCmQMR6WYKYfp8pY7XN7,spotify:track:2HuCmQMR6WYKYfp8pY7XN7,https://api.spotify.com/v1/tracks/2HuCmQMR6WYKYfp8pY7XN7,https://api.spotify.com/v1/audio-analysis/2HuCmQMR6WYKYfp8pY7XN7,173180,4
