name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
迷い道,0.691,0.615,0,-6.8,0,0.0281,0.773,0,0.0654,0.949,113.447,audio_features,54wtOsJzO3ZfbX60vWmbX8,spotify:track:54wtOsJzO3ZfbX60vWmbX8,https://api.spotify.com/v1/tracks/54wtOsJzO3ZfbX60vWmbX8,https://api.spotify.com/v1/audio-analysis/54wtOsJzO3ZfbX60vWmbX8,181067,4
かもめが翔んだ日,0.506,0.726,2,-7.025,0,0.0326,0.574,0,0.0752,0.905,160.052,audio_features,0dLmIlajXTIk5vfyU3ArMB,spotify:track:0dLmIlajXTIk5vfyU3ArMB,https://api.spotify.com/v1/tracks/0dLmIlajXTIk5vfyU3ArMB,https://api.spotify.com/v1/audio-analysis/0dLmIlajXTIk5vfyU3ArMB,194733,4
唇よ、熱く君を語れ,0.686,0.619,0,-9.715,1,0.0357,0.441,1.24e-05,0.24,0.722,132.314,audio_features,2fnnbne12pt1I7wsTVcKY1,spotify:track:2fnnbne12pt1I7wsTVcKY1,https://api.spotify.com/v1/tracks/2fnnbne12pt1I7wsTVcKY1,https://api.spotify.com/v1/audio-analysis/2fnnbne12pt1I7wsTVcKY1,233027,4
ブルー,0.571,0.556,9,-9.03,0,0.0279,0.771,1.17e-05,0.337,0.504,145.487,audio_features,22da1aB26VhWUEVstoLytU,spotify:track:22da1aB26VhWUEVstoLytU,https://api.spotify.com/v1/tracks/22da1aB26VhWUEVstoLytU,https://api.spotify.com/v1/audio-analysis/22da1aB26VhWUEVstoLytU,202360,4
たとえば…たとえば,0.558,0.709,5,-7.578,0,0.0347,0.286,0,0.311,0.659,138.587,audio_features,44oO9bHWEqLUXaZy6fAb38,spotify:track:44oO9bHWEqLUXaZy6fAb38,https://api.spotify.com/v1/tracks/44oO9bHWEqLUXaZy6fAb38,https://api.spotify.com/v1/audio-analysis/44oO9bHWEqLUXaZy6fAb38,191000,4
好きと言って,0.635,0.645,5,-9.173,0,0.0304,0.244,0,0.208,0.737,103.374,audio_features,1XeoWXdMKrGWPKQgHqgKG0,spotify:track:1XeoWXdMKrGWPKQgHqgKG0,https://api.spotify.com/v1/tracks/1XeoWXdMKrGWPKQgHqgKG0,https://api.spotify.com/v1/audio-analysis/1XeoWXdMKrGWPKQgHqgKG0,217200,4
思い思われ,0.624,0.652,7,-7.914,0,0.0299,0.641,0,0.108,0.547,122.602,audio_features,4iphjR2bhNB2EgcKTDX7Lv,spotify:track:4iphjR2bhNB2EgcKTDX7Lv,https://api.spotify.com/v1/tracks/4iphjR2bhNB2EgcKTDX7Lv,https://api.spotify.com/v1/audio-analysis/4iphjR2bhNB2EgcKTDX7Lv,224600,4
季節の翳りに,0.613,0.502,7,-8.689,0,0.027,0.746,0.000155,0.449,0.454,97.24,audio_features,0g0i3yl7Eka1wVrRJGer9X,spotify:track:0g0i3yl7Eka1wVrRJGer9X,https://api.spotify.com/v1/tracks/0g0i3yl7Eka1wVrRJGer9X,https://api.spotify.com/v1/audio-analysis/0g0i3yl7Eka1wVrRJGer9X,198600,4
迷い道,0.699,0.735,0,-5.741,0,0.0403,0.228,1.73e-05,0.314,0.566,112.928,audio_features,49pMFLTZX2BumF1shu1nYA,spotify:track:49pMFLTZX2BumF1shu1nYA,https://api.spotify.com/v1/tracks/49pMFLTZX2BumF1shu1nYA,https://api.spotify.com/v1/audio-analysis/49pMFLTZX2BumF1shu1nYA,247280,4
別れて そして,0.612,0.496,5,-9.234,1,0.0299,0.774,0,0.338,0.503,144.498,audio_features,4wiPsu7syPaB12SPINhbJy,spotify:track:4wiPsu7syPaB12SPINhbJy,https://api.spotify.com/v1/tracks/4wiPsu7syPaB12SPINhbJy,https://api.spotify.com/v1/audio-analysis/4wiPsu7syPaB12SPINhbJy,201240,4
ホールドミータイト,0.676,0.601,9,-10.533,0,0.0299,0.657,0,0.0561,0.842,118.644,audio_features,7tt4SLu77RZfBMyv9Aerzk,spotify:track:7tt4SLu77RZfBMyv9Aerzk,https://api.spotify.com/v1/tracks/7tt4SLu77RZfBMyv9Aerzk,https://api.spotify.com/v1/audio-analysis/7tt4SLu77RZfBMyv9Aerzk,228853,4
たかが恋,0.374,0.377,2,-10.547,0,0.0342,0.808,0,0.376,0.217,79.669,audio_features,3FYjpunB8SMvHwcbP4lAbl,spotify:track:3FYjpunB8SMvHwcbP4lAbl,https://api.spotify.com/v1/tracks/3FYjpunB8SMvHwcbP4lAbl,https://api.spotify.com/v1/audio-analysis/3FYjpunB8SMvHwcbP4lAbl,266867,4
