name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Safari,0.512,0.503,8,-13.467,0,0.0301,0.269,0.888,0.101,0.577,80.227,audio_features,38K4MzpzkLyirD5nJNSfYS,spotify:track:38K4MzpzkLyirD5nJNSfYS,https://api.spotify.com/v1/tracks/38K4MzpzkLyirD5nJNSfYS,https://api.spotify.com/v1/audio-analysis/38K4MzpzkLyirD5nJNSfYS,428933,4
ナイス・ショット,0.498,0.688,0,-7.307,1,0.0327,0.0401,0.342,0.322,0.659,108.654,audio_features,1MqSLOZnRcAjyNoIep0db4,spotify:track:1MqSLOZnRcAjyNoIep0db4,https://api.spotify.com/v1/tracks/1MqSLOZnRcAjyNoIep0db4,https://api.spotify.com/v1/audio-analysis/1MqSLOZnRcAjyNoIep0db4,334700,4
My Foolish Heart - Live,0.441,0.0569,7,-21.192,0,0.0364,0.968,0.142,0.21,0.19,65.231,audio_features,5EsLMnn4gWO92Z0SS3FyMZ,spotify:track:5EsLMnn4gWO92Z0SS3FyMZ,https://api.spotify.com/v1/tracks/5EsLMnn4gWO92Z0SS3FyMZ,https://api.spotify.com/v1/audio-analysis/5EsLMnn4gWO92Z0SS3FyMZ,254200,3
My Foolish Heart,0.354,0.064,10,-21.019,1,0.0373,0.967,0.0866,0.186,0.19,147.025,audio_features,48StlQ7zDO2tISMKqRRlso,spotify:track:48StlQ7zDO2tISMKqRRlso,https://api.spotify.com/v1/tracks/48StlQ7zDO2tISMKqRRlso,https://api.spotify.com/v1/audio-analysis/48StlQ7zDO2tISMKqRRlso,254200,1
Meditation,0.384,0.328,9,-9.533,0,0.031,0.795,0.899,0.118,0.297,134.513,audio_features,3zza9u19qDKqYHAJMlWLEE,spotify:track:3zza9u19qDKqYHAJMlWLEE,https://api.spotify.com/v1/tracks/3zza9u19qDKqYHAJMlWLEE,https://api.spotify.com/v1/audio-analysis/3zza9u19qDKqYHAJMlWLEE,167400,4
モーニング・アイランド,0.57,0.48,5,-11.193,1,0.0323,0.527,0.433,0.137,0.811,151.007,audio_features,6u6qh2nBH8ewqTPFBPnyRh,spotify:track:6u6qh2nBH8ewqTPFBPnyRh,https://api.spotify.com/v1/tracks/6u6qh2nBH8ewqTPFBPnyRh,https://api.spotify.com/v1/audio-analysis/6u6qh2nBH8ewqTPFBPnyRh,277053,4
California Shower,0.702,0.741,9,-9.637,1,0.0493,0.46,0.711,0.0514,0.898,98.057,audio_features,0VwNzoeXRcBg0dBgaUGV4b,spotify:track:0VwNzoeXRcBg0dBgaUGV4b,https://api.spotify.com/v1/tracks/0VwNzoeXRcBg0dBgaUGV4b,https://api.spotify.com/v1/audio-analysis/0VwNzoeXRcBg0dBgaUGV4b,334973,4
Morning Island,0.568,0.432,5,-12.24,1,0.0327,0.403,0.531,0.139,0.706,150.843,audio_features,1Rmknu2vXiiUBd9QOv7QY6,spotify:track:1Rmknu2vXiiUBd9QOv7QY6,https://api.spotify.com/v1/tracks/1Rmknu2vXiiUBd9QOv7QY6,https://api.spotify.com/v1/audio-analysis/1Rmknu2vXiiUBd9QOv7QY6,277067,4
Black Orpheus,0.353,0.156,5,-16.458,0,0.0369,0.972,0.959,0.114,0.297,100.428,audio_features,3AllXVr82Cjhi3N1QzPCQy,spotify:track:3AllXVr82Cjhi3N1QzPCQy,https://api.spotify.com/v1/tracks/3AllXVr82Cjhi3N1QzPCQy,https://api.spotify.com/v1/audio-analysis/3AllXVr82Cjhi3N1QzPCQy,202640,4
Hanawa Saku - Live at Blue Note Tokyo,0.372,0.209,5,-20.427,1,0.0422,0.964,0.0256,0.674,0.466,68.058,audio_features,60MQ7piljhh5DV0ouXJaPC,spotify:track:60MQ7piljhh5DV0ouXJaPC,https://api.spotify.com/v1/tracks/60MQ7piljhh5DV0ouXJaPC,https://api.spotify.com/v1/audio-analysis/60MQ7piljhh5DV0ouXJaPC,168160,4
Massai Talk,0.427,0.608,3,-10.56,0,0.0402,0.391,0.872,0.0858,0.551,108.036,audio_features,3eJ3kyxgkvrmMD3MVDPHG3,spotify:track:3eJ3kyxgkvrmMD3MVDPHG3,https://api.spotify.com/v1/tracks/3eJ3kyxgkvrmMD3MVDPHG3,https://api.spotify.com/v1/audio-analysis/3eJ3kyxgkvrmMD3MVDPHG3,435800,3
Mas Que Nada,0.464,0.581,5,-7.46,0,0.0316,0.451,0.333,0.158,0.841,103.165,audio_features,4tL7lLSjXuJFbYnbv9qSbl,spotify:track:4tL7lLSjXuJFbYnbv9qSbl,https://api.spotify.com/v1/tracks/4tL7lLSjXuJFbYnbv9qSbl,https://api.spotify.com/v1/audio-analysis/4tL7lLSjXuJFbYnbv9qSbl,143040,4
