name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
望春,0.545,0.656,6,-3.979,1,0.0298,0.249,0,0.226,0.675,165.785,audio_features,2RrSCLi4AaGMbigaGwloPs,spotify:track:2RrSCLi4AaGMbigaGwloPs,https://api.spotify.com/v1/tracks/2RrSCLi4AaGMbigaGwloPs,https://api.spotify.com/v1/audio-analysis/2RrSCLi4AaGMbigaGwloPs,233284,4
We,0.703,0.458,2,-8.721,1,0.0469,0.0731,0.923,0.105,0.403,79.997,audio_features,4M8rGU076D5rWvjxrMtRDe,spotify:track:4M8rGU076D5rWvjxrMtRDe,https://api.spotify.com/v1/tracks/4M8rGU076D5rWvjxrMtRDe,https://api.spotify.com/v1/audio-analysis/4M8rGU076D5rWvjxrMtRDe,152866,4
日陰,0.57,0.507,11,-10.136,1,0.0293,0.0224,6.8e-05,0.14,0.606,87.522,audio_features,4Cn31IcXeoda8hyVjzaMHR,spotify:track:4Cn31IcXeoda8hyVjzaMHR,https://api.spotify.com/v1/tracks/4Cn31IcXeoda8hyVjzaMHR,https://api.spotify.com/v1/audio-analysis/4Cn31IcXeoda8hyVjzaMHR,298275,4
Parades,0.134,0.911,11,-3.428,1,0.0746,0.0113,0.342,0.326,0.488,179.851,audio_features,2yn7H2S8V16Mvb0NqD3XNf,spotify:track:2yn7H2S8V16Mvb0NqD3XNf,https://api.spotify.com/v1/tracks/2yn7H2S8V16Mvb0NqD3XNf,https://api.spotify.com/v1/audio-analysis/2yn7H2S8V16Mvb0NqD3XNf,280500,3
世界のはじまり,0.314,0.852,4,-2.876,1,0.0486,0.072,2.57e-05,0.116,0.472,120.176,audio_features,2Q6Kub68fUuEgtDnW77mQx,spotify:track:2Q6Kub68fUuEgtDnW77mQx,https://api.spotify.com/v1/tracks/2Q6Kub68fUuEgtDnW77mQx,https://api.spotify.com/v1/audio-analysis/2Q6Kub68fUuEgtDnW77mQx,242200,3
ice,0.421,0.83,11,-3.793,1,0.0331,0.00275,0.405,0.163,0.354,130.022,audio_features,5H1RzKAsFRsyd9Rw5wDG5o,spotify:track:5H1RzKAsFRsyd9Rw5wDG5o,https://api.spotify.com/v1/tracks/5H1RzKAsFRsyd9Rw5wDG5o,https://api.spotify.com/v1/audio-analysis/5H1RzKAsFRsyd9Rw5wDG5o,245893,4
The Forgotten Song,0.511,0.828,9,-3.837,1,0.0329,0.00114,0.0801,0.217,0.629,119.971,audio_features,2CTr27s6hYL89iyPPOTm0G,spotify:track:2CTr27s6hYL89iyPPOTm0G,https://api.spotify.com/v1/tracks/2CTr27s6hYL89iyPPOTm0G,https://api.spotify.com/v1/audio-analysis/2CTr27s6hYL89iyPPOTm0G,292120,4
ワルツ,0.539,0.483,7,-4.915,1,0.0289,0.497,0.00631,0.113,0.575,129.814,audio_features,2q5qAxNH9bKYHt9DH8ZTqU,spotify:track:2q5qAxNH9bKYHt9DH8ZTqU,https://api.spotify.com/v1/tracks/2q5qAxNH9bKYHt9DH8ZTqU,https://api.spotify.com/v1/audio-analysis/2q5qAxNH9bKYHt9DH8ZTqU,276147,3
Night Scape,0.837,0.421,11,-9.356,0,0.0809,0.732,0.867,0.13,0.313,119.98,audio_features,09k6VQnEgNhhYzACsJk2Pf,spotify:track:09k6VQnEgNhhYzACsJk2Pf,https://api.spotify.com/v1/tracks/09k6VQnEgNhhYzACsJk2Pf,https://api.spotify.com/v1/audio-analysis/09k6VQnEgNhhYzACsJk2Pf,119688,4
虹,0.474,0.852,2,-3.195,1,0.0388,1.31e-05,0.926,0.34,0.301,119.899,audio_features,5vNWOdpznkBK0RrdRhB2nX,spotify:track:5vNWOdpznkBK0RrdRhB2nX,https://api.spotify.com/v1/tracks/5vNWOdpznkBK0RrdRhB2nX,https://api.spotify.com/v1/audio-analysis/5vNWOdpznkBK0RrdRhB2nX,222733,4
トラベリングムード,0.52,0.697,1,-6.368,0,0.0296,0.0878,0.000138,0.118,0.597,159.932,audio_features,5OM0TnuQ9YpKnLkWu9fXOl,spotify:track:5OM0TnuQ9YpKnLkWu9fXOl,https://api.spotify.com/v1/tracks/5OM0TnuQ9YpKnLkWu9fXOl,https://api.spotify.com/v1/audio-analysis/5OM0TnuQ9YpKnLkWu9fXOl,205023,4
杜若,0.516,0.569,0,-8.001,1,0.0577,0.118,9.82e-06,0.339,0.252,124.959,audio_features,1nmlN6VJM2j0ONhWA0jzzL,spotify:track:1nmlN6VJM2j0ONhWA0jzzL,https://api.spotify.com/v1/tracks/1nmlN6VJM2j0ONhWA0jzzL,https://api.spotify.com/v1/audio-analysis/1nmlN6VJM2j0ONhWA0jzzL,259200,4
旅立ちの詩,0.393,0.855,4,-4.067,1,0.0344,0.46,0.0207,0.127,0.345,81.966,audio_features,1RSIotRALStDOt6Ipvez6C,spotify:track:1RSIotRALStDOt6Ipvez6C,https://api.spotify.com/v1/tracks/1RSIotRALStDOt6Ipvez6C,https://api.spotify.com/v1/audio-analysis/1RSIotRALStDOt6Ipvez6C,293400,4
KALEIDO (feat. 初音ミク),0.51,0.821,8,-6.515,1,0.0267,0.307,0.798,0.25,0.93,89.998,audio_features,1312r2ILOQa3nI3kE59D9o,spotify:track:1312r2ILOQa3nI3kE59D9o,https://api.spotify.com/v1/tracks/1312r2ILOQa3nI3kE59D9o,https://api.spotify.com/v1/audio-analysis/1312r2ILOQa3nI3kE59D9o,288154,4
