name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
色彩,0.581,0.926,7,-3.268,0,0.0662,0.176,0,0.251,0.874,117.04,audio_features,1uveEvgKX4irLcp1BUTIFD,spotify:track:1uveEvgKX4irLcp1BUTIFD,https://api.spotify.com/v1/tracks/1uveEvgKX4irLcp1BUTIFD,https://api.spotify.com/v1/audio-analysis/1uveEvgKX4irLcp1BUTIFD,192176,4
Haru wo Tsugeru,0.548,0.871,11,-5.377,1,0.123,0.0397,0,0.357,0.487,120.009,audio_features,5QseXDzPvtjdeaWNhYbm0m,spotify:track:5QseXDzPvtjdeaWNhYbm0m,https://api.spotify.com/v1/tracks/5QseXDzPvtjdeaWNhYbm0m,https://api.spotify.com/v1/audio-analysis/5QseXDzPvtjdeaWNhYbm0m,196497,4
麻痺,0.532,0.932,5,-4.303,0,0.0522,0.0661,0,0.38,0.738,100.1,audio_features,1LwSnnsoKcAUv9TPFEZ7iQ,spotify:track:1LwSnnsoKcAUv9TPFEZ7iQ,https://api.spotify.com/v1/tracks/1LwSnnsoKcAUv9TPFEZ7iQ,https://api.spotify.com/v1/audio-analysis/1LwSnnsoKcAUv9TPFEZ7iQ,198100,4
a.m.3:21,0.634,0.736,5,-5.006,0,0.109,0.295,0.00011,0.215,0.752,110.169,audio_features,3oZ1DkKe2ZcvPh5Ffv6L0c,spotify:track:3oZ1DkKe2ZcvPh5Ffv6L0c,https://api.spotify.com/v1/tracks/3oZ1DkKe2ZcvPh5Ffv6L0c,https://api.spotify.com/v1/audio-analysis/3oZ1DkKe2ZcvPh5Ffv6L0c,208409,4
血流,0.743,0.718,10,-3.766,0,0.0336,0.201,0,0.319,0.897,136.979,audio_features,0bBl2jjpCFCgRd60BowZoV,spotify:track:0bBl2jjpCFCgRd60BowZoV,https://api.spotify.com/v1/tracks/0bBl2jjpCFCgRd60BowZoV,https://api.spotify.com/v1/audio-analysis/0bBl2jjpCFCgRd60BowZoV,208093,4
麻痺,0.309,0.941,0,-3.558,0,0.0763,0.0587,0,0.435,0.704,100.02,audio_features,5v1dhqe9vgvp87eyd27hkb,spotify:track:5v1dhqe9vgvp87eyd27hkb,https://api.spotify.com/v1/tracks/5v1dhqe9vgvp87eyd27hkb,https://api.spotify.com/v1/audio-analysis/5v1dhqe9vgvp87eyd27hkb,198040,4
新星,0.541,0.82,11,-3.86,1,0.079,0.179,0,0.0777,0.562,102.86,audio_features,4dwRjaD0ttkelpv5eoE6RT,spotify:track:4dwRjaD0ttkelpv5eoE6RT,https://api.spotify.com/v1/tracks/4dwRjaD0ttkelpv5eoE6RT,https://api.spotify.com/v1/audio-analysis/4dwRjaD0ttkelpv5eoE6RT,196987,3
くびったけ,0.633,0.818,1,-3.893,1,0.0416,0.00986,0,0.0275,0.66,144.942,audio_features,4N68vlWbWHDe8DeNgJaWtO,spotify:track:4N68vlWbWHDe8DeNgJaWtO,https://api.spotify.com/v1/tracks/4N68vlWbWHDe8DeNgJaWtO,https://api.spotify.com/v1/audio-analysis/4N68vlWbWHDe8DeNgJaWtO,234600,4
真っ白,0.696,0.68,7,-6.908,0,0.0263,0.195,0,0.0833,0.737,133.958,audio_features,1m0RfmsLgUUf0AB1zyObXc,spotify:track:1m0RfmsLgUUf0AB1zyObXc,https://api.spotify.com/v1/tracks/1m0RfmsLgUUf0AB1zyObXc,https://api.spotify.com/v1/audio-analysis/1m0RfmsLgUUf0AB1zyObXc,287167,4
希望論,0.591,0.799,3,-4.764,1,0.0373,0.0592,8.63e-06,0.194,0.761,101.989,audio_features,4ivrdKOEXXGiRIApiD7rII,spotify:track:4ivrdKOEXXGiRIApiD7rII,https://api.spotify.com/v1/tracks/4ivrdKOEXXGiRIApiD7rII,https://api.spotify.com/v1/audio-analysis/4ivrdKOEXXGiRIApiD7rII,274800,4
