name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
夏の光に,0.591,0.513,5,-10.571,1,0.0276,0.527,4.71e-05,0.113,0.653,130.934,audio_features,0sGnR5jtx82QP9kJdkLQUr,spotify:track:0sGnR5jtx82QP9kJdkLQUr,https://api.spotify.com/v1/tracks/0sGnR5jtx82QP9kJdkLQUr,https://api.spotify.com/v1/audio-analysis/0sGnR5jtx82QP9kJdkLQUr,206760,4
あの日のように微笑んで,0.685,0.468,0,-8.033,1,0.0558,0.611,0.00141,0.0945,0.561,81.397,audio_features,5pxNrWcr85yns0NFR1SW0v,spotify:track:5pxNrWcr85yns0NFR1SW0v,https://api.spotify.com/v1/tracks/5pxNrWcr85yns0NFR1SW0v,https://api.spotify.com/v1/audio-analysis/5pxNrWcr85yns0NFR1SW0v,200800,4
TODAY,0.693,0.473,10,-10.006,1,0.037,0.377,0.000378,0.0851,0.684,96.198,audio_features,7dHaOuOQpf9XfI17Unynr3,spotify:track:7dHaOuOQpf9XfI17Unynr3,https://api.spotify.com/v1/tracks/7dHaOuOQpf9XfI17Unynr3,https://api.spotify.com/v1/audio-analysis/7dHaOuOQpf9XfI17Unynr3,189907,4
雨の日曜日,0.522,0.488,0,-10.564,1,0.0328,0.655,6.49e-05,0.0887,0.526,130.621,audio_features,10bXNnqszY2E6zSmA1M4LR,spotify:track:10bXNnqszY2E6zSmA1M4LR,https://api.spotify.com/v1/tracks/10bXNnqszY2E6zSmA1M4LR,https://api.spotify.com/v1/audio-analysis/10bXNnqszY2E6zSmA1M4LR,249347,4
Natsu no Hikari Ni,0.596,0.549,5,-9.028,1,0.0258,0.562,5.84e-05,0.0908,0.687,131.294,audio_features,3K77dCnh8ve369SAM6H5fT,spotify:track:3K77dCnh8ve369SAM6H5fT,https://api.spotify.com/v1/tracks/3K77dCnh8ve369SAM6H5fT,https://api.spotify.com/v1/audio-analysis/3K77dCnh8ve369SAM6H5fT,202747,4
夢色グライダー,0.684,0.537,2,-8.624,1,0.0363,0.553,0.0127,0.0739,0.758,97.701,audio_features,09E95yZRMFl52HscENd1AX,spotify:track:09E95yZRMFl52HscENd1AX,https://api.spotify.com/v1/tracks/09E95yZRMFl52HscENd1AX,https://api.spotify.com/v1/audio-analysis/09E95yZRMFl52HscENd1AX,287587,4
あなたにテレポート,0.673,0.553,0,-5.979,1,0.0288,0.503,0,0.0868,0.699,138.278,audio_features,4PeYot9LaodqctVqIbESCc,spotify:track:4PeYot9LaodqctVqIbESCc,https://api.spotify.com/v1/tracks/4PeYot9LaodqctVqIbESCc,https://api.spotify.com/v1/audio-analysis/4PeYot9LaodqctVqIbESCc,253440,4
思い出さないで,0.433,0.466,7,-10.065,1,0.0294,0.483,0.000747,0.414,0.383,92.491,audio_features,1BqqHjp6Do0NfAZWF1d76j,spotify:track:1BqqHjp6Do0NfAZWF1d76j,https://api.spotify.com/v1/tracks/1BqqHjp6Do0NfAZWF1d76j,https://api.spotify.com/v1/audio-analysis/1BqqHjp6Do0NfAZWF1d76j,232760,4
ほろ酔いイヴ,0.47,0.47,0,-10.429,1,0.0396,0.639,1e-05,0.134,0.253,97.837,audio_features,1YBfqTUNuBxfALPUga4Zoy,spotify:track:1YBfqTUNuBxfALPUga4Zoy,https://api.spotify.com/v1/tracks/1YBfqTUNuBxfALPUga4Zoy,https://api.spotify.com/v1/audio-analysis/1YBfqTUNuBxfALPUga4Zoy,317733,4
雨上がりのサンバ,0.652,0.418,7,-11.041,1,0.0389,0.719,0.000114,0.117,0.246,131.795,audio_features,5Wy8LqJjrOxN6fbqVDhPVd,spotify:track:5Wy8LqJjrOxN6fbqVDhPVd,https://api.spotify.com/v1/tracks/5Wy8LqJjrOxN6fbqVDhPVd,https://api.spotify.com/v1/audio-analysis/5Wy8LqJjrOxN6fbqVDhPVd,197093,4
春動 (あしおと),0.44,0.355,9,-9.661,1,0.0286,0.734,0.0402,0.0519,0.208,131.036,audio_features,304LMSrbFkNvRt9JWqMtVg,spotify:track:304LMSrbFkNvRt9JWqMtVg,https://api.spotify.com/v1/tracks/304LMSrbFkNvRt9JWqMtVg,https://api.spotify.com/v1/audio-analysis/304LMSrbFkNvRt9JWqMtVg,291653,4
フォー・エバー,0.427,0.256,0,-11.597,1,0.0307,0.787,6.98e-06,0.0863,0.162,126.835,audio_features,7g33GFtQ68uX3sQJj9zTiu,spotify:track:7g33GFtQ68uX3sQJj9zTiu,https://api.spotify.com/v1/tracks/7g33GFtQ68uX3sQJj9zTiu,https://api.spotify.com/v1/audio-analysis/7g33GFtQ68uX3sQJj9zTiu,256680,3
私春記,0.375,0.41,9,-8.317,1,0.0299,0.604,0,0.074,0.324,143.565,audio_features,6qLidNnCeF7V10p3HoA3Oy,spotify:track:6qLidNnCeF7V10p3HoA3Oy,https://api.spotify.com/v1/tracks/6qLidNnCeF7V10p3HoA3Oy,https://api.spotify.com/v1/audio-analysis/6qLidNnCeF7V10p3HoA3Oy,284347,4
夜を渡って,0.533,0.303,7,-10.339,1,0.032,0.489,0.00108,0.349,0.246,104.981,audio_features,7dPamf0kzQqutwxIBYUtJC,spotify:track:7dPamf0kzQqutwxIBYUtJC,https://api.spotify.com/v1/tracks/7dPamf0kzQqutwxIBYUtJC,https://api.spotify.com/v1/audio-analysis/7dPamf0kzQqutwxIBYUtJC,215307,3
琥珀色のスウィング,0.796,0.338,9,-9.603,1,0.0365,0.786,3e-05,0.139,0.394,120.519,audio_features,4Yin71RCIKBN14fXd1Xsxz,spotify:track:4Yin71RCIKBN14fXd1Xsxz,https://api.spotify.com/v1/tracks/4Yin71RCIKBN14fXd1Xsxz,https://api.spotify.com/v1/audio-analysis/4Yin71RCIKBN14fXd1Xsxz,226013,4
ホリデイ,0.509,0.576,2,-6.042,1,0.0253,0.378,0.033,0.0697,0.684,145.751,audio_features,24V4sDFaebBbZ8gkCjITV1,spotify:track:24V4sDFaebBbZ8gkCjITV1,https://api.spotify.com/v1/tracks/24V4sDFaebBbZ8gkCjITV1,https://api.spotify.com/v1/audio-analysis/24V4sDFaebBbZ8gkCjITV1,291893,4
THE GLORY AND THE DREAM,0.655,0.866,0,-8.324,1,0.0294,0.017,0.705,0.172,0.366,123.988,audio_features,5tlceNqHHJa5LFIX3GqmvX,spotify:track:5tlceNqHHJa5LFIX3GqmvX,https://api.spotify.com/v1/tracks/5tlceNqHHJa5LFIX3GqmvX,https://api.spotify.com/v1/audio-analysis/5tlceNqHHJa5LFIX3GqmvX,238920,3
あの日にかえりたい,0.508,0.442,5,-10.697,0,0.0285,0.802,0.00532,0.12,0.761,140.246,audio_features,5bzEScF9h3rWsHuCxnu5Gx,spotify:track:5bzEScF9h3rWsHuCxnu5Gx,https://api.spotify.com/v1/tracks/5bzEScF9h3rWsHuCxnu5Gx,https://api.spotify.com/v1/audio-analysis/5bzEScF9h3rWsHuCxnu5Gx,220653,4
今からひとり,0.344,0.135,5,-10.392,1,0.0303,0.978,3.44e-05,0.22,0.226,144.918,audio_features,2fZY5i4mTRcM2qNNYsSXL0,spotify:track:2fZY5i4mTRcM2qNNYsSXL0,https://api.spotify.com/v1/tracks/2fZY5i4mTRcM2qNNYsSXL0,https://api.spotify.com/v1/audio-analysis/2fZY5i4mTRcM2qNNYsSXL0,237747,4
ムーンライト・ジルバ,0.637,0.436,0,-8.331,1,0.0453,0.542,1.46e-05,0.0744,0.672,77.343,audio_features,3kPj2CgIwk2HrG0OoWuwFk,spotify:track:3kPj2CgIwk2HrG0OoWuwFk,https://api.spotify.com/v1/tracks/3kPj2CgIwk2HrG0OoWuwFk,https://api.spotify.com/v1/audio-analysis/3kPj2CgIwk2HrG0OoWuwFk,318227,4
思い出坂,0.577,0.116,9,-15.132,0,0.0333,0.84,0.0678,0.109,0.234,127.373,audio_features,3izB4EQ2BZJQG4RiWPvhYn,spotify:track:3izB4EQ2BZJQG4RiWPvhYn,https://api.spotify.com/v1/tracks/3izB4EQ2BZJQG4RiWPvhYn,https://api.spotify.com/v1/audio-analysis/3izB4EQ2BZJQG4RiWPvhYn,160987,4
マイ・ハート,0.353,0.58,7,-8.137,1,0.0331,0.289,9.44e-06,0.116,0.65,145.589,audio_features,2v1BvkQoSntokgb9GWlAqy,spotify:track:2v1BvkQoSntokgb9GWlAqy,https://api.spotify.com/v1/tracks/2v1BvkQoSntokgb9GWlAqy,https://api.spotify.com/v1/audio-analysis/2v1BvkQoSntokgb9GWlAqy,262960,4
スケッチ,0.468,0.839,9,-4.792,1,0.0356,0.334,0.00146,0.0809,0.848,164.237,audio_features,4KgYnc9BIEjrKl851gifdg,spotify:track:4KgYnc9BIEjrKl851gifdg,https://api.spotify.com/v1/tracks/4KgYnc9BIEjrKl851gifdg,https://api.spotify.com/v1/audio-analysis/4KgYnc9BIEjrKl851gifdg,177200,4
白い棧橋,0.751,0.303,0,-10.438,1,0.0287,0.774,4.8e-05,0.275,0.538,110.379,audio_features,6XmUn03SNDcif530HfXW01,spotify:track:6XmUn03SNDcif530HfXW01,https://api.spotify.com/v1/tracks/6XmUn03SNDcif530HfXW01,https://api.spotify.com/v1/audio-analysis/6XmUn03SNDcif530HfXW01,230453,4
虹 PART II,0.468,0.314,4,-8.636,1,0.0254,0.757,0.000566,0.0808,0.406,138.048,audio_features,1N5mct8GFW3HrfTmwM1oXK,spotify:track:1N5mct8GFW3HrfTmwM1oXK,https://api.spotify.com/v1/tracks/1N5mct8GFW3HrfTmwM1oXK,https://api.spotify.com/v1/audio-analysis/1N5mct8GFW3HrfTmwM1oXK,221453,4
白いノート,0.341,0.211,0,-9.032,1,0.0302,0.827,5.92e-06,0.104,0.237,97.007,audio_features,2nJaqteZzpwcE1gQZHtQ7i,spotify:track:2nJaqteZzpwcE1gQZHtQ7i,https://api.spotify.com/v1/tracks/2nJaqteZzpwcE1gQZHtQ7i,https://api.spotify.com/v1/audio-analysis/2nJaqteZzpwcE1gQZHtQ7i,180173,3
ペパーミント・モーニング,0.664,0.557,0,-6.876,1,0.0234,0.369,0.000317,0.149,0.334,92.246,audio_features,0ITn9qr9tygdy8jXYHprSn,spotify:track:0ITn9qr9tygdy8jXYHprSn,https://api.spotify.com/v1/tracks/0ITn9qr9tygdy8jXYHprSn,https://api.spotify.com/v1/audio-analysis/0ITn9qr9tygdy8jXYHprSn,223027,4
小さなヴァカンス,0.438,0.47,10,-11.579,1,0.0663,0.737,0.0069,0.128,0.441,98.214,audio_features,1fCziESttYrd6QHnJg6bwE,spotify:track:1fCziESttYrd6QHnJg6bwE,https://api.spotify.com/v1/tracks/1fCziESttYrd6QHnJg6bwE,https://api.spotify.com/v1/audio-analysis/1fCziESttYrd6QHnJg6bwE,297880,4
クリスタル・ホテル,0.359,0.172,9,-13.348,1,0.0333,0.899,3.03e-05,0.0981,0.329,181.071,audio_features,1wKe5ABg7aBwnLNOnh7Nj4,spotify:track:1wKe5ABg7aBwnLNOnh7Nj4,https://api.spotify.com/v1/tracks/1wKe5ABg7aBwnLNOnh7Nj4,https://api.spotify.com/v1/audio-analysis/1wKe5ABg7aBwnLNOnh7Nj4,266320,4
黄昏遊泳,0.597,0.565,9,-6.622,0,0.0349,0.455,0.00782,0.0626,0.748,76.804,audio_features,37sGlD1TyunORuZXtlAqpB,spotify:track:37sGlD1TyunORuZXtlAqpB,https://api.spotify.com/v1/tracks/37sGlD1TyunORuZXtlAqpB,https://api.spotify.com/v1/audio-analysis/37sGlD1TyunORuZXtlAqpB,248680,4
SF,0.57,0.571,7,-7.308,1,0.03,0.619,1.29e-06,0.309,0.534,98.388,audio_features,5Rd3gZWageO8zaQMHN4eoh,spotify:track:5Rd3gZWageO8zaQMHN4eoh,https://api.spotify.com/v1/tracks/5Rd3gZWageO8zaQMHN4eoh,https://api.spotify.com/v1/audio-analysis/5Rd3gZWageO8zaQMHN4eoh,241613,4
イニシャルは“K”,0.612,0.539,7,-7.702,0,0.0508,0.483,4.92e-05,0.13,0.765,77.225,audio_features,6DzI3semzbYo3sx0KpSKIZ,spotify:track:6DzI3semzbYo3sx0KpSKIZ,https://api.spotify.com/v1/tracks/6DzI3semzbYo3sx0KpSKIZ,https://api.spotify.com/v1/audio-analysis/6DzI3semzbYo3sx0KpSKIZ,229827,4
SPIRIT OF PLACE,0.514,0.392,0,-11.193,1,0.0358,0.584,0.0192,0.0964,0.18,163.913,audio_features,4obYfa1rRQjPH5s61RgawW,spotify:track:4obYfa1rRQjPH5s61RgawW,https://api.spotify.com/v1/tracks/4obYfa1rRQjPH5s61RgawW,https://api.spotify.com/v1/audio-analysis/4obYfa1rRQjPH5s61RgawW,295627,4
FLYING,0.45,0.264,9,-7.212,1,0.0265,0.632,3.84e-06,0.123,0.316,130.79,audio_features,1v2ExUcezXBOGNFXlKtgOh,spotify:track:1v2ExUcezXBOGNFXlKtgOh,https://api.spotify.com/v1/tracks/1v2ExUcezXBOGNFXlKtgOh,https://api.spotify.com/v1/audio-analysis/1v2ExUcezXBOGNFXlKtgOh,83160,4
カットグラスの映像,0.569,0.314,10,-11.239,1,0.0298,0.761,0.00209,0.111,0.355,103.635,audio_features,25iVnxRdgHB5Z3CXexIbaW,spotify:track:25iVnxRdgHB5Z3CXexIbaW,https://api.spotify.com/v1/tracks/25iVnxRdgHB5Z3CXexIbaW,https://api.spotify.com/v1/audio-analysis/25iVnxRdgHB5Z3CXexIbaW,213733,4
帰り道,0.435,0.318,5,-8.659,1,0.0285,0.425,0.000453,0.479,0.267,132.364,audio_features,4omddqFTREk3BWVjx402Wf,spotify:track:4omddqFTREk3BWVjx402Wf,https://api.spotify.com/v1/tracks/4omddqFTREk3BWVjx402Wf,https://api.spotify.com/v1/audio-analysis/4omddqFTREk3BWVjx402Wf,235200,4
貸し切りハイウェー,0.586,0.731,5,-8.31,1,0.0353,0.412,0.0551,0.107,0.885,151.991,audio_features,0zPjrsqyaEpCkV7XXI3zpv,spotify:track:0zPjrsqyaEpCkV7XXI3zpv,https://api.spotify.com/v1/tracks/0zPjrsqyaEpCkV7XXI3zpv,https://api.spotify.com/v1/audio-analysis/0zPjrsqyaEpCkV7XXI3zpv,232960,4
望郷,0.243,0.267,4,-10.775,0,0.0285,0.751,0.00217,0.14,0.3,179.056,audio_features,6eKsq4Ermbnv7MEwEm79Xr,spotify:track:6eKsq4Ermbnv7MEwEm79Xr,https://api.spotify.com/v1/tracks/6eKsq4Ermbnv7MEwEm79Xr,https://api.spotify.com/v1/audio-analysis/6eKsq4Ermbnv7MEwEm79Xr,235800,3
渚のエピローグ,0.289,0.289,0,-11.4,1,0.0357,0.561,5.42e-05,0.0857,0.0934,167.627,audio_features,5qy5HdNS0k0wwjW0oSCIXq,spotify:track:5qy5HdNS0k0wwjW0oSCIXq,https://api.spotify.com/v1/tracks/5qy5HdNS0k0wwjW0oSCIXq,https://api.spotify.com/v1/audio-analysis/5qy5HdNS0k0wwjW0oSCIXq,212560,4
秋を感じた日,0.574,0.5,5,-9.494,0,0.0539,0.629,0,0.0947,0.629,110.494,audio_features,6wGeJjJsGH2ahEVVHLnVSF,spotify:track:6wGeJjJsGH2ahEVVHLnVSF,https://api.spotify.com/v1/tracks/6wGeJjJsGH2ahEVVHLnVSF,https://api.spotify.com/v1/audio-analysis/6wGeJjJsGH2ahEVVHLnVSF,215640,4
紙芝居,0.603,0.125,0,-11.647,1,0.0448,0.871,2.55e-05,0.123,0.225,122.685,audio_features,1KB4Vxu9nFQHKqvIQIaj9v,spotify:track:1KB4Vxu9nFQHKqvIQIaj9v,https://api.spotify.com/v1/tracks/1KB4Vxu9nFQHKqvIQIaj9v,https://api.spotify.com/v1/audio-analysis/1KB4Vxu9nFQHKqvIQIaj9v,139213,4
GOOD-BYE・グラフィティ,0.693,0.536,5,-7.575,1,0.0263,0.489,3.24e-05,0.11,0.663,131.928,audio_features,0NF46ypkVGrHAyBew7MGx7,spotify:track:0NF46ypkVGrHAyBew7MGx7,https://api.spotify.com/v1/tracks/0NF46ypkVGrHAyBew7MGx7,https://api.spotify.com/v1/audio-analysis/0NF46ypkVGrHAyBew7MGx7,282867,4
絆,0.472,0.349,0,-8.563,1,0.0287,0.916,0.0008,0.151,0.156,124.518,audio_features,5SOufG4Thl72mHivPbi2qO,spotify:track:5SOufG4Thl72mHivPbi2qO,https://api.spotify.com/v1/tracks/5SOufG4Thl72mHivPbi2qO,https://api.spotify.com/v1/audio-analysis/5SOufG4Thl72mHivPbi2qO,227040,4
ステキなゲーム,0.712,0.614,7,-8.436,1,0.0358,0.677,0,0.333,0.933,132.788,audio_features,6iOjpz7QcnzgGcWkEW3cx2,spotify:track:6iOjpz7QcnzgGcWkEW3cx2,https://api.spotify.com/v1/tracks/6iOjpz7QcnzgGcWkEW3cx2,https://api.spotify.com/v1/audio-analysis/6iOjpz7QcnzgGcWkEW3cx2,210160,4
白いピアノ,0.529,0.401,0,-9.648,1,0.0253,0.694,0.000185,0.118,0.563,108.938,audio_features,4rE6749MrYA08zw3V1CIlW,spotify:track:4rE6749MrYA08zw3V1CIlW,https://api.spotify.com/v1/tracks/4rE6749MrYA08zw3V1CIlW,https://api.spotify.com/v1/audio-analysis/4rE6749MrYA08zw3V1CIlW,239453,4
ブルー・ムーン,0.688,0.397,4,-8.148,1,0.0447,0.814,0.00179,0.104,0.758,136.444,audio_features,16BJ8XmRx1Z8nogubM3OYV,spotify:track:16BJ8XmRx1Z8nogubM3OYV,https://api.spotify.com/v1/tracks/16BJ8XmRx1Z8nogubM3OYV,https://api.spotify.com/v1/audio-analysis/16BJ8XmRx1Z8nogubM3OYV,165493,4
虹 PART I,0.425,0.16,11,-13.238,0,0.0317,0.932,6.99e-05,0.13,0.193,88.492,audio_features,2TDJZcHUT5diYjD3mrZdiu,spotify:track:2TDJZcHUT5diYjD3mrZdiu,https://api.spotify.com/v1/tracks/2TDJZcHUT5diYjD3mrZdiu,https://api.spotify.com/v1/audio-analysis/2TDJZcHUT5diYjD3mrZdiu,182547,3
青い径,0.606,0.552,10,-10.105,1,0.0282,0.381,0.000292,0.182,0.829,130.367,audio_features,1WGtXTpQSXesxS7X9JKDXo,spotify:track:1WGtXTpQSXesxS7X9JKDXo,https://api.spotify.com/v1/tracks/1WGtXTpQSXesxS7X9JKDXo,https://api.spotify.com/v1/audio-analysis/1WGtXTpQSXesxS7X9JKDXo,252773,4
11月の風,0.491,0.187,4,-12.621,0,0.0314,0.612,0.0615,0.0572,0.151,119.36,audio_features,0lo1mW8cOVXslvf5paGISG,spotify:track:0lo1mW8cOVXslvf5paGISG,https://api.spotify.com/v1/tracks/0lo1mW8cOVXslvf5paGISG,https://api.spotify.com/v1/audio-analysis/0lo1mW8cOVXslvf5paGISG,254253,4
にせドン・ファン,0.633,0.484,7,-10.392,1,0.0516,0.618,2.48e-05,0.254,0.673,126.892,audio_features,6ZDdQeyWZqT7XuuWVRsJeR,spotify:track:6ZDdQeyWZqT7XuuWVRsJeR,https://api.spotify.com/v1/tracks/6ZDdQeyWZqT7XuuWVRsJeR,https://api.spotify.com/v1/audio-analysis/6ZDdQeyWZqT7XuuWVRsJeR,235200,4
プラスティック・ラブ,0.651,0.291,0,-11.035,1,0.0326,0.593,0.000151,0.131,0.386,120.039,audio_features,1Ct9zr5EmH6Q3GT7TStqFj,spotify:track:1Ct9zr5EmH6Q3GT7TStqFj,https://api.spotify.com/v1/tracks/1Ct9zr5EmH6Q3GT7TStqFj,https://api.spotify.com/v1/audio-analysis/1Ct9zr5EmH6Q3GT7TStqFj,291760,4
イニシャルはK - シングル・ヴァージョン,0.618,0.56,7,-8.634,0,0.0393,0.571,0.000701,0.217,0.722,77.164,audio_features,6cpX6nMCDacx32hO5qzjmY,spotify:track:6cpX6nMCDacx32hO5qzjmY,https://api.spotify.com/v1/tracks/6cpX6nMCDacx32hO5qzjmY,https://api.spotify.com/v1/audio-analysis/6cpX6nMCDacx32hO5qzjmY,219680,4
ちょっとだけ・ちょっとだけ,0.429,0.447,4,-8.824,1,0.0294,0.725,8.66e-05,0.109,0.471,168.109,audio_features,2LubNHhyATuIXgqlKY39np,spotify:track:2LubNHhyATuIXgqlKY39np,https://api.spotify.com/v1/tracks/2LubNHhyATuIXgqlKY39np,https://api.spotify.com/v1/audio-analysis/2LubNHhyATuIXgqlKY39np,233227,4
